2014-based projected population by sex and single year of age, Scotland 2014-2039																										
													2014-based projected population by sex and single year of age, Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
PERSONS													PERSONS													
All ages	5347600	5364732	5380278	5395632	5411524	5427982	5444919	5462255	5479651	5497051	5514402	5531581	5548442	5564854	5580706	5595826	5610151	5623630	5636210	5647883	5658708	5668657	5677815	5686286	5694142	5701476
0	56297	55851	55598	55289	55641	56138	56571	56929	57205	57404	57529	57604	57577	57465	57303	57078	56823	56575	56352	56173	56006	55849	55748	55722	55753	55835
1	57452	56658	56145	55894	55588	55945	56446	56883	57242	57519	57720	57847	57921	57895	57784	57622	57395	57141	56894	56670	56492	56325	56168	56067	56041	56072
2	59228	57744	56879	56368	56120	55816	56176	56681	57121	57480	57757	57958	58087	58161	58135	58022	57860	57633	57380	57133	56909	56731	56564	56406	56306	56280
3	61007	59463	57913	57051	56541	56294	55996	56358	56863	57304	57664	57942	58143	58272	58347	58320	58206	58043	57818	57567	57320	57093	56914	56748	56589	56490
4	58246	61203	59600	58054	57193	56684	56439	56146	56508	57011	57454	57816	58094	58295	58425	58500	58472	58357	58195	57969	57718	57471	57244	57064	56900	56740
5	59776	58421	61327	59728	58184	57324	56816	56573	56281	56643	57146	57589	57952	58230	58431	58562	58637	58608	58493	58331	58105	57855	57608	57381	57201	57037
6	59654	59932	58530	61437	59843	58299	57440	56933	56690	56398	56759	57262	57706	58069	58348	58551	58682	58758	58728	58612	58452	58224	57974	57727	57500	57319
7	57256	59783	60026	58625	61532	59943	58399	57541	57033	56790	56498	56860	57364	57806	58171	58451	58654	58783	58860	58830	58715	58554	58327	58076	57829	57602
8	56157	57365	59860	60108	58706	61617	60028	58486	57627	57119	56875	56583	56945	57449	57891	58257	58537	58741	58869	58946	58917	58802	58640	58414	58162	57916
9	55742	56256	57432	59931	60183	58783	61693	60106	58562	57703	57195	56952	56661	57022	57526	57968	58334	58614	58820	58948	59026	58996	58882	58719	58493	58240
10	54680	55841	56327	57504	60007	60261	58862	61772	60186	58642	57782	57274	57032	56740	57099	57605	58049	58414	58694	58901	59029	59106	59077	58963	58800	58573
11	53042	54778	55909	56398	57578	60082	60339	58941	61853	60265	58722	57861	57352	57111	56818	57178	57685	58129	58493	58773	58982	59108	59186	59157	59044	58881
12	52773	53120	54827	55961	56453	57635	60140	60399	59000	61913	60326	58781	57920	57411	57171	56878	57238	57745	58189	58554	58834	59044	59170	59247	59218	59105
13	54991	52851	53168	54875	56012	56505	57688	60196	60451	59053	61970	60383	58837	57975	57467	57226	56933	57295	57800	58245	58610	58890	59100	59226	59305	59275
14	56376	55086	52915	53234	54943	56082	56577	57761	60269	60524	59128	62044	60459	58912	58051	57542	57300	57006	57370	57875	58321	58686	58965	59176	59302	59381
15	58605	56481	55159	52990	53310	55022	56163	56659	57843	60352	60606	59210	62127	60542	58997	58134	57625	57382	57088	57452	57958	58404	58770	59050	59261	59387
16	59820	58729	56569	55249	53083	53404	55117	56260	56756	57940	60450	60706	59310	62226	60643	59098	58234	57724	57481	57187	57552	58057	58503	58870	59150	59361
17	62081	60055	58915	56756	55438	53273	53592	55306	56451	56949	58136	60648	60908	59511	62428	60846	59301	58435	57925	57680	57386	57751	58256	58703	59071	59353
18	63580	62959	60833	59678	57517	56189	54018	54327	56043	57201	57708	58901	61422	61700	60305	63216	61652	60094	59219	58702	58453	58159	58523	59030	59482	59853
19	66767	65443	64631	62491	61319	59139	57790	55600	55893	57618	58800	59322	60529	63079	63382	61984	64898	63350	61769	60873	60346	60093	59795	60160	60672	61131
20	69591	68854	67275	66458	64312	63124	60926	59559	57346	57629	59370	60571	61105	62327	64911	65229	63819	66749	65201	63599	62686	62155	61896	61594	61962	62476
21	70981	71275	70260	68683	67875	65723	64536	62332	60953	58731	59010	60758	61968	62508	63740	66338	66665	65247	68188	66639	65025	64106	63574	63310	63008	63376
22	76655	72422	72402	71398	69834	69033	66888	65708	63501	62120	59895	60174	61924	63139	63681	64914	67517	67847	66427	69373	67823	66207	65285	64754	64488	64185
23	77059	77623	73044	73054	72068	70522	69742	67610	66441	64238	62870	60648	60937	62686	63896	64431	65661	68260	68579	67157	70110	68550	66938	66026	65498	65233
24	73341	77385	77602	73056	73107	72138	70618	69862	67743	66589	64401	63049	60845	61143	62881	64082	64605	65827	68409	68713	67297	70242	68677	67079	66178	65659
25	72174	73535	77270	77490	72984	73057	72107	70611	69863	67755	66612	64438	63098	60910	61211	62940	64131	64648	65864	68430	68728	67317	70251	68686	67099	66206
26	72901	72448	73558	77289	77518	73035	73130	72192	70703	69962	67861	66725	64558	63225	61047	61351	63075	64261	64773	65985	68543	68837	67429	70358	68791	67211
27	70831	73200	72525	73640	77380	77614	73153	73259	72324	70842	70102	68009	66878	64717	63387	61218	61521	63244	64425	64934	66143	68697	68989	67582	70508	68939
28	70296	71126	73299	72631	73757	77501	77741	73297	73405	72472	70994	70255	68168	67042	64884	63557	61392	61699	63419	64597	65104	66311	68863	69153	67749	70670
29	69960	70536	71197	73374	72716	73851	77598	77845	73407	73515	72586	71110	70373	68291	67166	65011	63687	61528	61835	63553	64732	65236	66442	68992	69281	67877
30	67738	70193	70618	71284	73468	72819	73959	77710	77957	73526	73635	72707	71232	70498	68421	67294	65144	63823	61664	61972	63691	64869	65371	66576	69124	69413
31	68791	67965	70288	70717	71394	73582	72940	74086	77834	78082	73657	73764	72837	71364	70631	68556	67430	65282	63962	61807	62115	63831	65010	65512	66716	69263
32	69734	68971	68035	70360	70796	71479	73669	73034	74179	77925	78175	73752	73861	72933	71462	70729	68656	67531	65385	64067	61913	62220	63937	65116	65618	66824
33	69279	69903	69043	68112	70442	70884	71569	73763	73130	74273	78018	78272	73853	73959	73033	71563	70829	68757	67633	65490	64173	62019	62325	64042	65222	65727
34	67955	69440	69978	69123	68200	70532	70976	71669	73862	73231	74373	78115	78373	73959	74061	73136	71668	70933	68861	67737	65596	64279	62127	62432	64149	65330
35	65523	68102	69512	70058	69209	68287	70622	71073	71767	73957	73329	74470	78210	78473	74061	74160	73236	71768	71033	68963	67838	65700	64382	62231	62535	64252
36	61183	65657	68172	69587	70138	69292	68376	70712	71165	71859	74050	73422	74563	78305	78569	74160	74256	73334	71866	71131	69061	67936	65800	64482	62331	62633
37	60046	61289	65703	68221	69643	70196	69355	68443	70776	71232	71925	74114	73491	74632	78372	78643	74234	74328	73408	71939	71205	69135	68012	65876	64560	62408
