Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27420	29549	30480	31185	31872	32546	32899	32946	32965	32983	32886	32729	32602	32427	32272	32151	32041	31943	31881	31865	31885	31949	32061	32203	32367	32556	32749	32932	33104	33271	33432	33592	33763	33940	34126	34314	34502	34680	34840	34977	35091	35181	35247	35288	35311	35321	35321	35324	35327	35335	35358	35392	35442	35506	35586	35680	35789	35911	36040	36177	36317	36461	36604	36746	36884	37017	37148	37271	37385	37493	37595	37685	37773	37850	37918	37983	38039	38095	38147	38199	38253	38306	38364	38428	38495	38569	38652	38741	38832	38929	39032	39135	39241	39352	39459	39565	39674	39777	39875	39973
1	           1	29017	28921	27661	29777	30707	31387	32059	32729	33084	33132	33151	33170	33073	32916	32789	32613	32459	32338	32229	32131	32068	32052	32074	32137	32250	32392	32557	32748	32942	33125	33297	33464	33626	33787	33959	34136	34323	34511	34698	34879	35039	35176	35291	35381	35447	35490	35512	35523	35523	35526	35529	35537	35562	35596	35646	35710	35790	35884	35995	36117	36246	36382	36524	36668	36811	36953	37092	37227	37358	37481	37597	37705	37807	37897	37986	38063	38132	38198	38254	38310	38362	38414	38468	38521	38579	38643	38711	38785	38868	38958	39049	39147	39249	39354	39460	39571	39678	39784	39894	39996	40095
1	           2	29377	29265	29191	27914	30025	30924	31589	32253	32926	33282	33331	33350	33369	33271	33115	32987	32811	32657	32536	32427	32327	32265	32248	32270	32335	32448	32590	32757	32948	33142	33325	33498	33666	33828	33990	34163	34341	34527	34715	34902	35083	35245	35383	35499	35589	35656	35699	35721	35732	35732	35735	35738	35746	35771	35805	35855	35919	36000	36095	36205	36327	36458	36594	36736	36880	37024	37166	37306	37442	37572	37696	37812	37920	38023	38115	38204	38280	38349	38416	38472	38529	38580	38633	38687	38740	38798	38862	38930	39004	39088	39178	39270	39368	39470	39576	39682	39793	39901	40008	40118	40220
1	           3	29728	29601	29506	29418	28134	30214	31100	31758	32425	33099	33456	33505	33524	33543	33445	33289	33162	32986	32831	32710	32600	32500	32438	32420	32443	32508	32622	32764	32931	33123	33317	33500	33674	33842	34005	34167	34340	34519	34705	34893	35081	35263	35425	35563	35679	35770	35838	35882	35902	35914	35914	35917	35921	35929	35954	35988	36038	36102	36183	36278	36388	36510	36641	36778	36920	37064	37208	37351	37491	37628	37758	37883	37999	38107	38210	38302	38391	38468	38537	38605	38661	38718	38770	38823	38876	38929	38988	39051	39119	39194	39278	39368	39460	39559	39661	39767	39874	39985	40093	40200	40310
1	           4	30708	29931	29820	29713	29617	28299	30365	31246	31906	32575	33249	33607	33656	33676	33695	33596	33439	33312	33136	32981	32860	32750	32651	32588	32570	32593	32658	32772	32915	33081	33275	33469	33652	33827	33995	34159	34321	34495	34674	34859	35048	35236	35419	35580	35719	35834	35925	35995	36038	36059	36071	36071	36073	36077	36086	36111	36145	36194	36260	36341	36436	36546	36668	36799	36936	37078	37222	37367	37511	37651	37788	37917	38043	38159	38267	38371	38463	38552	38630	38699	38767	38823	38880	38932	38986	39038	39092	39151	39214	39283	39358	39442	39532	39624	39723	39825	39931	40038	40149	40258	40366
1	           5	31533	30891	30128	30005	29894	29763	28428	30491	31373	32035	32705	33379	33738	33787	33807	33826	33727	33570	33443	33266	33111	32990	32881	32781	32718	32700	32723	32790	32904	33047	33213	33408	33601	33784	33960	34128	34292	34455	34630	34807	34993	35182	35370	35553	35715	35854	35969	36060	36130	36173	36195	36206	36206	36208	36212	36222	36247	36281	36329	36396	36476	36572	36682	36804	36937	37073	37215	37359	37504	37648	37789	37926	38055	38182	38298	38406	38510	38602	38691	38770	38839	38907	38964	39020	39073	39126	39178	39233	39291	39355	39423	39499	39583	39674	39766	39865	39968	40074	40181	40292	40401
1	           6	29946	31694	31066	30294	30165	30022	29878	28538	30601	31485	32147	32819	33494	33853	33902	33922	33941	33842	33686	33559	33382	33227	33106	32995	32895	32832	32814	32838	32905	33019	33163	33329	33524	33717	33900	34076	34246	34410	34573	34748	34925	35111	35300	35489	35672	35835	35974	36089	36180	36250	36293	36315	36326	36326	36328	36333	36342	36367	36401	36450	36516	36597	36692	36803	36926	37059	37195	37337	37481	37626	37770	37911	38048	38177	38304	38422	38530	38632	38726	38815	38893	38963	39031	39088	39144	39197	39250	39302	39357	39415	39479	39547	39624	39708	39800	39891	39991	40095	40200	40306	40419
1	           7	30653	30086	31846	31212	30433	30274	30120	29972	28631	30695	31580	32243	32916	33592	33952	34000	34020	34039	33940	33785	33658	33480	33325	33205	33093	32994	32930	32913	32937	33004	33118	33262	33428	33624	33817	34000	34176	34346	34510	34674	34849	35025	35211	35401	35590	35773	35937	36076	36190	36283	36352	36396	36417	36428	36428	36430	36435	36444	36470	36504	36552	36619	36700	36795	36905	37029	37162	37299	37441	37586	37731	37874	38014	38152	38281	38408	38526	38634	38736	38830	38920	38998	39068	39136	39193	39249	39302	39356	39407	39464	39522	39586	39654	39731	39815	39907	39998	40099	40202	40307	40414
1	           8	30586	30777	30221	31975	31337	30528	30359	30201	30052	28711	30774	31662	32326	32999	33676	34036	34084	34104	34123	34024	33869	33742	33565	33410	33290	33178	33079	33014	32998	33022	33089	33204	33348	33513	33709	33903	34086	34261	34431	34595	34759	34935	35111	35298	35488	35677	35860	36025	36164	36278	36371	36440	36484	36505	36516	36516	36518	36523	36532	36558	36592	36640	36707	36788	36883	36994	37118	37251	37388	37530	37675	37820	37963	38102	38241	38370	38497	38615	38723	38825	38919	39009	39088	39157	39226	39283	39338	39394	39448	39498	39556	39614	39678	39746	39823	39907	40000	40090	40191	40295	40399
1	           9	29574	30711	30912	30350	32102	31438	30619	30446	30288	30139	28797	30859	31749	32415	33088	33766	34127	34176	34196	34215	34116	33960	33833	33656	33501	33381	33269	33170	33105	33089	33113	33180	33295	33439	33604	33801	33995	34179	34354	34524	34688	34852	35029	35205	35392	35583	35772	35955	36120	36259	36373	36466	36536	36579	36601	36612	36612	36613	36618	36627	36653	36688	36736	36803	36884	36979	37090	37214	37347	37484	37627	37772	37918	38061	38199	38339	38467	38594	38713	38821	38923	39017	39108	39186	39256	39325	39383	39438	39493	39548	39598	39656	39714	39778	39847	39924	40008	40101	40191	40293	40396
