Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	29419	30236	30818	31374	31909	32124	32035	31922	31805	31589	31315	31080	30811	30566	30368	30185	30029	29910	29849	29822	29846	29916	30016	30138	30278	30417	30543	30658	30756	30847	30932	31023	31112	31211	31307	31400	31478	31544	31583	31603	31598	31574	31528	31470	31399	31326	31255	31191	31141	31101	31077	31071	31080	31106	31146	31201	31264	31336	31410	31487	31565	31640	31711	31777	31837	31888	31935	31974	32003	32027	32043	32053	32055	32052	32043	32030	32019	32005	31994	31982	31978	31980	31984	31994	32012	32033	32064	32101	32140	32182	32225	32275	32319	32365	32409	32451	32490	32522	32555
1	           1	29017	28894	27572	29594	30409	30967	31507	32037	32253	32166	32052	31935	31718	31447	31210	30940	30695	30497	30313	30157	30038	29978	29950	29975	30046	30146	30268	30409	30549	30674	30789	30887	30979	31066	31157	31247	31346	31442	31535	31613	31679	31719	31739	31735	31711	31665	31607	31536	31464	31392	31329	31278	31238	31213	31207	31217	31245	31284	31340	31402	31475	31549	31626	31704	31779	31850	31917	31979	32029	32077	32116	32145	32169	32185	32195	32198	32195	32186	32174	32163	32149	32138	32126	32122	32124	32128	32138	32155	32176	32207	32245	32284	32327	32369	32419	32464	32510	32554	32596	32636	32667
1	           2	29377	29234	29100	27764	29779	30564	31105	31639	32170	32388	32301	32187	32069	31851	31579	31342	31072	30826	30628	30444	30288	30169	30108	30080	30105	30176	30276	30399	30542	30681	30807	30922	31020	31113	31200	31291	31382	31481	31577	31671	31749	31815	31855	31875	31871	31848	31801	31743	31671	31599	31527	31465	31414	31374	31349	31343	31353	31381	31420	31476	31538	31611	31685	31762	31842	31917	31988	32055	32117	32167	32216	32255	32284	32309	32324	32334	32338	32335	32326	32314	32303	32290	32279	32267	32263	32265	32269	32279	32296	32317	32347	32385	32424	32467	32510	32559	32605	32651	32695	32737	32777
1	           3	29728	29572	29419	29271	27925	29910	30683	31217	31752	32285	32503	32418	32303	32184	31966	31693	31457	31186	30940	30742	30556	30401	30282	30219	30192	30218	30288	30388	30512	30655	30794	30921	31036	31134	31227	31314	31406	31497	31596	31693	31787	31865	31931	31972	31992	31988	31965	31917	31859	31787	31715	31643	31580	31530	31490	31465	31459	31470	31497	31537	31593	31655	31728	31802	31879	31959	32035	32105	32174	32235	32286	32335	32374	32403	32427	32443	32453	32457	32453	32444	32432	32421	32408	32398	32386	32382	32383	32388	32398	32414	32436	32467	32503	32544	32587	32630	32679	32724	32771	32814	32857
1	           4	30708	29906	29739	29573	29419	28037	30010	30777	31311	31848	32382	32601	32516	32400	32281	32064	31791	31554	31281	31035	30837	30651	30496	30376	30313	30286	30312	30382	30482	30607	30750	30890	31017	31132	31230	31324	31411	31502	31593	31693	31790	31885	31962	32029	32071	32091	32086	32063	32015	31958	31886	31813	31742	31678	31629	31588	31564	31557	31567	31595	31636	31691	31753	31826	31901	31978	32058	32134	32204	32273	32335	32385	32435	32474	32503	32527	32543	32552	32556	32552	32543	32531	32521	32508	32498	32486	32482	32483	32488	32498	32514	32536	32567	32603	32644	32687	32730	32779	32824	32872	32914
1	           5	31533	30867	30056	29878	29706	29517	28119	30087	30857	31391	31929	32464	32683	32598	32482	32363	32145	31872	31635	31362	31116	30917	30732	30576	30456	30392	30365	30392	30461	30562	30687	30830	30971	31098	31214	31312	31406	31493	31584	31675	31775	31873	31967	32044	32112	32153	32174	32169	32146	32098	32040	31969	31896	31824	31761	31711	31670	31646	31639	31649	31677	31718	31773	31835	31908	31983	32060	32140	32216	32287	32356	32418	32468	32518	32558	32587	32610	32627	32636	32640	32636	32627	32615	32605	32592	32582	32570	32566	32567	32572	32582	32598	32620	32651	32687	32728	32772	32814	32865	32909	32957
1	           6	29946	31673	31000	30180	29997	29791	29589	28185	30154	30925	31460	32000	32535	32754	32669	32554	32435	32216	31943	31706	31431	31185	30986	30801	30645	30524	30461	30434	30462	30531	30632	30757	30900	31041	31169	31285	31383	31477	31564	31656	31747	31847	31945	32039	32115	32184	32224	32246	32241	32218	32170	32112	32041	31969	31896	31834	31783	31741	31718	31710	31720	31748	31790	31845	31907	31981	32056	32133	32213	32289	32360	32429	32491	32541	32591	32631	32660	32683	32700	32710	32714	32710	32701	32689	32679	32666	32656	32644	32640	32641	32646	32656	32671	32694	32725	32761	32802	32846	32888	32939	32983
1	           7	30653	30068	31786	31107	30281	30068	29851	29645	28239	30210	30982	31517	32058	32593	32813	32728	32613	32494	32275	32001	31764	31489	31243	31043	30858	30703	30582	30519	30492	30521	30588	30690	30815	30958	31100	31228	31344	31442	31536	31623	31715	31806	31906	32005	32098	32174	32244	32283	32305	32301	32278	32229	32171	32101	32029	31956	31894	31843	31801	31778	31770	31780	31808	31850	31905	31967	32041	32116	32193	32273	32349	32421	32489	32552	32601	32652	32692	32721	32743	32760	32771	32775	32771	32762	32749	32739	32726	32716	32704	32700	32701	32706	32716	32731	32754	32785	32821	32862	32906	32948	33001
1	           8	30586	30762	30169	31880	31199	30342	30118	29897	29691	28286	30256	31029	31565	32107	32643	32863	32778	32662	32543	32325	32051	31814	31538	31292	31092	30906	30751	30631	30568	30541	30570	30637	30740	30864	31008	31150	31278	31394	31493	31587	31673	31766	31856	31957	32056	32149	32225	32295	32334	32356	32352	32329	32279	32221	32152	32079	32006	31945	31893	31851	31828	31820	31830	31859	31900	31955	32017	32091	32167	32243	32324	32399	32472	32539	32604	32652	32704	32744	32773	32795	32812	32822	32827	32823	32814	32801	32791	32778	32768	32755	32752	32753	32758	32768	32783	32806	32837	32873	32914	32958	33000
1	           9	29574	30696	30867	30267	31976	31269	30402	30174	29953	29747	28340	30309	31086	31623	32165	32702	32923	32838	32722	32602	32384	32110	31873	31596	31350	31149	30963	30809	30688	30625	30598	30628	30695	30798	30922	31066	31208	31337	31453	31553	31646	31732	31825	31915	32016	32115	32208	32285	32354	32394	32416	32412	32389	32339	32281	32211	32138	32065	32005	31953	31911	31888	31881	31890	31919	31959	32015	32078	32151	32228	32303	32385	32460	32533	32600	32665	32713	32765	32805	32834	32856	32873	32883	32888	32884	32875	32862	32852	32839	32829	32816	32813	32814	32819	32829	32844	32867	32898	32934	32976	33019
1	          10	28838	29687	30807	30972	30368	32056	31342	30469	30240	30019	29813	28403	30374	31153	31691	32234	32772	32993	32908	32792	32672	32454	32181	31942	31665	31419	31218	31032	30878	30757	30694	30667	30697	30764	30867	30991	31135	31277	31406	31523	31622	31716	31803	31896	31986	32087	32186	32279	32356	32425	32465	32487	32483	32460	32410	32351	32281	32209	32135	32076	32024	31982	31959	31952	31961	31990	32030	32086	32149	32222	32299	32375	32456	32532	32605	32673	32737	32786	32838	32877	32906	32929	32946	32956	32961	32957	32948	32935	32925	32912	32902	32889	32886	32887	32892	32902	32917	32940	32971	33007	33049
1	          11	28885	28936	29782	30897	31059	30436	32117	31400	30526	30295	30075	29868	28457	30428	31210	31749	32292	32831	33052	32967	32852	32731	32513	32240	32000	31724	31478	31277	31089	30936	30815	30752	30725	30755	30822	30924	31049	31193	31336	31464	31582	31681	31775	31862	31955	32045	32147	32247	32339	32417	32485	32525	32548	32544	32521	32471	32412	32341	32269	32196	32135	32083	32041	32019	32011	32020	32049	32090	32146	32209	32282	32359	32435	32516	32592	32665	32733	32797	32846	32898	32937	32967	32990	33008	33017	33022	33017	33008	32995	32985	32972	32963	32950	32947	32947	32952	32962	32977	33001	33032	33069
1	          12	28344	28968	29016	29855	30969	31113	30483	32161	31445	30571	30340	30119	29912	28500	30472	31254	31795	32338	32876	33097	33014	32899	32778	32560	32286	32045	31769	31523	31322	31134	30981	30861	30798	30770	30800	30868	30970	31095	31239	31382	31511	31629	31728	31822	31909	32002	32092	32194	32294	32386	32465	32532	32572	32595	32592	32569	32519	32459	32388	32316	32244	32181	32129	32087	32065	32057	32066	32095	32136	32193	32256	32329	32406	32482	32563	32640	32713	32780	32845	32894	32946	32985	33015	33038	33056	33065	33070	33065	33056	33043	33033	33020	33011	32998	32995	32995	33000	33010	33025	33049	33080
1	          13	27231	28427	29048	29091	29928	31025	31161	30529	32209	31492	30619	30388	30167	29959	28546	30518	31302	31843	32387	32924	33146	33064	32948	32829	32610	32335	32093	31817	31571	31370	31182	31029	30909	30846	30818	30848	30916	31018	31143	31287	31431	31559	31678	31776	31872	31959	32051	32143	32245	32345	32437	32516	32583	32623	32646	32643	32620	32570	32510	32439	32367	32295	32232	32179	32137	32115	32107	32116	32145	32186	32243	32306	32380	32456	32532	32614	32690	32764	32831	32896	32945	32997	33036	33066	33089	33107	33116	33121	33116	33107	33094	33084	33071	33062	33049	33046	33046	33051	33061	33077	33100
