Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27347	27529	27180	26818	26508	26258	25984	25681	25376	25068	24770	24487	24223	23951	23698	23472	23261	23073	22929	22840	22813	22812	22809	22810	22795	22762	22701	22608	22482	22320	22130	21914	21687	21443	21196	20952	20708	20471	20244	20024	19816	19618	19432	19257	19091	18938	18795	18662	18541	18427	18322	18230	18139	18057	17976	17895	17814	17732	17641	17542	17438	17323	17201	17070	16933	16790	16641	16491	16343	16190	16043	15900	15760	15628	15497	15376	15259	15149	15044	14946	14852	14761	14678	14594	14515	14437	14358	14280	14203	14123	14042	13956	13872	13783	13692	13600	13505	13409	13311	13211
1	           1	29017	28868	27482	27650	27293	26905	26579	26322	26049	25746	25439	25131	24832	24549	24286	24013	23760	23533	23321	23134	22990	22901	22873	22872	22870	22871	22856	22823	22760	22667	22540	22377	22187	21971	21745	21501	21253	21008	20764	20527	20298	20077	19870	19671	19486	19310	19143	18990	18848	18713	18592	18477	18372	18280	18189	18106	18026	17945	17864	17783	17691	17593	17488	17373	17250	17119	16981	16837	16688	16538	16389	16236	16089	15946	15806	15674	15543	15421	15304	15194	15088	14990	14895	14804	14721	14637	14557	14479	14400	14321	14244	14164	14085	13999	13913	13825	13734	13642	13547	13451	13352
1	           2	29377	29204	29014	27611	27771	27379	26971	26637	26380	26108	25804	25496	25187	24887	24604	24340	24066	23813	23586	23374	23185	23041	22953	22924	22923	22922	22922	22907	22874	22811	22716	22590	22427	22237	22021	21794	21548	21300	21055	20810	20572	20342	20121	19913	19713	19528	19352	19184	19032	18890	18755	18633	18518	18413	18320	18229	18145	18065	17984	17903	17821	17729	17631	17526	17411	17288	17157	17018	16874	16725	16575	16425	16271	16124	15980	15840	15707	15576	15454	15337	15227	15119	15021	14926	14835	14752	14667	14587	14509	14430	14351	14274	14194	14115	14028	13942	13854	13763	13670	13576	13480
1	           3	29728	29544	29331	29129	27717	27843	27434	27019	26683	26426	26155	25851	25541	25232	24932	24647	24383	24109	23855	23627	23414	23226	23081	22993	22964	22963	22962	22962	22947	22914	22851	22756	22629	22466	22276	22059	21831	21586	21337	21091	20846	20607	20377	20156	19946	19747	19561	19384	19216	19063	18921	18786	18665	18548	18443	18351	18260	18175	18095	18014	17934	17851	17759	17661	17555	17440	17317	17186	17048	16902	16753	16602	16453	16299	16150	16006	15865	15732	15601	15479	15362	15252	15144	15046	14950	14859	14776	14691	14610	14532	14454	14374	14297	14217	14137	14050	13964	13875	13784	13691	13597
1	           4	30708	29879	29658	29433	29225	27777	27887	27471	27055	26719	26462	26190	25886	25575	25266	24965	24679	24415	24141	23887	23658	23444	23258	23111	23023	22995	22993	22991	22991	22976	22943	22881	22785	22659	22495	22305	22088	21859	21614	21365	21118	20873	20634	20404	20183	19973	19772	19587	19409	19241	19087	18945	18810	18689	18572	18467	18374	18283	18198	18118	18037	17957	17874	17781	17683	17577	17462	17339	17208	17069	16923	16774	16622	16473	16319	16169	16025	15884	15751	15620	15498	15381	15270	15162	15064	14968	14877	14793	14709	14628	14548	14471	14390	14313	14232	14153	14067	13980	13891	13800	13707
1	           5	31533	30843	29981	29749	29519	29274	27812	27916	27500	27084	26747	26488	26217	25913	25601	25291	24990	24703	24438	24164	23910	23681	23468	23281	23135	23047	23018	23016	23014	23014	22999	22966	22904	22807	22683	22518	22327	22110	21881	21635	21385	21139	20894	20655	20423	20202	19992	19791	19606	19428	19260	19106	18964	18829	18707	18589	18484	18391	18299	18215	18134	18054	17974	17889	17797	17700	17594	17479	17355	17224	17085	16939	16789	16638	16489	16333	16183	16040	15898	15765	15635	15512	15395	15284	15175	15077	14981	14889	14805	14721	14640	14560	14483	14401	14325	14243	14165	14078	13991	13902	13810
1	           6	29946	31651	30934	30062	29825	29561	29305	27836	27939	27524	27107	26769	26509	26239	25935	25622	25310	25009	24722	24457	24184	23929	23702	23488	23300	23154	23064	23035	23033	23032	23032	23017	22984	22921	22824	22700	22535	22344	22128	21899	21653	21402	21156	20910	20670	20438	20216	20007	19806	19620	19442	19274	19119	18977	18842	18720	18602	18496	18402	18310	18226	18145	18066	17984	17901	17808	17712	17606	17490	17366	17235	17096	16950	16800	16649	16499	16342	16192	16049	15907	15774	15644	15521	15404	15293	15183	15085	14988	14896	14812	14728	14647	14567	14490	14408	14332	14250	14172	14085	13997	13909
1	           7	30653	30048	31728	31003	30126	29858	29583	29323	27853	27955	27540	27123	26785	26525	26254	25949	25635	25323	25023	24736	24472	24198	23943	23716	23501	23312	23165	23076	23047	23045	23044	23044	23029	22996	22933	22836	22712	22547	22357	22140	21911	21665	21413	21166	20919	20679	20447	20224	20015	19815	19629	19451	19283	19128	18985	18850	18728	18610	18504	18410	18318	18234	18153	18073	17991	17908	17815	17719	17613	17497	17372	17242	17103	16956	16806	16654	16503	16346	16196	16054	15912	15778	15648	15525	15408	15297	15187	15088	14992	14900	14815	14731	14651	14571	14494	14412	14336	14253	14176	14088	14000
1	           8	30586	30745	30116	31790	31061	30154	29875	29597	29337	27866	27968	27552	27136	26796	26536	26265	25959	25646	25334	25034	24747	24483	24208	23953	23726	23510	23320	23174	23085	23055	23053	23052	23052	23037	23004	22941	22844	22721	22555	22366	22148	21920	21673	21421	21174	20927	20685	20454	20230	20021	19821	19635	19458	19290	19134	18991	18856	18734	18615	18509	18415	18323	18239	18158	18078	17995	17913	17819	17724	17617	17501	17375	17245	17106	16960	16810	16658	16506	16349	16200	16058	15915	15781	15651	15528	15410	15300	15188	15091	14993	14902	14816	14734	14653	14573	14497	14414	14339	14255	14178	14090
1	           9	29574	30681	30820	30185	31857	31100	30184	29900	29622	29362	27890	27990	27574	27157	26818	26556	26287	25981	25667	25355	25055	24767	24504	24228	23973	23744	23528	23338	23191	23103	23073	23071	23070	23070	23055	23022	22959	22862	22739	22573	22384	22166	21938	21690	21438	21190	20942	20700	20469	20245	20036	19836	19649	19472	19304	19147	19004	18869	18747	18628	18522	18428	18335	18252	18170	18089	18007	17924	17831	17735	17627	17512	17386	17256	17117	16971	16821	16668	16516	16359	16210	16068	15924	15790	15660	15537	15418	15308	15196	15099	15001	14910	14824	14742	14661	14581	14505	14422	14347	14263	14186
