Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	27649	27400	27144	26937	26794	26627	26434	26238	26039	25842	25659	25486	25298	25122	24966	24814	24682	24585	24539	24551	24591	24622	24658	24682	24682	24661	24609	24527	24414	24275	24115	23942	23760	23576	23394	23219	23052	22891	22739	22600	22469	22349	22234	22130	22031	21942	21860	21788	21719	21659	21606	21555	21511	21468	21425	21379	21330	21277	21216	21148	21072	20990	20902	20806	20707	20605	20499	20397	20292	20190	20095	20001	19912	19826	19745	19671	19601	19536	19475	19419	19363	19314	19264	19217	19169	19120	19076	19027	18977	18927	18875	18821	18763	18703	18644	18579	18515	18447	18384
1	           1	29017	28894	27572	27823	27568	27285	27062	26912	26746	26552	26355	26157	25960	25778	25604	25415	25238	25082	24931	24799	24702	24656	24669	24708	24740	24775	24800	24800	24779	24728	24646	24532	24393	24233	24060	23879	23694	23510	23335	23168	23008	22856	22715	22584	22463	22348	22244	22144	22056	21974	21902	21833	21773	21720	21669	21625	21582	21540	21494	21445	21391	21331	21262	21186	21103	21015	20918	20820	20718	20611	20510	20405	20303	20207	20112	20024	19937	19856	19782	19712	19649	19587	19531	19476	19425	19376	19328	19280	19230	19186	19138	19087	19037	18985	18931	18872	18813	18754	18690	18625	18557
1	           2	29377	29234	29100	27764	28005	27716	27415	27183	27034	26867	26672	26475	26276	26079	25897	25723	25534	25356	25199	25048	24915	24818	24772	24785	24824	24856	24892	24916	24917	24896	24846	24763	24650	24509	24351	24176	23995	23810	23625	23449	23281	23121	22968	22827	22696	22576	22459	22355	22255	22167	22086	22014	21946	21884	21831	21781	21736	21693	21651	21605	21556	21502	21440	21372	21295	21212	21124	21026	20929	20827	20719	20617	20513	20411	20314	20220	20131	20044	19962	19888	19819	19756	19692	19639	19582	19531	19482	19434	19386	19336	19291	19244	19192	19143	19090	19036	18976	18918	18858	18794	18730
1	           3	29728	29572	29419	29271	27925	28134	27828	27520	27287	27139	26972	26776	26579	26379	26183	26001	25825	25636	25458	25300	25148	25014	24918	24872	24885	24924	24956	24992	25016	25017	24996	24946	24863	24750	24610	24452	24276	24095	23909	23724	23547	23379	23219	23066	22924	22794	22673	22556	22451	22351	22263	22181	22109	22040	21979	21925	21875	21830	21787	21745	21700	21651	21596	21534	21467	21390	21306	21218	21120	21023	20920	20812	20710	20606	20504	20406	20312	20223	20135	20052	19980	19910	19847	19783	19730	19673	19621	19573	19524	19476	19426	19381	19333	19281	19233	19180	19126	19065	19007	18947	18883
1	           4	30708	29906	29739	29573	29419	28037	28231	27918	27609	27376	27227	27060	26864	26666	26467	26271	26088	25911	25722	25544	25386	25233	25100	25004	24959	24971	25010	25043	25079	25103	25104	25083	25031	24950	24837	24696	24538	24361	24179	23993	23808	23631	23462	23303	23149	23007	22876	22756	22638	22533	22433	22345	22263	22191	22122	22061	22006	21956	21912	21868	21826	21781	21732	21677	21615	21547	21471	21386	21299	21201	21103	20999	20891	20789	20685	20582	20484	20390	20301	20213	20131	20058	19988	19925	19861	19808	19751	19699	19651	19601	19553	19503	19458	19411	19359	19311	19258	19204	19142	19085	19024
1	           5	31533	30867	30056	29878	29706	29517	28119	28307	27994	27683	27452	27302	27134	26939	26740	26541	26344	26161	25984	25796	25618	25459	25306	25173	25077	25032	25044	25083	25116	25152	25176	25178	25156	25104	25023	24911	24769	24610	24433	24251	24065	23880	23702	23532	23375	23220	23077	22946	22826	22707	22603	22502	22414	22332	22260	22191	22130	22075	22025	21981	21936	21894	21849	21800	21745	21683	21615	21539	21455	21367	21269	21171	21066	20958	20857	20753	20649	20551	20456	20367	20280	20198	20125	20055	19991	19927	19875	19817	19766	19718	19667	19620	19570	19524	19477	19426	19378	19324	19271	19208	19152
1	           6	29946	31673	31000	30180	29997	29791	29589	28185	28372	28059	27749	27517	27367	27198	27003	26804	26604	26408	26225	26048	25860	25682	25523	25370	25237	25141	25095	25107	25145	25179	25215	25240	25242	25219	25167	25086	24974	24832	24672	24495	24312	24126	23940	23764	23593	23436	23281	23137	23005	22885	22766	22662	22561	22473	22391	22319	22250	22189	22133	22084	22040	21994	21952	21908	21858	21804	21742	21674	21598	21514	21425	21328	21230	21124	21015	20915	20810	20706	20607	20513	20424	20335	20255	20180	20113	20047	19984	19931	19874	19823	19775	19724	19677	19627	19581	19535	19482	19435	19382	19327	19265
1	           7	30653	30068	31786	31107	30281	30068	29851	29645	28239	28427	28113	27803	27570	27420	27251	27057	26858	26658	26462	26278	26101	25913	25735	25576	25422	25289	25193	25147	25159	25197	25231	25267	25292	25294	25271	25219	25138	25026	24883	24723	24546	24362	24177	23991	23815	23644	23487	23332	23186	23054	22934	22815	22710	22610	22522	22440	22368	22299	22238	22182	22133	22088	22043	22001	21957	21906	21853	21792	21722	21647	21563	21474	21376	21278	21172	21063	20963	20856	20753	20653	20559	20470	20382	20302	20227	20160	20094	20031	19978	19922	19870	19822	19771	19724	19674	19628	19582	19529	19484	19430	19374
1	           8	30586	30762	30169	31880	31199	30342	30118	29897	29691	28286	28473	28159	27848	27616	27466	27298	27104	26903	26704	26508	26324	26147	25958	25780	25620	25466	25333	25237	25190	25203	25241	25274	25311	25337	25339	25316	25264	25182	25070	24927	24766	24590	24406	24221	24035	23859	23687	23529	23374	23228	23096	22976	22857	22752	22652	22564	22482	22409	22341	22279	22223	22174	22129	22084	22043	21999	21948	21894	21833	21764	21688	21603	21514	21417	21319	21212	21103	21003	20896	20793	20694	20599	20510	20423	20343	20268	20200	20135	20072	20018	19963	19911	19862	19811	19765	19715	19667	19621	19569	19524	19470
1	           9	29574	30696	30867	30267	31976	31269	30402	30174	29953	29747	28340	28527	28212	27901	27670	27520	27351	27156	26955	26756	26560	26376	26199	26010	25831	25671	25518	25383	25288	25241	25254	25292	25324	25363	25388	25390	25367	25315	25233	25121	24977	24816	24639	24455	24270	24084	23908	23736	23578	23422	23276	23144	23023	22904	22800	22699	22611	22530	22456	22388	22327	22270	22221	22176	22131	22090	22046	21995	21941	21879	21811	21735	21649	21561	21463	21365	21258	21148	21050	20942	20840	20740	20645	20555	20468	20389	20313	20246	20180	20117	20064	20008	19956	19907	19856	19810	19760	19712	19666	19614	19569
