Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	28416	28640	28814	28947	29055	29117	29118	29069	28977	28859	28716	28561	28394	28232	28093	27969	27873	27815	27806	27836	27910	28016	28122	28197	28244	28281	28299	28295	28273	28237	28188	28141	28096	28050	28011	27974	27941	27911	27877	27841	27804	27764	27719	27672	27624	27576	27535	27497	27464	27441	27421	27414	27410	27411	27419	27428	27436	27441	27444	27442	27439	27428	27413	27395	27371	27347	27319	27291	27261	27228	27199	27169	27138	27111	27083	27057	27032	27008	26987	26968	26951	26934	26921	26911	26900	26894	26887	26881	26875	26869	26863	26857	26846	26836	26823	26810	26795	26778	26760
1	           1	29017	28894	27572	28591	28810	28959	29076	29178	29241	29241	29192	29101	28984	28841	28686	28519	28357	28218	28094	27999	27940	27931	27961	28036	28143	28248	28324	28371	28410	28428	28424	28402	28366	28317	28271	28226	28180	28140	28103	28071	28041	28007	27971	27934	27894	27850	27803	27754	27706	27665	27628	27594	27570	27550	27543	27540	27541	27550	27559	27567	27571	27575	27574	27571	27560	27545	27527	27503	27479	27451	27423	27394	27361	27332	27302	27271	27244	27215	27189	27164	27141	27120	27101	27085	27068	27054	27044	27033	27027	27020	27014	27008	27002	26996	26990	26979	26969	26956	26943	26929	26913
1	           2	29377	29234	29101	27764	28775	28961	29092	29202	29305	29367	29368	29319	29228	29111	28967	28811	28644	28483	28344	28220	28124	28066	28057	28086	28162	28269	28374	28451	28498	28537	28555	28552	28531	28494	28446	28398	28353	28307	28267	28230	28199	28169	28134	28098	28062	28021	27977	27931	27882	27834	27793	27756	27721	27697	27677	27670	27667	27668	27677	27685	27694	27698	27701	27701	27698	27687	27672	27653	27629	27607	27579	27550	27520	27488	27461	27429	27399	27372	27342	27317	27292	27269	27248	27229	27212	27195	27181	27171	27160	27154	27147	27141	27135	27129	27123	27117	27106	27096	27083	27070	27057
1	           3	29728	29572	29419	29272	27925	28905	29075	29200	29310	29414	29477	29479	29430	29339	29220	29076	28920	28754	28591	28451	28328	28232	28174	28165	28194	28270	28377	28482	28559	28606	28646	28663	28661	28640	28604	28556	28507	28463	28416	28376	28340	28308	28278	28244	28207	28171	28131	28087	28041	27991	27943	27902	27864	27829	27805	27785	27778	27775	27776	27785	27793	27802	27806	27809	27809	27806	27795	27779	27761	27737	27715	27687	27658	27628	27596	27570	27538	27507	27480	27450	27426	27400	27377	27356	27337	27320	27303	27289	27279	27269	27263	27256	27250	27244	27238	27232	27226	27215	27205	27192	27179
1	           4	30708	29906	29739	29573	29420	28037	29003	29167	29293	29402	29507	29569	29572	29523	29431	29313	29168	29012	28846	28682	28542	28419	28323	28264	28257	28286	28362	28469	28574	28651	28698	28738	28755	28753	28733	28697	28649	28601	28555	28509	28469	28432	28400	28371	28337	28300	28264	28224	28179	28133	28082	28034	27994	27955	27919	27895	27876	27868	27865	27867	27876	27885	27894	27898	27901	27901	27897	27887	27871	27853	27829	27807	27778	27749	27719	27688	27662	27630	27599	27571	27542	27518	27493	27470	27448	27429	27412	27395	27380	27370	27360	27354	27347	27341	27335	27329	27323	27318	27307	27297	27284
1	           5	31533	30867	30056	29878	29706	29518	28119	29080	29245	29370	29480	29585	29647	29650	29601	29509	29391	29245	29089	28924	28759	28619	28497	28401	28342	28336	28364	28440	28547	28652	28729	28777	28817	28833	28832	28812	28776	28728	28680	28633	28588	28547	28509	28477	28450	28415	28377	28341	28301	28256	28210	28159	28111	28071	28032	27995	27971	27953	27944	27941	27944	27954	27963	27972	27976	27979	27978	27974	27964	27948	27931	27907	27885	27856	27826	27796	27766	27739	27708	27677	27649	27620	27595	27570	27548	27526	27507	27490	27473	27458	27448	27438	27432	27425	27419	27413	27407	27401	27396	27385	27375
1	           6	29946	31673	31000	30180	29997	29791	29590	28185	29146	29312	29437	29547	29652	29714	29717	29669	29575	29458	29313	29157	28992	28827	28687	28565	28469	28409	28403	28431	28507	28615	28720	28798	28845	28886	28902	28901	28881	28845	28796	28748	28700	28655	28614	28576	28544	28517	28482	28444	28408	28368	28324	28277	28226	28179	28138	28099	28061	28037	28019	28010	28008	28011	28021	28030	28039	28043	28047	28046	28041	28031	28016	27999	27975	27952	27924	27894	27863	27833	27806	27775	27744	27716	27687	27662	27637	27615	27593	27574	27557	27540	27526	27516	27506	27500	27493	27487	27481	27475	27469	27464	27453
1	           7	30653	30068	31786	31107	30281	30068	29851	29646	28239	29201	29367	29493	29603	29707	29769	29772	29724	29631	29515	29370	29214	29049	28883	28743	28620	28524	28464	28458	28486	28563	28671	28777	28855	28902	28943	28958	28956	28936	28900	28852	28804	28756	28710	28670	28632	28600	28573	28537	28499	28464	28424	28380	28333	28282	28235	28194	28155	28117	28093	28075	28066	28064	28067	28077	28085	28094	28098	28103	28102	28098	28088	28073	28055	28031	28008	27980	27950	27919	27889	27863	27831	27800	27772	27743	27717	27693	27671	27649	27630	27613	27596	27583	27573	27563	27557	27550	27544	27537	27531	27525	27520
1	           8	30586	30762	30169	31880	31199	30342	30118	29897	29692	28286	29247	29414	29541	29651	29754	29816	29820	29771	29678	29562	29417	29261	29097	28930	28790	28667	28571	28511	28505	28533	28610	28719	28825	28902	28950	28991	29005	29003	28983	28947	28899	28851	28803	28758	28718	28680	28646	28619	28584	28547	28512	28471	28427	28380	28330	28282	28241	28202	28164	28140	28122	28113	28111	28114	28124	28132	28141	28145	28150	28149	28146	28136	28121	28103	28079	28056	28028	27998	27967	27937	27910	27879	27848	27820	27791	27765	27741	27719	27697	27678	27661	27644	27631	27621	27611	27605	27598	27592	27585	27579	27573
1	           9	29574	30696	30867	30267	31976	31269	30402	30174	29953	29748	28340	29300	29469	29596	29707	29810	29872	29876	29827	29734	29618	29473	29317	29153	28986	28846	28723	28627	28566	28560	28587	28664	28774	28880	28957	29005	29047	29061	29058	29039	29003	28955	28906	28857	28812	28773	28735	28700	28674	28639	28603	28567	28526	28482	28435	28386	28337	28296	28257	28219	28195	28177	28168	28166	28169	28179	28186	28196	28200	28205	28204	28201	28191	28176	28158	28135	28112	28084	28054	28023	27993	27965	27934	27903	27876	27848	27822	27797	27774	27752	27733	27716	27700	27687	27677	27667	27661	27653	27647	27640	27634
1	          10	28838	29687	30807	30972	30368	32056	31342	30469	30240	30019	29814	28403	29365	29535	29663	29774	29877	29939	29943	29893	29800	29685	29540	29384	29218	29051	28912	28788	28692	28631	28625	28651	28729	28839	28945	29022	29071	29113	29126	29123	29104	29068	29020	28972	28923	28878	28838	28800	28765	28739	28705	28668	28632	28591	28547	28500	28451	28402	28361	28322	28284	28260	28242	28233	28231	28234	28244	28252	28262	28266	28270	28269	28267	28257	28242	28224	28201	28178	28150	28120	28088	28058	28031	28000	27969	27942	27913	27887	27862	27839	27817	27798	27781	27764	27751	27741	27731	27725	27717	27711	27704
1	          11	28885	28936	29782	30897	31059	30436	32117	31400	30526	30295	30075	29869	28457	29419	29590	29717	29831	29933	29995	29999	29949	29857	29741	29596	29440	29274	29107	28967	28843	28747	28687	28680	28706	28785	28894	29001	29077	29127	29168	29182	29179	29160	29124	29076	29027	28978	28934	28894	28855	28821	28795	28761	28724	28688	28647	28603	28556	28507	28458	28417	28377	28339	28315	28297	28288	28285	28288	28298	28306	28316	28321	28326	28324	28322	28312	28297	28279	28257	28233	28205	28175	28143	28113	28086	28055	28024	27997	27968	27942	27917	27894	27872	27853	27836	27819	27806	27796	27786	27780	27772	27766
1	          12	28344	28968	29016	29855	30969	31113	30483	32161	31445	30571	30340	30119	29913	28500	29462	29633	29760	29875	29977	30039	30043	29994	29902	29786	29640	29484	29318	29151	29011	28887	28791	28731	28724	28750	28829	28938	29045	29121	29171	29212	29226	29223	29204	29168	29120	29071	29022	28978	28939	28899	28865	28839	28805	28769	28733	28691	28647	28600	28551	28503	28461	28421	28383	28359	28341	28332	28329	28332	28342	28350	28360	28365	28370	28368	28366	28357	28342	28324	28302	28278	28250	28220	28188	28158	28131	28100	28069	28042	28013	27987	27961	27938	27916	27897	27880	27863	27850	27841	27831	27825	27817
1	          13	27231	28427	29048	29091	29928	31025	31161	30529	32209	31492	30619	30388	30167	29960	28546	29508	29680	29807	29922	30025	30087	30091	30042	29950	29834	29687	29532	29364	29198	29058	28934	28838	28778	28771	28797	28876	28985	29093	29168	29218	29260	29274	29271	29252	29216	29168	29118	29069	29025	28986	28947	28912	28886	28852	28816	28780	28739	28695	28647	28598	28550	28508	28468	28430	28406	28388	28379	28377	28379	28389	28397	28407	28412	28417	28415	28413	28404	28389	28371	28349	28325	28297	28267	28236	28206	28179	28148	28117	28090	28061	28034	28008	27986	27964	27945	27928	27911	27898	27889	27879	27873
1	          14	27083	27316	28508	29125	29165	29986	31076	31209	30577	32256	31540	30668	30436	30214	30007	28594	29555	29728	29855	29970	30073	30136	30140	30091	29999	29882	29735	29580	29412	29247	29106	28982	28885	28826	28819	28846	28924	29033	29142	29216	29268	29310	29323	29320	29301	29265	29216	29167	29118	29074	29035	28996	28960	28935	28902	28865	28829	28788	28744	28695	28646	28598	28556	28516	28478	28454	28436	28427	28425	28427	28437	28445	28455	28460	28465	28463	28461	28452	28437	28419	28397	28373	28345	28315	28284	28254	28227	28196	28165	28138	28109	28082	28056	28035	28013	27994	27977	27960	27947	27938	27928
