Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	28416	28640	28814	28947	29055	29116	29118	29069	28976	28856	28716	28559	28391	28231	28091	27968	27869	27813	27801	27833	27907	28012	28117	28193	28240	28277	28293	28289	28266	28230	28184	28136	28086	28044	28003	27966	27932	27901	27867	27829	27791	27752	27708	27660	27612	27567	27521	27480	27451	27426	27408	27398	27396	27398	27404	27411	27419	27423	27426	27424	27420	27410	27394	27374	27353	27328	27299	27271	27239	27208	27177	27148	27118	27087	27062	27035	27009	26986	26963	26944	26926	26912	26896	26885	26877	26867	26859	26854	26848	26842	26833	26826	26816	26806	26793	26781	26764	26746	26728
1	           1	29017	28894	27572	28591	28810	28959	29076	29178	29240	29241	29192	29100	28981	28840	28684	28516	28356	28216	28093	27994	27938	27926	27958	28032	28137	28243	28320	28367	28405	28421	28417	28395	28359	28312	28265	28215	28173	28132	28095	28061	28030	27996	27958	27920	27882	27838	27789	27741	27696	27650	27610	27580	27554	27536	27526	27524	27527	27533	27541	27550	27554	27556	27554	27551	27541	27525	27505	27484	27459	27431	27403	27371	27340	27309	27280	27250	27218	27193	27166	27141	27118	27096	27076	27059	27044	27029	27018	27010	27000	26992	26987	26981	26975	26966	26959	26949	26940	26927	26915	26898	26880
1	           2	29377	29234	29101	27764	28775	28961	29092	29202	29305	29366	29368	29319	29227	29108	28966	28809	28641	28482	28342	28219	28119	28064	28052	28083	28158	28263	28369	28448	28494	28531	28548	28543	28523	28485	28441	28392	28342	28300	28259	28222	28189	28158	28123	28086	28047	28009	27965	27916	27868	27823	27777	27736	27706	27681	27663	27653	27651	27654	27660	27667	27676	27681	27683	27681	27678	27667	27651	27631	27612	27587	27558	27529	27497	27468	27435	27406	27377	27344	27320	27293	27268	27245	27222	27202	27186	27172	27157	27146	27138	27128	27120	27115	27109	27103	27094	27087	27077	27068	27055	27043	27026
1	           3	29728	29572	29419	29272	27925	28905	29075	29200	29310	29414	29476	29479	29430	29338	29217	29075	28918	28751	28590	28449	28327	28227	28172	28160	28191	28266	28371	28477	28556	28602	28640	28656	28652	28632	28594	28550	28500	28451	28409	28368	28332	28298	28267	28233	28195	28156	28118	28075	28026	27977	27932	27885	27844	27814	27789	27771	27761	27759	27762	27768	27775	27784	27789	27791	27789	27786	27775	27759	27739	27720	27695	27666	27637	27605	27576	27544	27514	27485	27452	27429	27401	27376	27353	27330	27310	27294	27280	27265	27254	27246	27236	27228	27223	27217	27211	27202	27195	27185	27176	27163	27151
1	           4	30708	29906	29739	29573	29420	28037	29003	29167	29293	29402	29507	29568	29572	29523	29430	29310	29167	29010	28843	28681	28540	28418	28318	28262	28251	28282	28358	28463	28569	28648	28694	28732	28748	28744	28725	28686	28643	28594	28543	28502	28461	28424	28390	28360	28326	28288	28249	28211	28168	28118	28069	28023	27976	27935	27904	27880	27862	27852	27850	27853	27859	27866	27876	27881	27883	27881	27878	27867	27851	27831	27812	27786	27757	27728	27697	27668	27636	27606	27576	27543	27520	27493	27468	27444	27421	27401	27385	27371	27355	27345	27336	27326	27319	27314	27308	27302	27294	27287	27277	27268	27255
1	           5	31533	30867	30056	29878	29706	29518	28119	29080	29245	29370	29480	29585	29646	29650	29601	29508	29388	29244	29087	28921	28758	28616	28496	28396	28340	28330	28360	28436	28541	28647	28726	28773	28811	28826	28823	28804	28765	28722	28673	28621	28581	28538	28501	28467	28438	28403	28365	28326	28289	28245	28195	28146	28100	28053	28011	27980	27956	27938	27928	27926	27929	27936	27944	27954	27959	27961	27959	27956	27945	27929	27909	27890	27864	27834	27805	27774	27745	27713	27683	27653	27620	27596	27569	27545	27521	27498	27478	27462	27448	27433	27423	27414	27404	27397	27392	27386	27380	27372	27365	27355	27346
1	           6	29946	31673	31000	30180	29997	29791	29590	28185	29146	29312	29437	29547	29652	29713	29717	29669	29574	29455	29312	29154	28989	28826	28684	28564	28464	28407	28397	28427	28503	28608	28715	28795	28841	28880	28895	28892	28873	28834	28790	28741	28688	28648	28605	28568	28534	28505	28470	28432	28393	28356	28312	28262	28213	28168	28120	28078	28046	28022	28005	27995	27993	27996	28003	28011	28021	28027	28029	28027	28024	28013	27997	27977	27958	27931	27901	27872	27840	27811	27779	27749	27719	27686	27662	27635	27612	27588	27565	27545	27529	27515	27500	27490	27481	27471	27464	27459	27453	27447	27439	27432	27422
1	           7	30653	30068	31786	31107	30281	30068	29851	29646	28239	29201	29367	29493	29603	29707	29768	29772	29724	29630	29511	29369	29211	29046	28882	28740	28619	28519	28462	28452	28482	28559	28664	28772	28852	28898	28937	28951	28947	28928	28889	28846	28797	28744	28702	28661	28624	28590	28560	28525	28488	28449	28412	28368	28318	28269	28224	28176	28134	28102	28078	28061	28052	28049	28052	28058	28066	28076	28082	28084	28082	28079	28068	28052	28032	28013	27986	27956	27927	27895	27867	27834	27804	27774	27742	27718	27691	27668	27644	27621	27601	27585	27571	27557	27547	27538	27528	27521	27516	27509	27503	27495	27488
1	           8	30586	30762	30169	31880	31199	30342	30118	29897	29692	28286	29247	29414	29541	29651	29754	29815	29819	29771	29677	29558	29416	29258	29094	28929	28787	28666	28566	28509	28499	28529	28606	28712	28820	28899	28946	28985	28998	28994	28975	28936	28893	28844	28791	28750	28709	28672	28636	28606	28572	28536	28496	28459	28415	28365	28317	28271	28223	28181	28149	28125	28109	28099	28096	28099	28105	28113	28123	28129	28131	28129	28126	28115	28099	28079	28060	28033	28003	27974	27942	27913	27882	27852	27822	27790	27766	27738	27716	27692	27669	27649	27633	27619	27605	27595	27586	27576	27569	27564	27557	27551	27543
1	           9	29574	30696	30867	30267	31976	31269	30402	30174	29953	29748	28340	29300	29469	29596	29706	29810	29871	29875	29827	29733	29614	29472	29314	29150	28985	28843	28722	28622	28564	28554	28583	28660	28767	28874	28953	29001	29041	29054	29050	29031	28992	28949	28899	28845	28804	28764	28727	28690	28661	28627	28592	28551	28514	28470	28420	28372	28325	28278	28236	28204	28180	28164	28154	28151	28154	28159	28167	28177	28183	28185	28183	28180	28170	28154	28134	28115	28088	28058	28030	27998	27968	27937	27907	27878	27847	27823	27794	27771	27747	27725	27705	27689	27675	27661	27651	27642	27632	27624	27619	27612	27606
1	          10	28838	29687	30807	30972	30368	32056	31342	30469	30240	30019	29814	28403	29365	29535	29663	29773	29877	29938	29942	29893	29799	29681	29539	29381	29215	29050	28909	28787	28687	28629	28619	28648	28725	28832	28939	29018	29067	29107	29119	29115	29096	29057	29014	28965	28911	28869	28829	28792	28755	28726	28692	28658	28616	28579	28535	28485	28437	28390	28343	28301	28269	28245	28229	28219	28216	28219	28224	28231	28241	28248	28250	28248	28245	28235	28219	28199	28180	28154	28124	28095	28063	28034	28003	27973	27944	27912	27888	27859	27836	27812	27790	27770	27755	27740	27726	27716	27707	27697	27689	27684	27677
1	          11	28885	28936	29782	30897	31059	30436	32117	31400	30526	30295	30075	29869	28457	29419	29590	29717	29829	29933	29994	29998	29949	29856	29737	29595	29437	29271	29106	28964	28842	28742	28685	28674	28703	28781	28887	28995	29073	29123	29162	29174	29171	29152	29113	29069	29020	28966	28925	28885	28847	28811	28782	28748	28714	28672	28635	28590	28541	28493	28446	28399	28356	28324	28300	28284	28274	28270	28273	28278	28285	28295	28302	28304	28303	28300	28290	28274	28254	28234	28208	28178	28150	28118	28089	28058	28028	27999	27967	27943	27914	27891	27867	27845	27825	27810	27795	27781	27771	27762	27752	27744	27739
