Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	28413	28635	28810	28939	29048	29111	29110	29058	28967	28846	28704	28548	28378	28217	28076	27951	27852	27796	27785	27815	27885	27990	28096	28167	28215	28248	28263	28258	28234	28194	28148	28097	28045	28002	27960	27924	27888	27853	27816	27780	27741	27698	27650	27602	27553	27503	27458	27418	27385	27357	27336	27325	27318	27317	27324	27330	27333	27337	27339	27338	27331	27319	27303	27280	27256	27228	27196	27166	27133	27100	27067	27034	27003	26971	26941	26913	26885	26859	26836	26814	26795	26777	26762	26748	26736	26727	26717	26711	26702	26692	26685	26676	26664	26651	26636	26622	26605	26584	26565
1	           1	29017	28894	27571	28587	28804	28954	29067	29170	29234	29232	29180	29090	28970	28827	28672	28502	28340	28199	28075	27976	27919	27908	27938	28008	28113	28220	28292	28340	28372	28389	28384	28360	28319	28273	28223	28171	28127	28085	28049	28013	27980	27942	27906	27867	27824	27775	27727	27678	27629	27582	27541	27510	27481	27460	27449	27443	27442	27449	27456	27459	27462	27465	27464	27457	27445	27429	27407	27383	27355	27323	27293	27260	27226	27193	27161	27130	27097	27068	27039	27010	26986	26963	26941	26922	26904	26888	26875	26863	26854	26844	26838	26829	26819	26812	26803	26791	26778	26764	26750	26733	26712
1	           2	29377	29234	29100	27763	28771	28956	29087	29193	29295	29360	29358	29305	29216	29096	28953	28797	28627	28466	28324	28200	28101	28044	28033	28062	28134	28238	28345	28417	28465	28498	28515	28510	28487	28446	28399	28349	28297	28253	28211	28176	28139	28106	28069	28032	27993	27950	27901	27853	27804	27755	27707	27666	27635	27606	27585	27574	27568	27567	27573	27580	27583	27587	27589	27588	27581	27569	27553	27531	27507	27480	27447	27417	27385	27351	27319	27287	27255	27222	27194	27165	27135	27111	27088	27066	27048	27029	27013	27000	26988	26979	26969	26963	26954	26944	26937	26928	26916	26903	26889	26875	26858
1	           3	29728	29572	29419	29271	27924	28901	29070	29195	29301	29404	29470	29467	29414	29325	29204	29062	28907	28735	28575	28432	28307	28209	28152	28141	28170	28242	28346	28453	28525	28574	28607	28624	28618	28596	28555	28507	28458	28405	28361	28319	28284	28247	28214	28177	28140	28101	28059	28009	27960	27911	27862	27814	27773	27742	27713	27692	27681	27675	27674	27680	27687	27690	27694	27696	27695	27688	27676	27660	27638	27614	27587	27554	27524	27491	27459	27426	27394	27362	27329	27301	27272	27243	27219	27196	27173	27156	27137	27121	27108	27096	27087	27077	27071	27062	27052	27045	27036	27024	27011	26996	26982
1	           4	30708	29906	29739	29573	29419	28036	28999	29162	29288	29393	29496	29562	29560	29507	29417	29296	29154	28999	28827	28667	28523	28397	28299	28242	28231	28261	28333	28437	28544	28616	28665	28698	28715	28710	28687	28648	28600	28549	28497	28453	28410	28375	28338	28306	28269	28232	28192	28151	28100	28050	28002	27952	27904	27863	27832	27804	27782	27771	27766	27765	27771	27779	27782	27786	27787	27786	27779	27767	27751	27730	27706	27678	27645	27615	27582	27550	27518	27486	27453	27420	27392	27363	27334	27310	27286	27263	27246	27227	27211	27198	27186	27177	27167	27161	27152	27142	27135	27126	27114	27101	27086
1	           5	31533	30867	30056	29878	29705	29517	28118	29076	29240	29365	29471	29574	29640	29638	29585	29495	29373	29231	29076	28905	28743	28599	28473	28376	28318	28308	28339	28410	28514	28621	28694	28742	28776	28793	28788	28765	28726	28678	28627	28575	28529	28486	28453	28415	28382	28346	28309	28269	28228	28177	28127	28079	28029	27980	27940	27909	27881	27859	27848	27843	27843	27849	27857	27859	27863	27864	27863	27856	27844	27828	27807	27784	27756	27722	27692	27659	27626	27594	27563	27530	27497	27468	27439	27410	27387	27363	27340	27323	27304	27288	27274	27262	27253	27244	27238	27229	27219	27212	27203	27190	27178
1	           6	29946	31673	31000	30179	29997	29790	29589	28184	29142	29307	29432	29538	29641	29707	29706	29652	29561	29441	29299	29143	28972	28809	28666	28540	28443	28384	28374	28405	28476	28580	28689	28762	28810	28843	28861	28856	28833	28793	28746	28694	28642	28596	28553	28520	28482	28449	28413	28376	28336	28295	28244	28195	28146	28096	28046	28007	27975	27947	27925	27915	27910	27910	27916	27925	27926	27930	27932	27931	27924	27912	27895	27873	27852	27823	27789	27759	27725	27692	27660	27629	27596	27563	27534	27505	27476	27453	27429	27406	27389	27370	27354	27340	27328	27319	27309	27303	27294	27284	27278	27269	27256
1	           7	30653	30068	31786	31107	30280	30068	29850	29645	28238	29197	29362	29488	29594	29696	29762	29761	29707	29617	29497	29355	29199	29028	28863	28721	28594	28498	28438	28428	28459	28532	28637	28746	28819	28867	28899	28917	28912	28889	28849	28802	28750	28696	28652	28609	28576	28537	28504	28469	28432	28392	28351	28300	28251	28202	28152	28102	28063	28031	28003	27981	27970	27965	27965	27971	27980	27981	27987	27987	27986	27979	27967	27950	27928	27908	27879	27844	27814	27780	27746	27715	27684	27651	27618	27588	27559	27531	27508	27484	27462	27445	27426	27410	27395	27383	27374	27364	27358	27349	27339	27333	27323
1	           8	30586	30762	30169	31880	31199	30341	30118	29896	29691	28285	29243	29409	29536	29642	29743	29809	29808	29753	29663	29543	29401	29245	29075	28909	28768	28641	28545	28485	28475	28506	28579	28685	28793	28866	28914	28947	28964	28959	28936	28896	28849	28797	28744	28700	28656	28622	28583	28552	28517	28479	28439	28398	28348	28298	28249	28199	28150	28110	28078	28050	28028	28017	28012	28012	28018	28027	28027	28033	28034	28033	28026	28014	27997	27975	27955	27925	27891	27861	27827	27793	27762	27730	27698	27665	27635	27606	27578	27555	27531	27509	27492	27473	27457	27442	27430	27421	27411	27405	27396	27386	27380
1	           9	29574	30696	30867	30267	31976	31269	30401	30174	29952	29747	28339	29297	29464	29591	29697	29798	29865	29863	29808	29718	29598	29456	29301	29131	28965	28824	28697	28601	28540	28530	28560	28633	28740	28848	28921	28969	29002	29020	29015	28992	28952	28904	28851	28799	28755	28711	28677	28638	28608	28572	28534	28494	28453	28404	28353	28304	28254	28205	28165	28132	28104	28082	28071	28066	28066	28072	28081	28081	28087	28088	28088	28081	28069	28052	28030	28010	27979	27945	27915	27882	27848	27817	27784	27753	27720	27690	27661	27633	27609	27585	27563	27546	27527	27511	27496	27484	27475	27465	27459	27450	27441
1	          10	28838	29687	30807	30972	30368	32056	31342	30468	30240	30018	29813	28402	29362	29529	29657	29763	29864	29931	29929	29874	29783	29665	29523	29368	29197	29030	28889	28762	28666	28605	28595	28625	28698	28805	28913	28987	29034	29068	29086	29080	29057	29018	28970	28917	28864	28820	28776	28743	28703	28673	28637	28599	28559	28518	28469	28418	28369	28319	28270	28230	28197	28169	28146	28135	28130	28130	28136	28145	28145	28152	28152	28152	28145	28133	28116	28094	28074	28044	28010	27980	27947	27912	27881	27848	27817	27784	27755	27725	27697	27673	27649	27626	27609	27590	27574	27559	27547	27538	27528	27522	27513
1	          11	28885	28936	29782	30897	31059	30436	32117	31400	30525	30295	30074	29868	28456	29416	29584	29711	29819	29919	29986	29984	29929	29839	29720	29578	29423	29252	29086	28944	28817	28721	28659	28649	28680	28753	28860	28969	29042	29090	29124	29141	29135	29112	29073	29025	28972	28920	28876	28832	28799	28758	28729	28693	28655	28615	28574	28525	28474	28425	28374	28325	28286	28253	28224	28201	28190	28185	28184	28190	28199	28199	28206	28206	28206	28199	28187	28170	28148	28128	28098	28064	28034	28001	27966	27935	27902	27871	27838	27809	27778	27750	27726	27703	27680	27663	27644	27628	27613	27601	27592	27582	27576
1	          12	28344	28968	29015	29854	30968	31113	30483	32161	31445	30570	30340	30118	29912	28499	29459	29627	29754	29862	29963	30030	30028	29973	29882	29764	29621	29466	29295	29129	28987	28860	28764	28702	28692	28723	28796	28903	29012	29085	29133	29167	29184	29178	29155	29117	29069	29017	28964	28920	28876	28843	28802	28774	28738	28699	28659	28618	28569	28519	28469	28418	28369	28330	28297	28268	28245	28234	28229	28228	28234	28243	28243	28250	28250	28250	28243	28231	28214	28192	28172	28142	28108	28077	28045	28010	27979	27946	27914	27881	27852	27821	27793	27770	27747	27724	27707	27688	27672	27656	27644	27635	27625
1	          13	27231	28427	29048	29090	29927	31024	31161	30529	32209	31492	30617	30388	30166	29959	28545	29505	29674	29801	29909	30011	30078	30076	30021	29930	29812	29668	29514	29341	29175	29034	28906	28810	28748	28738	28769	28842	28949	29058	29132	29179	29213	29231	29225	29202	29163	29115	29063	29009	28966	28921	28889	28848	28820	28784	28746	28706	28664	28615	28565	28515	28464	28415	28376	28343	28315	28292	28281	28276	28275	28281	28290	28290	28297	28297	28298	28291	28279	28261	28239	28219	28189	28155	28124	28092	28056	28025	27993	27961	27928	27899	27868	27840	27817	27793	27770	27753	27734	27718	27702	27690	27681
1	          14	27083	27316	28508	29125	29163	29984	31073	31209	30577	32256	31540	30666	30436	30213	30006	28592	29551	29721	29848	29956	30058	30126	30125	30070	29979	29860	29716	29562	29388	29224	29082	28954	28857	28796	28785	28817	28890	28996	29106	29179	29228	29262	29280	29274	29250	29211	29163	29111	29057	29014	28968	28937	28897	28868	28832	28794	28754	28711	28662	28612	28562	28511	28462	28423	28390	28362	28339	28328	28323	28322	28328	28337	28337	28344	28344	28345	28338	28326	28308	28286	28266	28236	28202	28171	28139	28103	28072	28040	28008	27975	27946	27915	27887	27865	27841	27818	27801	27782	27766	27750	27738
1	          15	28196	27175	27404	28589	29205	29225	30039	31124	31262	30629	32308	31592	30718	30488	30265	30059	28645	29603	29774	29901	30009	30111	30179	30178	30123	30032	29913	29769	29614	29441	29276	29134	29005	28909	28848	28837	28869	28942	29047	29158	29231	29279	29314	29332	29326	29302	29263	29215	29163	29108	29065	29020	28990	28950	28921	28885	28847	28806	28763	28714	28664	28615	28563	28514	28474	28441	28414	28391	28380	28375	28374	28380	28389	28389	28396	28396	28397	28390	28378	28360	28338	28318	28288	28254	28223	28192	28156	28124	28092	28061	28028	27998	27967	27939	27917	27893	27871	27854	27834	27818	27802
1	          16	29300	28295	27269	27491	28674	29273	29285	30096	31181	31319	30686	32366	31649	30776	30546	30323	30118	28701	29660	29831	29959	30067	30170	30237	30236	30182	30090	29971	29827	29672	29498	29334	29190	29062	28966	28906	28895	28926	28999	29104	29216	29288	29337	29372	29390	29384	29360	29321	29273	29221	29166	29122	29077	29047	29007	28978	28943	28905	28864	28821	28771	28721	28672	28620	28571	28531	28498	28471	28448	28437	28432	28431	28437	28447	28447	28454	28454	28455	28448	28435	28417	28396	28376	28346	28313	28281	28250	28215	28183	28151	28120	28087	28057	28026	27998	27977	27953	27930	27913	27893	27877
