Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	28413	28635	28810	28939	29048	29109	29109	29058	28966	28844	28701	28545	28376	28215	28072	27947	27848	27791	27776	27807	27876	27980	28085	28156	28202	28234	28249	28243	28218	28177	28127	28077	28026	27981	27936	27899	27862	27827	27788	27751	27710	27665	27616	27568	27516	27467	27420	27379	27342	27313	27291	27278	27271	27270	27273	27276	27280	27281	27282	27278	27266	27253	27235	27210	27184	27155	27122	27090	27056	27022	26987	26953	26919	26887	26854	26824	26794	26766	26741	26717	26694	26674	26659	26642	26628	26617	26604	26594	26584	26573	26561	26548	26536	26520	26504	26486	26466	26445	26422
1	           1	29017	28894	27571	28587	28804	28954	29067	29170	29231	29231	29180	29088	28967	28824	28668	28499	28338	28195	28070	27971	27913	27898	27929	27998	28102	28208	28280	28326	28357	28373	28367	28342	28301	28251	28201	28150	28104	28058	28022	27986	27950	27911	27874	27833	27787	27738	27690	27639	27588	27541	27500	27462	27433	27412	27400	27393	27392	27395	27398	27402	27404	27405	27401	27389	27376	27358	27333	27307	27278	27244	27212	27179	27145	27109	27076	27041	27008	26975	26946	26916	26888	26862	26838	26815	26796	26781	26764	26750	26739	26726	26716	26706	26695	26683	26670	26658	26642	26626	26608	26587	26566
1	           2	29377	29234	29100	27763	28771	28956	29087	29193	29295	29357	29357	29305	29214	29093	28949	28794	28624	28464	28320	28194	28096	28037	28023	28054	28124	28227	28333	28405	28451	28483	28500	28494	28469	28427	28377	28326	28275	28229	28184	28147	28111	28076	28036	27999	27957	27912	27863	27815	27764	27712	27665	27624	27586	27557	27535	27524	27517	27515	27518	27521	27525	27527	27529	27525	27514	27500	27481	27456	27430	27401	27367	27335	27302	27268	27232	27200	27164	27131	27099	27070	27039	27011	26985	26961	26938	26919	26904	26887	26873	26862	26849	26839	26829	26818	26806	26793	26781	26765	26747	26729	26709
1	           3	29728	29572	29419	29271	27924	28901	29070	29195	29301	29404	29467	29466	29414	29323	29201	29057	28904	28732	28573	28428	28301	28203	28145	28131	28162	28232	28335	28441	28513	28560	28591	28609	28602	28578	28536	28486	28435	28383	28338	28292	28255	28219	28184	28144	28107	28066	28020	27971	27923	27871	27820	27772	27731	27693	27664	27642	27631	27623	27621	27625	27628	27632	27634	27636	27632	27621	27607	27588	27563	27537	27507	27474	27442	27408	27375	27339	27307	27271	27238	27206	27177	27146	27118	27092	27066	27044	27025	27011	26994	26980	26969	26956	26946	26936	26925	26913	26899	26887	26870	26852	26834
1	           4	30708	29906	29739	29573	29419	28036	28999	29162	29288	29393	29496	29559	29559	29507	29415	29293	29149	28996	28824	28665	28519	28391	28293	28235	28221	28253	28323	28426	28532	28604	28651	28682	28700	28694	28671	28629	28578	28526	28476	28429	28383	28346	28311	28276	28236	28198	28158	28111	28061	28014	27961	27910	27861	27821	27782	27754	27732	27721	27714	27711	27715	27718	27722	27724	27726	27722	27711	27697	27678	27653	27627	27598	27564	27533	27499	27465	27429	27397	27361	27327	27296	27267	27235	27207	27181	27155	27133	27114	27100	27083	27069	27058	27045	27035	27025	27014	27002	26988	26976	26959	26941
1	           5	31533	30867	30056	29878	29705	29517	28118	29076	29240	29365	29471	29574	29637	29637	29585	29493	29371	29226	29073	28902	28741	28595	28467	28370	28311	28298	28331	28400	28503	28609	28682	28728	28760	28778	28772	28749	28707	28656	28604	28554	28505	28459	28423	28387	28352	28312	28274	28234	28187	28137	28090	28037	27986	27937	27897	27858	27830	27807	27796	27789	27786	27791	27794	27798	27801	27803	27799	27788	27774	27755	27729	27703	27674	27641	27609	27575	27541	27505	27472	27436	27403	27372	27342	27309	27282	27256	27231	27209	27190	27176	27159	27145	27134	27121	27111	27101	27090	27077	27063	27051	27035
1	           6	29946	31673	31000	30179	29997	29790	29589	28184	29142	29307	29432	29538	29641	29705	29705	29652	29559	29439	29294	29140	28969	28807	28662	28534	28437	28377	28364	28397	28466	28569	28677	28749	28796	28827	28846	28840	28817	28774	28723	28670	28620	28571	28525	28489	28453	28418	28378	28340	28300	28253	28204	28156	28103	28051	28003	27962	27923	27895	27872	27862	27855	27852	27858	27861	27865	27868	27870	27866	27855	27841	27822	27795	27769	27739	27706	27674	27640	27606	27570	27537	27501	27468	27437	27407	27374	27347	27321	27297	27274	27255	27241	27224	27210	27199	27186	27176	27166	27155	27142	27128	27116
1	           7	30653	30068	31786	31107	30280	30068	29850	29645	28238	29197	29362	29488	29594	29696	29760	29760	29707	29615	29495	29350	29196	29025	28861	28717	28588	28492	28431	28418	28451	28521	28625	28733	28804	28852	28882	28901	28895	28873	28829	28778	28724	28674	28626	28580	28543	28507	28473	28433	28394	28355	28308	28259	28211	28158	28106	28058	28017	27978	27949	27926	27916	27909	27906	27912	27915	27919	27922	27924	27920	27909	27895	27876	27849	27823	27793	27759	27728	27694	27660	27624	27590	27555	27522	27491	27461	27428	27401	27375	27352	27329	27309	27295	27278	27263	27253	27241	27230	27220	27208	27195	27181
1	           8	30586	30762	30169	31880	31199	30341	30118	29896	29691	28285	29243	29409	29536	29642	29743	29807	29807	29753	29661	29541	29396	29242	29072	28908	28763	28634	28539	28477	28464	28497	28567	28672	28779	28851	28898	28929	28947	28941	28919	28875	28824	28770	28721	28673	28625	28588	28553	28520	28479	28440	28401	28355	28305	28257	28204	28153	28103	28063	28024	27995	27972	27962	27955	27952	27958	27961	27965	27968	27970	27966	27955	27941	27922	27895	27869	27839	27805	27774	27739	27705	27670	27636	27601	27567	27537	27507	27474	27447	27421	27398	27375	27355	27341	27323	27308	27298	27286	27276	27266	27254	27240
1	           9	29574	30696	30867	30267	31976	31269	30401	30174	29952	29747	28339	29297	29464	29591	29697	29798	29863	29862	29808	29716	29596	29451	29297	29127	28963	28818	28689	28594	28531	28518	28550	28620	28725	28832	28905	28952	28983	29002	28996	28974	28930	28877	28823	28776	28727	28679	28642	28608	28574	28533	28494	28455	28410	28359	28311	28258	28207	28156	28116	28077	28049	28025	28015	28008	28005	28011	28014	28018	28021	28023	28019	28008	27994	27975	27948	27923	27894	27860	27829	27793	27759	27725	27691	27656	27621	27591	27561	27529	27502	27476	27452	27428	27409	27395	27377	27362	27352	27340	27330	27320	27308
1	          10	28838	29687	30807	30972	30368	32056	31342	30468	30240	30018	29813	28402	29362	29529	29657	29763	29864	29929	29928	29874	29781	29662	29517	29363	29192	29027	28882	28753	28658	28595	28582	28614	28684	28789	28896	28970	29016	29048	29067	29061	29039	28995	28942	28888	28840	28791	28744	28706	28672	28638	28597	28558	28519	28474	28423	28375	28322	28271	28220	28180	28142	28114	28090	28080	28073	28070	28075	28079	28082	28086	28088	28084	28073	28059	28040	28013	27988	27959	27924	27893	27857	27823	27790	27756	27720	27685	27655	27625	27593	27566	27539	27515	27491	27472	27458	27440	27425	27415	27403	27394	27384
1	          11	28885	28936	29782	30897	31059	30436	32117	31400	30525	30295	30074	29868	28456	29416	29584	29711	29819	29919	29984	29983	29929	29837	29717	29572	29418	29247	29082	28936	28807	28712	28648	28635	28668	28738	28843	28950	29024	29071	29103	29121	29115	29093	29049	28996	28943	28895	28846	28799	28760	28727	28693	28652	28613	28574	28529	28478	28430	28376	28326	28275	28235	28195	28167	28143	28133	28126	28123	28128	28132	28135	28139	28141	28137	28126	28112	28093	28066	28041	28012	27977	27946	27910	27876	27843	27809	27773	27737	27708	27678	27646	27618	27592	27568	27544	27525	27511	27493	27478	27468	27456	27447
1	          12	28344	28968	29015	29854	30968	31113	30483	32161	31445	30570	30340	30118	29912	28499	29459	29627	29754	29862	29963	30028	30027	29973	29880	29761	29616	29461	29290	29125	28979	28850	28755	28691	28678	28711	28781	28886	28993	29067	29114	29146	29164	29158	29136	29092	29039	28987	28938	28889	28842	28803	28771	28737	28695	28656	28617	28572	28522	28473	28419	28369	28318	28278	28238	28210	28186	28176	28169	28166	28171	28174	28178	28182	28184	28180	28169	28155	28136	28109	28084	28055	28020	27989	27953	27918	27886	27851	27815	27779	27750	27720	27688	27660	27634	27609	27586	27567	27553	27535	27520	27510	27498
1	          13	27231	28427	29048	29090	29927	31024	31161	30529	32209	31492	30617	30387	30166	29959	28545	29505	29674	29801	29909	30011	30076	30075	30021	29928	29809	29663	29509	29337	29171	29026	28896	28801	28737	28724	28757	28827	28932	29039	29114	29160	29192	29211	29205	29183	29138	29085	29032	28983	28935	28887	28849	28817	28783	28742	28702	28663	28618	28568	28519	28465	28415	28364	28324	28284	28255	28231	28221	28214	28211	28216	28219	28224	28228	28230	28226	28215	28201	28182	28155	28130	28100	28065	28034	27999	27964	27932	27897	27861	27825	27795	27765	27733	27705	27680	27655	27632	27613	27599	27581	27566	27556
1	          14	27083	27316	28508	29125	29163	29984	31073	31209	30577	32256	31540	30666	30435	30213	30006	28592	29551	29721	29848	29956	30058	30124	30123	30069	29976	29856	29710	29556	29384	29219	29073	28942	28847	28784	28770	28803	28874	28978	29087	29161	29207	29240	29259	29253	29230	29185	29132	29079	29030	28981	28934	28897	28864	28830	28789	28748	28709	28664	28615	28565	28511	28461	28410	28371	28331	28302	28278	28268	28261	28258	28263	28266	28271	28275	28277	28273	28262	28248	28229	28202	28177	28147	28112	28081	28046	28011	27979	27944	27908	27872	27842	27812	27780	27752	27727	27702	27679	27660	27646	27628	27613
1	          15	28196	27175	27404	28589	29205	29225	30039	31124	31262	30629	32308	31592	30718	30487	30265	30058	28645	29603	29774	29901	30009	30111	30177	30176	30122	30029	29909	29763	29608	29437	29271	29125	28994	28899	28836	28822	28855	28926	29029	29138	29213	29258	29291	29311	29305	29282	29237	29184	29130	29081	29033	28986	28949	28916	28882	28841	28799	28760	28715	28666	28617	28562	28512	28460	28421	28382	28354	28330	28320	28313	28310	28314	28317	28322	28326	28328	28324	28313	28299	28280	28253	28228	28199	28164	28132	28097	28063	28031	27995	27959	27923	27894	27863	27831	27803	27778	27753	27730	27711	27697	27679
1	          16	29300	28295	27269	27491	28674	29273	29285	30096	31181	31319	30686	32366	31649	30776	30544	30322	30117	28701	29660	29831	29959	30067	30170	30235	30234	30181	30087	29967	29821	29666	29494	29329	29181	29051	28956	28893	28879	28911	28982	29085	29195	29269	29314	29348	29368	29362	29339	29294	29241	29187	29138	29089	29042	29005	28972	28939	28898	28856	28816	28771	28722	28673	28618	28568	28516	28477	28438	28410	28386	28376	28369	28366	28370	28373	28378	28382	28384	28381	28370	28356	28336	28309	28284	28256	28221	28189	28154	28120	28088	28052	28016	27981	27951	27920	27888	27860	27835	27810	27787	27768	27754
1	          17	30279	29405	28396	27362	27581	28748	29338	29346	30157	31244	31382	30749	32429	31714	30839	30607	30385	30181	28765	29724	29896	30024	30131	30235	30299	30298	30245	30150	30032	29885	29731	29559	29392	29245	29114	29020	28957	28942	28974	29046	29149	29258	29333	29378	29412	29432	29426	29403	29358	29305	29251	29202	29153	29106	29069	29036	29003	28961	28919	28879	28835	28785	28736	28681	28631	28579	28540	28501	28473	28449	28440	28433	28430	28434	28437	28442	28446	28448	28445	28434	28420	28400	28373	28348	28320	28285	28253	28217	28183	28151	28115	28080	28045	28014	27983	27951	27923	27898	27873	27850	27831
1	          18	31162	30468	29586	28564	27523	27722	28876	29463	29472	30282	31371	31511	30878	32557	31844	30969	30736	30514	30310	28892	29851	30023	30151	30260	30363	30426	30426	30373	30277	30160	30013	29858	29686	29519	29373	29241	29147	29084	29069	29101	29173	29276	29385	29460	29505	29538	29559	29553	29530	29485	29432	29378	29330	29280	29233	29197	29164	29131	29088	29047	29006	28962	28912	28863	28808	28758	28706	28667	28628	28600	28576	28567	28560	28557	28561	28564	28569	28573	28575	28572	28561	28547	28527	28500	28475	28447	28412	28380	28344	28309	28277	28241	28206	28171	28140	28109	28075	28048	28023	27998	27975
1	          19	33677	31908	31182	30273	29229	28155	28316	29462	30062	30077	30888	31989	32141	31509	33181	32486	31603	31362	31136	30931	29510	30454	30636	30765	30875	30979	31043	31043	30990	30894	30776	30627	30471	30297	30127	29979	29846	29751	29687	29671	29703	29776	29880	29989	30066	30112	30145	30167	30162	30138	30093	30040	29984	29936	29885	29838	29801	29767	29734	29690	29649	29607	29562	29512	29463	29407	29357	29303	29264	29224	29196	29173	29164	29156	29153	29157	29160	29164	29168	29170	29168	29158	29142	29122	29095	29069	29041	29006	28973	28937	28900	28869	28833	28797	28761	28730	28699	28664	28636	28612	28586
