Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27420	28538	28868	29154	29399	29628	29818	29941	30017	30047	30042	30010	29960	29886	29813	29749	29695	29658	29659	29694	29768	29886	30032	30178	30293	30382	30461	30524	30572	30602	30628	30645	30665	30689	30719	30758	30805	30856	30908	30958	31008	31053	31093	31125	31155	31176	31198	31218	31241	31262	31290	31325	31364	31408	31454	31505	31558	31611	31664	31716	31764	31812	31854	31898	31936	31973	32006	32046	32077	32110	32144	32178	32211	32244	32273	32306	32338	32369	32402	32431	32462	32497	32528	32561	32598	32633	32669	32708	32746	32784	32823	32860	32898	32938	32973	33011	33045	33080	33111	33141
1	           1	29017	28921	27661	28766	29091	29351	29582	29805	29997	30120	30197	30228	30224	30191	30141	30068	29994	29930	29877	29839	29841	29876	29950	30068	30215	30361	30477	30567	30646	30709	30758	30788	30815	30832	30852	30876	30906	30945	30992	31043	31097	31147	31196	31241	31282	31314	31344	31365	31388	31409	31431	31453	31481	31516	31555	31599	31645	31697	31750	31803	31856	31909	31957	32005	32048	32091	32129	32166	32201	32241	32272	32305	32339	32373	32406	32439	32468	32502	32534	32565	32599	32628	32659	32694	32725	32758	32795	32830	32865	32906	32944	32982	33021	33059	33097	33137	33172	33210	33244	33279	33310
1	           2	29377	29265	29190	27914	29012	29305	29547	29771	29994	30187	30311	30387	30418	30415	30383	30332	30260	30186	30122	30068	30031	30033	30068	30142	30259	30406	30553	30670	30760	30841	30904	30952	30983	31011	31027	31047	31071	31102	31140	31188	31240	31293	31344	31391	31437	31479	31510	31541	31562	31585	31606	31628	31651	31679	31714	31753	31796	31843	31895	31949	32001	32055	32108	32156	32204	32247	32290	32328	32367	32400	32442	32473	32506	32540	32574	32607	32640	32669	32703	32735	32766	32800	32829	32861	32897	32928	32960	32999	33032	33067	33109	33146	33186	33224	33263	33301	33341	33376	33414	33448	33483
1	           3	29728	29601	29506	29417	28134	29199	29477	29713	29938	30162	30354	30478	30554	30585	30583	30551	30501	30428	30354	30290	30236	30200	30201	30236	30310	30428	30575	30723	30839	30930	31011	31074	31122	31153	31181	31198	31218	31241	31272	31311	31360	31411	31465	31516	31563	31609	31651	31682	31714	31734	31757	31778	31800	31823	31851	31886	31925	31968	32016	32068	32122	32174	32228	32282	32330	32379	32422	32465	32503	32542	32575	32617	32648	32681	32715	32750	32782	32816	32845	32878	32911	32942	32975	33005	33037	33074	33105	33137	33175	33209	33243	33285	33323	33362	33401	33440	33479	33518	33554	33591	33626
1	           4	30708	29931	29820	29713	29616	28299	29349	29622	29857	30084	30308	30499	30623	30700	30730	30728	30697	30647	30573	30499	30436	30382	30346	30347	30382	30456	30574	30721	30869	30987	31078	31159	31222	31270	31301	31329	31346	31366	31389	31420	31459	31508	31560	31614	31665	31712	31758	31800	31831	31863	31884	31906	31928	31951	31973	32000	32037	32075	32119	32167	32219	32273	32325	32379	32433	32481	32530	32573	32616	32654	32693	32726	32769	32799	32832	32867	32901	32933	32968	32997	33030	33063	33094	33127	33158	33189	33227	33258	33290	33327	33362	33396	33438	33476	33515	33554	33593	33632	33671	33707	33744
1	           5	31533	30891	30128	30005	29894	29762	28428	29474	29747	29983	30210	30435	30626	30750	30827	30857	30855	30824	30774	30700	30625	30563	30509	30472	30473	30509	30583	30701	30848	30996	31114	31205	31287	31350	31397	31430	31459	31476	31495	31517	31549	31589	31638	31689	31744	31795	31842	31888	31930	31961	31993	32014	32036	32058	32081	32103	32130	32167	32205	32250	32298	32349	32403	32455	32509	32563	32613	32660	32705	32748	32784	32825	32858	32899	32931	32964	32999	33033	33065	33100	33129	33162	33195	33226	33259	33290	33321	33359	33390	33422	33459	33494	33528	33570	33608	33647	33686	33726	33765	33804	33841
1	           6	29946	31694	31066	30294	30165	30022	29877	28538	29584	29858	30093	30321	30547	30738	30862	30939	30968	30966	30935	30886	30812	30737	30675	30620	30583	30584	30621	30694	30812	30961	31108	31227	31318	31400	31463	31511	31543	31572	31590	31609	31631	31663	31702	31751	31802	31857	31909	31956	32002	32045	32075	32107	32128	32151	32173	32194	32216	32245	32282	32318	32365	32413	32464	32518	32570	32624	32678	32728	32775	32821	32863	32899	32941	32974	33014	33047	33079	33114	33148	33180	33215	33244	33277	33311	33341	33374	33405	33437	33474	33507	33538	33575	33611	33645	33686	33725	33764	33802	33843	33883	33921
1	           7	30653	30086	31846	31212	30433	30274	30120	29971	28631	29678	29952	30186	30415	30641	30833	30958	31035	31064	31062	31031	30982	30907	30832	30770	30715	30679	30679	30716	30789	30907	31056	31203	31322	31413	31496	31559	31608	31640	31668	31687	31706	31728	31759	31799	31847	31899	31954	32006	32053	32099	32142	32172	32205	32226	32248	32270	32291	32313	32342	32379	32415	32462	32511	32562	32616	32668	32722	32776	32826	32874	32920	32961	32998	33040	33073	33112	33146	33178	33213	33247	33279	33314	33343	33376	33410	33440	33473	33504	33536	33573	33607	33638	33674	33711	33745	33786	33825	33864	33902	33943	33983
1	           8	30586	30777	30221	31975	31337	30528	30359	30201	30051	28711	29757	30033	30266	30495	30722	30915	31040	31116	31146	31144	31113	31064	30988	30914	30852	30797	30761	30761	30797	30871	30989	31139	31286	31405	31496	31579	31642	31691	31723	31751	31770	31789	31811	31842	31882	31930	31982	32037	32089	32136	32182	32225	32255	32288	32309	32331	32353	32375	32396	32426	32462	32499	32545	32595	32646	32700	32753	32806	32860	32911	32958	33005	33046	33082	33125	33158	33197	33231	33263	33298	33332	33364	33399	33428	33461	33496	33524	33558	33589	33621	33657	33692	33723	33760	33796	33830	33872	33911	33949	33987	34029
1	           9	29574	30711	30912	30350	32102	31438	30619	30446	30288	30138	28797	29841	30118	30353	30582	30809	31002	31127	31203	31233	31232	31201	31152	31077	31002	30940	30885	30849	30849	30885	30959	31077	31227	31375	31494	31585	31668	31732	31780	31812	31840	31860	31879	31901	31932	31971	32019	32072	32127	32178	32226	32272	32315	32344	32378	32400	32422	32443	32465	32486	32516	32552	32589	32635	32685	32736	32791	32844	32897	32951	33002	33049	33096	33137	33173	33216	33249	33288	33322	33354	33389	33423	33455	33491	33520	33552	33587	33615	33650	33681	33713	33748	33784	33815	33852	33888	33922	33964	34003	34041	34079
1	          10	28838	29702	30849	31045	30480	32211	31539	30715	30543	30384	30233	28891	29935	30213	30448	30677	30905	31098	31224	31300	31331	31330	31299	31250	31175	31100	31037	30983	30947	30947	30983	31057	31175	31325	31473	31592	31684	31766	31832	31879	31911	31939	31960	31979	32001	32032	32071	32119	32172	32227	32278	32326	32372	32415	32444	32478	32500	32521	32542	32564	32586	32616	32652	32689	32735	32785	32837	32892	32944	32999	33052	33103	33151	33198	33238	33275	33318	33351	33390	33424	33456	33491	33525	33557	33593	33622	33654	33689	33717	33752	33783	33815	33850	33887	33918	33954	33990	34025	34067	34106	34143
1	          11	28885	28950	29824	30966	31158	30574	32299	31623	30798	30627	30467	30317	28972	30016	30295	30531	30761	30988	31182	31307	31384	31415	31414	31384	31335	31260	31184	31122	31067	31031	31032	31069	31142	31260	31410	31559	31677	31769	31852	31918	31965	31997	32025	32046	32065	32088	32118	32157	32205	32258	32314	32364	32412	32459	32501	32531	32565	32585	32608	32629	32651	32673	32703	32739	32776	32822	32872	32924	32979	33031	33086	33139	33190	33238	33285	33326	33363	33405	33438	33478	33512	33545	33580	33612	33645	33681	33711	33743	33778	33806	33840	33871	33904	33939	33976	34007	34042	34079	34114	34156	34195
1	          12	28344	28980	29054	29924	31061	31238	30648	32368	31694	30868	30697	30536	30386	29040	30085	30365	30601	30831	31058	31252	31377	31454	31484	31483	31453	31404	31329	31253	31191	31136	31100	31102	31139	31212	31330	31481	31630	31748	31840	31923	31989	32036	32068	32096	32117	32136	32159	32189	32228	32276	32329	32387	32435	32483	32530	32572	32603	32637	32656	32679	32700	32723	32745	32776	32811	32848	32894	32945	32997	33052	33103	33159	33212	33263	33311	33358	33399	33436	33478	33511	33551	33585	33618	33653	33685	33718	33754	33784	33816	33851	33879	33913	33944	33977	34012	34049	34080	34115	34152	34187	34229
1	          13	27231	28439	29085	29154	30022	31141	31312	30717	32439	31764	30939	30768	30608	30457	29110	30155	30436	30673	30903	31129	31323	31448	31525	31555	31554	31524	31475	31400	31324	31262	31207	31171	31173	31210	31284	31402	31553	31703	31821	31913	31995	32062	32109	32141	32168	32190	32209	32233	32263	32302	32350	32403	32461	32509	32557	32604	32646	32677	32711	32730	32752	32773	32796	32818	32849	32885	32922	32968	33019	33071	33126	33177	33233	33286	33337	33385	33432	33474	33510	33553	33585	33625	33659	33693	33728	33761	33793	33828	33858	33890	33926	33955	33989	34020	34052	34087	34125	34156	34191	34228	34263
1	          14	27083	27329	28545	29186	29253	30104	31216	31385	30791	32511	31837	31012	30841	30681	30529	29182	30227	30509	30747	30976	31203	31397	31522	31599	31630	31628	31598	31550	31475	31398	31336	31281	31246	31248	31285	31358	31476	31629	31778	31896	31988	32069	32137	32184	32216	32244	32266	32285	32309	32339	32378	32425	32479	32536	32584	32632	32679	32721	32752	32786	32805	32827	32848	32871	32894	32925	32963	33000	33044	33097	33149	33204	33254	33311	33364	33415	33463	33510	33552	33588	33631	33663	33703	33737	33771	33806	33839	33871	33906	33936	33968	34004	34033	34068	34098	34130	34166	34204	34235	34270	34307
1	          15	28196	27189	27444	28655	29292	29342	30185	31294	31464	30869	32591	31916	31091	30921	30760	30609	29260	30306	30588	30825	31056	31283	31476	31602	31679	31710	31708	31678	31630	31555	31478	31416	31361	31326	31328	31365	31438	31557	31710	31859	31977	32069	32150	32218	32265	32297	32325	32347	32366	32390	32420	32459	32507	32560	32617	32665	32713	32761	32803	32834	32867	32886	32908	32930	32953	32976	33007	33045	33083	33127	33179	33231	33286	33337	33394	33446	33498	33545	33593	33635	33671	33715	33746	33785	33820	33855	33890	33924	33956	33991	34021	34052	34088	34118	34153	34183	34215	34251	34288	34320	34355
1	          16	29300	28308	27311	27558	28767	29388	29428	30269	31377	31548	30954	32676	32001	31176	31006	30845	30694	29345	30390	30673	30910	31141	31368	31561	31687	31764	31795	31793	31763	31717	31641	31564	31502	31447	31412	31414	31451	31524	31643	31796	31945	32063	32156	32236	32304	32352	32384	32412	32434	32453	32477	32507	32545	32593	32647	32705	32752	32800	32848	32890	32922	32955	32975	32997	33019	33041	33065	33096	33134	33172	33216	33268	33320	33375	33426	33483	33535	33587	33634	33682	33724	33760	33804	33835	33874	33909	33944	33979	34013	34045	34080	34110	34141	34177	34207	34242	34272	34304	34340	34377	34410
1	          17	30279	29422	28440	27435	27679	28872	29484	29521	30362	31471	31643	31048	32771	32096	31271	31101	30939	30790	29440	30484	30768	31004	31236	31463	31656	31782	31860	31891	31890	31860	31814	31737	31660	31599	31544	31509	31511	31547	31620	31740	31892	32042	32159	32253	32333	32401	32448	32481	32509	32531	32550	32575	32605	32643	32691	32745	32803	32850	32898	32946	32988	33020	33053	33073	33095	33117	33139	33163	33195	33232	33271	33315	33367	33418	33473	33525	33582	33634	33685	33732	33781	33823	33860	33904	33935	33974	34008	34043	34079	34113	34145	34180	34210	34241	34277	34307	34342	34372	34404	34440	34477
1	          18	31162	30490	29649	28655	27644	27868	29049	29656	29692	30535	31644	31818	31225	32947	32274	31448	31276	31115	30966	29616	30659	30943	31179	31412	31641	31834	31960	32038	32069	32068	32038	31993	31916	31839	31778	31722	31686	31688	31724	31798	31918	32070	32221	32337	32432	32513	32580	32626	32661	32690	32711	32731	32756	32786	32823	32872	32926	32984	33031	33079	33128	33169	33201	33235	33255	33277	33298	33320	33344	33376	33412	33451	33497	33549	33600	33655	33707	33765	33817	33867	33914	33964	34006	34043	34087	34117	34156	34191	34226	34262	34296	34328	34363	34392	34425	34460	34490	34526	34555	34587	34623
1	          19	33677	31952	31293	30425	29412	28366	28553	29727	30347	30389	31233	32354	32541	31949	33666	33009	32177	31995	31833	31684	30332	31361	31655	31894	32130	32361	32556	32684	32764	32795	32794	32765	32719	32642	32565	32504	32446	32410	32411	32448	32523	32645	32798	32951	33068	33165	33247	33315	33361	33397	33427	33449	33468	33494	33524	33561	33610	33665	33723	33771	33820	33870	33911	33943	33977	33998	34021	34042	34065	34090	34122	34159	34198	34244	34297	34349	34404	34457	34516	34568	34618	34666	34718	34759	34796	34842	34871	34911	34947	34982	35018	35054	35086	35122	35151	35185	35220	35250	35287	35316	35348
1	          20	34653	34805	33105	32404	31509	30456	29356	29525	30711	31345	31392	32245	33384	33578	32982	34711	34058	33215	33027	32863	32712	31346	32377	32679	32921	33160	33397	33594	33724	33805	33837	33836	33806	33760	33681	33605	33542	33485	33448	33450	33486	33563	33688	33842	33998	34117	34216	34300	34369	34415	34453	34483	34506	34525	34551	34582	34619	34669	34723	34783	34832	34882	34932	34974	35006	35042	35062	35087	35109	35132	35157	35191	35228	35268	35314	35367	35420	35477	35531	35591	35643	35695	35743	35796	35837	35876	35923	35952	35993	36030	36064	36101	36138	36170	36207	36236	36271	36307	36337	36374	36404
1	          21	35175	35470	35669	33930	33207	32279	31175	30049	30217	31410	32049	32100	32958	34106	34302	33704	35440	34789	33941	33749	33586	33434	32060	33092	33398	33643	33883	34121	34319	34452	34533	34565	34564	34534	34488	34409	34332	34269	34212	34176	34178	34214	34292	34418	34572	34730	34850	34950	35034	35105	35152	35190	35220	35243	35262	35288	35320	35357	35407	35462	35522	35571	35622	35672	35715	35747	35784	35804	35830	35852	35875	35900	35935	35971	36012	36057	36112	36165	36224	36278	36338	36390	36443	36491	36545	36586	36625	36672	36702	36743	36780	36814	36851	36888	36921	36958	36988	37024	37061	37091	37128
1	          22	36261	35841	36192	36351	34590	33835	32852	31725	30595	30763	31959	32602	32653	33514	34665	34863	34266	36003	35353	34504	34310	34148	33994	32618	33652	33959	34205	34445	34683	34882	35016	35098	35130	35129	35099	35054	34974	34897	34833	34777	34741	34743	34779	34857	34983	35139	35298	35418	35518	35603	35675	35721	35759	35789	35812	35831	35857	35891	35927	35978	36032	36093	36143	36194	36243	36287	36319	36357	36377	36402	36427	36449	36474	36509	36545	36586	36632	36687	36740	36798	36853	36914	36966	37019	37067	37121	37163	37202	37249	37280	37320	37358	37392	37428	37466	37499	37537	37566	37603	37640	37671
1	          23	36791	36900	36545	36851	36986	35192	34377	33369	32243	31113	31282	32479	33124	33173	34036	35189	35386	34788	36525	35874	35026	34832	34670	34517	33140	34175	34482	34728	34968	35206	35404	35541	35624	35655	35654	35624	35579	35499	35422	35358	35303	35267	35269	35305	35382	35508	35665	35824	35944	36043	36128	36202	36247	36286	36316	36339	36358	36384	36418	36454	36504	36558	36621	36671	36722	36770	36814	36846	36884	36905	36930	36954	36976	37001	37037	37073	37115	37161	37216	37269	37327	37382	37444	37496	37548	37596	37651	37693	37731	37779	37810	37850	37889	37923	37958	37996	38030	38067	38096	38133	38170
1	          24	38808	37283	37469	37062	37343	37447	35590	34753	33750	32626	31501	31671	32868	33509	33558	34420	35570	35766	35167	36903	36250	35404	35212	35051	34898	33522	34561	34865	35110	35349	35587	35785	35921	36003	36034	36033	36004	35959	35879	35803	35739	35684	35649	35652	35687	35764	35890	36046	36205	36325	36424	36507	36580	36626	36666	36695	36719	36737	36764	36797	36834	36883	36937	37000	37050	37101	37149	37193	37225	37262	37283	37309	37333	37354	37379	37416	37451	37493	37539	37594	37648	37705	37761	37823	37875	37927	37974	38028	38070	38108	38156	38187	38227	38266	38300	38335	38374	38408	38443	38472	38509
1	          25	39073	39193	37748	37882	37449	37702	37739	35860	35028	34029	32909	31787	31959	33151	33791	33838	34699	35845	36041	35444	37176	36522	35679	35487	35328	35176	33803	34841	35144	35387	35626	35863	36061	36197	36278	36309	36309	36280	36235	36155	36081	36016	35963	35927	35929	35964	36041	36168	36323	36483	36601	36700	36783	36855	36901	36941	36970	36994	37011	37040	37072	37110	37158	37212	37275	37324	37375	37424	37467	37500	37537	37558	37583	37608	37628	37654	37691	37725	37767	37813	37868	37922	37978	38034	38097	38149	38201	38248	38302	38344	38381	38428	38460	38499	38538	38572	38607	38646	38680	38716	38745
1	          26	37445	39449	39641	38147	38258	37795	37985	37995	36121	35291	34295	33178	32058	32231	33421	34059	34106	34965	36110	36306	35711	37440	36786	35944	35754	35594	35443	34073	35110	35412	35655	35894	36130	36328	36463	36544	36575	36574	36545	36502	36422	36349	36284	36231	36195	36197	36233	36311	36437	36591	36751	36869	36968	37050	37122	37169	37209	37237	37261	37278	37308	37339	37377	37425	37479	37542	37592	37643	37693	37736	37768	37806	37826	37851	37876	37896	37922	37960	37994	38036	38082	38136	38191	38245	38301	38364	38416	38468	38515	38569	38611	38650	38696	38729	38768	38806	38840	38875	38914	38947	38983
1	          27	37102	37791	39857	40002	38488	38563	38045	38212	38222	36351	35524	34530	33415	32297	32470	33659	34297	34342	35201	36345	36541	35947	37674	37021	36179	35989	35831	35680	34313	35349	35650	35892	36132	36368	36564	36699	36781	36812	36810	36782	36740	36660	36588	36523	36468	36434	36437	36473	36551	36676	36830	36989	37107	37207	37288	37360	37408	37448	37475	37500	37517	37547	37577	37616	37663	37718	37781	37832	37882	37933	37975	38008	38046	38065	38090	38116	38136	38162	38200	38234	38276	38322	38376	38431	38485	38540	38603	38657	38709	38756	38810	38851	38889	38937	38970	39008	39047	39080	39116	39154	39187
1	          28	36957	37423	38172	40196	40320	38773	38796	38258	38427	38437	36568	35741	34749	33636	32520	32693	33881	34518	34565	35423	36565	36762	36170	37894	37243	36400	36212	36053	35903	34537	35573	35874	36117	36356	36592	36788	36923	37005	37037	37034	37006	36965	36884	36813	36748	36694	36659	36663	36699	36777	36903	37056	37215	37334	37434	37515	37587	37634	37674	37703	37728	37745	37773	37804	37843	37890	37945	38010	38059	38110	38161	38202	38235	38274	38292	38317	38344	38364	38391	38429	38462	38505	38551	38604	38660	38714	38770	38833	38887	38939	38986	39040	39081	39119	39167	39200	39238	39278	39311	39347	39385
1	          29	35572	37259	37780	38493	40497	40592	39000	39004	38467	38635	38646	36780	35955	34964	33849	32735	32906	34095	34732	34779	35638	36780	36978	36387	38110	37461	36617	36429	36270	36120	34756	35790	36092	36335	36574	36810	37006	37141	37223	37256	37253	37225	37184	37103	37033	36968	36915	36879	36883	36920	36999	37124	37279	37438	37556	37655	37738	37809	37856	37896	37926	37951	37968	37997	38028	38068	38114	38168	38234	38283	38333	38385	38427	38459	38498	38516	38542	38568	38589	38617	38655	38688	38732	38777	38830	38886	38940	38996	39061	39115	39166	39213	39268	39309	39346	39395	39429	39465	39506	39541	39576
