Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27347	28291	28406	28473	28487	28473	28413	28290	28117	27903	27664	27411	27148	26887	26640	26420	26225	26066	25956	25894	25879	25908	25972	26035	26068	26076	26067	26034	25979	25902	25800	25691	25574	25452	25329	25210	25090	24970	24853	24730	24610	24487	24365	24243	24117	23999	23885	23776	23676	23586	23505	23434	23375	23324	23278	23234	23196	23155	23113	23066	23012	22954	22886	22816	22738	22651	22566	22475	22381	22285	22189	22095	21998	21905	21814	21724	21640	21556	21474	21401	21329	21261	21195	21133	21077	21019	20965	20911	20860	20809	20758	20702	20646	20589	20531	20469	20405	20337	20268	20199
1	           1	29017	28868	27482	28412	28522	28562	28563	28542	28483	28361	28188	27973	27734	27481	27218	26955	26709	26489	26293	26135	26024	25962	25947	25976	26040	26104	26137	26145	26137	26103	26048	25972	25870	25761	25645	25522	25399	25279	25160	25040	24923	24799	24678	24554	24433	24311	24185	24067	23953	23844	23743	23653	23572	23502	23441	23390	23344	23302	23263	23222	23180	23133	23080	23022	22954	22884	22805	22718	22634	22542	22447	22351	22255	22161	22064	21971	21880	21789	21705	21621	21539	21465	21393	21325	21259	21197	21143	21084	21030	20976	20925	20875	20823	20767	20711	20654	20595	20533	20469	20400	20332
1	           2	29377	29204	29014	27611	28535	28610	28632	28627	28606	28546	28426	28252	28036	27797	27542	27279	27017	26769	26550	26353	26196	26083	26021	26007	26035	26098	26163	26196	26204	26196	26163	26108	26033	25930	25820	25705	25582	25458	25338	25219	25098	24981	24857	24736	24612	24490	24368	24242	24124	24009	23900	23797	23707	23627	23556	23496	23445	23400	23358	23319	23278	23235	23189	23134	23077	23009	22938	22860	22773	22688	22596	22500	22404	22308	22214	22116	22024	21932	21841	21756	21672	21591	21516	21444	21376	21308	21247	21193	21133	21081	21026	20976	20925	20873	20818	20761	20704	20645	20583	20518	20450
1	           3	29728	29544	29331	29129	27717	28607	28666	28683	28678	28657	28598	28478	28304	28086	27847	27592	27329	27066	26817	26598	26401	26242	26129	26067	26053	26080	26144	26209	26242	26250	26243	26210	26156	26081	25978	25867	25751	25628	25503	25384	25266	25145	25027	24903	24781	24657	24534	24412	24287	24168	24053	23943	23840	23751	23671	23600	23540	23489	23444	23401	23361	23319	23276	23231	23176	23118	23051	22980	22903	22814	22730	22638	22541	22445	22349	22254	22156	22064	21972	21881	21796	21712	21630	21556	21483	21414	21347	21285	21231	21171	21119	21063	21014	20962	20911	20856	20798	20742	20681	20620	20555
1	           4	30708	29879	29658	29433	29225	27777	28651	28705	28722	28718	28696	28637	28518	28344	28124	27884	27630	27366	27102	26854	26635	26437	26278	26164	26102	26088	26116	26181	26245	26279	26287	26280	26247	26192	26118	26014	25903	25787	25664	25539	25420	25302	25181	25061	24937	24816	24691	24568	24445	24320	24202	24087	23977	23873	23784	23704	23633	23573	23522	23475	23432	23392	23351	23308	23263	23208	23150	23082	23012	22935	22846	22761	22670	22573	22476	22380	22285	22185	22093	22003	21910	21826	21742	21659	21585	21512	21443	21376	21314	21260	21200	21148	21092	21043	20990	20939	20884	20826	20771	20710	20649
1	           5	31533	30843	29981	29749	29520	29274	27812	28680	28734	28751	28747	28726	28667	28548	28374	28153	27912	27658	27394	27131	26883	26663	26465	26306	26192	26130	26116	26144	26208	26273	26307	26314	26307	26275	26218	26146	26041	25931	25814	25691	25567	25447	25329	25208	25088	24963	24841	24716	24593	24470	24345	24228	24111	24002	23899	23809	23730	23658	23598	23547	23499	23456	23417	23376	23332	23287	23232	23174	23106	23036	22958	22870	22784	22693	22597	22499	22404	22308	22208	22116	22026	21933	21847	21765	21680	21608	21533	21465	21398	21336	21282	21222	21170	21115	21065	21011	20962	20906	20849	20793	20732
1	           6	29946	31651	30934	30063	29825	29562	29305	27836	28703	28759	28776	28772	28751	28691	28573	28398	28176	27935	27681	27418	27155	26907	26686	26488	26328	26214	26152	26138	26166	26230	26295	26329	26336	26329	26297	26240	26168	26063	25953	25837	25714	25590	25470	25352	25230	25109	24984	24862	24737	24613	24490	24365	24248	24131	24022	23919	23829	23750	23678	23617	23567	23519	23476	23436	23395	23352	23305	23251	23192	23124	23054	22975	22889	22803	22712	22616	22518	22423	22326	22226	22134	22043	21951	21864	21782	21697	21624	21550	21481	21415	21352	21299	21240	21187	21132	21082	21028	20980	20923	20867	20811
1	           7	30653	30048	31728	31003	30127	29858	29584	29323	27853	28719	28776	28793	28789	28768	28708	28590	28415	28193	27951	27699	27436	27173	26923	26701	26503	26343	26230	26168	26154	26181	26246	26310	26345	26352	26345	26313	26255	26185	26080	25969	25854	25730	25606	25485	25366	25245	25122	24997	24875	24750	24626	24504	24380	24262	24145	24036	23933	23843	23764	23692	23632	23581	23533	23490	23449	23409	23366	23319	23264	23205	23136	23066	22988	22901	22816	22724	22629	22531	22435	22338	22238	22146	22055	21961	21875	21792	21708	21635	21562	21492	21427	21364	21311	21252	21200	21143	21093	21039	20993	20934	20878
1	           8	30586	30745	30116	31790	31061	30155	29875	29598	29337	27866	28732	28790	28807	28803	28782	28721	28604	28430	28207	27966	27712	27450	27185	26936	26712	26514	26354	26242	26180	26166	26193	26257	26322	26356	26363	26357	26324	26267	26198	26093	25982	25867	25743	25618	25496	25377	25256	25133	25008	24886	24761	24637	24516	24390	24274	24156	24047	23944	23853	23774	23702	23642	23591	23543	23500	23459	23419	23376	23329	23273	23215	23146	23075	22998	22910	22825	22733	22638	22539	22445	22347	22247	22155	22064	21970	21885	21801	21717	21644	21571	21501	21437	21373	21320	21261	21209	21152	21102	21048	21002	20943
1	           9	29574	30681	30820	30185	31857	31100	30185	29900	29623	29362	27890	28755	28815	28832	28828	28807	28746	28629	28455	28232	27991	27735	27473	27207	26959	26735	26537	26377	26265	26202	26187	26215	26280	26345	26379	26386	26380	26347	26290	26221	26116	26005	25889	25765	25639	25518	25397	25277	25153	25028	24906	24781	24657	24536	24410	24294	24176	24067	23964	23872	23793	23721	23660	23611	23563	23519	23478	23438	23395	23349	23291	23234	23165	23094	23016	22928	22843	22750	22656	22557	22464	22365	22266	22174	22082	21988	21903	21819	21734	21662	21589	21518	21455	21390	21337	21278	21226	21169	21119	21065	21019
1	          10	28838	29673	30761	30897	30258	31908	31143	30225	29939	29660	29399	27926	28790	28852	28869	28866	28845	28783	28667	28491	28268	28027	27771	27508	27242	26994	26769	26571	26411	26299	26236	26220	26248	26314	26378	26413	26420	26413	26380	26323	26255	26150	26037	25922	25798	25672	25550	25429	25309	25185	25060	24938	24813	24689	24568	24441	24326	24207	24097	23994	23902	23823	23751	23691	23642	23594	23549	23508	23468	23425	23379	23321	23264	23195	23124	23045	22956	22872	22778	22684	22585	22492	22394	22295	22203	22111	22017	21931	21848	21761	21690	21618	21546	21484	21418	21365	21306	21253	21196	21146	21093
1	          11	28885	28923	29741	30825	30958	30299	31943	31174	30256	29969	29689	29427	27954	28818	28880	28897	28894	28873	28812	28696	28519	28297	28056	27800	27536	27269	27021	26796	26598	26437	26326	26262	26246	26274	26340	26404	26439	26446	26439	26406	26349	26280	26175	26063	25948	25824	25697	25576	25455	25335	25211	25086	24963	24839	24713	24592	24465	24350	24231	24121	24018	23926	23846	23775	23715	23666	23617	23572	23532	23492	23449	23402	23344	23287	23218	23147	23068	22979	22895	22800	22707	22607	22514	22416	22316	22224	22133	22039	21953	21870	21783	21712	21640	21568	21505	21439	21387	21328	21275	21218	21168
1	          12	28344	28954	28977	29789	30870	30987	30321	31961	31196	30275	29988	29707	29445	27971	28834	28897	28914	28911	28890	28829	28713	28537	28314	28074	27818	27554	27285	27037	26812	26614	26454	26342	26278	26262	26290	26357	26420	26455	26462	26455	26422	26365	26296	26191	26079	25965	25840	25714	25593	25472	25351	25228	25101	24980	24854	24727	24607	24479	24365	24245	24136	24032	23940	23861	23789	23729	23679	23631	23586	23546	23505	23462	23415	23358	23301	23232	23161	23081	22993	22909	22813	22721	22621	22528	22429	22330	22237	22146	22053	21966	21883	21795	21725	21653	21581	21518	21452	21400	21341	21288	21231
1	          13	27231	28414	29009	29027	29837	30900	31011	30342	31983	31218	30298	30010	29729	29467	27992	28854	28918	28935	28932	28911	28849	28733	28557	28335	28094	27838	27574	27305	27057	26831	26633	26475	26362	26298	26282	26310	26378	26440	26475	26483	26476	26443	26385	26316	26212	26099	25985	25860	25734	25612	25491	25370	25247	25120	24999	24873	24746	24626	24498	24383	24264	24155	24050	23959	23880	23807	23747	23697	23649	23604	23564	23523	23480	23432	23374	23319	23250	23179	23099	23010	22927	22831	22738	22638	22545	22446	22347	22254	22163	22070	21983	21899	21812	21742	21670	21598	21535	21469	21416	21357	21305
1	          14	27083	27303	28470	29060	29077	29870	30926	31033	30365	32007	31243	30321	30033	29752	29489	28014	28877	28941	28957	28955	28934	28872	28756	28580	28358	28117	27860	27596	27326	27078	26852	26654	26496	26383	26318	26302	26330	26399	26461	26496	26504	26497	26464	26407	26336	26233	26121	26006	25882	25756	25634	25512	25392	25268	25141	25020	24894	24767	24647	24518	24404	24284	24175	24071	23978	23900	23826	23766	23716	23668	23623	23583	23543	23500	23452	23394	23338	23269	23199	23119	23029	22946	22851	22757	22658	22564	22465	22366	22274	22183	22090	22003	21919	21830	21761	21690	21617	21553	21487	21436	21377
1	          15	28196	27163	27366	28527	29114	29113	29898	30953	31060	30391	32034	31270	30348	30061	29779	29516	28041	28902	28968	28983	28981	28961	28899	28782	28606	28384	28142	27886	27621	27351	27103	26877	26679	26522	26409	26344	26327	26355	26425	26487	26522	26530	26523	26490	26433	26362	26259	26147	26032	25908	25783	25659	25538	25417	25293	25166	25045	24919	24792	24672	24544	24429	24310	24199	24096	24003	23924	23850	23790	23741	23692	23648	23607	23567	23524	23477	23419	23362	23294	23223	23143	23053	22970	22875	22781	22683	22588	22489	22390	22298	22207	22114	22027	21943	21854	21785	21714	21641	21577	21511	21460
1	          16	29300	28281	27229	27425	28585	29156	29146	29927	30982	31089	30420	32063	31300	30380	30093	29810	29546	28070	28932	28998	29012	29010	28992	28930	28812	28637	28414	28172	27914	27649	27380	27132	26906	26708	26551	26438	26373	26356	26384	26454	26516	26552	26560	26553	26520	26463	26392	26290	26177	26062	25938	25814	25690	25569	25448	25324	25196	25075	24948	24822	24702	24573	24459	24339	24228	24125	24032	23953	23879	23819	23769	23720	23676	23635	23595	23553	23506	23448	23391	23323	23252	23172	23082	22999	22904	22810	22711	22617	22518	22418	22326	22236	22143	22055	21971	21882	21813	21742	21669	21605	21539
1	          17	30279	29390	28352	27291	27485	28629	29191	29178	29957	31014	31122	30453	32096	31333	30414	30126	29843	29579	28102	28964	29030	29045	29043	29025	28963	28845	28670	28446	28205	27947	27682	27413	27163	26937	26740	26585	26471	26406	26390	26418	26487	26549	26586	26594	26586	26553	26496	26425	26323	26210	26094	25970	25846	25722	25601	25480	25356	25228	25108	24981	24855	24735	24606	24492	24372	24261	24157	24065	23985	23911	23851	23801	23752	23708	23667	23627	23585	23538	23480	23422	23355	23284	23204	23114	23030	22936	22842	22742	22648	22550	22450	22358	22269	22176	22087	22003	21914	21845	21773	21700	21636
1	          18	31162	30445	29524	28474	27407	27581	28712	29268	29256	30036	31094	31204	30536	32178	31417	30496	30208	29925	29661	28182	29043	29112	29126	29125	29106	29043	28927	28751	28527	28285	28027	27761	27492	27242	27017	26820	26664	26550	26485	26469	26497	26566	26628	26665	26673	26665	26631	26575	26504	26401	26288	26172	26049	25925	25801	25680	25559	25435	25306	25186	25059	24932	24811	24683	24568	24448	24338	24234	24142	24062	23988	23928	23879	23829	23785	23744	23704	23662	23615	23557	23499	23431	23361	23281	23191	23106	23013	22919	22817	22724	22625	22525	22434	22344	22251	22162	22077	21988	21920	21847	21775
1	          19	33677	31864	31070	30120	29049	27947	28085	29207	29775	29770	30551	31620	31741	31072	32710	31964	31036	30737	30452	30185	28702	29549	29625	29639	29637	29619	29556	29439	29261	29034	28791	28529	28261	27989	27736	27508	27310	27151	27036	26969	26952	26981	27051	27112	27151	27158	27151	27116	27060	26990	26885	26772	26655	26530	26405	26278	26156	26033	25908	25777	25655	25527	25398	25275	25146	25031	24910	24798	24693	24600	24519	24444	24383	24334	24283	24239	24197	24156	24113	24067	24007	23949	23880	23810	23730	23637	23554	23458	23363	23259	23166	23066	22965	22872	22782	22688	22597	22511	22421	22352	22279
1	          20	34653	34682	32767	31927	30949	29838	28682	28801	29936	30515	30513	31304	32388	32517	31843	33491	32747	31806	31499	31210	30939	29441	30288	30368	30381	30379	30360	30296	30177	29997	29767	29519	29254	28981	28705	28448	28217	28016	27854	27738	27670	27653	27682	27753	27815	27855	27862	27854	27819	27763	27692	27586	27471	27352	27225	27097	26967	26843	26718	26591	26459	26334	26205	26073	25948	25816	25700	25578	25464	25358	25262	25180	25105	25042	24993	24940	24897	24855	24813	24768	24721	24661	24601	24532	24460	24379	24285	24200	24102	24006	23899	23804	23704	23602	23508	23416	23319	23227	23141	23049	22979
1	          21	35175	35323	35252	33295	32431	31422	30258	29077	29195	30336	30921	30920	31715	32806	32940	32263	33917	33173	32226	31915	31625	31353	29846	30693	30776	30789	30786	30767	30703	30583	30402	30170	29920	29652	29378	29100	28841	28609	28406	28242	28126	28058	28041	28071	28142	28205	28245	28252	28244	28209	28152	28081	27974	27858	27738	27609	27481	27351	27225	27099	26970	26837	26712	26581	26449	26323	26190	26073	25952	25836	25730	25632	25550	25474	25410	25361	25308	25265	25223	25180	25135	25087	25026	24965	24896	24825	24743	24648	24563	24464	24367	24258	24163	24061	23961	23864	23772	23674	23582	23494	23402
