Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	28415	28638	28812	28943	29051	29114	29113	29064	28972	28852	28709	28552	28384	28225	28082	27960	27860	27806	27794	27827	27898	28004	28109	28182	28230	28266	28281	28276	28253	28214	28168	28121	28071	28024	27986	27949	27914	27881	27847	27808	27772	27730	27685	27638	27589	27540	27496	27459	27423	27399	27382	27370	27366	27370	27373	27380	27388	27391	27394	27393	27387	27374	27360	27340	27318	27292	27262	27229	27201	27167	27137	27107	27074	27045	27016	26989	26965	26940	26918	26898	26880	26865	26849	26838	26830	26820	26811	26805	26797	26791	26783	26773	26764	26753	26741	26726	26710	26693	26672
1	           1	29017	28894	27572	28590	28808	28956	29072	29174	29237	29235	29187	29095	28977	28833	28676	28509	28349	28206	28084	27985	27930	27918	27951	28022	28128	28235	28308	28356	28393	28408	28403	28380	28342	28295	28249	28199	28152	28113	28075	28042	28009	27975	27936	27900	27858	27813	27766	27717	27668	27625	27586	27549	27525	27509	27497	27495	27498	27501	27508	27516	27520	27523	27522	27516	27503	27490	27470	27448	27422	27392	27359	27331	27297	27267	27237	27203	27176	27147	27120	27095	27070	27049	27029	27010	26995	26979	26967	26959	26949	26942	26936	26928	26922	26914	26904	26895	26884	26872	26857	26841	26824
1	           2	29377	29234	29100	27764	28774	28960	29089	29198	29300	29363	29361	29313	29222	29104	28959	28801	28634	28475	28331	28209	28110	28056	28044	28076	28149	28254	28361	28435	28483	28520	28535	28530	28508	28470	28422	28375	28325	28278	28239	28202	28169	28135	28102	28064	28027	27985	27940	27893	27844	27795	27752	27712	27675	27651	27635	27623	27621	27624	27627	27633	27641	27645	27649	27649	27643	27630	27617	27597	27575	27548	27518	27486	27458	27423	27393	27364	27330	27303	27274	27246	27221	27196	27177	27157	27137	27121	27105	27093	27085	27075	27068	27062	27054	27048	27040	27030	27021	27010	26998	26983	26967
1	           3	29728	29572	29419	29271	27925	28904	29074	29197	29306	29409	29473	29470	29423	29332	29213	29068	28910	28743	28583	28439	28316	28218	28164	28152	28184	28257	28362	28469	28543	28591	28629	28643	28639	28617	28579	28531	28483	28434	28386	28348	28310	28277	28243	28210	28172	28136	28094	28050	28002	27952	27903	27860	27820	27784	27759	27743	27731	27729	27732	27735	27741	27749	27753	27757	27757	27751	27738	27725	27705	27683	27656	27626	27594	27566	27531	27501	27472	27439	27411	27382	27354	27329	27304	27285	27265	27245	27229	27213	27201	27193	27183	27176	27170	27162	27156	27148	27138	27129	27118	27106	27091
1	           4	30708	29906	29739	29573	29419	28037	29002	29166	29290	29398	29501	29565	29563	29516	29424	29306	29160	29002	28835	28675	28530	28405	28309	28254	28242	28275	28348	28453	28560	28634	28682	28720	28734	28731	28710	28671	28625	28577	28526	28480	28440	28402	28370	28336	28303	28265	28229	28186	28143	28094	28043	27995	27951	27911	27875	27851	27835	27823	27821	27824	27827	27832	27840	27844	27849	27849	27843	27830	27817	27796	27774	27747	27718	27686	27658	27623	27592	27563	27530	27503	27473	27445	27420	27395	27376	27356	27335	27319	27303	27291	27283	27273	27266	27260	27252	27247	27239	27229	27220	27209	27197
1	           5	31533	30867	30056	29878	29706	29517	28119	29079	29244	29367	29476	29579	29643	29641	29594	29502	29384	29237	29079	28913	28752	28606	28481	28386	28331	28320	28354	28426	28531	28638	28712	28760	28799	28812	28810	28789	28750	28704	28656	28605	28558	28517	28479	28449	28413	28380	28342	28306	28263	28220	28171	28120	28072	28027	27987	27952	27927	27912	27900	27899	27901	27903	27908	27917	27922	27927	27927	27921	27908	27895	27874	27851	27824	27795	27764	27735	27700	27669	27640	27606	27579	27550	27522	27497	27471	27452	27432	27411	27395	27380	27368	27360	27350	27343	27337	27329	27324	27316	27306	27297	27286
1	           6	29946	31673	31000	30180	29997	29791	29589	28185	29145	29311	29434	29543	29646	29710	29708	29661	29568	29452	29305	29146	28980	28818	28673	28549	28454	28398	28387	28421	28493	28598	28706	28781	28828	28868	28881	28879	28858	28819	28772	28724	28672	28625	28584	28546	28516	28480	28447	28409	28373	28330	28287	28238	28188	28139	28094	28053	28018	27993	27978	27966	27966	27968	27970	27975	27985	27990	27995	27995	27989	27976	27963	27942	27918	27891	27861	27832	27802	27766	27735	27706	27672	27645	27616	27588	27563	27537	27518	27498	27477	27461	27446	27434	27426	27416	27409	27403	27394	27389	27381	27371	27364
1	           7	30653	30068	31786	31107	30281	30068	29851	29645	28239	29200	29366	29490	29599	29701	29765	29763	29716	29624	29508	29361	29202	29037	28874	28729	28604	28510	28453	28442	28476	28549	28655	28763	28838	28885	28925	28937	28935	28913	28875	28828	28780	28727	28679	28640	28602	28572	28535	28502	28465	28429	28386	28343	28294	28244	28195	28150	28109	28074	28049	28034	28022	28022	28025	28026	28030	28040	28045	28050	28050	28044	28031	28018	27997	27973	27946	27916	27887	27857	27821	27790	27761	27727	27700	27671	27643	27618	27592	27572	27552	27531	27516	27501	27489	27481	27471	27464	27458	27449	27444	27436	27426
1	           8	30586	30762	30169	31880	31199	30342	30118	29897	29691	28286	29246	29413	29538	29647	29748	29812	29810	29762	29670	29555	29408	29249	29085	28921	28776	28651	28557	28500	28489	28523	28596	28703	28811	28885	28933	28973	28984	28982	28960	28922	28875	28827	28774	28727	28688	28648	28618	28581	28550	28513	28476	28433	28390	28342	28291	28242	28197	28156	28122	28095	28080	28068	28068	28071	28073	28077	28087	28092	28097	28097	28091	28078	28065	28044	28020	27993	27963	27934	27903	27868	27837	27808	27774	27747	27718	27690	27665	27639	27619	27599	27578	27563	27548	27536	27528	27518	27510	27504	27496	27491	27483
1	           9	29574	30696	30867	30267	31976	31269	30402	30174	29953	29747	28340	29300	29468	29593	29702	29803	29868	29866	29818	29726	29611	29464	29305	29141	28977	28832	28707	28613	28555	28544	28577	28650	28758	28866	28939	28987	29028	29040	29038	29016	28978	28931	28882	28828	28781	28743	28702	28673	28636	28606	28568	28531	28488	28445	28398	28346	28297	28252	28211	28177	28149	28134	28122	28122	28125	28127	28131	28141	28146	28151	28151	28146	28133	28120	28099	28075	28048	28018	27989	27957	27922	27891	27863	27829	27802	27772	27745	27720	27694	27674	27654	27633	27618	27603	27591	27583	27572	27564	27558	27550	27546
1	          10	28838	29687	30807	30972	30368	32056	31342	30469	30240	30019	29813	28403	29365	29534	29659	29768	29869	29935	29933	29884	29792	29678	29531	29372	29206	29042	28898	28772	28678	28620	28609	28642	28715	28823	28931	29004	29052	29094	29106	29103	29081	29043	28997	28948	28894	28846	28808	28767	28738	28701	28671	28633	28596	28553	28510	28463	28411	28362	28317	28276	28242	28214	28199	28187	28186	28190	28192	28195	28205	28210	28215	28216	28211	28198	28185	28164	28140	28112	28082	28053	28022	27987	27956	27927	27893	27866	27836	27809	27784	27759	27739	27718	27697	27682	27667	27655	27647	27636	27628	27623	27615
1	          11	28885	28936	29782	30897	31059	30436	32117	31400	30526	30295	30075	29868	28457	29419	29589	29713	29824	29924	29990	29988	29940	29849	29734	29587	29428	29262	29098	28953	28827	28733	28674	28664	28697	28771	28878	28987	29059	29108	29149	29161	29159	29137	29099	29052	29003	28950	28902	28864	28823	28794	28757	28727	28689	28652	28609	28566	28519	28467	28418	28372	28331	28298	28270	28254	28242	28241	28244	28246	28249	28259	28264	28269	28270	28265	28252	28239	28218	28194	28166	28136	28107	28076	28041	28010	27981	27947	27920	27890	27863	27838	27813	27793	27772	27751	27736	27721	27709	27701	27690	27682	27677
