Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	28415	28570	28652	28685	28701	28669	28571	28416	28218	27988	27739	27475	27206	26949	26721	26520	26353	26234	26169	26152	26187	26251	26321	26365	26385	26388	26373	26331	26269	26189	26094	25995	25892	25786	25682	25582	25478	25373	25266	25156	25043	24926	24808	24692	24574	24460	24354	24253	24166	24086	24018	23963	23914	23872	23838	23806	23774	23742	23703	23664	23615	23561	23501	23435	23363	23287	23206	23124	23037	22953	22863	22776	22691	22606	22521	22441	22363	22288	22216	22148	22081	22024	21965	21912	21861	21811	21766	21719	21675	21629	21584	21537	21489	21438	21383	21327	21272	21211	21146
1	           1	29017	28894	27572	28539	28691	28751	28772	28784	28751	28654	28499	28302	28071	27821	27558	27289	27031	26803	26601	26434	26316	26250	26233	26268	26332	26402	26447	26467	26470	26455	26413	26351	26271	26177	26078	25975	25869	25765	25664	25561	25456	25349	25239	25126	25007	24889	24775	24656	24542	24435	24334	24246	24166	24098	24044	23995	23953	23919	23887	23854	23822	23784	23745	23696	23643	23582	23515	23444	23367	23286	23205	23117	23033	22943	22855	22771	22685	22601	22519	22441	22366	22296	22227	22160	22103	22044	21991	21940	21890	21845	21797	21753	21708	21662	21615	21567	21516	21461	21405	21349	21288
1	           2	29377	29234	29100	27712	28674	28795	28840	28856	28869	28836	28739	28585	28389	28155	27904	27641	27372	27112	26885	26682	26516	26398	26332	26315	26350	26414	26484	26529	26548	26552	26536	26494	26433	26352	26257	26158	26056	25951	25845	25744	25641	25536	25428	25318	25205	25086	24969	24855	24734	24621	24513	24412	24324	24242	24174	24121	24071	24030	23995	23965	23931	23900	23862	23822	23773	23719	23658	23591	23519	23443	23362	23281	23193	23109	23018	22930	22847	22760	22675	22593	22515	22441	22370	22300	22233	22176	22116	22064	22012	21963	21917	21870	21826	21781	21735	21689	21641	21589	21534	21477	21421
1	           3	29728	29572	29419	29225	27829	28761	28870	28912	28929	28942	28909	28812	28659	28462	28227	27976	27711	27442	27182	26954	26752	26586	26466	26400	26383	26418	26482	26552	26598	26616	26621	26605	26562	26501	26420	26325	26226	26124	26019	25912	25812	25708	25603	25495	25385	25272	25153	25036	24921	24800	24687	24579	24478	24390	24307	24239	24186	24136	24094	24059	24029	23995	23964	23926	23887	23837	23783	23722	23655	23583	23507	23425	23345	23255	23172	23081	22993	22910	22823	22738	22656	22577	22503	22431	22361	22293	22237	22176	22125	22072	22023	21977	21930	21886	21841	21795	21749	21701	21649	21594	21537
1	           4	30708	29906	29739	29529	29332	27902	28822	28927	28971	28988	29001	28968	28871	28718	28521	28285	28034	27767	27498	27238	27010	26807	26641	26521	26455	26438	26473	26536	26608	26654	26673	26677	26661	26618	26556	26476	26381	26282	26180	26074	25967	25867	25763	25658	25550	25440	25325	25207	25090	24975	24854	24740	24632	24531	24442	24360	24292	24239	24188	24145	24111	24081	24046	24015	23977	23939	23889	23835	23774	23707	23635	23558	23476	23395	23306	23223	23132	23044	22961	22873	22789	22707	22628	22552	22481	22410	22342	22286	22226	22174	22121	22072	22026	21979	21935	21890	21844	21797	21750	21696	21642
1	           5	31533	30867	30056	29838	29627	29393	27952	28869	28973	29018	29034	29048	29015	28918	28766	28568	28333	28079	27812	27543	27283	27054	26852	26687	26567	26500	26484	26519	26581	26654	26700	26719	26722	26706	26663	26602	26521	26425	26326	26224	26118	26011	25911	25807	25702	25594	25484	25369	25251	25134	25018	24897	24782	24674	24574	24484	24403	24334	24282	24229	24187	24153	24124	24087	24056	24019	23981	23930	23876	23816	23748	23676	23599	23517	23436	23347	23264	23173	23085	23001	22913	22829	22747	22668	22592	22521	22450	22382	22326	22266	22214	22161	22112	22065	22019	21975	21930	21884	21837	21790	21736
1	           6	29946	31673	31000	30147	29925	29681	29438	27993	28910	29014	29059	29076	29090	29057	28961	28809	28610	28374	28119	27851	27583	27323	27095	26892	26727	26607	26540	26524	26559	26621	26693	26741	26760	26763	26746	26703	26641	26560	26465	26366	26263	26158	26050	25949	25846	25741	25634	25523	25409	25290	25172	25056	24935	24819	24712	24612	24521	24441	24371	24319	24266	24224	24190	24161	24124	24093	24055	24017	23966	23913	23852	23785	23712	23636	23553	23473	23382	23299	23208	23120	23036	22948	22863	22782	22703	22628	22556	22486	22417	22362	22301	22250	22197	22148	22101	22056	22010	21966	21920	21873	21826
1	           7	30653	30068	31786	31078	30220	29970	29718	29472	28026	28942	29048	29092	29109	29123	29090	28994	28841	28643	28406	28152	27884	27616	27356	27128	26925	26759	26638	26571	26555	26590	26652	26724	26772	26791	26794	26777	26734	26672	26591	26496	26397	26294	26190	26081	25981	25878	25772	25666	25554	25440	25322	25202	25086	24964	24849	24742	24641	24551	24469	24399	24347	24294	24252	24218	24190	24154	24123	24085	24047	23995	23943	23882	23814	23741	23665	23583	23502	23411	23328	23237	23148	23064	22975	22890	22810	22731	22656	22584	22514	22445	22391	22330	22279	22226	22177	22130	22085	22038	21994	21949	21901
1	           8	30586	30762	30169	31855	31145	30259	29999	29746	29500	28054	28969	29075	29120	29137	29151	29117	29021	28868	28672	28435	28180	27912	27643	27383	27156	26951	26785	26664	26596	26580	26616	26678	26750	26799	26817	26819	26803	26760	26698	26617	26522	26422	26320	26216	26107	26007	25904	25798	25692	25580	25466	25347	25227	25111	24989	24874	24767	24666	24576	24493	24422	24370	24317	24275	24242	24214	24178	24147	24109	24072	24021	23968	23906	23839	23765	23689	23607	23526	23435	23352	23260	23172	23087	22998	22913	22832	22754	22678	22608	22537	22469	22416	22354	22302	22251	22202	22155	22109	22063	22018	21974
1	           9	29574	30696	30867	30244	31929	31195	30300	30037	29784	29538	28091	29005	29112	29157	29174	29188	29155	29060	28907	28710	28473	28217	27950	27681	27419	27192	26986	26820	26699	26632	26616	26652	26714	26786	26835	26853	26855	26839	26796	26734	26653	26558	26458	26356	26252	26143	26042	25939	25833	25727	25614	25500	25381	25262	25145	25024	24908	24800	24699	24609	24526	24455	24403	24350	24308	24275	24247	24210	24180	24142	24105	24054	24001	23938	23872	23797	23721	23639	23557	23466	23383	23291	23203	23118	23029	22945	22864	22786	22710	22640	22569	22501	22448	22386	22334	22283	22234	22187	22141	22095	22050
