Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	28415	28602	28735	28814	28874	28891	28843	28739	28596	28421	28224	28014	27795	27588	27401	27239	27107	27020	26981	26988	27041	27126	27213	27271	27305	27326	27324	27300	27259	27198	27127	27055	26976	26903	26832	26762	26694	26624	26554	26478	26404	26325	26242	26161	26080	25999	25922	25853	25791	25736	25697	25661	25634	25614	25599	25587	25575	25561	25544	25522	25496	25463	25425	25382	25334	25284	25229	25172	25113	25056	24994	24936	24880	24822	24765	24713	24659	24609	24564	24517	24475	24437	24402	24369	24338	24312	24283	24256	24231	24205	24176	24149	24120	24089	24054	24017	23981	23943	23902
1	           1	29017	28894	27572	28564	28747	28856	28922	28977	28994	28947	28843	28700	28525	28328	28118	27899	27691	27504	27341	27209	27122	27083	27091	27145	27229	27317	27375	27409	27431	27430	27406	27365	27303	27232	27160	27081	27008	26937	26867	26798	26728	26658	26582	26509	26430	26347	26265	26185	26103	26026	25958	25896	25841	25802	25766	25739	25719	25704	25692	25681	25667	25650	25628	25602	25569	25531	25488	25440	25390	25335	25278	25218	25161	25099	25041	24985	24927	24869	24817	24763	24713	24668	24622	24580	24542	24507	24474	24443	24417	24388	24361	24336	24309	24280	24253	24224	24192	24158	24122	24085	24047
1	           2	29377	29234	29100	27738	28724	28875	28968	29027	29082	29099	29052	28950	28806	28631	28433	28224	28003	27794	27607	27444	27311	27225	27185	27194	27248	27332	27420	27479	27512	27535	27534	27510	27469	27407	27336	27265	27185	27111	27040	26972	26902	26832	26762	26685	26611	26532	26450	26368	26287	26205	26128	26059	25998	25942	25903	25867	25841	25821	25805	25794	25783	25769	25751	25730	25704	25670	25632	25589	25542	25493	25437	25380	25319	25262	25200	25142	25086	25027	24969	24916	24863	24813	24768	24722	24679	24641	24606	24574	24543	24516	24487	24460	24434	24408	24378	24351	24323	24291	24256	24220	24184
1	           3	29728	29572	29419	29248	27877	28833	28970	29058	29118	29172	29190	29143	29042	28897	28722	28524	28314	28093	27882	27695	27532	27398	27312	27272	27281	27335	27419	27507	27567	27601	27623	27623	27599	27558	27496	27425	27353	27273	27199	27128	27059	26989	26918	26850	26772	26699	26620	26538	26456	26374	26292	26214	26146	26085	26029	25989	25953	25927	25908	25892	25881	25870	25856	25838	25817	25790	25756	25718	25674	25628	25579	25523	25466	25405	25348	25286	25226	25170	25111	25053	25000	24947	24897	24852	24806	24763	24725	24690	24658	24627	24600	24571	24544	24518	24492	24462	24435	24407	24375	24340	24304
1	           4	30708	29906	29739	29552	29375	27970	28912	29046	29134	29193	29247	29265	29218	29118	28972	28797	28599	28389	28167	27956	27768	27605	27470	27384	27345	27354	27408	27492	27580	27640	27674	27697	27697	27674	27632	27570	27498	27427	27346	27273	27201	27132	27062	26991	26923	26845	26771	26692	26610	26529	26446	26363	26287	26217	26157	26101	26061	26024	25999	25980	25964	25953	25942	25928	25910	25889	25862	25828	25789	25746	25701	25650	25595	25538	25477	25419	25356	25296	25240	25182	25123	25070	25017	24966	24922	24876	24832	24795	24759	24727	24696	24669	24641	24614	24588	24563	24533	24506	24478	24444	24410
1	           5	31533	30867	30056	29857	29667	29455	28036	28975	29108	29196	29256	29310	29328	29281	29181	29035	28859	28662	28452	28229	28017	27829	27667	27531	27445	27406	27415	27470	27554	27642	27702	27736	27759	27760	27737	27695	27631	27560	27489	27408	27334	27263	27193	27124	27052	26984	26905	26832	26751	26671	26589	26506	26423	26347	26276	26217	26161	26121	26084	26059	26040	26024	26013	26002	25988	25971	25950	25923	25889	25850	25807	25762	25711	25656	25598	25537	25479	25416	25355	25299	25241	25182	25129	25076	25025	24980	24934	24891	24854	24817	24785	24754	24727	24700	24672	24646	24621	24592	24565	24537	24502
1	           6	29946	31673	31000	30164	29960	29737	29513	28090	29029	29162	29251	29311	29365	29382	29336	29235	29089	28914	28717	28506	28281	28070	27883	27721	27585	27499	27460	27469	27524	27608	27695	27756	27789	27812	27814	27791	27749	27685	27614	27543	27462	27388	27317	27247	27177	27105	27036	26957	26884	26803	26723	26641	26558	26475	26399	26327	26269	26213	26172	26136	26111	26092	26077	26066	26055	26041	26024	26004	25976	25941	25902	25859	25815	25763	25708	25650	25588	25530	25467	25406	25349	25292	25233	25179	25126	25075	25030	24984	24941	24904	24867	24835	24804	24777	24750	24722	24696	24671	24642	24615	24587
1	           7	30653	30068	31786	31092	30252	30018	29785	29558	28134	29073	29206	29296	29355	29409	29427	29380	29280	29133	28959	28761	28550	28325	28114	27927	27764	27628	27543	27503	27512	27567	27652	27738	27800	27833	27856	27858	27835	27793	27729	27659	27586	27506	27431	27360	27290	27220	27148	27079	26999	26927	26846	26766	26684	26601	26518	26441	26370	26312	26256	26215	26179	26154	26135	26120	26109	26098	26084	26067	26047	26019	25984	25945	25902	25857	25805	25749	25692	25629	25571	25508	25447	25390	25333	25273	25219	25167	25115	25070	25025	24982	24945	24909	24877	24846	24819	24792	24764	24737	24713	24685	24658
1	           8	30586	30762	30169	31868	31171	30302	30059	29822	29595	28171	29110	29243	29334	29392	29446	29464	29417	29317	29169	28996	28799	28588	28363	28152	27964	27801	27665	27579	27540	27549	27604	27688	27774	27836	27870	27893	27895	27872	27830	27766	27696	27623	27542	27468	27397	27326	27257	27184	27115	27035	26962	26882	26801	26721	26637	26554	26478	26406	26347	26293	26252	26215	26191	26172	26157	26146	26135	26121	26104	26083	26054	26019	25981	25938	25892	25840	25784	25727	25663	25605	25542	25481	25424	25368	25308	25254	25202	25150	25105	25060	25017	24980	24943	24912	24881	24855	24828	24800	24773	24749	24721
1	           9	29574	30696	30867	30256	31953	31231	30353	30106	29870	29643	28217	29155	29290	29381	29438	29492	29510	29464	29364	29216	29043	28846	28635	28410	28199	28009	27846	27709	27624	27584	27593	27648	27733	27818	27881	27916	27938	27940	27917	27875	27812	27741	27668	27587	27512	27442	27371	27302	27229	27160	27080	27007	26927	26845	26766	26681	26598	26523	26450	26391	26337	26296	26259	26235	26216	26201	26190	26179	26165	26148	26127	26098	26062	26025	25982	25936	25883	25827	25770	25706	25648	25584	25524	25466	25410	25350	25296	25244	25192	25147	25102	25059	25023	24986	24955	24924	24898	24872	24844	24816	24792
