Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27384	28415	28674	28894	29071	29227	29337	29388	29391	29349	29282	29194	29089	28972	28860	28763	28679	28615	28593	28606	28661	28752	28875	29000	29088	29150	29201	29232	29247	29243	29226	29204	29180	29158	29143	29135	29131	29130	29135	29135	29136	29135	29132	29121	29112	29097	29083	29069	29059	29054	29054	29059	29072	29089	29109	29135	29164	29190	29215	29238	29256	29270	29281	29287	29292	29292	29292	29290	29287	29284	29279	29275	29273	29270	29267	29265	29265	29264	29268	29269	29271	29278	29283	29290	29299	29309	29321	29332	29343	29355	29369	29381	29390	29399	29409	29417	29422	29424	29429	29430
1	           1	29017	28894	27572	28614	28869	29061	29220	29371	29480	29532	29536	29494	29428	29340	29234	29117	29007	28908	28825	28761	28740	28753	28807	28899	29022	29147	29236	29298	29350	29382	29396	29392	29375	29354	29330	29309	29294	29286	29282	29281	29286	29286	29288	29287	29284	29273	29264	29249	29235	29221	29213	29208	29208	29212	29225	29242	29262	29288	29317	29343	29369	29393	29411	29424	29435	29441	29446	29446	29446	29444	29441	29439	29434	29430	29428	29425	29422	29420	29419	29418	29422	29423	29427	29434	29440	29447	29456	29466	29477	29489	29500	29512	29526	29539	29547	29556	29566	29575	29581	29583	29588
1	           2	29377	29234	29100	27790	28823	29044	29215	29366	29517	29628	29679	29684	29643	29576	29488	29382	29264	29154	29055	28972	28908	28887	28900	28954	29047	29170	29295	29385	29447	29499	29532	29546	29542	29526	29504	29479	29458	29443	29435	29431	29431	29436	29436	29438	29437	29434	29424	29416	29401	29387	29373	29365	29360	29360	29363	29377	29393	29414	29441	29470	29496	29522	29546	29564	29577	29587	29594	29598	29598	29597	29595	29592	29590	29585	29582	29580	29577	29574	29572	29572	29571	29575	29576	29580	29587	29592	29599	29608	29618	29629	29641	29653	29665	29679	29692	29700	29709	29720	29729	29735	29737
1	           3	29728	29572	29419	29295	27974	28975	29177	29342	29494	29646	29757	29808	29813	29773	29705	29617	29511	29393	29283	29182	29100	29035	29014	29028	29081	29175	29298	29423	29513	29575	29628	29662	29675	29671	29656	29634	29607	29586	29573	29565	29561	29561	29566	29566	29568	29566	29564	29554	29546	29531	29517	29504	29496	29491	29491	29494	29508	29524	29545	29572	29601	29627	29653	29677	29695	29709	29718	29725	29729	29729	29728	29726	29723	29721	29716	29713	29711	29708	29705	29703	29703	29702	29706	29707	29711	29718	29723	29729	29739	29749	29760	29772	29784	29796	29810	29823	29831	29841	29851	29860	29866
1	           4	30708	29906	29739	29595	29464	28106	29089	29287	29452	29604	29756	29867	29919	29924	29883	29815	29727	29620	29502	29392	29292	29209	29143	29122	29137	29189	29283	29407	29532	29622	29684	29738	29772	29785	29781	29766	29744	29718	29697	29685	29677	29673	29673	29678	29677	29679	29677	29675	29665	29657	29642	29628	29616	29608	29603	29603	29605	29619	29636	29657	29683	29713	29739	29765	29788	29807	29821	29831	29838	29841	29841	29840	29837	29834	29832	29827	29824	29822	29819	29816	29814	29814	29813	29817	29818	29822	29830	29835	29841	29851	29860	29871	29884	29896	29908	29922	29935	29943	29953	29963	29972
1	           5	31533	30867	30056	29896	29747	29579	28203	29181	29380	29544	29697	29849	29961	30013	30018	29976	29908	29820	29713	29595	29485	29385	29301	29235	29214	29229	29281	29375	29499	29624	29715	29777	29832	29866	29879	29875	29860	29838	29812	29791	29779	29771	29767	29767	29772	29771	29773	29771	29769	29759	29752	29737	29723	29711	29703	29698	29698	29700	29714	29732	29752	29778	29809	29835	29861	29884	29903	29917	29927	29934	29937	29937	29935	29933	29930	29928	29923	29920	29917	29914	29911	29909	29909	29908	29912	29912	29917	29925	29930	29936	29946	29955	29966	29979	29991	30003	30017	30030	30038	30048	30058
1	           6	29946	31673	31000	30197	30030	29847	29665	28283	29260	29459	29623	29776	29929	30040	30094	30099	30056	29988	29899	29794	29676	29565	29465	29380	29315	29295	29310	29362	29455	29580	29705	29796	29858	29913	29948	29961	29957	29942	29920	29894	29874	29862	29853	29849	29849	29854	29853	29855	29853	29851	29842	29834	29819	29805	29793	29785	29780	29780	29782	29796	29814	29834	29860	29891	29918	29943	29966	29985	29999	30010	30017	30020	30020	30018	30016	30013	30010	30005	30002	29998	29995	29992	29990	29990	29989	29993	29993	29998	30006	30012	30018	30028	30037	30048	30061	30072	30085	30099	30112	30121	30131
1	           7	30653	30068	31786	31122	30312	30114	29919	29733	28348	29327	29526	29690	29843	29996	30107	30161	30166	30123	30055	29966	29861	29743	29633	29533	29448	29383	29362	29377	29429	29523	29648	29773	29864	29927	29981	30017	30030	30026	30011	29989	29962	29943	29931	29922	29918	29918	29923	29922	29924	29922	29920	29911	29903	29888	29874	29862	29854	29849	29849	29851	29865	29882	29901	29928	29960	29987	30011	30033	30053	30067	30078	30085	30088	30088	30086	30084	30081	30078	30073	30070	30066	30062	30059	30057	30057	30056	30061	30062	30067	30075	30081	30087	30097	30106	30117	30130	30141	30154	30168	30181	30190
1	           8	30586	30762	30169	31894	31226	30384	30175	29976	29791	28406	29383	29583	29747	29900	30052	30164	30218	30224	30181	30111	30025	29919	29801	29691	29591	29506	29441	29420	29435	29487	29581	29706	29831	29924	29985	30041	30076	30089	30085	30070	30048	30021	30002	29990	29981	29977	29977	29982	29981	29983	29981	29979	29970	29962	29947	29932	29920	29912	29907	29907	29909	29923	29940	29959	29986	30018	30045	30069	30091	30111	30125	30136	30143	30146	30146	30144	30142	30139	30136	30131	30128	30124	30120	30117	30115	30115	30114	30119	30120	30125	30134	30140	30146	30155	30164	30175	30189	30200	30213	30228	30241
1	           9	29574	30696	30867	30279	32002	31307	30454	30240	30041	29856	28470	29445	29647	29811	29964	30116	30228	30282	30289	30246	30176	30091	29984	29866	29757	29657	29572	29507	29486	29501	29553	29647	29772	29897	29990	30051	30107	30142	30155	30151	30136	30114	30086	30068	30056	30047	30043	30043	30048	30047	30049	30047	30045	30036	30028	30013	29998	29986	29978	29973	29973	29975	29990	30006	30025	30052	30085	30112	30136	30157	30177	30192	30203	30210	30213	30213	30211	30209	30206	30203	30198	30195	30191	30187	30184	30182	30182	30181	30186	30187	30192	30200	30207	30213	30222	30231	30242	30256	30267	30280	30295
1	          10	28838	29687	30807	30983	30391	32092	31388	30531	30315	30116	29931	28544	29519	29721	29885	30039	30192	30304	30359	30366	30323	30253	30168	30061	29942	29834	29732	29648	29582	29561	29576	29628	29723	29848	29974	30067	30128	30183	30219	30231	30227	30212	30190	30162	30144	30132	30124	30120	30120	30125	30124	30126	30124	30122	30113	30105	30090	30075	30063	30055	30050	30050	30052	30067	30083	30102	30129	30162	30189	30213	30234	30254	30269	30280	30287	30290	30290	30288	30286	30283	30280	30275	30272	30268	30264	30261	30259	30259	30258	30263	30264	30269	30277	30285	30291	30300	30308	30319	30333	30344	30358
1	          11	28885	28936	29782	30908	31081	30468	32162	31454	30596	30380	30181	29995	28608	29582	29785	29949	30103	30256	30369	30423	30430	30389	30318	30233	30126	30007	29899	29797	29713	29647	29626	29641	29693	29788	29913	30039	30133	30193	30249	30285	30297	30293	30278	30256	30228	30210	30198	30190	30186	30186	30191	30190	30192	30190	30188	30179	30171	30156	30141	30129	30121	30116	30116	30118	30133	30148	30167	30195	30228	30255	30279	30299	30320	30335	30346	30353	30356	30356	30354	30352	30349	30346	30341	30338	30334	30330	30327	30325	30325	30324	30329	30330	30335	30343	30351	30357	30366	30373	30385	30399	30410
1	          12	28344	28968	29016	29867	30989	31145	30524	32213	31507	30649	30432	30233	30047	28659	29632	29836	30001	30155	30308	30421	30475	30482	30441	30370	30285	30178	30059	29950	29849	29765	29699	29678	29693	29745	29840	29965	30092	30185	30246	30302	30337	30349	30345	30330	30308	30280	30262	30251	30243	30239	30239	30244	30243	30244	30242	30240	30231	30223	30209	30194	30182	30174	30168	30168	30170	30185	30200	30220	30247	30281	30307	30331	30352	30373	30388	30399	30406	30409	30409	30407	30405	30402	30399	30394	30391	30387	30383	30380	30378	30378	30377	30382	30383	30388	30396	30404	30410	30419	30426	30438	30452
1	          13	27231	28427	29048	29101	29950	31055	31202	30577	32268	31562	30704	30487	30288	30102	28713	29686	29890	30055	30209	30363	30476	30530	30536	30495	30426	30340	30233	30114	30005	29903	29819	29753	29732	29747	29799	29894	30019	30146	30239	30300	30357	30393	30405	30401	30386	30365	30337	30319	30308	30300	30296	30296	30301	30300	30301	30299	30297	30288	30280	30266	30251	30239	30231	30225	30225	30227	30241	30256	30276	30303	30337	30363	30388	30409	30429	30445	30456	30463	30466	30465	30463	30461	30458	30455	30450	30447	30443	30439	30436	30434	30434	30433	30438	30438	30443	30451	30459	30465	30474	30481	30494
1	          14	27083	27316	28508	29136	29186	30017	31114	31259	30634	32325	31621	30761	30544	30345	30159	28769	29742	29947	30112	30266	30420	30534	30588	30594	30553	30485	30397	30291	30172	30062	29961	29875	29810	29789	29803	29856	29951	30076	30203	30296	30358	30415	30450	30463	30459	30444	30423	30395	30376	30365	30357	30353	30353	30358	30357	30358	30357	30355	30347	30339	30325	30310	30298	30290	30284	30284	30286	30300	30315	30335	30362	30396	30422	30447	30468	30488	30504	30515	30522	30525	30524	30522	30520	30516	30513	30508	30505	30501	30497	30494	30492	30492	30491	30497	30497	30502	30510	30519	30525	30534	30540
1	          15	28196	27175	27405	28604	29228	29260	30083	31176	31323	30697	32388	31685	30824	30607	30408	30223	28831	29805	30011	30176	30330	30484	30598	30652	30658	30617	30549	30461	30355	30236	30126	30025	29939	29875	29854	29868	29920	30016	30140	30267	30361	30423	30480	30515	30528	30524	30509	30488	30460	30441	30430	30422	30418	30418	30423	30422	30423	30422	30420	30411	30403	30389	30374	30362	30354	30348	30348	30351	30365	30380	30400	30427	30461	30487	30512	30533	30553	30570	30581	30588	30591	30590	30588	30586	30582	30579	30574	30571	30567	30563	30560	30558	30558	30557	30563	30564	30569	30577	30586	30592	30601
1	          16	29300	28295	27269	27507	28703	29311	29332	30152	31245	31392	30766	32457	31755	30894	30677	30479	30293	28900	29874	30081	30246	30400	30555	30668	30722	30729	30689	30620	30533	30426	30307	30197	30096	30010	29946	29924	29938	29990	30087	30211	30338	30432	30495	30552	30587	30600	30595	30580	30560	30532	30512	30501	30493	30489	30490	30495	30494	30495	30494	30492	30483	30475	30461	30446	30434	30426	30420	30420	30423	30437	30451	30471	30498	30533	30559	30584	30605	30625	30642	30653	30660	30663	30661	30659	30657	30653	30650	30645	30642	30638	30634	30631	30629	30629	30629	30635	30637	30642	30650	30659	30665
1	          17	30279	29405	28396	27379	27613	28793	29390	29407	30228	31322	31470	30844	32534	31833	30971	30755	30556	30371	28978	29951	30160	30325	30479	30633	30746	30800	30808	30768	30699	30612	30505	30386	30277	30175	30088	30024	30003	30017	30069	30165	30290	30416	30511	30573	30630	30666	30680	30675	30660	30640	30612	30592	30581	30573	30569	30570	30575	30574	30575	30574	30572	30563	30555	30541	30526	30514	30506	30500	30500	30503	30517	30531	30551	30578	30614	30640	30665	30686	30706	30723	30734	30741	30744	30742	30740	30738	30734	30731	30726	30723	30719	30715	30712	30710	30710	30710	30717	30719	30724	30732	30741
