Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	28697	27168	27951	27938	27880	27789	27685	27545	27334	27062	26739	26374	25987	25588	25189	24816	24479	24183	23934	23745	23613	23536	23507	23514	23525	23509	23466	23405	23318	23208	23070	22910	22739	22558	22373	22186	21998	21811	21623	21433	21241	21047	20850	20655	20457	20261	20069	19883	19705	19540	19384	19244	19116	19002	18898	18802	18712	18625	18536	18449	18357	18258	18151	18041	17921	17798	17668	17532	17394	17251	17108	16962	16817	16673	16529	16389	16252	16118	15985	15861	15738	15621	15508	15399	15296	15197	15101	15007	14916	14829	14741	14652	14563	14472	14379	14284	14190	14090	13989	13888	13781
1	           1	29017	28677	27150	27933	27920	27863	27772	27669	27529	27319	27047	26724	26360	25973	25575	25176	24804	24467	24171	23923	23734	23602	23525	23496	23504	23515	23499	23456	23395	23308	23198	23061	22901	22730	22549	22364	22177	21990	21803	21615	21425	21233	21039	20843	20648	20450	20254	20062	19876	19699	19534	19378	19238	19110	18996	18892	18796	18706	18619	18531	18444	18352	18253	18146	18036	17916	17793	17663	17527	17389	17247	17104	16958	16813	16669	16525	16385	16248	16114	15981	15857	15734	15618	15505	15396	15293	15194	15098	15004	14913	14826	14738	14649	14560	14469	14376	14281	14187	14087	13986	13886
1	           2	29377	29010	28670	27144	27927	27914	27857	27766	27663	27524	27314	27042	26719	26355	25968	25571	25172	24800	24463	24167	23919	23730	23598	23521	23492	23500	23511	23496	23453	23392	23305	23195	23058	22898	22727	22546	22361	22174	21987	21800	21612	21422	21230	21036	20840	20646	20448	20252	20060	19874	19697	19532	19376	19236	19108	18994	18890	18794	18704	18617	18529	18442	18350	18251	18144	18034	17914	17791	17661	17525	17387	17245	17103	16957	16812	16668	16524	16384	16247	16113	15980	15856	15733	15617	15504	15395	15292	15193	15097	15003	14912	14825	14737	14648	14559	14468	14375	14280	14186	14086	13985
1	           3	29728	29374	29007	28667	27141	27924	27911	27854	27763	27660	27522	27312	27040	26717	26353	25966	25569	25170	24798	24461	24165	23917	23728	23596	23519	23490	23498	23509	23494	23451	23390	23303	23194	23057	22897	22726	22545	22360	22173	21986	21799	21611	21421	21229	21035	20839	20645	20447	20251	20059	19873	19696	19531	19375	19235	19107	18993	18889	18793	18703	18616	18528	18441	18349	18250	18143	18033	17913	17790	17660	17524	17386	17244	17102	16956	16811	16667	16523	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912	14825	14737	14648	14559	14468	14375	14280	14186	14086
1	           4	30708	29725	29371	29004	28664	27139	27922	27909	27852	27761	27658	27520	27310	27038	26715	26351	25964	25567	25168	24796	24459	24164	23916	23727	23595	23518	23489	23497	23508	23493	23450	23389	23302	23193	23056	22896	22725	22544	22359	22172	21985	21798	21610	21420	21228	21034	20838	20644	20446	20250	20058	19872	19695	19530	19374	19234	19106	18992	18888	18792	18702	18615	18527	18440	18348	18249	18142	18032	17912	17789	17659	17523	17385	17243	17101	16955	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912	14825	14737	14648	14559	14468	14375	14280	14186
1	           5	31533	30705	29722	29368	29002	28662	27137	27920	27907	27850	27759	27656	27518	27308	27036	26713	26349	25962	25565	25167	24795	24458	24163	23915	23726	23594	23517	23488	23496	23507	23492	23449	23388	23301	23192	23055	22895	22724	22543	22358	22171	21984	21797	21609	21419	21227	21033	20837	20643	20445	20249	20057	19871	19694	19529	19373	19233	19105	18991	18887	18791	18701	18614	18526	18439	18347	18248	18141	18031	17911	17788	17658	17522	17384	17242	17100	16955	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912	14825	14737	14648	14559	14468	14375	14280
1	           6	29946	31530	30702	29720	29366	29000	28660	27135	27918	27905	27848	27757	27654	27516	27306	27034	26711	26347	25961	25564	25166	24794	24457	24162	23914	23725	23593	23516	23487	23495	23506	23491	23448	23387	23300	23191	23054	22894	22723	22542	22357	22170	21983	21796	21608	21418	21226	21032	20836	20642	20444	20248	20056	19870	19693	19528	19372	19232	19104	18990	18886	18790	18700	18613	18525	18438	18346	18247	18140	18030	17910	17787	17657	17522	17384	17242	17100	16955	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912	14825	14737	14648	14559	14468	14375
1	           7	30653	29943	31527	30700	29718	29364	28998	28658	27133	27916	27903	27846	27755	27652	27514	27304	27032	26710	26346	25960	25563	25165	24793	24456	24161	23913	23724	23592	23515	23486	23494	23505	23490	23447	23386	23299	23190	23053	22893	22722	22541	22356	22169	21982	21795	21607	21417	21225	21031	20835	20641	20443	20247	20055	19869	19692	19527	19371	19231	19103	18989	18885	18789	18699	18612	18524	18437	18345	18246	18139	18029	17910	17787	17657	17522	17384	17242	17100	16955	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912	14825	14737	14648	14559	14468
1	           8	30586	30650	29941	31525	30698	29716	29362	28996	28656	27131	27914	27901	27844	27753	27650	27512	27303	27031	26709	26345	25959	25562	25164	24792	24455	24160	23912	23723	23591	23514	23485	23493	23504	23489	23446	23385	23298	23189	23052	22892	22721	22540	22355	22168	21981	21794	21606	21416	21224	21030	20834	20640	20442	20246	20054	19868	19691	19526	19370	19230	19102	18988	18884	18788	18698	18611	18523	18436	18344	18245	18139	18029	17910	17787	17657	17522	17384	17242	17100	16955	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912	14825	14737	14648	14559
1	           9	29574	30584	30648	29939	31523	30696	29714	29360	28994	28654	27129	27912	27899	27842	27752	27649	27511	27302	27030	26708	26344	25958	25561	25163	24791	24454	24159	23911	23722	23590	23513	23484	23492	23503	23488	23445	23384	23297	23188	23051	22891	22720	22539	22354	22167	21980	21793	21605	21415	21223	21029	20833	20639	20441	20245	20053	19867	19690	19525	19369	19229	19101	18987	18883	18787	18697	18610	18523	18436	18344	18245	18139	18029	17910	17787	17657	17522	17384	17242	17100	16955	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912	14825	14737	14648
1	          10	28838	29572	30582	30646	29937	31521	30694	29712	29358	28992	28652	27127	27910	27898	27841	27751	27648	27510	27301	27029	26707	26343	25957	25560	25162	24790	24453	24158	23910	23721	23589	23512	23483	23491	23502	23487	23444	23383	23296	23187	23050	22890	22719	22538	22353	22166	21979	21792	21604	21414	21222	21028	20832	20638	20440	20244	20052	19866	19689	19524	19368	19228	19100	18986	18882	18786	18696	18610	18523	18436	18344	18245	18139	18029	17910	17787	17657	17522	17384	17242	17100	16955	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912	14825	14737
1	          11	28885	28836	29570	30580	30644	29935	31519	30692	29710	29356	28990	28650	27125	27908	27896	27839	27750	27647	27509	27300	27028	26706	26342	25956	25559	25161	24789	24452	24157	23909	23720	23588	23511	23482	23490	23501	23486	23443	23382	23295	23186	23049	22889	22718	22537	22352	22165	21978	21791	21603	21413	21221	21027	20831	20637	20439	20243	20051	19865	19688	19523	19367	19227	19099	18985	18881	18785	18695	18609	18522	18436	18344	18245	18139	18029	17910	17787	17657	17522	17384	17242	17100	16955	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912	14825
1	          12	28344	28882	28834	29568	30578	30642	29933	31517	30690	29708	29354	28988	28648	27123	27906	27894	27837	27748	27645	27507	27298	27027	26705	26341	25955	25558	25160	24788	24451	24156	23908	23719	23587	23510	23481	23489	23500	23485	23442	23381	23294	23185	23048	22888	22717	22536	22351	22164	21977	21790	21602	21412	21220	21026	20830	20636	20438	20242	20050	19864	19687	19522	19366	19226	19098	18984	18880	18784	18694	18608	18521	18435	18343	18244	18138	18028	17910	17787	17657	17522	17384	17242	17100	16955	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003	14912
1	          13	27231	28341	28879	28831	29565	30575	30639	29930	31514	30687	29706	29352	28986	28646	27121	27904	27892	27835	27746	27643	27505	27296	27025	26703	26339	25953	25556	25159	24787	24450	24155	23907	23718	23586	23509	23480	23488	23499	23484	23441	23380	23293	23184	23047	22887	22716	22535	22350	22163	21976	21789	21601	21411	21219	21025	20829	20635	20437	20241	20049	19863	19686	19521	19365	19225	19097	18983	18879	18783	18693	18607	18520	18434	18342	18243	18137	18027	17909	17786	17656	17521	17383	17241	17099	16954	16810	16666	16522	16383	16246	16112	15979	15855	15732	15616	15503	15394	15291	15193	15097	15003
