2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039																										
													2014-based projected population by sex and single year of age 150 per cent future EU migration variant Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
PERSONS													PERSONS													
All ages	5347600	5364732	5380278	5395632	5411524	5431858	5452792	5474261	5495912	5517684	5539539	5561359	5583004	5604329	5625228	5645536	5665171	5684072	5702174	5719473	5736007	5751737	5766728	5781083	5794875	5808165
0	56297	55851	55598	55289	55641	56218	56750	57221	57621	57943	58199	58415	58532	58562	58538	58453	58323	58199	58087	58010	57933	57852	57814	57850	57935	58052
1	57452	56658	56145	55894	55588	56002	56584	57118	57592	57992	58315	58573	58790	58908	58937	58913	58827	58698	58573	58462	58387	58309	58227	58188	58226	58311
2	59228	57744	56879	56368	56120	55870	56288	56874	57409	57885	58286	58609	58867	59083	59203	59230	59205	59119	58992	58866	58755	58680	58602	58521	58481	58519
3	61007	59463	57913	57051	56541	56342	56096	56517	57105	57639	58116	58518	58842	59099	59315	59436	59463	59436	59351	59224	59098	58986	58911	58832	58752	58711
4	58246	61203	59600	58054	57193	56726	56529	56289	56709	57296	57831	58310	58712	59037	59295	59510	59630	59657	59631	59545	59418	59292	59180	59104	59026	58946
5	59776	58421	61327	59728	58184	57361	56894	56700	56461	56880	57468	58003	58482	58885	59210	59469	59684	59804	59831	59804	59719	59591	59464	59353	59277	59199
6	59654	59932	58530	61437	59843	58330	57509	57042	56849	56610	57028	57616	58153	58631	59035	59362	59620	59835	59954	59981	59956	59870	59743	59614	59504	59428
7	57256	59783	60026	58625	61532	59969	58456	57637	57169	56976	56737	57156	57744	58280	58759	59164	59491	59749	59964	60083	60110	60085	59999	59872	59743	59632
8	56157	57365	59860	60108	58706	61640	60078	58567	57745	57278	57083	56846	57266	57852	58389	58868	59273	59600	59860	60075	60194	60221	60195	60110	59981	59852
9	55742	56256	57432	59931	60183	58804	61738	60178	58666	57844	57376	57181	56944	57364	57950	58488	58968	59372	59699	59959	60176	60293	60322	60296	60211	60081
10	54680	55841	56327	57504	60007	60282	58903	61837	60278	58766	57944	57475	57282	57044	57463	58050	58589	59069	59473	59800	60062	60277	60395	60423	60399	60313
11	53042	54778	55909	56398	57578	60103	60382	59004	61940	60379	58868	58045	57575	57383	57143	57564	58152	58691	59170	59574	59902	60163	60378	60496	60525	60501
12	52773	53120	54827	55961	56453	57654	60181	60463	59083	62021	60461	58948	58124	57655	57464	57224	57645	58233	58772	59251	59655	59984	60245	60459	60577	60607
13	54991	52851	53168	54875	56012	56526	57727	60257	60536	59156	62098	60538	59025	58199	57731	57539	57299	57722	58308	58849	59328	59732	60061	60322	60538	60654
14	56376	55086	52915	53234	54943	56104	56622	57823	60353	60632	59254	62194	60636	59123	58298	57829	57636	57395	57819	58406	58948	59427	59830	60160	60422	60638
15	58605	56481	55159	52990	53310	55046	56209	56729	57930	60460	60740	59362	62303	60745	59234	58407	57937	57743	57502	57926	58514	59056	59535	59938	60269	60531
16	59820	58729	56569	55249	53083	53432	55169	56333	56853	58055	60585	60867	59490	62428	60873	59361	58534	58064	57870	57629	58053	58640	59182	59663	60066	60397
17	62081	60055	58915	56756	55438	53310	53658	55397	56562	57084	58289	60820	61106	59730	62668	61115	59603	58773	58302	58107	57866	58291	58878	59420	59902	60306
18	63580	62959	60833	59678	57517	56281	54146	54485	56226	57404	57935	59146	61686	61989	60615	63548	62012	60488	59650	59170	58972	58731	59154	59745	60291	60777
19	66767	65443	64631	62491	61319	59318	58063	55908	56231	57982	59182	59731	60955	63523	63852	62474	65411	63890	62344	61486	60996	60793	60549	60972	61568	62120
20	69591	68854	67275	66458	64312	63360	61344	60072	57894	58207	59974	61192	61754	62993	65594	65938	64549	67502	65979	64413	63538	63043	62835	62587	63013	63612
21	70981	71275	70260	68683	67875	65981	65029	63010	61725	59538	59849	61623	62849	63417	64666	67280	67632	66238	69201	67678	66100	65219	64721	64509	64262	64688
22	76655	72422	72402	71398	69834	69320	67433	66489	64468	63180	60990	61301	63078	64309	64878	66128	68748	69101	67706	70674	69150	67570	66687	66188	65975	65727
23	77059	77623	73044	73054	72068	70821	70330	68457	67525	65508	64231	62045	62367	64142	65369	65931	67178	69794	70136	68739	71714	70180	68603	67730	67235	67023
24	73341	77385	77602	73056	73107	72397	71177	70713	68853	67936	65934	64672	62503	62834	64599	65816	66367	67607	70206	70533	69140	72110	70569	69007	68145	67659
25	72174	73535	77270	77490	72984	73270	72580	71384	70928	69080	68173	66186	64936	62781	63115	64871	66079	66623	67855	70439	70760	69373	72330	70792	69239	68387
26	72901	72448	73558	77289	77518	73217	73527	72849	71660	71210	69369	68469	66490	65248	63100	63438	65190	66392	66931	68159	70736	71053	69669	72620	71081	69535
27	70831	73200	72525	73640	77380	77774	73496	73819	73144	71961	71513	69678	68784	66811	65571	63433	63769	65520	66718	67254	68479	71050	71366	69985	72930	71391
28	70296	71126	73299	72631	73757	77642	78042	73782	74107	73434	72255	71808	69977	69088	67118	65881	63749	64088	65836	67031	67566	68789	71356	71670	70293	73232
29	69960	70536	71197	73374	72716	73971	77859	78266	74013	74337	73668	72491	72046	70219	69332	67365	66131	64004	64343	66089	67285	67817	69039	71604	71918	70540
30	67738	70193	70618	71284	73468	72925	74186	78078	78486	74238	74564	73896	72719	72277	70454	69566	67603	66372	64246	64586	66333	67526	68059	69280	71841	72155
31	68791	67965	70288	70717	71394	73674	73139	74407	78295	78704	74461	74784	74119	72942	72502	70679	69794	67832	66601	64478	64819	66564	67756	68291	69512	72071
32	69734	68971	68035	70360	70796	71557	73838	73311	74578	78464	78875	74633	74957	74293	73116	72678	70855	69973	68011	66784	64660	65001	66747	67938	68472	69697
33	69279	69903	69043	68112	70442	70951	71716	74001	73476	74742	78626	79039	74802	75122	74461	73285	72846	71024	70143	68183	66957	64833	65174	66918	68110	68647
34	67955	69440	69978	69123	68200	70591	71104	71876	74160	73635	74902	78784	79199	74966	75282	74621	73447	73007	71186	70306	68346	67120	64999	65339	67083	68276
35	65523	68102	69512	70058	69209	68339	70731	71252	72024	74308	73785	75050	78930	79352	75121	75431	74771	73598	73157	71339	70457	68498	67272	65152	65491	67234
36	61183	65657	68172	69587	70138	69337	68473	70868	71391	72162	74445	73924	75189	79069	79493	75266	75573	74913	73740	73299	71481	70599	68641	67414	65296	65633
37	60046	61289	65703	68221	69643	70236	69441	68580	70973	71498	72269	74548	74034	75296	79176	79605	75380	75684	75025	73852	73409	71593	70713	68755	67527	65410
