2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039																										
													2014-based projected population by sex and single year of age, 50 per cent future EU migration variant, Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
PERSONS													PERSONS													
All ages	5347600	5364732	5380278	5395632	5411524	5424111	5437042	5450241	5463383	5476407	5489250	5501786	5513864	5525358	5536146	5546088	5555108	5563159	5570208	5576261	5581377	5585545	5588855	5591438	5593365	5594721
0	56297	55851	55598	55289	55641	56060	56386	56636	56789	56858	56851	56789	56620	56366	56067	55708	55322	54950	54612	54334	54078	53843	53674	53596	53579	53615
1	57452	56658	56145	55894	55588	55887	56311	56640	56892	57046	57117	57111	57049	56883	56628	56328	55968	55584	55211	54874	54597	54341	54105	53936	53859	53842
2	59228	57744	56879	56368	56120	55762	56064	56493	56823	57076	57231	57302	57298	57235	57069	56812	56512	56152	55770	55396	55059	54782	54526	54290	54121	54045
3	61007	59463	57913	57051	56541	56248	55895	56198	56629	56959	57213	57369	57440	57435	57373	57208	56950	56648	56291	55909	55535	55195	54918	54663	54427	54257
4	58246	61203	59600	58054	57193	56642	56351	56003	56305	56735	57067	57322	57478	57550	57546	57483	57317	57059	56758	56400	56018	55644	55304	55026	54772	54536
5	59776	58421	61327	59728	58184	57288	56737	56448	56101	56402	56833	57165	57420	57577	57649	57646	57583	57417	57159	56857	56500	56118	55743	55404	55125	54871
6	59654	59932	58530	61437	59843	58268	57374	56822	56534	56187	56487	56918	57252	57506	57664	57739	57735	57671	57504	57246	56946	56588	56207	55830	55492	55213
7	57256	59783	60026	58625	61532	59915	58340	57448	56895	56607	56260	56561	56992	57325	57580	57739	57814	57810	57746	57579	57321	57021	56663	56282	55905	55566
8	56157	57365	59860	60108	58706	61594	59977	58404	57509	56957	56667	56322	56624	57053	57387	57642	57801	57876	57874	57810	57643	57385	57084	56728	56345	55968
9	55742	56256	57432	59931	60183	58762	61649	60034	58460	57565	57012	56722	56377	56679	57108	57443	57699	57857	57932	57930	57869	57700	57443	57142	56786	56402
10	54680	55841	56327	57504	60007	60241	58818	61706	60092	58517	57623	57068	56780	56434	56736	57166	57502	57758	57917	57991	57991	57927	57760	57502	57203	56845
11	53042	54778	55909	56398	57578	60062	60299	58875	61765	60150	58575	57681	57125	56838	56489	56793	57224	57560	57815	57975	58049	58050	57985	57818	57560	57262
12	52773	53120	54827	55961	56453	57614	60100	60339	58913	61805	60191	58614	57719	57164	56878	56529	56833	57264	57600	57855	58015	58090	58091	58025	57858	57601
13	54991	52851	53168	54875	56012	56485	57646	60135	60371	58945	61841	60227	58650	57753	57199	56912	56563	56869	57298	57636	57891	58051	58126	58127	58063	57894
14	56376	55086	52915	53234	54943	56059	56535	57696	60185	60421	58997	61892	60279	58702	57806	57251	56963	56614	56921	57350	57689	57944	58103	58179	58181	58117
15	58605	56481	55159	52990	53310	54997	56114	56592	57753	60242	60479	59055	61951	60338	58763	57865	57309	57020	56671	56978	57409	57748	58003	58162	58238	58240
16	59820	58729	56569	55249	53083	53378	55065	56183	56661	57823	60312	60551	59128	62021	60411	58835	57937	57381	57092	56743	57050	57480	57819	58076	58235	58311
17	62081	60055	58915	56756	55438	53234	53528	55217	56336	56816	57982	60471	60714	59292	62185	60577	59001	58101	57543	57253	56904	57212	57642	57981	58239	58399
18	63580	62959	60833	59678	57517	56098	53887	54171	55863	56994	57483	58655	61154	61414	59993	62882	61290	59703	58794	58228	57934	57586	57892	58326	58669	58931
19	66767	65443	64631	62491	61319	58960	57519	55288	55556	57258	58412	58918	60102	62630	62916	61491	64384	62806	61198	60270	59693	59393	59042	59348	59787	60136
20	69591	68854	67275	66458	64312	62886	60509	59049	56795	57053	58771	59943	60462	61661	64223	64523	63088	65996	64417	62788	61844	61262	60956	60601	60910	61352
21	70981	71275	70260	68683	67875	65465	64039	61656	60183	57920	58174	59899	61080	61606	62815	65390	65699	64256	67175	65595	63954	63004	62422	62110	61755	62064
22	76655	72422	72402	71398	69834	68749	66344	64922	62537	61062	58796	59051	60778	61964	62491	63702	66281	66593	65148	68072	66491	64848	63895	63313	63000	62644
23	77059	77623	73044	73054	72068	70222	69156	66763	65351	62971	61508	59245	59510	61237	62417	62938	64146	66720	67023	65575	68506	66914	65277	64332	63753	63442
24	73341	77385	77602	73056	73107	71877	70056	69012	66634	65237	62871	61425	59179	59452	61170	62339	62849	64048	66606	66895	65453	68376	66777	65156	64222	63651
25	72174	73535	77270	77490	72984	72845	71633	69835	68799	66434	65047	62695	61262	59031	59306	61016	62176	62679	63871	66413	66695	65260	68171	66573	64962	64039
26	72901	72448	73558	77289	77518	72853	72734	71533	69743	68713	66355	64976	62631	61207	58984	59262	60967	62122	62620	63808	66344	66619	65189	68094	66495	64888
27	70831	73200	72525	73640	77380	77454	72810	72702	71504	69722	68693	66342	64968	62629	61207	58994	59272	60975	62124	62620	63805	66337	66609	65182	68082	66484
28	70296	71126	73299	72631	73757	77360	77439	72812	72707	71511	69733	68705	66359	64990	62655	61236	59028	59309	61010	62156	62650	63833	66362	66632	65208	68103
29	69960	70536	71197	73374	72716	73731	77337	77422	72801	72696	71505	69728	68703	66362	64995	62663	61247	59044	59326	61024	62171	62662	63844	66372	66640	65216
30	67738	70193	70618	71284	73468	72713	73734	77342	77427	72812	72709	71519	69743	68722	66385	65018	62689	61277	59074	59357	61056	62201	62692	63873	66398	66666
31	68791	67965	70288	70717	71394	73491	72742	73769	77373	77459	72851	72745	71558	69783	68764	66427	65064	62737	61324	59125	59409	61105	62249	62742	63922	66446
32	69734	68971	68035	70360	70796	71402	73499	72757	73783	77386	77474	72868	72763	71578	69803	68786	66449	65089	62764	61354	59155	59439	61136	62279	62771	63955
33	69279	69903	69043	68112	70442	70815	71423	73524	72784	73809	77410	77501	72901	72792	71609	69836	68820	66483	65124	62802	61393	59195	59477	61174	62318	62812
34	67955	69440	69978	69123	68200	70475	70849	71465	73564	72825	73849	77449	77543	72947	72835	71653	69882	68865	66530	65172	62851	61442	59247	59528	61225	62370
35	65523	68102	69512	70058	69209	68237	70512	70893	71509	73608	72871	73893	77493	77594	72999	72882	71702	69932	68915	66582	65224	62904	61495	59302	59581	61277
36	61183	65657	68172	69587	70138	69245	68280	70556	70939	71554	73653	72919	73940	77541	77645	73054	72934	71755	69985	68970	66637	65279	62961	61551	59360	59638
37	60046	61289	65703	68221	69643	70156	69269	68306	70580	70966	71580	73677	72949	73968	77569	77678	73090	72968	71790	70021	69005	66675	65318	63002	61590	59399
