2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039																										
													2014-based projected population by sex and single year of age, zero future EU migration variant, Scotland 2014-2039 (continued)													
	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
																										
PERSONS													PERSONS													
All ages	5347600	5364732	5380278	5395632	5411524	5420267	5429219	5438305	5447220	5455892	5464251	5472169	5479496	5486098	5491866	5496637	5500365	5503011	5504544	5504988	5504408	5502818	5500308	5497019	5493037	5488452
0	56297	55851	55598	55289	55641	55984	56209	56338	56374	56318	56176	55975	55670	55270	54827	54330	53818	53324	52873	52489	52146	51835	51608	51464	51400	51392
1	57452	56658	56145	55894	55588	55830	56176	56405	56536	56574	56519	56377	56178	55874	55473	55030	54533	54021	53529	53077	52694	52351	52040	51813	51670	51606
2	59228	57744	56879	56368	56120	55709	55953	56302	56532	56664	56703	56650	56508	56309	56005	55602	55158	54662	54151	53660	53208	52824	52479	52170	51943	51800
3	61007	59463	57913	57051	56541	56202	55794	56041	56391	56621	56753	56793	56741	56599	56400	56096	55693	55249	54754	54243	53752	53299	52915	52569	52260	52033
4	58246	61203	59600	58054	57193	56601	56263	55859	56106	56454	56687	56820	56860	56808	56667	56468	56163	55759	55316	54820	54309	53818	53365	52980	52636	52326
5	59776	58421	61327	59728	58184	57251	56658	56322	55920	56166	56514	56748	56881	56922	56870	56730	56531	56225	55821	55377	54883	54372	53880	53428	53042	52698
6	59654	59932	58530	61437	59843	58237	57306	56713	56376	55974	56220	56567	56802	56935	56976	56927	56787	56588	56282	55878	55434	54940	54429	53936	53484	53097
7	57256	59783	60026	58625	61532	59888	58281	57351	56757	56421	56018	56265	56614	56846	56982	57024	56974	56833	56634	56328	55926	55480	54987	54475	53984	53532
8	56157	57365	59860	60108	58706	61570	59926	58320	57389	56795	56458	56055	56302	56651	56883	57020	57062	57013	56871	56672	56367	55965	55519	55027	54514	54023
9	55742	56256	57432	59931	60183	58739	61602	59960	58352	57421	56827	56491	56089	56335	56684	56916	57053	57095	57048	56907	56709	56402	56001	55554	55062	54548
10	54680	55841	56327	57504	60007	60217	58774	61638	59997	58388	57457	56862	56527	56124	56370	56720	56954	57091	57133	57085	56946	56745	56440	56039	55593	55099
11	53042	54778	55909	56398	57578	60042	60255	58811	61677	60035	58426	57495	56900	56566	56160	56408	56759	56993	57129	57171	57124	56986	56784	56479	56078	55633
12	52773	53120	54827	55961	56453	57595	60059	60276	58830	61697	60056	58446	57513	56918	56586	56179	56427	56779	57012	57151	57193	57146	57007	56805	56500	56099
13	54991	52851	53168	54875	56012	56464	57607	60072	60287	58842	61712	60070	58461	57527	56932	56600	56192	56441	56793	57026	57165	57207	57161	57021	56821	56516
14	56376	55086	52915	53234	54943	56037	56492	57635	60099	60314	58872	61741	60099	58490	57557	56961	56629	56221	56470	56822	57056	57195	57236	57191	57053	56852
15	58605	56481	55159	52990	53310	54972	56068	56525	57668	60132	60347	58905	61775	60133	58526	57591	56995	56662	56254	56504	56857	57091	57230	57271	57226	57088
16	59820	58729	56569	55249	53083	53349	55011	56108	56565	57709	60174	60391	58950	61817	60178	58570	57634	57038	56705	56297	56547	56899	57133	57274	57315	57270
17	62081	60055	58915	56756	55438	53197	53460	55125	56223	56683	57829	60295	60516	59075	61943	60306	58698	57759	57162	56828	56420	56670	57022	57257	57399	57442
18	63580	62959	60833	59678	57517	56006	53759	54012	55679	56789	57260	58411	60886	61126	59685	62548	60928	59310	58361	57755	57418	57011	57259	57614	57853	57999
19	66767	65443	64631	62491	61319	58780	57247	54980	55218	56893	58026	58515	59679	62181	62448	61003	63869	62264	60624	59657	59039	58698	58287	58535	58895	59141
20	69591	68854	67275	66458	64312	62650	60090	58539	56248	56479	58169	59320	59821	61001	63535	63817	62363	65243	63637	61977	60994	60369	60024	59609	59860	60224
21	70981	71275	70260	68683	67875	65208	63545	60977	59415	57113	57341	59038	60197	60706	61896	64445	64733	63273	66163	64556	62885	61897	61269	60920	60505	60754
22	76655	72422	72402	71398	69834	68464	65800	64143	61571	60008	57703	57932	59632	60795	61306	62496	65051	65341	63880	66775	65166	63494	62503	61874	61524	61110
23	77059	77623	73044	73054	72068	69923	68569	65919	64272	61706	60153	57852	58092	59790	60947	61453	62640	65190	65469	64006	66908	65290	63622	62640	62015	61666
24	73341	77385	77602	73056	73107	71620	69497	68163	65528	63896	61345	59807	57523	57773	59460	60607	61102	62282	64815	65079	63621	66517	64891	63239	62267	61652
25	72174	73535	77270	77490	72984	72635	71162	69060	67734	65113	63491	60955	59429	57158	57412	59089	60227	60717	61888	64406	64664	63212	66095	64472	62831	61867
26	72901	72448	73558	77289	77518	72671	72340	70877	68784	67463	64850	63235	60706	59189	56925	57184	58855	59987	60474	61641	64151	64405	62956	65834	64208	62575
27	70831	73200	72525	73640	77380	77293	72466	72143	70685	68598	67280	64673	63065	60541	59027	56772	57031	58700	59828	60311	61476	63981	64234	62786	65661	64034
28	70296	71126	73299	72631	73757	77221	77138	72325	72006	70550	68465	67151	64549	62947	60425	58916	56663	56927	58592	59718	60200	61362	63863	64117	62670	65539
29	69960	70536	71197	73374	72716	73613	77077	77001	72194	71876	70425	68341	67029	64433	62832	60313	58808	56560	56825	58488	59612	60093	61255	63753	64005	62560
30	67738	70193	70618	71284	73468	72610	73511	76976	76902	72100	71783	70334	68252	66943	64352	62750	60235	58733	56486	56753	58416	59538	60019	61180	63674	63926
31	68791	67965	70288	70717	71394	73399	72547	73453	76915	76843	72048	71728	70281	68202	66894	64304	62704	60192	58691	56446	56713	58375	59496	59978	61139	63632
32	69734	68971	68035	70360	70796	71324	73329	72485	73388	76851	76779	71987	71668	70222	68145	66837	64249	62652	60142	58644	56400	56665	58328	59449	59931	61093
33	69279	69903	69043	68112	70442	70748	71277	73286	72443	73345	76807	76738	71952	71630	70187	68111	66804	64217	62622	60116	58617	56374	56638	58301	59423	59908
34	67955	69440	69978	69123	68200	70416	70724	71259	73268	72426	73328	76788	76721	71940	71616	70175	68099	66793	64207	62614	60109	58612	56370	56633	58295	59418
35	65523	68102	69512	70058	69209	68186	70403	70716	71252	73259	72421	73320	76780	76719	71941	71613	70174	68100	66794	64210	62618	60113	58618	56377	56637	58299
36	61183	65657	68172	69587	70138	69199	68182	70401	70716	71251	73259	72423	73322	76783	76724	71950	71619	70183	68108	66804	64220	62630	60126	58632	56392	56649
37	60046	61289	65703	68221	69643	70116	69181	68167	70383	70702	71236	73244	72411	73311	76771	76719	71946	71612	70180	68105	66802	64219	62631	60128	58636	56396
