Back to contents																						
	1.6 Labour market																					
		Employment (16+, millions)	Employment rate (16+, per cent)	Employees (16+, millions)	ILO unemployment (16+, millions)	ILO unemployment rate (16+, per cent)	Participation rate (16+, per cent)	Claimant count (millions)	Average hours worked	Total hours worked (millions)	Labour share (per cent)	Compensation of employees                    (£ billion) (a)	Wages and salaries (£ billion) (a-b)	Employers social contributions (£ billion) (b)	Mixed income (£ billion)	Average earnings growth (per cent)	Average earnings index (2008Q1=100)	Average hourly earnings index (2008Q1=100)	Productivity per hour index (2008Q1 =100)	Productivity per worker index (2008Q1 =100)	Real product wage (2008Q1 =100)	Real consumption wage (2008Q1 =100)
	2008Q1	29.7	60.3	25.8	1.6	5.2	63.6	0.78	32.2	955.1	62.8	200.5	166.5	33.9	23.3	3.0	100.0	100.0	100.0	100.0	100.0	100.0
	2008Q2	29.7	60.3	25.9	1.7	5.3	63.7	0.82	31.8	944.6	62.6	198.2	166.0	32.2	23.4	1.8	99.5	100.7	100.5	99.3	98.8	97.9
	2008Q3	29.6	59.9	25.8	1.8	5.9	63.6	0.93	32.0	945.2	62.6	197.5	165.6	32.0	23.9	0.7	99.6	100.3	98.9	98.2	97.3	96.6
	2008Q4	29.5	59.6	25.7	2.0	6.4	63.7	1.10	31.8	939.5	63.1	196.1	164.3	31.8	24.4	-0.6	99.0	100.2	97.2	96.1	95.8	95.2
	2009Q1	29.4	59.2	25.5	2.2	7.1	63.7	1.36	31.4	923.5	62.8	193.8	160.5	33.3	23.9	-2.5	97.5	99.7	97.1	94.9	94.6	95.6
	2009Q2	29.1	58.5	25.2	2.4	7.8	63.4	1.54	31.6	920.1	64.8	198.9	167.0	31.9	23.9	3.1	102.5	104.3	97.2	95.6	98.5	99.2
	2009Q3	29.1	58.3	25.2	2.5	7.8	63.3	1.60	31.5	915.2	64.6	199.5	167.7	31.8	23.5	3.6	103.1	105.4	98.0	95.9	98.8	99.6
	2009Q4	29.1	58.3	25.2	2.5	7.8	63.2	1.61	31.5	915.6	65.5	203.2	167.8	35.4	23.8	4.2	103.2	105.5	98.2	96.0	100.4	101.0
	2010Q1	29.0	58.0	25.1	2.5	8.0	63.0	1.58	31.5	914.4	64.9	202.0	165.0	37.0	24.5	4.7	102.0	104.1	99.0	96.9	100.2	100.0
	2010Q2	29.2	58.2	25.2	2.5	7.9	63.2	1.50	31.6	922.3	64.5	204.7	167.4	37.3	23.3	0.2	102.8	104.6	99.3	97.5	100.8	100.1
	2010Q3	29.4	58.5	25.3	2.5	7.8	63.4	1.46	31.5	926.9	64.9	206.5	169.8	36.6	24.0	0.7	103.8	105.9	99.7	97.7	101.7	100.1
