Back to contents																			
	1.7 Inflation																		
		year-on-year growth									Jan 1987=100	Jan 1987=100	2015=100	2010=100	Jan 1987=100	2015 = 100	2012=100	Jan 2015=100	2012=100
		RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	House price index	GDP deflator	RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	House price index	GDP deflator
	2008Q1	4.0	3.5	2.4	5.4	11.7	3.3	3.2		2.6	211.1	204.1	82.9	95.4	404.5	83.4	88.5	97.2	91.0
	2008Q2	4.4	4.4	3.4	7.4	4.2	3.4	3.1		2.7	215.3	208.8	84.6	98.2	393.7	84.7	89.2	95.1	91.4
	2008Q3	5.0	5.3	4.8	8.6	-1.7	3.0	4.6		3.0	217.4	210.8	85.7	100.0	395.7	85.0	90.5	90.2	92.3
	2008Q4	2.7	3.8	3.8	5.3	-13.5	3.6	4.7		3.1	215.5	210.2	85.8	98.5	357.9	85.9	91.3	85.3	92.9
	2009Q1	-0.1	2.4	3.0	2.3	-38.9	2.9	2.3	-15.5	2.2	210.9	209.0	85.4	97.6	247.2	85.8	90.5	82.1	93.0
	2009Q2	-1.3	1.4	2.1	-0.5	-45.8	1.6	1.5	-13.8	1.8	212.6	211.8	86.4	97.7	213.4	86.1	90.5	82.0	93.0
	2009Q3	-1.4	1.3	1.5	-2.2	-45.5	1.9	0.2	-6.8	1.3	214.4	213.6	86.9	97.8	215.5	86.7	90.6	84.1	93.5
	2009Q4	0.6	2.8	2.1	-0.1	-39.1	1.0	-0.3	1.8	0.9	216.9	216.0	87.6	98.4	218.1	86.8	91.0	86.8	93.7
	2010Q1	4.0	4.5	3.3	1.2	-10.9	1.1	1.4	7.7	1.5	219.3	218.5	88.2	98.8	220.2	86.8	91.8	88.4	94.4
	2010Q2	5.1	5.2	3.5	2.3	4.6	1.6	1.9	8.3	2.0	223.5	222.7	89.3	99.9	223.3	87.5	92.3	88.8	94.9
	2010Q3	4.7	4.7	3.1	2.5	5.2	1.2	2.3	5.7	1.1	224.5	223.6	89.6	100.2	226.8	87.7	92.7	88.9	94.5
	2010Q4	4.7	4.7	3.4	2.7	4.8	1.5	2.8	1.5	1.5	227.0	226.1	90.5	101.1	228.5	88.1	93.6	88.1	95.1
	2011Q1	5.3	5.3	4.1	4.0	4.6	1.9	3.5	-0.8	2.6	230.9	230.1	91.8	102.8	230.3	88.4	95.0	87.7	96.9
	2011Q2	5.1	5.2	4.4	4.8	3.9	2.3	3.5	-1.8	1.4	234.9	234.2	93.3	104.7	232.1	89.5	95.5	87.2	96.2
	2011Q3	5.2	5.4	4.7	5.1	2.4	3.0	3.9	-2.0	2.0	236.2	235.5	93.8	105.3	232.2	90.3	96.3	87.1	96.4
	2011Q4	5.1	5.3	4.6	4.4	1.4	2.9	3.4	-1.2	2.0	238.6	238.0	94.7	105.5	231.7	90.6	96.8	87.1	97.0
	2012Q1	3.7	3.8	3.5	3.2	0.8	3.0	2.3	-0.5	0.2	239.6	238.9	95.1	106.1	232.2	91.0	97.2	87.3	97.1
	2012Q2	3.1	3.1	2.8	1.7	1.0	3.4	2.1	0.6	1.4	242.2	241.6	95.8	106.5	234.3	92.5	97.5	87.7	97.5
	2012Q3	2.9	2.9	2.4	1.4	2.8	3.4	1.5	0.5	2.4	243.1	242.4	96.1	106.8	238.7	93.4	97.7	87.6	98.7
	2012Q4	3.1	3.0	2.7	1.5	4.8	3.6	1.7	1.0	2.3	246.0	245.2	97.3	107.1	242.8	93.9	98.5	87.9	99.2
	2013Q1	3.3	3.2	2.8	1.6	4.4	3.2	2.1	1.3	2.5	247.4	246.7	97.7	107.8	242.4	94.0	99.3	88.4	99.5
	2013Q2	3.1	3.1	2.7	1.6	4.0	2.5	2.2	1.6	2.3	249.7	249.0	98.4	108.2	243.6	94.8	99.7	89.1	99.7
