Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	390094	404739	410646	416229	421531	426700	429089	428718	428266	427743	427093	426275	425762	425600	425622	426079	426945	428181	429943	432255	435593	439503	443329	447224	450972	454548	457901	460907	463551	465884	467957	469796	471481	473101	474673	476175	477641	479080	480462	481782	483065	484300	485482	486631	487804	489033	490341	491788	493393	495150	497088	499185	501428	503791	506245	508747	511273	513786	516248	518637	520933	523120	525189	527143	528981	530716	532363	533930	535438	536898	538333	539746	541165	542592	544039	545517	547039	548616	550243	551930	553682	555498	557364	559291	561263	563272	565313	567363	569410	571454	573475	575462	577407	579316	581166	582962	584712	586404	588051	589663
1	           1	402554	404255	392820	407388	413220	418608	423820	428901	431295	430931	430487	429969	429325	428514	428006	427849	427877	428337	429208	430449	432213	434528	437871	441782	445610	449507	453258	456837	460193	463200	465846	468182	470257	472100	473788	475411	476985	478491	479958	481401	482786	484108	485394	486632	487817	488969	490143	491376	492685	494134	495743	497501	499443	501542	503787	506150	508608	511110	513638	516152	518617	521006	523305	525494	527565	529522	531360	533099	534746	536316	537825	539287	540723	542137	543557	544985	546436	547916	549439	551019	552645	554334	556087	557903	559771	561701	563674	565683	567726	569778	571825	573871	575892	577881	579826	581736	583588	585385	587136	588830	590477
1	           2	406751	406091	407874	396356	410832	416415	421689	426791	431873	434267	433905	433464	432947	432304	431497	430991	430834	430864	431326	432197	433440	435205	437521	440865	444777	448607	452504	456256	459835	463192	466199	468848	471186	473260	475103	476793	478417	479989	481498	482965	484409	485796	487119	488406	489645	490831	491983	493158	494393	495701	497150	498762	500519	502461	504561	506807	509168	511630	514132	516662	519175	521643	524032	526332	528521	530593	532550	534389	536128	537775	539346	540855	542317	543754	545169	546590	548017	549469	550949	552473	554055	555681	557369	559123	560941	562808	564738	566711	568721	570764	572817	574865	576911	578932	580922	582867	584776	586629	588427	590179	591874
1	           3	416855	409906	409324	411032	399436	413681	419166	424340	429443	434525	436920	436559	436118	435604	434960	434155	433651	433495	433525	433987	434859	436101	437867	440183	443528	447440	451272	455168	458920	462499	465857	468864	471513	473853	475928	477769	479460	481085	482657	484167	485634	487077	488465	489788	491075	492314	493502	494654	495828	497065	498373	499821	501434	503193	505134	507234	509481	511843	514304	516806	519336	521848	524318	526707	529008	531196	533269	535226	537064	538804	540452	542025	543534	544996	546434	547848	549269	550697	552149	553629	555153	556735	558363	560052	561803	563622	565490	567419	569392	571402	573446	575499	577546	579593	581614	583604	585551	587461	589312	591110	592862
1	           4	430088	419715	412844	412197	413830	402009	416163	421559	426734	431838	436920	439314	438955	438515	438003	437358	436553	436049	435894	435925	436388	437260	438502	440270	442585	445929	449842	453674	457570	461322	464901	468259	471267	473916	476256	478333	480175	481866	483490	485063	486574	488040	489484	490873	492196	493483	494721	495911	497062	498237	499474	500782	502231	503844	505602	507545	509644	511891	514254	516715	519218	521748	524261	526732	529119	531422	533609	535682	537641	539479	541219	542866	544439	545948	547409	548850	550265	551685	553113	554564	556045	557567	559152	560778	562469	564219	566038	567906	569836	571811	573820	575863	577918	579963	582011	584031	586020	587967	589878	591730	593529
1	           5	424001	432685	422380	415452	414742	416159	404252	418328	423723	428899	434003	439085	441480	441122	440682	440170	439527	438722	438219	438063	438095	438559	439430	440673	442441	444757	448102	452016	455848	459744	463496	467075	470435	473442	476092	478431	480507	482351	484042	485666	487239	488752	490217	491660	493049	494372	495661	496898	498090	499240	500416	501653	502961	504411	506024	507783	509727	511826	514073	516436	518896	521401	523931	526444	528915	531301	533605	535792	537865	539824	541663	543403	545050	546623	548132	549593	551034	552449	553869	555298	556748	558230	559751	561338	562964	564655	566404	568224	570091	572021	573996	576006	578049	580105	582149	584199	586218	588208	590155	592066	593918
1	           6	415558	426252	434996	424647	417668	416755	418101	406124	420201	425596	430773	435879	440959	443356	442998	442559	442047	441405	440600	440098	439942	439975	440440	441310	442552	444323	446638	449984	453898	457730	461626	465379	468958	472318	475324	477974	480315	482390	484234	485925	487548	489123	490636	492103	493545	494936	496258	497547	498785	499976	501128	502306	503541	504849	506300	507913	509673	511616	513716	515963	518327	520786	523290	525821	528335	530806	533192	535495	537683	539756	541714	543555	545295	546942	548515	550024	551485	552926	554342	555763	557191	558641	560123	561644	563230	564857	566548	568298	570118	571985	573915	575890	577901	579944	582000	584044	586095	588113	590105	592050	593962
1	           7	411238	417594	428343	437044	426649	419484	418507	419790	407815	421892	427288	432465	437571	442651	445049	444691	444253	443742	443099	442295	441794	441637	441671	442137	443008	444249	446021	448337	451682	455596	459428	463324	467077	470658	474018	477024	479674	482016	484091	485936	487628	489250	490825	492338	493806	495247	496639	497962	499250	500489	501680	502833	504011	505248	506555	508005	509618	511379	513321	515423	517669	520034	522493	524997	527527	530041	532512	534900	537202	539391	541464	543422	545262	547003	548649	550223	551732	553194	554634	556049	557471	558899	560349	561831	563354	564939	566567	568257	570007	571828	573695	575625	577601	579611	581655	583711	585755	587807	589823	591818	593761
1	           8	414564	413213	419616	430321	438978	428405	421178	420139	421422	409449	423526	428921	434101	439205	444286	446686	446327	445890	445379	444736	443934	443433	443276	443312	443778	444650	445891	447662	449979	453324	457237	461070	464966	468719	472301	475661	478667	481316	483658	485735	487580	489273	490894	492470	493984	495452	496893	498285	499609	500896	502136	503326	504481	505658	506895	508202	509654	511267	513028	514969	517072	519317	521682	524142	526646	529178	531692	534163	536550	538851	541040	543112	545073	546912	548655	550300	551874	553382	554844	556285	557699	559122	560550	562001	563482	565005	566589	568220	569910	571659	573481	575349	577279	579255	581264	583309	585365	587408	589461	591476	593472
1	           9	401517	416468	415159	421523	432185	440672	430042	422757	421718	423002	411030	425107	430501	435683	440786	445867	448268	447908	447473	446962	446320	445517	445017	444860	444897	445363	446235	447477	449249	451567	454913	458824	462657	466553	470306	473890	477250	480257	482905	485247	487323	489168	490864	492484	494059	495574	497042	498484	499875	501200	502487	503727	504918	506074	507252	508488	509794	511246	512859	514621	516562	518665	520911	523275	525736	528238	530770	533285	535757	538144	540445	542635	544707	546668	548506	550250	551895	553470	554978	556439	557881	559295	560719	562146	563597	565079	566603	568186	569817	571509	573257	575079	576946	578877	580854	582862	584906	586963	589006	591059	593074
