Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389769	403505	408285	412683	416741	420617	421718	420101	418421	416708	414937	413070	411576	410528	409750	409495	409735	410429	411717	413602	416521	420023	423462	426970	430313	433459	436341	438840	440933	442661	444074	445209	446139	446956	447680	448305	448868	449380	449831	450222	450587	450922	451236	451553	451936	452408	453009	453781	454746	455909	457273	458819	460532	462372	464300	466281	468274	470233	472129	473926	475607	477157	478565	479829	480956	481961	482861	483677	484421	485108	485772	486427	487086	487767	488486	489255	490084	490983	491955	493008	494134	495344	496626	497965	499364	500804	502269	503745	505221	506680	508106	509490	510829	512100	513313	514466	515555	516591	517569	518508
1	           1	402554	404083	392142	405802	410510	414711	418678	422467	423574	421963	420289	418583	416818	414957	413469	412425	411653	411402	411644	412341	413629	415518	418438	421944	425384	428891	432234	435383	438267	440766	442860	444590	446004	447143	448074	448894	449620	450246	450811	451324	451778	452172	452539	452877	453193	453511	453897	454371	454974	455748	456714	457879	459244	460791	462504	464346	466278	468260	470255	472215	474112	475911	477593	479144	480551	481819	482946	483954	484855	485673	486417	487107	487772	488428	489088	489771	490490	491261	492093	492993	493966	495020	496148	497359	498641	499982	501383	502823	504292	505767	507245	508705	510132	511516	512857	514130	515344	516497	517588	518626	519605
1	           2	406751	405885	407293	395271	408834	413295	417382	421240	425029	426138	424530	422857	421152	419390	417530	416045	415002	414231	413981	414223	414922	416210	418101	421021	424526	427966	431475	434817	437968	440852	443352	445445	447176	448592	449732	450663	451483	452210	452836	453403	453916	454372	454767	455132	455472	455788	456107	456494	456968	457573	458347	459315	460480	461845	463393	465105	466947	468880	470862	472857	474818	476714	478515	480197	481749	483156	484426	485552	486560	487462	488282	489026	489717	490382	491039	491697	492383	493103	493874	494707	495607	496581	497635	498763	499976	501257	502598	504000	505440	506909	508385	509864	511324	512751	514134	515476	516749	517965	519117	520208	521247
1	           3	416855	409714	408734	410068	397968	411298	415658	419646	423506	427295	428404	426798	425127	423422	421661	419801	418318	417275	416506	416257	416498	417197	418486	420376	423297	426802	430242	433752	437093	440245	443128	445629	447722	449452	450869	452009	452941	453761	454488	455115	455681	456194	456652	457047	457412	457752	458069	458387	458775	459249	459855	460628	461596	462761	464127	465677	467389	469232	471164	473147	475140	477104	478999	480800	482482	484034	485440	486711	487838	488845	489748	490568	491311	492004	492668	493326	493982	494668	495388	496160	496993	497893	498867	499921	501050	502264	503545	504887	506289	507729	509197	510674	512153	513614	515043	516424	517767	519040	520255	521407	522500
1	           4	430088	419536	412294	411246	412506	400183	413422	417693	421679	425540	429330	430439	428834	427164	425459	423699	421840	420358	419313	418545	418297	418539	419237	420526	422417	425338	428843	432284	435794	439134	442287	445170	447671	449764	451495	452912	454051	454983	455804	456531	457159	457726	458237	458696	459093	459458	459798	460115	460433	460822	461295	461902	462675	463643	464807	466173	467725	469437	471279	473211	475196	477187	479151	481047	482848	484530	486082	487488	488760	489887	490895	491797	492619	493361	494055	494719	495378	496034	496720	497440	498211	499044	499946	500920	501974	503104	504318	505599	506941	508343	509783	511251	512728	514208	515668	517098	518478	519821	521095	522310	523460
1	           5	424001	432522	421875	414576	413465	414505	402101	415259	419530	423517	427379	431168	432278	430674	429005	427301	425540	423683	422201	421156	420389	420141	420382	421082	422370	424261	427183	430688	434128	437639	440979	444132	447015	449516	451611	453341	454758	455898	456830	457651	458378	459006	459574	460085	460544	460942	461307	461647	461964	462281	462671	463145	463752	464524	465493	466657	468021	469574	471289	473131	475062	477048	479039	481003	482899	484700	486382	487935	489340	490613	491740	492748	493651	494472	495215	495910	496572	497233	497889	498574	499295	500066	500898	501801	502775	503829	504959	506173	507454	508796	510198	511638	513107	514583	516064	517524	518954	520334	521678	522951	524167
1	           6	415558	426108	434545	423851	416502	415187	416157	403683	416842	421112	425100	428964	432752	433863	432258	430590	428888	427125	425270	423788	422743	421975	421729	421970	422671	423959	425849	428771	432279	435718	439229	442569	445722	448606	451107	453203	454932	456348	457490	458423	459244	459970	460598	461166	461677	462136	462533	462899	463239	463556	463874	464265	464739	465348	466118	467088	468252	469616	471169	472884	474726	476656	478643	480634	482598	484495	486295	487980	489533	490937	492210	493338	494345	495249	496069	496812	497509	498170	498831	499488	500173	500893	501664	502496	503400	504375	505429	506559	507773	509054	510396	511798	513238	514708	516183	517665	519126	520556	521934	523280	524552
1	           7	411238	417468	427940	436336	425597	418064	416684	417590	405118	418277	422546	426533	430399	434187	435299	433695	432026	430327	428563	426709	425227	424182	423415	423169	423410	424112	425400	427290	430213	433721	437160	440671	444011	447164	450046	452547	454645	456374	457789	458931	459865	460685	461411	462040	462608	463119	463582	463977	464343	464684	465001	465318	465711	466184	466793	467564	468534	469698	471062	472615	474331	476174	478103	480089	482080	484044	485941	487741	489427	490981	492385	493659	494786	495793	496697	497517	498260	498957	499618	500280	500937	501623	502343	503114	503945	504849	505824	506878	508008	509223	510504	511846	513248	514688	516158	517633	519115	520576	522006	523383	524731
1	           8	414564	413097	419254	429682	438034	427117	419522	418080	418986	406517	419675	423946	427932	431799	435587	436699	435096	433427	431727	429964	428111	426629	425584	424819	424573	424814	425515	426804	428694	431617	435125	438565	442076	445415	448569	451451	453952	456050	457779	459194	460336	461273	462093	462819	463448	464016	464526	464990	465386	465751	466092	466410	466726	467119	467592	468202	468973	469943	471107	472471	474024	475740	477583	479513	481500	483490	485455	487351	489152	490837	492391	493796	495070	496197	497205	498110	498930	499673	500370	501031	501693	502350	503036	503756	504528	505359	506263	507238	508292	509422	510637	511918	513260	514661	516102	517572	519047	520528	521990	523420	524796
1	           9	401517	416358	414819	420937	431322	439505	428529	420877	419436	420340	407873	421030	425303	429289	433156	436944	438056	436454	434786	433085	431323	429471	427989	426944	426180	425933	426175	426877	428165	430055	432979	436487	439928	443440	446778	449932	452814	455315	457413	459143	460558	461699	462636	463457	464183	464812	465379	465890	466354	466750	467116	467457	467775	468091	468484	468957	469567	470338	471308	472473	473836	475389	477106	478948	480879	482866	484856	486821	488718	490520	492206	493759	495165	496439	497565	498573	499478	500298	501041	501739	502400	503062	503719	504405	505124	505896	506728	507632	508607	509661	510792	512007	513288	514629	516030	517472	518941	520417	521898	523360	524790
