Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389438	384700	377531	370577	364519	359620	355009	350683	346732	343143	339732	336707	334376	332704	331550	330786	330479	330696	331457	332751	334481	336480	338524	340475	342157	343461	344289	344488	344014	342903	341182	338902	336171	333121	329850	326456	323049	319727	316569	313630	310966	308597	306521	304762	303332	302210	301367	300787	300443	300298	300312	300461	300689	300944	301187	301364	301439	301369	301119	300671	300012	299126	298032	296739	295269	293652	291922	290127	288303	286481	284700	282995	281396	279914	278566	277370	276322	275415	274655	274019	273494	273061	272707	272401	272130	271869	271595	271291	270946	270533	270050	269482	268841	268108	267289	266399	265441	264428	263374	262289
1	           1	402554	403910	391459	386657	379423	372283	366138	361157	356555	352235	348291	344706	341302	338279	335954	334284	333134	332370	332063	332282	333044	334339	336067	338064	340108	342059	343739	345042	345869	346067	345595	344486	342764	340486	337758	334710	331440	328048	324642	321324	318168	315229	312568	310202	308128	306369	304939	303819	302976	302395	302050	301905	301919	302068	302298	302552	302794	302971	303047	302978	302728	302281	301621	300735	299641	298350	296881	295263	293536	291742	289919	288098	286319	284616	283017	281535	280189	278994	277946	277040	276279	275643	275120	274687	274334	274027	273756	273494	273222	272916	272571	272158	271679	271111	270471	269739	268919	268029	267072	266058	265005
1	           2	406751	405685	406711	394178	389286	381806	374553	368300	363323	358725	354406	350463	346879	343477	340456	338133	336462	335315	334551	334245	334464	335225	336519	338248	340245	342287	344240	345920	347220	348048	348245	347775	346666	344943	342665	339939	336891	333620	330231	326826	323508	320354	317413	314754	312388	310313	308557	307125	306007	305163	304583	304238	304093	304108	304255	304485	304740	304982	305159	305235	305165	304915	304469	303810	302923	301829	300539	299070	297452	295726	293932	292110	290288	288510	286808	285210	283727	282381	281187	280139	279234	278473	277837	277313	276879	276527	276220	275950	275687	275416	275109	274765	274352	273873	273304	272664	271934	271114	270223	269268	268254
1	           3	416855	409520	408147	409101	396489	391368	383786	376438	370187	365210	360614	356297	352354	348771	345369	342347	340027	338356	337209	336444	336138	336359	337119	338413	340142	342138	344180	346133	347814	349114	349941	350136	349667	348559	346838	344558	341832	338785	335513	332125	328720	325402	322249	319309	316648	314283	312208	310452	309020	307902	307058	306478	306133	305987	306003	306151	306380	306635	306876	307053	307131	307061	306810	306365	305707	304818	303724	302436	300968	299348	297623	295830	294008	292185	290407	288705	287107	285624	284278	283085	282037	281131	280371	279736	279212	278777	278425	278118	277847	277584	277314	277006	276664	276251	275773	275204	274563	273833	273014	272122	271167
1	           4	430088	419357	411738	410299	411181	398347	393132	385462	378115	371866	366889	362295	357978	354036	350455	347053	344030	341711	340040	338893	338128	337820	338043	338803	340097	341827	343822	345864	347816	349498	350798	351626	351820	351351	350242	348522	346242	343516	340468	337198	333811	330406	327088	323935	320996	318336	315970	313897	312139	310708	309590	308746	308166	307821	307675	307690	307838	308067	308324	308564	308741	308819	308749	308497	308051	307395	306506	305412	304123	302656	301037	299310	297518	295697	293873	292097	290395	288797	287314	285967	284774	283727	282820	282060	281425	280902	280467	280115	279808	279537	279274	279004	278695	278353	277940	277462	276894	276254	275523	274705	273813
1	           5	424001	432356	421367	413692	412189	412851	399939	394644	386975	379628	373381	368404	363811	359495	355552	351972	348570	345549	343229	341558	340412	339648	339338	339562	340323	341617	343346	345341	347385	349336	351017	352317	353145	353339	352870	351761	350042	347761	345037	341987	338717	335332	331926	328608	325455	322515	319857	317490	315419	313660	312229	311112	310268	309688	309343	309197	309212	309360	309588	309847	310086	310264	310341	310271	310020	309574	308918	308028	306934	305646	304179	302561	300832	299041	297221	295395	293620	291919	290321	288837	287490	286297	285250	284343	283583	282948	282426	281990	281639	281332	281060	280798	280528	280219	279877	279464	278986	278416	277777	277047	276228
1	           6	415558	425961	434089	423054	415328	413621	414212	401233	395937	388270	380924	374678	369700	365109	360793	356852	353272	349870	346850	344530	342859	341714	340950	340639	340864	341625	342920	344648	346642	348685	350637	352319	353619	354447	354641	354172	353061	351343	349062	346339	343289	340018	336635	333229	329910	326758	323816	321160	318793	316723	314964	313533	312415	311572	310991	310647	310502	310516	310665	310891	311151	311389	311568	311645	311575	311323	310878	310222	309333	308237	306949	305482	303865	302136	300345	298525	296698	294924	293223	291626	290142	288796	287603	286556	285649	284888	284252	283730	283295	282943	282638	282365	282102	281832	281524	281182	280769	280293	279722	279083	278354
1	           7	411238	417341	427540	435625	424544	416634	414863	415390	402413	397118	389452	382107	375861	370883	366293	361976	358036	354456	351055	348035	345715	344045	342902	342138	341826	342051	342812	344106	345834	347829	349872	351823	353505	354805	355633	355827	355359	354249	352530	350247	347525	344476	341203	337821	334416	331098	327946	325003	322348	319982	317912	316153	314722	313603	312762	312180	311836	311691	311705	311854	312081	312341	312579	312757	312834	312765	312511	312068	311410	310523	309426	308139	306672	305054	303325	301534	299715	297887	296113	294413	292815	291331	289986	288792	287746	286839	286078	285443	284920	284486	284132	283828	283555	283293	283023	282714	282374	281959	281485	280912	280274
1	           8	414564	412978	418892	429047	437086	425828	417856	416025	416553	403577	398281	390616	383273	377028	372049	367461	363143	359204	355624	352226	349205	346884	345215	344071	343307	342995	343220	343981	345276	347003	348999	351042	352992	354674	355974	356802	356996	356528	355418	353700	351416	348696	345647	342374	338993	335587	332271	329119	326175	323519	321153	319083	317325	315894	314774	313934	313352	313009	312862	312878	313025	313252	313512	313751	313929	314006	313937	313683	313241	312581	311696	310597	309310	307844	306227	304499	302706	300888	299060	297286	295587	293988	292504	291160	289965	288920	288012	287250	286615	286092	285659	285304	285002	284728	284466	284198	283888	283549	283133	282660	282086
1	           9	401517	416247	414477	420352	430465	438333	427016	418985	417155	417684	404710	399415	391750	384406	378163	373183	368598	364281	360341	356760	353366	350344	348023	346355	345210	344446	344135	344359	345119	346416	348141	350137	352182	354132	355814	357113	357941	358134	357666	356557	354839	352555	349836	346786	343513	340131	336726	333409	330259	327316	324659	322294	320223	318465	317034	315913	315074	314491	314150	314002	314019	314166	314393	314653	314891	315069	315146	315076	314822	314381	313720	312836	311737	310451	308984	307367	305640	303846	302029	300200	298426	296729	295128	293645	292301	291106	290061	289154	288391	287756	287233	286801	286445	286142	285868	285607	285338	285029	284689	284274	283801
1	          10	392321	403196	417746	415938	421768	431729	439537	428164	420134	418304	418832	405860	400566	392901	385559	379316	374338	369753	365436	361498	357916	354523	351500	349179	347512	346367	345602	345292	345516	346275	347574	349298	351293	353338	355288	356970	358269	359097	359290	358822	357714	355995	353711	350993	347942	344670	341287	337884	334567	331416	328474	325816	323453	321381	319623	318193	317070	316232	315649	315307	315159	315176	315323	315550	315811	316048	316227	316304	316234	315981	315539	314878	313994	312894	311608	310141	308524	306799	305004	303188	301360	299584	297888	296286	294804	293459	292265	291219	290314	289549	288915	288390	287959	287603	287301	287025	286766	286496	286188	285846	285433
1	          11	377345	394048	404750	419254	417397	423085	432987	440736	429363	421335	419506	420034	407062	401770	394105	386763	380522	375542	370957	366643	362705	359123	355730	352709	350388	348721	347576	346811	346500	346725	347483	348783	350507	352501	354546	356496	358178	359478	360305	360498	360030	358922	357203	354919	352201	349151	345879	342496	339093	335776	332624	329683	327024	324662	322590	320831	319403	318280	317441	316859	316517	316369	316386	316533	316760	317021	317258	317437	317514	317443	317191	316749	316088	315204	314104	312817	311353	309734	308010	306213	304396	302570	300795	299098	297496	296015	294670	293476	292428	291526	290760	290127	289601	289171	288814	288512	288237	287977	287707	287400	287057
1	          12	370934	379083	395611	406266	420720	418733	424360	434203	441953	430581	422554	420724	421252	408282	402991	395326	387984	381744	376766	372180	367867	363929	360347	356954	353932	351611	349944	348801	348037	347725	347950	348708	350008	351732	353727	355771	357721	359402	360703	361530	361723	361255	360147	358428	356144	353426	350376	347104	343722	340320	337004	333851	330910	328252	325890	323818	322058	320630	319508	318669	318087	317745	317597	317614	317762	317988	318249	318486	318664	318742	318670	318418	317976	317314	316431	315333	314044	312582	310962	309239	307442	305624	303796	302023	300326	298723	297243	295898	294705	293656	292755	291989	291357	290830	290401	290044	289740	289467	289206	288936	288629
1	          13	360714	372696	380677	397157	407761	422083	420037	425604	435448	443197	431826	423803	421974	422502	409533	404242	396578	389236	382996	378020	373432	369122	365184	361601	358209	355188	352867	351199	350057	349293	348981	349206	349964	351264	352986	354982	357025	358975	360656	361958	362785	362977	362509	361401	359682	357398	354680	351631	348359	344977	341575	338259	335107	332166	329509	327147	325075	323316	321886	320765	319926	319344	319002	318855	318870	319018	319245	319505	319743	319921	319999	319928	319676	319235	318572	317689	316592	315302	313840	312220	310498	308700	306884	305056	303283	301587	299983	298502	297158	295964	294915	294015	293248	292616	292089	291660	291303	290999	290727	290465	290196
1	          14	355305	362619	374427	382355	398780	409250	423507	421401	426968	436811	444562	433194	425171	423343	423871	410904	405613	397951	390611	384371	379396	374807	370498	366561	362978	359586	356566	354246	352577	351434	350670	350358	350584	351342	352642	354364	356360	358402	360352	362032	363334	364162	364354	363886	362778	361059	358775	356056	353008	349737	346355	342953	339637	336485	333544	330887	328526	326453	324694	323265	322145	321305	320724	320380	320234	320248	320396	320624	320883	321120	321299	321379	321308	321055	320615	319951	319067	317970	316682	315220	313599	311879	310081	308264	306436	304662	302967	301364	299882	298539	297346	296296	295397	294631	293998	293472	293043	292685	292381	292110	291847
1	          15	364968	357418	364540	376287	384151	400435	410836	425022	422917	428485	438328	446079	434713	426690	424863	425393	412428	407138	399478	392139	385901	380926	376339	372029	368092	364510	361118	358096	355777	354109	352966	352202	351889	352115	352874	354173	355894	357891	359933	361883	363563	364865	365693	365885	365417	364310	362591	360307	357589	354541	351270	347889	344487	341171	338020	335079	332422	330062	327989	326230	324800	323680	322839	322259	321915	321770	321783	321931	322160	322419	322656	322833	322912	322842	322589	322150	321485	320602	319505	318217	316756	315135	313415	311617	309801	307973	306199	304503	302902	301420	300076	298884	297833	296934	296168	295534	295008	294579	294222	293919	293647
1	          16	376563	367138	359378	366432	378107	385832	402038	412362	426550	424446	430015	439858	447610	436247	428227	426400	426931	413967	408679	401020	393681	387445	382470	377884	373575	369638	366056	362665	359645	357325	355657	354515	353750	353437	353663	354422	355722	357443	359439	361481	363431	365110	366412	367240	367432	366963	365857	364138	361856	359137	356089	352820	349439	346037	342722	339571	336630	333973	331614	329540	327781	326351	325232	324390	323812	323468	323323	323336	323483	323712	323972	324208	324386	324465	324394	324142	323704	323038	322155	321059	319771	318310	316689	314969	313169	311355	309528	307754	306059	304457	302975	301631	300439	299389	298490	297725	297091	296565	296136	295777	295475
1	          17	389347	379064	369373	361535	368502	380020	387655	403768	414091	428278	426178	431748	441591	449343	437983	429964	428138	428670	415708	410423	402766	395430	389194	384219	379633	375326	371389	367808	364418	361399	359080	357411	356270	355505	355192	355418	356177	357476	359197	361191	363234	365184	366863	368164	368992	369185	368716	367610	365889	363609	360891	357842	354574	351194	347792	344478	341327	338386	335730	333371	331298	329540	328109	326992	326149	325571	325227	325082	325095	325242	325470	325731	325967	326144	326224	326153	325902	325463	324798	323914	322819	321531	320070	318448	316731	314930	313116	311289	309513	307821	306219	304736	303393	302202	301151	300253	299488	298854	298328	297899	297541
