Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389769	385890	379727	373794	368753	364895	361323	358041	355120	352533	350076	347961	346483	345604	345177	345059	345320	346042	347242	348922	351012	353346	355713	357987	359995	361639	362828	363411	363357	362700	361467	359713	357535	355081	352432	349683	346944	344308	341843	339590	337614	335915	334494	333365	332536	331988	331692	331616	331758	332069	332520	333075	333692	334326	334941	335488	335921	336221	336349	336286	336018	335543	334872	334015	332991	331839	330587	329271	327932	326602	325315	324100	322983	321986	321112	320370	319772	319310	318972	318742	318620	318574	318589	318649	318733	318817	318889	318925	318910	318837	318691	318468	318169	317780	317318	316784	316184	315535	314844	314132
1	           1	402554	404083	392142	388200	381974	375852	370725	366784	363221	359946	357030	354450	351998	349890	348415	347539	347115	347002	347266	347991	349191	350874	352965	355300	357670	359943	361953	363598	364789	365375	365322	364667	363438	361687	359511	357062	354415	351668	348932	346300	343839	341589	339613	337918	336500	335372	334544	333998	333705	333631	333773	334087	334537	335095	335714	336349	336965	337514	337949	338250	338378	338317	338051	337577	336906	336051	335028	333879	332629	331314	329976	328649	327363	326149	325034	324038	323165	322425	321828	321366	321032	320801	320681	320635	320652	320713	320797	320882	320954	320993	320979	320906	320761	320539	320241	319852	319393	318859	318260	317613	316923
1	           2	406751	405885	407293	395271	391236	384765	378531	373297	369360	365799	362526	359611	357032	354582	352477	351003	350129	349707	349593	349858	350584	351785	353466	355561	357895	360265	362538	364550	366195	367386	367973	367922	367267	366038	364289	362113	359666	357019	354272	351537	348906	346446	344197	342221	340528	339112	337984	337157	336610	336318	336246	336388	336703	337152	337711	338332	338966	339583	340132	340567	340870	340997	340936	340671	340198	339527	338673	337649	336502	335253	333938	332600	331273	329988	328775	327660	326664	325790	325050	324455	323993	323660	323429	323311	323264	323282	323343	323427	323513	323585	323625	323610	323538	323394	323171	322874	322484	322027	321493	320893	320247
1	           3	416855	409714	408734	410068	397968	393702	387130	380798	375568	371631	368072	364799	361887	359307	356858	354754	353280	352407	351986	351871	352137	352863	354065	355745	357840	360176	362546	364819	366830	368475	369667	370253	370203	369548	368319	366571	364396	361950	359305	356556	353822	351191	348733	346482	344508	342815	341398	340271	339444	338898	338605	338533	338676	338991	339440	339998	340621	341254	341872	342422	342857	343161	343288	343227	342961	342490	341819	340965	339940	338794	337546	336232	334894	333567	332281	331069	329956	328960	328085	327344	326750	326288	325956	325725	325606	325560	325577	325639	325722	325808	325881	325921	325905	325833	325691	325468	325171	324780	324323	323790	323191
1	           4	430088	419536	412294	411246	412506	400183	395828	389166	382833	377606	373670	370112	366840	363928	361349	358900	356798	355322	354449	354030	353915	354181	354908	356111	357791	359885	362221	364592	366865	368876	370520	371714	372299	372250	371595	370366	368618	366444	363997	361354	358604	355871	353239	350784	348532	346558	344866	343450	342323	341495	340950	340657	340586	340729	341045	341494	342051	342675	343307	343924	344477	344911	345216	345342	345282	345016	344544	343874	343021	341996	340850	339601	338287	336950	335623	334336	333125	332012	331017	330142	329400	328806	328345	328013	327784	327663	327618	327634	327697	327780	327865	327939	327979	327964	327892	327749	327527	327231	326839	326383	325849
1	           5	424001	432522	421875	414576	413465	414505	402101	397667	391007	384673	379448	375512	371953	368683	365771	363193	360744	358644	357168	356296	355878	355762	356028	356756	357959	359640	361734	364068	366440	368713	370724	372369	373563	374149	374100	373445	372216	370466	368294	365847	363206	360457	357724	355090	352637	350385	348411	346721	345305	344177	343350	342805	342512	342442	342584	342900	343349	343906	344530	345164	345780	346333	346768	347072	347198	347138	346872	346400	345732	344878	343854	342707	341458	340144	338809	337483	336194	334984	333871	332875	332000	331259	330664	330204	329871	329644	329523	329478	329495	329558	329640	329726	329801	329840	329825	329754	329611	329389	329093	328701	328244
1	           6	415558	426108	434545	423851	416502	415187	416157	403683	399250	392592	386258	381033	377099	373541	370272	367360	364782	362333	360234	358759	357887	357471	357354	357621	358349	359552	361232	363327	365661	368033	370306	372316	373962	375156	375742	375693	375039	373811	372062	369890	367442	364801	362052	359321	356687	354234	351982	350009	348318	346904	345775	344949	344405	344111	344042	344184	344500	344949	345506	346130	346764	347380	347933	348369	348673	348799	348738	348473	348000	347333	346478	345455	344310	343059	341744	340410	339085	337795	336585	335474	334478	333602	332862	332266	331808	331474	331247	331126	331082	331098	331164	331245	331331	331406	331444	331429	331357	331215	330993	330696	330306
1	           7	411238	417468	427940	436336	425597	418064	416684	417590	405118	400686	394029	387696	382471	378537	374980	371712	368800	366223	363774	361675	360202	359328	358914	358797	359065	359792	360995	362675	364771	367104	369476	371750	373760	375406	376601	377187	377138	376485	375256	373508	371337	368888	366248	363498	360768	358135	355683	353430	351458	349767	348353	347225	346398	345854	345560	345491	345633	345951	346399	346956	347581	348215	348830	349384	349819	350123	350250	350189	349924	349451	348784	347931	346906	345762	344512	343195	341863	340538	339248	338038	336927	335931	335056	334315	333719	333261	332928	332701	332579	332536	332551	332617	332698	332785	332860	332898	332885	332812	332671	332449	332152
1	           8	414564	413097	419254	429682	438034	427117	419522	418080	418986	406517	402084	395428	389097	383873	379938	376383	373117	370205	367629	365180	363080	361608	360735	360321	360203	360473	361200	362404	364082	366180	368512	370884	373158	375169	376814	378009	378595	378547	377894	376664	374917	372747	370299	367659	364909	362178	359546	357095	354842	352871	351179	349764	348636	347811	347267	346973	346905	347046	347364	347812	348369	348994	349628	350243	350799	351234	351538	351663	351603	351339	350865	350197	349344	348320	347177	345927	344609	343278	341952	340663	339454	338343	337346	336473	335733	335137	334679	334346	334119	333997	333954	333969	334035	334116	334203	334278	334316	334303	334230	334089	333866
1	           9	401517	416358	414819	420937	431322	439505	428529	420877	419436	420340	407873	403441	396785	390454	385233	381299	377743	374477	371566	368991	366542	364443	362971	362099	361685	361566	361838	362563	363768	365446	367545	369876	372248	374523	376534	378179	379374	379959	379913	379259	378030	376283	374113	371664	369025	366277	363545	360915	358464	356210	354240	352548	351133	350005	349180	348636	348341	348274	348416	348734	349182	349738	350365	350999	351613	352169	352604	352909	353034	352972	352711	352236	351568	350716	349691	348548	347298	345980	344650	343324	342036	340827	339717	338719	337846	337105	336509	336051	335718	335491	335369	335326	335342	335408	335489	335576	335652	335690	335677	335604	335464
1	          10	392321	403305	418079	416496	422569	432803	440928	429893	422243	420804	421708	409242	404811	398155	391827	386603	382671	379116	375852	372941	370366	367917	365818	364345	363474	363061	362941	363215	363939	365144	366823	368922	371253	373624	375900	377911	379556	380751	381335	381291	380636	379407	377661	375491	373042	370403	367655	364924	362294	359843	357591	355620	353928	352514	351386	350561	350017	349722	349657	349798	350115	350564	351119	351746	352380	352994	353550	353985	354291	354417	354354	354094	353619	352951	352098	351074	349931	348680	347363	346034	344708	343419	342211	341102	340103	339231	338490	337894	337435	337103	336877	336755	336712	336728	336794	336875	336962	337037	337076	337062	336989
1	          11	377345	394155	405071	419799	418170	424102	434275	442342	431307	423658	422220	423124	410658	406228	399572	393246	388024	384092	380538	377273	374364	371788	369341	367241	365770	364898	364485	364365	364640	365363	366569	368249	370348	372678	375049	377326	379335	380981	382177	382760	382716	382062	380832	379087	376918	374469	371829	369083	366353	363722	361271	359020	357050	355357	353943	352814	351990	351446	351150	351086	351228	351545	351994	352549	353176	353810	354424	354980	355415	355721	355847	355784	355525	355049	354382	353529	352505	351362	350112	348794	347466	346141	344852	343643	342535	341535	340664	339923	339328	338868	338536	338310	338188	338145	338162	338227	338307	338395	338470	338510	338496
1	          12	370934	379190	395934	406802	421478	419716	425590	435703	443771	432737	425088	423651	424555	412091	407662	401007	394681	389459	385526	381974	378709	375802	373226	370781	368680	367210	366338	365925	365805	366082	366802	368009	369690	371789	374120	376490	378768	380776	382423	383619	384202	384157	383504	382274	380528	378360	375912	373272	370525	367797	365166	362716	360466	358496	356803	355390	354260	353436	352893	352597	352533	352675	352992	353441	353996	354623	355257	355871	356428	356863	357169	357295	357232	356973	356497	355830	354977	353952	352810	351561	350242	348915	347590	346301	345092	343985	342984	342113	341373	340778	340319	339987	339761	339639	339596	339614	339679	339759	339845	339921	339961
1	          13	360714	372801	380991	397687	408504	423049	421226	427042	437154	445223	434191	426543	425107	426010	413547	409119	402466	396140	390919	386988	383436	380172	377264	374688	372244	370143	368674	367802	367389	367270	367547	368267	369474	371157	373254	375586	377956	380234	382241	383889	385085	385669	385624	384971	383741	381994	379827	377382	374742	371994	369266	366636	364186	361936	359966	358274	356861	355732	354908	354365	354069	354005	354147	354465	354914	355469	356096	356729	357343	357900	358336	358642	358768	358705	358446	357971	357304	356451	355427	354284	353036	351717	350390	349065	347776	346566	345459	344458	343589	342849	342253	341794	341462	341236	341114	341071	341089	341154	341235	341321	341399
