Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389769	395938	396193	396113	395618	395232	394843	394211	393247	392111	390754	389180	387782	386699	385960	385658	385854	386605	387960	389888	392298	395301	398608	402283	405622	408075	410179	411818	412970	413665	413943	413834	413454	412915	412235	411465	410686	409945	409255	408643	408147	407765	407491	407342	407344	407505	407836	408349	409048	409926	410976	412169	413486	414890	416331	417771	419168	420479	421667	422711	423587	424292	424819	425179	425386	425461	425434	425323	425170	425001	424829	424696	424605	424582	424640	424784	425029	425371	425805	426336	426959	427656	428417	429234	430091	430962	431851	432720	433565	434367	435113	435803	436418	436963	437430	437822	438150	438414	438635	438813
1	           1	402554	404083	392148	398248	398432	398161	397578	397107	396725	396100	395142	394010	392661	391092	389701	388623	387891	387591	387792	388548	389907	391837	394248	397255	400564	404239	407581	410037	412144	413785	414941	415638	415918	415814	415437	414902	414224	413457	412682	411945	411255	410648	410155	409774	409502	409357	409362	409526	409857	410373	411075	411953	413006	414200	415519	416925	418369	419810	421209	422520	423710	424757	425635	426342	426870	427233	427440	427518	427491	427381	427230	427063	426893	426761	426671	426651	426711	426855	427101	427444	427880	428414	429038	429737	430499	431315	432174	433045	433935	434805	435651	436454	437201	437892	438507	439053	439521	439914	440244	440508	440731
1	           2	406751	405885	407296	395279	401284	401222	400838	400146	399677	399296	398676	397718	396588	395241	393673	392284	391207	390479	390181	390383	391138	392499	394431	396842	399851	403161	406836	410178	412634	414742	416384	417541	418240	418520	418418	418041	417508	416830	416064	415290	414554	413864	413259	412767	412387	412117	411972	411978	412143	412476	412991	413695	414574	415627	416822	418142	419547	420991	422432	423833	425144	426335	427381	428260	428967	429496	429860	430067	430146	430120	430010	429859	429693	429523	429394	429303	429283	429343	429487	429734	430077	430514	431048	431672	432372	433135	433950	434810	435682	436572	437442	438289	439092	439839	440530	441146	441692	442161	442553	442884	443148
1	           3	416855	409714	408734	410071	397976	403750	403587	403106	402415	401947	401567	400950	399992	398864	397516	395949	394561	393483	392755	392458	392662	393416	394779	396710	399122	402131	405441	409116	412458	414916	417023	418666	419824	420523	420803	420702	420325	419793	419116	418349	417577	416841	416150	415546	415054	414673	414406	414260	414267	414431	414765	415280	415985	416864	417918	419112	420433	421838	423283	424725	426127	427437	428628	429674	430554	431261	431790	432154	432361	432441	432415	432305	432154	431989	431817	431690	431599	431579	431639	431783	432032	432374	432811	433345	433969	434669	435432	436247	437109	437982	438872	439742	440589	441392	442139	442830	443447	443993	444462	444854	445185
1	           4	430088	419536	412295	411247	412509	400192	405875	405621	405142	404452	403984	403605	402988	402031	400905	399558	397991	396603	395526	394797	394501	394707	395460	396824	398754	401168	404178	407489	411164	414505	416964	419069	420713	421871	422571	422851	422750	422373	421840	421165	420398	419628	418893	418202	417598	417107	416726	416460	416312	416321	416485	416820	417336	418041	418919	419973	421168	422489	423893	425338	426780	428183	429493	430684	431731	432611	433318	433847	434211	434419	434498	434473	434363	434212	434047	433875	433750	433658	433638	433698	433842	434092	434434	434872	435406	436030	436730	437493	438307	439169	440042	440932	441802	442650	443453	444200	444891	445508	446054	446523	446915
1	           5	424001	432522	421875	414578	413467	414509	402110	407715	407460	406981	406293	405826	405446	404831	403875	402747	401403	399835	398449	397372	396644	396347	396554	397309	398673	400603	403016	406026	409338	413013	416354	418813	420919	422562	423721	424422	424701	424601	424227	423692	423018	422249	421480	420747	420057	419451	418961	418580	418316	418167	418177	418341	418675	419191	419897	420775	421830	423025	424346	425750	427196	428638	430041	431352	432542	433589	434469	435176	435706	436069	436279	436357	436332	436222	436072	435906	435735	435610	435519	435500	435560	435704	435953	436295	436733	437267	437891	438592	439356	440170	441032	441905	442795	443664	444512	445315	446062	446753	447370	447917	448387
1	           6	415558	426108	434545	423852	416504	415189	416162	403693	409299	409045	408565	407878	407413	407032	406418	405464	404334	402992	401425	400040	398964	398236	397938	398146	398902	400265	402194	404608	407618	410932	414606	417948	420406	422513	424158	425316	426018	426297	426197	425824	425288	424615	423848	423079	422344	421656	421050	420561	420181	419916	419767	419777	419942	420276	420792	421498	422376	423431	424627	425948	427351	428797	430239	431643	432954	434145	435193	436072	436778	437309	437672	437882	437961	437934	437825	437677	437510	437340	437215	437122	437103	437163	437309	437558	437901	438338	438872	439496	440196	440960	441775	442637	443510	444401	445270	446119	446922	447669	448360	448977	449523
1	           7	411238	417468	427941	436337	425598	418067	416687	417596	405128	410735	410480	410001	409315	408850	408470	407855	406904	405774	404432	402867	401482	400407	399679	399381	399590	400345	401710	403639	406052	409063	412378	416051	419393	421852	423958	425605	426762	427464	427743	427644	427273	426738	426064	425296	424529	423793	423106	422500	422010	421631	421366	421218	421228	421392	421726	422244	422950	423827	424882	426078	427399	428802	430248	431691	433096	434405	435596	436645	437524	438230	438761	439124	439335	439416	439389	439279	439131	438964	438794	438670	438579	438560	438619	438766	439013	439358	439795	440329	440953	441653	442416	443232	444094	444967	445858	446727	447576	448379	449126	449817	450434
1	           8	414564	413097	419255	429684	438035	427119	419526	418083	418993	406527	412135	411881	411403	410717	410252	409872	409258	408307	407178	405836	404271	402886	401812	401085	400787	400998	401752	403117	405047	407459	410471	413788	417460	420801	423262	425367	427015	428173	428875	429153	429054	428682	428150	427477	426709	425942	425204	424518	423913	423424	423044	422778	422631	422643	422806	423139	423658	424364	425241	426296	427493	428814	430217	431663	433105	434511	435821	437012	438061	438941	439647	440179	440542	440753	440834	440807	440696	440548	440382	440213	440087	439997	439978	440037	440185	440430	440775	441213	441747	442372	443072	443835	444650	445512	446385	447276	448145	448995	449798	450545	451236
1	           9	401517	416358	414820	420938	431324	439506	428532	420882	419439	420348	407884	413491	413238	412760	412077	411612	411232	410619	409669	408540	407199	405634	404249	403176	402449	402151	402363	403117	404482	406413	408824	411836	415154	418826	422167	424628	426733	428381	429539	430242	430520	430422	430050	429518	428844	428078	427312	426574	425887	425282	424795	424415	424148	424001	424014	424177	424510	425030	425736	426613	427668	428865	430186	431589	433034	434477	435883	437194	438385	439434	440315	441020	441551	441914	442125	442208	442182	442071	441923	441756	441588	441460	441370	441351	441410	441560	441806	442150	442587	443121	443746	444446	445210	446026	446887	447760	448651	449519	450369	451172	451920
