Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389769	395938	396191	396111	395615	395229	394836	394205	393237	392101	390737	389167	387763	386678	385938	385632	385825	386570	387924	389844	392253	395253	398555	402226	405560	408011	410109	411742	412890	413576	413851	413743	413360	412810	412127	411352	410568	409822	409130	408509	408009	407623	407346	407190	407188	407349	407671	408178	408871	409748	410785	411978	413288	414685	416121	417558	418946	420249	421432	422472	423340	424041	424567	424919	425122	425196	425162	425047	424892	424713	424541	424399	424306	424281	424328	424478	424712	425051	425480	426006	426625	427314	428076	428883	429736	430607	431482	432348	433188	433986	434731	435411	436021	436561	437024	437414	437739	437999	438212	438386
1	           1	402554	404083	392148	398248	398430	398159	397574	397103	396717	396092	395130	393999	392642	391076	389678	388598	387864	387562	387758	388507	389864	391787	394197	397200	400503	404176	407511	409963	412064	413700	414850	415539	415816	415712	415331	414784	414104	413331	412552	411806	411117	410501	410003	409618	409344	409191	409190	409355	409677	410187	410883	411761	412801	413995	415307	416704	418142	419582	420971	422276	423460	424502	425371	426075	426602	426955	427159	427234	427203	427090	426937	426759	426588	426448	426357	426333	426382	426533	426768	427109	427539	428067	428687	429378	430141	430949	431802	432675	433551	434418	435259	436058	436804	437485	438097	438638	439103	439493	439819	440080	440295
1	           2	406751	405885	407296	395279	401284	401220	400836	400142	399673	399288	398667	397706	396576	395221	393657	392260	391181	390451	390152	390348	391096	392454	394379	396788	399793	403096	406771	410106	412558	414659	416296	417445	418137	418413	418313	417931	417386	416706	415934	415158	414412	413722	413107	412611	412227	411953	411802	411801	411967	412290	412799	413497	414375	415418	416611	417925	419323	420761	422200	423590	424896	426080	427123	427991	428696	429223	429577	429782	429857	429827	429713	429562	429383	429214	429074	428984	428959	429008	429160	429395	429737	430167	430696	431315	432008	432771	433580	434433	435306	436183	437050	437891	438690	439437	440118	440730	441272	441737	442127	442454	442716
1	           3	416855	409714	408734	410071	397976	403750	403585	403103	402410	401942	401559	400941	399980	398851	397496	395933	394536	393457	392726	392428	392626	393374	394733	396657	399068	402072	405375	409050	412385	414837	416939	418578	419726	420420	420694	420594	420213	419669	418990	418218	417443	416697	416007	415392	414896	414513	414239	414088	414088	414254	414577	415086	415784	416662	417706	418898	420212	421610	423049	424490	425880	427187	428370	429413	430282	430987	431514	431868	432073	432151	432121	432006	431856	431676	431507	431368	431278	431253	431302	431455	431690	432032	432462	432992	433610	434303	435067	435876	436730	437602	438480	439347	440188	440987	441734	442416	443028	443570	444035	444424	444751
1	           4	430088	419536	412294	411247	412509	400192	405875	405619	405139	404447	403979	403596	402979	402019	400891	399538	397974	396578	395499	394768	394470	394670	395418	396776	398699	401112	404119	407422	411097	414432	416884	418984	420623	421772	422467	422741	422640	422260	421715	421037	420266	419491	418747	418056	417442	416948	416564	416291	416139	416140	416306	416629	417139	417837	418716	419760	420952	422266	423664	425102	426545	427934	429242	430425	431467	432337	433041	433569	433923	434128	434207	434177	434062	433913	433734	433564	433425	433335	433310	433358	433513	433748	434090	434520	435050	435668	436360	437125	437933	438789	439660	440538	441406	442247	443046	443793	444475	445087	445629	446095	446484
1	           5	424001	432522	421875	414577	413467	414509	402110	407715	407457	406978	406288	405819	405437	404822	403862	402733	401382	399818	398423	397345	396614	396314	396517	397267	398624	400547	402959	405967	409270	412945	416280	418732	420833	422471	423621	424316	424590	424489	424112	423565	422888	422117	421342	420599	419908	419293	418799	418416	418145	417993	417994	418160	418483	418994	419691	420571	421615	422807	424121	425520	426958	428402	429791	431099	432282	433323	434195	434899	435427	435780	435985	436064	436034	435920	435770	435592	435423	435283	435193	435169	435217	435372	435607	435949	436379	436909	437527	438219	438985	439794	440650	441522	442400	443268	444108	444907	445654	446336	446948	447491	447957
1	           6	415558	426108	434545	423852	416503	415189	416162	403692	409299	409042	408562	407874	407405	407023	406409	405451	404319	402971	401407	400013	398936	398206	397905	398108	398859	400214	402138	404550	407558	410862	414537	417873	420324	422427	424065	425215	425910	426185	426084	425708	425159	424484	423713	422939	422195	421506	420891	420397	420015	419744	419591	419593	419759	420083	420594	421291	422171	423215	424407	425721	427120	428558	430002	431391	432700	433883	434925	435797	436501	437030	437383	437587	437666	437634	437522	437372	437193	437026	436885	436794	436770	436820	436974	437209	437552	437982	438513	439132	439824	440589	441397	442253	443125	444003	444872	445712	446511	447259	447942	448553	449096
1	           7	411238	417468	427941	436337	425598	418066	416686	417596	405127	410735	410477	409998	409310	408842	408460	407846	406890	405759	404409	402849	401455	400378	399649	399348	399551	400302	401658	403583	405994	409002	412306	415980	419316	421769	423871	425511	426660	427355	427630	427530	427156	426606	425931	425159	424386	423642	422955	422340	421846	421463	421194	421041	421043	421208	421532	422044	422740	423621	424665	425857	427171	428570	430008	431452	432841	434151	435333	436375	437247	437951	438480	438835	439038	439118	439086	438974	438824	438645	438479	438338	438248	438223	438275	438429	438665	439008	439438	439968	440587	441279	442045	442853	443708	444580	445460	446328	447169	447966	448714	449398	450009
1	           8	414564	413097	419255	429684	438035	427119	419525	418082	418993	406526	412134	411878	411399	410712	410243	409862	409248	408293	407163	405812	404253	402859	401782	401054	400753	400958	401708	403064	404991	407401	410410	413715	417388	420723	423178	425279	426920	428070	428765	429039	428939	428564	428016	427342	426570	425797	425052	424365	423752	423259	422875	422605	422453	422456	422621	422945	423457	424153	425034	426078	427270	428585	429984	431422	432866	434255	435565	436748	437790	438662	439366	439895	440251	440454	440534	440501	440389	440239	440060	439894	439755	439665	439640	439693	439845	440081	440425	440855	441385	442003	442695	443462	444271	445127	445998	446879	447746	448588	449385	450132	450816
1	           9	401517	416358	414820	420938	431324	439506	428532	420881	419438	420348	407883	413490	413234	412756	412070	411603	411222	410608	409655	408524	407174	405616	404222	403145	402418	402117	402322	403072	404428	406356	408766	411775	415081	418753	422088	424543	426644	428285	429435	430131	430405	430306	429930	429382	428708	427937	427164	426420	425733	425120	424629	424244	423974	423823	423825	423990	424314	424828	425523	426405	427449	428641	429956	431355	432793	434236	435625	436936	438119	439161	440033	440737	441266	441622	441825	441906	441873	441762	441613	441434	441266	441127	441037	441012	441067	441219	441454	441798	442228	442759	443377	444069	444836	445644	446500	447371	448252	449119	449961	450758	451505
1	          10	392321	403305	418079	416498	422570	432805	440929	429897	422247	420806	421716	409252	414861	414605	414129	413443	412974	412595	411980	411029	409899	408549	406991	405597	404521	403794	403493	403698	404449	405804	407732	410142	413151	416458	420129	423464	425920	428021	429662	430812	431508	431781	431683	431307	430761	430086	429315	428543	427800	427113	426500	426010	425624	425354	425204	425205	425372	425695	426210	426904	427787	428831	430023	431338	432737	434177	435620	437007	438318	439501	440543	441415	442119	442648	443005	443208	443290	443258	443147	442997	442819	442652	442512	442422	442396	442450	442603	442840	443184	443614	444145	444763	445455	446222	447030	447886	448757	449638	450505	451347	452145
1	          11	377345	394155	405072	419800	418173	424104	434278	442343	431311	423662	422223	423132	410668	416277	416022	415545	414863	414394	414015	413401	412450	411320	409972	408414	407021	405944	405218	404917	405122	405873	407229	409157	411567	414577	417883	421554	424888	427345	429446	431087	432238	432935	433207	433109	432733	432187	431514	430744	429970	429228	428541	427928	427438	427052	426783	426633	426634	426801	427125	427640	428333	429216	430260	431452	432767	434166	435606	437050	438438	439749	440932	441974	442847	443551	444079	444436	444639	444720	444689	444579	444430	444251	444085	443945	443855	443830	443884	444036	444274	444618	445048	445579	446197	446889	447656	448464	449320	450191	451072	451939	452781
1	          12	370934	379190	395935	406804	421480	419720	425592	435706	443773	432742	425093	423654	424564	412102	417711	417457	416979	416297	415829	415450	414837	413886	412756	411410	409851	408459	407382	406658	406357	406563	407313	408670	410599	413008	416019	419325	422996	426330	428787	430887	432529	433680	434377	434649	434551	434175	433630	432958	432188	431414	430672	429986	429375	428885	428498	428229	428078	428081	428248	428571	429087	429780	430663	431707	432899	434215	435614	437054	438497	439886	441197	442380	443421	444293	444998	445526	445883	446088	446169	446138	446028	445879	445700	445535	445394	445305	445280	445335	445487	445725	446068	446498	447029	447647	448341	449108	449916	450772	451643	452524	453391
1	          13	360714	372801	380991	397689	408506	423051	421230	427045	437158	445225	434197	426549	425111	426020	413559	419170	418916	418439	417758	417290	416912	416299	415348	414219	412873	411315	409923	408845	408122	407820	408028	408778	410136	412065	414474	417484	420790	424461	427796	430253	432355	433997	435147	435845	436118	436021	435645	435099	434428	433658	432884	432142	431456	430845	430357	429970	429702	429550	429552	429720	430043	430560	431253	432136	433180	434372	435688	437088	438529	439971	441360	442671	443854	444896	445768	446473	447002	447358	447563	447644	447613	447503	447354	447175	447011	446869	446781	446756	446810	446962	447201	447544	447974	448507	449124	449818	450586	451394	452250	453121	454002
1	          14	355305	362721	374740	382879	399523	410206	424688	422803	428620	438733	446801	435775	428129	426690	427600	415142	420754	420500	420023	419344	418875	418497	417886	416934	415807	414460	412903	411511	410432	409712	409409	409617	410368	411726	413655	416065	419075	422381	426053	429388	431844	433946	435589	436739	437438	437711	437614	437238	436694	436024	435254	434479	433737	433051	432440	431952	431567	431299	431148	431150	431320	431641	432159	432852	433736	434780	435973	437289	438689	440130	441572	442961	444271	445455	446497	447369	448074	448603	448959	449164	449246	449215	449105	448957	448779	448615	448472	448384	448361	448415	448566	448805	449149	449578	450110	450728	451422	452190	452998	453855	454726
1	          15	364968	357531	364874	376830	384906	401410	412022	426435	424552	430368	440482	448550	437528	429884	428447	429357	416901	422513	422260	421785	421107	420637	420260	419649	418697	417571	416226	414670	413280	412200	411480	411177	411386	412138	413495	415425	417834	420845	424150	427824	431159	433614	435717	437361	438511	439210	439483	439387	439010	438466	437796	437027	436253	435512	434826	434215	433728	433343	433075	432924	432926	433097	433419	433937	434630	435514	436557	437751	439067	440467	441909	443351	444741	446051	447234	448278	449152	449857	450386	450742	450946	451028	450998	450887	450739	450562	450397	450256	450168	450145	450199	450350	450588	450932	451363	451896	452514	453208	453976	454783	455640
1	          16	376563	367271	359759	367035	378920	386855	403282	413820	428233	426352	432170	442285	450351	439335	431693	430255	431168	418714	424326	424072	423599	422923	422455	422078	421467	420516	419391	418047	416491	415102	414024	413304	413000	413211	413963	415320	417251	419659	422671	425978	429652	432988	435441	437545	439190	440339	441039	441312	441217	440841	440298	439628	438859	438084	437344	436658	436048	435562	435177	434910	434760	434761	434931	435255	435773	436466	437351	438394	439588	440905	442305	443747	445189	446579	447890	449073	450117	450992	451697	452226	452583	452788	452869	452839	452728	452579	452404	452240	452098	452010	451990	452044	452195	452433	452777	453207	453742	454360	455054	455822	456629
1	          17	389347	379239	369856	362266	369455	381185	389029	405364	415903	430318	428439	434256	444373	452439	441426	433788	432351	433266	420817	426429	426177	425705	425029	424561	424185	423575	422625	421501	420157	418602	417215	416137	415418	415115	415326	416080	417437	419368	421777	424788	428095	431771	435108	437561	439664	441312	442461	443162	443434	443340	442964	442422	441752	440985	440211	439472	438786	438176	437690	437304	437039	436890	436891	437061	437385	437904	438597	439482	440525	441719	443037	444437	445880	447323	448713	450024	451207	452251	453126	453831	454361	454718	454924	455005	454977	454866	454716	454542	454378	454236	454148	454130	454184	454335	454573	454917	455347	455882	456500	457194	457962
1	          18	396213	392756	382526	373042	365340	372326	383933	391655	407990	418529	432943	431069	436887	447004	455072	444065	436430	434993	435910	423464	429076	428827	428355	427681	427214	426839	426231	425283	424160	422818	421262	419875	418800	418081	417780	417990	418746	420104	422035	424444	427456	430762	434438	437776	440229	442333	443982	445130	445833	446105	446013	445638	445095	444427	443660	442887	442148	441463	440856	440371	439985	439720	439571	439572	439743	440067	440586	441281	442166	443212	444405	445723	447124	448567	450010	451401	452711	453894	454938	455814	456519	457049	457407	457613	457694	457667	457557	457408	457234	457069	456927	456840	456823	456877	457029	457267	457611	458041	458578	459196	459890
