Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389769	395878	396127	396040	395533	395142	394745	394100	393121	391981	390609	389028	387614	386521	385769	385452	385627	386367	387705	389615	392006	394986	398271	401923	405235	407666	409741	411354	412476	413142	413387	413257	412850	412275	411571	410777	409969	409204	408486	407839	407315	406910	406605	406426	406404	406537	406837	407318	407989	408835	409850	411011	412299	413660	415068	416478	417834	419110	420259	421269	422112	422776	423270	423598	423769	423809	423748	423608	423423	423218	423018	422852	422730	422675	422701	422818	423030	423337	423742	424241	424825	425488	426220	427006	427822	428664	429510	430345	431156	431919	432633	433285	433866	434373	434809	435165	435463	435700	435881	436031
1	           1	402554	404083	392135	398175	398353	398073	397479	397001	396611	395972	394998	393862	392496	390917	389509	388421	387671	387358	387536	388277	389616	391527	393917	396898	400182	403834	407145	409577	411651	413266	414389	415057	415302	415172	414768	414195	413492	412700	411891	411128	410414	409769	409246	408843	408540	408360	408341	408475	408776	409257	409929	410777	411792	412954	414241	415603	417012	418422	419780	421056	422205	423216	424061	424725	425220	425549	425722	425763	425703	425564	425380	425176	424977	424811	424692	424638	424664	424783	424994	425302	425710	426209	426794	427458	428191	428976	429794	430637	431484	432321	433132	433895	434610	435263	435845	436352	436789	437146	437444	437682	437864
1	           2	406751	405885	407291	395262	401207	401138	400745	400043	399566	399177	398540	397568	396432	395069	393492	392085	390998	390249	389937	390115	390856	392196	394108	396497	399479	402763	406413	409724	412157	414230	415845	416968	417638	417883	417752	417351	416778	416077	415285	414478	413714	413000	412355	411833	411431	411129	410948	410930	411064	411366	411847	412518	413367	414384	415546	416833	418195	419604	421013	422371	423649	424798	425808	426653	427317	427812	428142	428316	428357	428298	428158	427975	427771	427575	427408	427289	427235	427260	427381	427592	427899	428309	428809	429392	430057	430790	431576	432394	433237	434084	434921	435733	436496	437211	437864	438446	438953	439392	439748	440047	440285
1	           3	416855	409714	408733	410065	397957	403670	403502	403010	402309	401832	401445	400809	399838	398703	397341	395765	394359	393271	392522	392212	392389	393131	394470	396382	398772	401754	405039	408688	411998	414432	416504	418120	419243	419913	420158	420025	419627	419053	418353	417560	416753	415990	415276	414631	414108	413706	413406	413226	413206	413341	413644	414125	414795	415644	416662	417824	419111	420473	421882	423291	424650	425927	427076	428086	428931	429596	430092	430422	430597	430636	430578	430438	430255	430050	429854	429688	429570	429516	429540	429661	429874	430180	430590	431092	431674	432341	433074	433859	434676	435519	436366	437203	438015	438778	439493	440147	440729	441236	441676	442032	442331
1	           4	430088	419536	412292	411244	412502	400172	405793	405535	405045	404344	403867	403481	402845	401875	400741	399380	397805	396398	395310	394561	394252	394429	395172	396510	398422	400812	403794	407080	410730	414038	416472	418543	420160	421283	421953	422199	422065	421666	421093	420393	419601	418796	418032	417318	416674	416151	415748	415448	415270	415249	415383	415686	416168	416838	417687	418706	419868	421155	422518	423928	425335	426695	427972	429121	430131	430976	431640	432136	432466	432642	432682	432623	432484	432300	432096	431900	431735	431616	431562	431586	431706	431921	432227	432637	433139	433720	434387	435120	435906	436723	437566	438413	439250	440062	440825	441541	442195	442777	443284	443723	444079
1	           5	424001	432522	421874	414573	413461	414500	402089	407631	407372	406883	406183	405706	405320	404686	403715	402583	401221	399647	398241	397152	396403	396094	396272	397016	398353	400266	402656	405637	408923	412573	415881	418315	420386	422004	423126	423796	424042	423910	423510	422937	422237	421444	420640	419876	419161	418518	417996	417594	417293	417116	417095	417229	417532	418014	418685	419533	420552	421714	423001	424364	425775	427182	428542	429819	430969	431979	432823	433488	433983	434313	434489	434530	434470	434331	434149	433944	433747	433583	433464	433410	433434	433554	433769	434075	434485	434989	435570	436238	436971	437756	438573	439416	440263	441100	441912	442675	443391	444045	444627	445134	445573
1	           6	415558	426108	434544	423849	416498	415182	416152	403670	409214	408955	408466	407767	407291	406904	406272	405301	404168	402809	401234	399829	398740	397991	397682	397860	398604	399940	401852	404242	407224	410510	414161	417469	419903	421973	423592	424714	425384	425630	425499	425098	424527	423827	423033	422230	421466	420752	420109	419587	419185	418883	418707	418686	418820	419123	419604	420277	421125	422144	423306	424593	425956	427367	428774	430134	431410	432560	433571	434414	435080	435575	435904	436079	436122	436063	435923	435742	435538	435340	435177	435057	435003	435027	435148	435363	435670	436080	436584	437164	437832	438566	439351	440168	441011	441858	442694	443506	444270	444986	445641	446223	446730
1	           7	411238	417468	427939	436335	425594	418059	416678	417585	405104	410648	410389	409900	409202	408726	408340	407707	406739	405605	404245	402672	401268	400179	399430	399121	399299	400043	401380	403292	405681	408663	411950	415600	418909	421343	423413	425031	426154	426823	427071	426941	426539	425968	425268	424473	423671	422907	422193	421550	421028	420627	420325	420149	420127	420262	420565	421046	421718	422567	423586	424748	426035	427398	428810	430217	431577	432852	434003	435013	435857	436523	437018	437348	437522	437566	437506	437367	437186	436983	436785	436623	436503	436449	436472	436593	436807	437114	437524	438029	438610	439278	440012	440796	441613	442456	443304	444140	444951	445715	446430	447085	447667
1	           8	414564	413097	419254	429681	438032	427113	419517	418073	418981	406502	412046	411788	411300	410602	410126	409740	409107	408140	407006	405645	404072	402669	401580	400831	400523	400701	401445	402782	404694	407084	410066	413354	417002	420312	422745	424817	426434	427557	428226	428474	428345	427943	427373	426672	425877	425074	424310	423598	422954	422433	422031	421731	421555	421532	421668	421971	422453	423124	423974	424992	426154	427441	428803	430216	431624	432985	434258	435410	436420	437264	437930	438425	438755	438928	438973	438913	438774	438593	438390	438193	438031	437911	437857	437879	438001	438216	438522	438932	439437	440018	440686	441421	442205	443022	443865	444714	445550	446361	447125	447840	448494
1	           9	401517	416358	414819	420936	431320	439502	428524	420871	419428	420334	407857	413402	413143	412655	411959	411483	411097	410464	409498	408364	407003	405431	404029	402940	402191	401884	402061	402805	404142	406054	408444	411426	414715	418362	421673	424105	426177	427794	428917	429586	429834	429705	429304	428736	428034	427240	426437	425672	424961	424317	423796	423394	423095	422918	422895	423031	423333	423816	424487	425337	426355	427518	428805	430167	431579	432987	434349	435622	436774	437785	438629	439295	439790	440120	440293	440338	440278	440139	439956	439753	439557	439395	439274	439222	439244	439365	439581	439887	440297	440801	441382	442051	442786	443570	444387	445229	446078	446914	447725	448489	449205
1	          10	392321	403305	418078	416496	422567	432800	440924	429887	422236	420795	421701	409225	414771	414512	414025	413328	412852	412467	411834	410868	409735	408375	406803	405401	404311	403561	403256	403434	404178	405515	407426	409816	412798	416087	419734	423044	425476	427549	429166	430289	430958	431207	431078	430677	430109	429406	428612	427810	427045	426335	425691	425170	424768	424470	424292	424269	424405	424706	425190	425862	426712	427729	428893	430180	431542	432954	434363	435725	436998	438149	439160	440004	440670	441165	441495	441668	441713	441654	441516	441333	441129	440932	440771	440651	440599	440621	440742	440957	441263	441674	442178	442758	443427	444162	444946	445764	446606	447456	448292	449102	449866
1	          11	377345	394155	405071	419798	418169	424100	434272	442337	431300	423650	422210	423116	410640	416187	415927	415441	414746	414270	413884	413252	412286	411153	409794	408221	406822	405731	404981	404676	404854	405598	406935	408846	411236	414218	417506	421154	424464	426895	428970	430586	431709	432378	432627	432498	432097	431530	430829	430034	429232	428467	427757	427112	426591	426190	425893	425715	425693	425829	426129	426613	427285	428135	429152	430316	431603	432965	434376	435785	437147	438421	439572	440583	441427	442093	442589	442919	443092	443136	443077	442939	442757	442555	442357	442195	442075	442023	442045	442167	442382	442688	443099	443603	444183	444852	445587	446371	447189	448031	448881	449718	450528
1	          12	370934	379190	395933	406801	421476	419715	425587	435699	443765	432729	425079	423640	424546	412072	417619	417360	416873	416177	415703	415317	414685	413719	412586	411228	409654	408257	407165	406416	406112	406290	407034	408371	410282	412672	415654	418942	422589	425900	428329	430406	432021	433144	433813	434063	433934	433535	432967	432266	431470	430669	429905	429196	428551	428029	427628	427330	427153	427131	427268	427568	428052	428725	429574	430591	431755	433043	434405	435816	437224	438587	439861	441012	442023	442867	443532	444028	444358	444533	444577	444518	444380	444197	443996	443798	443636	443515	443463	443485	443608	443824	444130	444540	445044	445624	446293	447028	447812	448630	449472	450322	451159
1	          13	360714	372801	380990	397686	408502	423046	421224	427038	437150	445216	434181	426533	425095	426000	413527	419075	418818	418330	417636	417161	416776	416144	415178	414046	412688	411113	409718	408625	407876	407571	407750	408494	409831	411742	414133	417113	420402	424048	427361	429788	431867	433482	434605	435274	435524	435394	434996	434428	433727	432931	432129	431366	430656	430013	429491	429091	428792	428614	428592	428729	429030	429513	430187	431037	432055	433219	434507	435869	437281	438688	440051	441325	442476	443487	444332	444997	445493	445822	445997	446041	445983	445845	445662	445461	445262	445101	444980	444928	444950	445073	445290	445598	446008	446511	447091	447760	448495	449279	450097	450939	451789
1	          14	355305	362721	374739	382876	399516	410199	424680	422795	428610	438722	446788	435757	428110	426672	427578	415107	420654	420399	419910	419217	418742	418357	417727	416761	415630	414271	412696	411302	410208	409461	409155	409334	410078	411415	413326	415718	418698	421987	425633	428946	431372	433451	435066	436189	436858	437108	436979	436581	436015	435314	434517	433714	432953	432242	431599	431077	430677	430379	430202	430180	430316	430618	431102	431776	432626	433642	434806	436094	437456	438868	440276	441640	442914	444065	445076	445921	446586	447082	447411	447586	447630	447572	447435	447251	447052	446852	446691	446571	446518	446539	446662	446880	447188	447600	448103	448683	449351	450086	450871	451689	452531
1	          15	364968	357531	364871	376826	384900	401400	412013	426425	424541	430356	440468	448534	437506	429861	428424	429331	416862	422408	422155	421668	420976	420500	420115	419486	418519	417389	416030	414457	413064	411969	411221	410916	411096	411840	413176	415088	417480	420460	423747	427395	430708	433133	435213	436828	437951	438620	438870	438741	438342	437776	437076	436280	435478	434718	434007	433364	432841	432441	432143	431967	431945	432082	432383	432867	433540	434391	435408	436572	437860	439222	440634	442042	443406	444680	445831	446842	447687	448352	448848	449178	449353	449397	449339	449203	449017	448820	448620	448458	448338	448287	448308	448431	448649	448957	449369	449872	450453	451121	451855	452640	453458
1	          16	376563	367271	359757	367029	378911	386845	403269	413807	428219	426338	432153	442267	450332	439308	431666	430228	431138	418671	424216	423962	423476	422786	422311	421926	421297	420330	419200	417841	416268	414876	413782	413034	412728	412910	413654	414990	416902	419294	422275	425562	429209	432523	434946	437026	438642	439766	440435	440685	440556	440158	439593	438891	438096	437294	436536	435825	435183	434660	434262	433964	433787	433764	433902	434204	434689	435362	436211	437229	438394	439682	441043	442455	443864	445228	446502	447653	448664	449509	450173	450669	450999	451176	451220	451162	451027	450840	450645	450445	450283	450162	450111	450132	450256	450474	450783	451195	451698	452279	452947	453681	454467
1	          17	389347	379239	369853	362260	369445	381172	389016	405347	415885	430298	428420	434235	444350	452415	441393	433754	432317	433229	420767	426312	426058	425573	424883	424408	424025	423396	422429	421300	419942	418369	416978	415885	415137	414830	415013	415759	417095	419007	421399	424379	427665	431312	434627	437050	439129	440745	441869	442539	442789	442660	442262	441699	440996	440202	439401	438643	437932	437290	436766	436369	436072	435896	435872	436010	436313	436798	437472	438321	439338	440503	441791	443152	444566	445975	447339	448613	449764	450775	451621	452285	452782	453111	453288	453332	453273	453140	452953	452759	452559	452398	452277	452227	452248	452373	452592	452900	453312	453815	454396	455064	455799
1	          18	396213	392756	382522	373034	365329	372311	383915	391638	407969	418507	432918	431044	436860	446974	455041	444022	436388	434950	435864	423406	428952	428699	428213	427526	427051	426668	426040	425074	423943	422588	421015	419623	418531	417783	417477	417660	418407	419743	421655	424048	427027	430313	433960	437274	439697	441776	443394	444518	445188	445437	445310	444912	444349	443647	442854	442053	441296	440586	439945	439421	439026	438727	438551	438527	438666	438969	439455	440128	440979	441996	443161	444449	445810	447224	448634	449999	451273	452424	453435	454281	454945	455443	455772	455949	455993	455934	455801	455615	455420	455222	455060	454939	454891	454912	455037	455257	455566	455978	456481	457062	457730
1	          19	412473	401304	397642	387256	377598	369614	376403	387819	395543	411872	422411	436823	434951	440769	450883	458950	447935	440306	438869	439785	427329	432875	432624	432138	431451	430978	430595	429968	429004	427873	426518	424947	423555	422464	421717	421411	421595	422343	423680	425591	427986	430963	434249	437896	441211	443633	445713	447330	448454	449126	449374	449246	448850	448287	447586	446794	445993	445237	444528	443886	443363	442969	442670	442496	442472	442611	442913	443400	444073	444926	445944	447107	448396	449757	451169	452581	453946	455220	456371	457382	458228	458893	459391	459720	459898	459944	459884	459751	459567	459373	459177	459014	458892	458845	458866	458991	459210	459522	459933	460437	461018
1	          20	420121	419102	407652	403782	393165	383141	374899	381435	392851	400576	416907	427443	441855	439985	445805	455920	463986	452976	445352	443916	444832	432382	437929	437677	437193	436508	436035	435652	435026	434062	432932	431578	430008	428616	427526	426781	426475	426661	427409	428746	430656	433052	436029	439315	442961	446276	448697	450779	452396	453521	454192	454442	454313	453919	453357	452656	451864	451064	450308	449601	448959	448437	448043	447744	447570	447547	447688	447990	448477	449149	450002	451023	452186	453475	454838	456249	457662	459026	460301	461452	462463	463310	463976	464474	464804	464980	465027	464968	464835	464650	464456	464262	464100	463978	463931	463953	464079	464296	464612	465022	465526
1	          21	422155	426508	425175	413515	409398	398371	388070	379560	386098	397514	405239	421570	432107	446518	444651	450471	460585	468653	457647	450028	448595	449511	437064	442612	442360	441876	441193	440721	440338	439713	438750	437621	436268	434700	433309	432220	431476	431171	431357	432106	433443	435353	437749	440726	444013	447657	450972	453392	455475	457091	458218	458888	459140	459011	458618	458056	457358	456566	455767	455011	454305	453664	453141	452749	452451	452279	452253	452395	452697	453187	453861	454713	455734	456898	458187	459550	460961	462376	463739	465014	466165	467176	468022	468688	469187	469519	469695	469743	469684	469552	469369	469173	468981	468819	468698	468651	468674	468800	469017	469334	469745
1	          22	439167	428149	432162	430605	418690	414129	402811	392232	383729	390271	401686	409413	425741	436279	450688	448825	454646	464757	472825	461825	454207	452777	453695	441252	446800	446549	446066	445384	444913	444530	443905	442945	441816	440463	438898	437507	436419	435676	435371	435561	436308	437646	439557	441953	444928	448216	451860	455175	457596	459679	461295	462423	463093	463345	463217	462825	462262	461565	460773	459976	459221	458516	457876	457352	456961	456664	456493	456469	456611	456912	457403	458078	458930	459952	461116	462405	463768	465178	466595	467957	469234	470386	471399	472245	472911	473410	473742	473919	473967	473907	473775	473594	473399	473206	473046	472925	472879	472903	473029	473246	473563
1	          23	441826	444902	433536	437306	435464	423101	418232	406620	396050	387552	394097	405512	413240	429566	440104	454508	452650	458471	468582	476647	465653	458040	456612	457532	445094	450640	450390	449907	449227	448756	448376	447750	446791	445664	444311	442747	441357	440270	439528	439223	439415	440162	441499	443411	445808	448783	452071	455715	459029	461450	463534	465151	466278	466949	467202	467075	466684	466122	465425	464634	463838	463082	462379	461740	461217	460826	460530	460359	460336	460479	460780	461272	461947	462800	463822	464986	466276	467641	469050	470468	471829	473106	474258	475273	476118	476785	477285	477618	477795	477843	477786	477653	477473	477278	477086	476926	476806	476761	476784	476911	477128
1	          24	453162	446382	449128	437536	441036	438782	426134	420987	409384	398824	390332	396880	408293	416020	432343	442883	457283	455429	461251	471361	479425	468435	460824	459399	460320	447886	453432	453184	452700	452022	451552	451173	450548	449590	448464	447112	445549	444160	443073	442333	442029	442221	442970	444306	446217	448615	451592	454877	458522	461836	464257	466341	467959	469088	469759	470011	469886	469496	468934	468238	467448	466652	465897	465196	464557	464036	463644	463349	463179	463154	463299	463601	464094	464769	465622	466645	467809	469100	470466	471876	473293	474655	475933	477085	478101	478946	479614	480113	480447	480625	480671	480617	480485	480306	480109	479919	479758	479640	479596	479620	479747
1	          25	468437	456791	449707	452245	440411	443528	441003	428106	422966	411371	400821	392334	398883	410298	418025	434343	444883	459280	457428	463250	473359	481422	470437	462829	461405	462327	449899	455442	455199	454715	454035	453566	453189	452565	451608	450484	449133	447571	446181	445096	444357	444054	444246	444997	446333	448244	450641	453620	456904	460548	463862	466283	468367	469986	471116	471788	472041	471916	471528	470967	470271	469481	468688	467933	467232	466592	466075	465682	465388	465220	465195	465340	465643	466136	466813	467665	468688	469853	471143	472509	473920	475338	476699	477976	479129	480147	480992	481661	482162	482497	482677	482722	482668	482536	482360	482162	481974	481812	481696	481651	481676
1	          26	460896	471779	459845	452566	454863	442661	445518	442747	429862	424728	413142	402599	394120	400668	412083	419810	436125	446664	461057	459209	465030	475138	483198	472218	464615	463193	464115	451692	457232	456991	456510	455832	455361	454986	454362	453406	452284	450934	449374	447985	446900	446163	445860	446053	446805	448141	450052	452449	455428	458713	462356	465670	468092	470175	471794	472923	473597	473850	473726	473340	472779	472086	471295	470503	469750	469051	468411	467896	467504	467210	467042	467018	467163	467466	467958	468638	469489	470513	471679	472969	474335	475746	477166	478527	479804	480958	481976	482821	483490	483991	484327	484507	484552	484501	484369	484194	483999	483811	483650	483533	483490
1	          27	452199	463825	474429	462324	454835	456758	444327	446958	444193	431319	426192	414615	404079	395605	402155	413569	421295	437606	448143	462533	460687	466507	476615	484675	473699	466099	464678	465601	453183	458722	458483	458001	457326	456853	456481	455859	454903	453783	452434	450875	449488	448404	447670	447367	447559	448312	449649	451559	453956	456935	460221	463863	467177	469601	471683	473303	474433	475107	475361	475237	474852	474291	473600	472810	472020	471267	470569	469931	469416	469025	468731	468564	468541	468688	468991	469482	470163	471015	472040	473208	474497	475864	477274	478695	480056	481334	482488	483506	484352	485021	485522	485859	486040	486086	486035	485904	485729	485534	485347	485190	485070
