Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389769	395877	396124	396037	395527	395134	394733	394087	393106	391963	390582	388996	387576	386474	385722	385393	385564	386294	387623	389520	391905	394873	398148	401782	405084	407501	409562	411162	412270	412918	413156	413008	412587	411998	411281	410465	409644	408858	408127	407464	406924	406500	406177	405979	405934	406048	406330	406789	407439	408262	409256	410394	411652	412994	414375	415752	417087	418331	419460	420439	421255	421890	422356	422656	422799	422815	422724	422559	422349	422118	421890	421689	421541	421458	421458	421542	421723	421997	422372	422838	423390	424018	424714	425463	426246	427051	427858	428657	429429	430159	430837	431448	431991	432460	432863	433187	433447	433645	433792	433904
1	           1	402554	404083	392135	398173	398349	398069	397472	396992	396596	395955	394980	393838	392463	390880	389464	388364	387616	387290	387463	388192	389522	391419	393802	396768	400042	403674	406973	409388	411449	413048	414155	414804	415038	414893	414473	413884	413167	412351	411530	410746	410015	409352	408813	408388	408064	407867	407822	407937	408218	408677	409326	410147	411141	412280	413538	414878	416258	417635	418969	420212	421340	422319	423134	423769	424234	424534	424677	424694	424602	424436	424227	423996	423768	423568	423420	423336	423335	423420	423601	423875	424250	424716	425268	425894	426590	427338	428121	428926	429733	430531	431303	432032	432710	433321	433863	434331	434734	435057	435317	435516	435663
1	           2	406751	405885	407291	395262	401204	401134	400741	400035	399556	399161	398521	397549	396408	395034	393451	392039	390938	390191	389866	390040	390768	392099	393995	396378	399344	402617	406248	409547	411960	414021	415619	416726	417376	417609	417464	417044	416455	415740	414922	414103	413319	412587	411924	411386	410961	410637	410441	410394	410510	410790	411249	411899	412720	413713	414852	416110	417450	418830	420206	421540	422783	423910	424889	425704	426339	426803	427103	427246	427264	427171	427005	426796	426566	426337	426137	425989	425905	425905	425990	426171	426444	426818	427284	427837	428463	429159	429907	430690	431494	432301	433099	433871	434600	435278	435888	436429	436898	437302	437624	437883	438082
1	           3	416855	409714	408733	410065	397957	403667	403498	403006	402300	401822	401429	400789	399818	398678	397305	395721	394312	393210	392463	392139	392312	393040	394371	396267	398651	401617	404890	408520	411818	414232	416292	417889	418996	419647	419879	419734	419315	418725	418011	417192	416374	415590	414858	414195	413658	413232	412908	412713	412666	412782	413062	413520	414171	414992	415983	417122	418380	419719	421100	422476	423810	425054	426181	427159	427974	428610	429074	429373	429515	429534	429440	429275	429066	428835	428606	428406	428259	428175	428174	428260	428441	428713	429088	429554	430107	430733	431428	432177	432959	433763	434570	435368	436140	436868	437547	438158	438698	439166	439570	439892	440151
1	           4	430088	419536	412292	411244	412502	400172	405790	405531	405040	404335	403857	403464	402825	401854	400715	399343	397758	396350	395248	394501	394178	394351	395079	396409	398305	400689	403655	406928	410559	413856	416270	418331	419927	421032	421684	421916	421770	421351	420761	420047	419230	418413	417629	416896	416233	415696	415270	414945	414750	414703	414820	415100	415557	416208	417030	418021	419159	420417	421757	423137	424513	425846	427091	428217	429195	430010	430646	431111	431410	431552	431571	431477	431311	431103	430873	430643	430443	430295	430211	430210	430296	430478	430749	431124	431589	432142	432769	433463	434213	434995	435799	436606	437404	438176	438903	439582	440193	440733	441202	441606	441927
1	           5	424001	432522	421874	414573	413461	414500	402089	407628	407368	406877	406174	405695	405303	404665	403694	402556	401184	399599	398192	397089	396342	396018	396192	396921	398250	400147	402531	405496	408769	412400	415696	418110	420171	421768	422872	423524	423756	423611	423192	422602	421886	421069	420252	419469	418735	418073	417535	417110	416785	416590	416542	416660	416940	417398	418048	418871	419861	420999	422256	423597	424977	426354	427685	428930	430056	431034	431849	432485	432950	433249	433391	433411	433316	433151	432942	432712	432483	432282	432135	432050	432050	432135	432317	432587	432963	433428	433982	434608	435303	436053	436834	437638	438445	439243	440015	440742	441421	442031	442571	443040	443445
1	           6	415558	426108	434544	423849	416498	415182	416152	403670	409210	408951	408459	407758	407279	406887	406250	405279	404140	402771	401185	399779	398676	397929	397605	397779	398508	399836	401732	404116	407081	410354	413986	417281	419697	421756	423354	424457	425109	425340	425195	424775	424187	423470	422654	421838	421055	420321	419658	419121	418696	418371	418176	418128	418246	418525	418984	419633	420457	421446	422584	423841	425182	426561	427938	429270	430515	431641	432619	433434	434070	434535	434834	434974	434996	434900	434735	434528	434295	434067	433866	433719	433634	433635	433720	433902	434172	434548	435012	435567	436192	436886	437637	438418	439222	440029	440827	441598	442326	443005	443615	444155	444624
1	           7	411238	417468	427939	436335	425594	418059	416678	417585	405104	410644	410385	409893	409193	408714	408322	407685	406716	405576	404206	402622	401217	400114	399367	399043	399217	399946	401275	403170	405554	408517	411791	415422	418717	421133	423193	424790	425894	426545	426776	426632	426211	425625	424907	424090	423275	422492	421758	421094	420558	420133	419808	419612	419565	419683	419962	420420	421070	421894	422882	424019	425276	426617	427996	429373	430705	431950	433077	434055	434870	435506	435970	436270	436409	436431	436335	436169	435964	435731	435504	435303	435155	435069	435070	435156	435337	435608	435984	436448	437003	437628	438322	439073	439854	440656	441464	442263	443032	443760	444439	445049	445590
1	           8	414564	413097	419254	429681	438032	427113	419516	418073	418981	406502	412042	411783	411293	410593	410113	409721	409085	408116	406976	405605	404022	402617	401514	400767	400443	400617	401347	402676	404570	406954	409917	413192	416821	420118	422532	424594	426190	427293	427944	428175	428031	427609	427025	426306	425490	424674	423893	423158	422494	421957	421533	421209	421011	420965	421083	421362	421819	422470	423295	424282	425418	426675	428016	429395	430772	432104	433348	434475	435454	436269	436906	437370	437670	437808	437830	437734	437568	437364	437129	436903	436702	436554	436469	436469	436556	436736	437007	437383	437847	438401	439027	439721	440472	441254	442054	442862	443662	444431	445159	445838	446447
1	           9	401517	416358	414819	420936	431320	439502	428524	420870	419428	420334	407857	413397	413138	412648	411949	411469	411078	410441	409473	408333	406962	405380	403975	402872	402125	401802	401974	402705	404034	405928	408311	411274	414549	418177	421476	423889	425951	427547	428649	429300	429531	429388	428965	428382	427662	426848	426031	425251	424515	423852	423314	422890	422567	422368	422322	422441	422719	423175	423826	424652	425639	426774	428031	429372	430751	432128	433460	434705	435831	436809	437624	438261	438725	439027	439165	439187	439092	438924	438722	438485	438259	438059	437910	437826	437826	437913	438092	438363	438740	439205	439758	440383	441078	441829	442611	443411	444219	445018	445787	446515	447194
