Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	390094	397087	398409	399430	400065	400844	401640	402193	402396	402397	402121	401568	401111	400889	400922	401303	402100	403376	405198	407527	410304	413659	417320	421360	425069	427876	430364	432419	434030	435218	436047	436534	436795	436942	436990	436980	436992	437064	437194	437400	437726	438146	438649	439246	439964	440807	441771	442886	444144	445547	447085	448752	450519	452352	454217	456087	457907	459649	461284	462789	464147	465355	466402	467312	468085	468746	469318	469838	470307	470770	471243	471746	472289	472893	473561	474311	475136	476042	477027	478086	479214	480407	481645	482926	484238	485561	486886	488197	489484	490727	491929	493069	494148	495167	496115	497003	497834	498613	499343	500048
1	           1	402554	404255	392813	399736	400986	401817	402362	403055	403856	404413	404621	404628	404359	403809	403356	403139	403176	403561	404361	405639	407463	409795	412572	415928	419591	423629	427340	430149	432636	434694	436308	437496	438329	438817	439081	439231	439281	439272	439286	439360	439495	439703	440031	440454	440959	441556	442277	443121	444087	445204	446463	447869	449406	451075	452844	454679	456545	458417	460238	461981	463617	465123	466482	467693	468742	469651	470426	471089	471663	472185	472656	473121	473596	474099	474644	475250	475919	476669	477495	478403	479390	480450	481579	482774	484013	485294	486607	487930	489257	490570	491858	493103	494306	495448	496528	497548	498496	499385	500218	500998	501729
1	           2	406751	406091	407871	396348	403178	404180	404899	405334	406028	406831	407391	407600	407606	407341	406794	406341	406125	406164	406550	407350	408629	410454	412787	415564	418919	422583	426621	430332	433142	435630	437688	439302	440491	441326	441814	442079	442229	442280	442272	442288	442362	442497	442706	443035	443458	443965	444562	445283	446129	447094	448211	449471	450879	452416	454085	455853	457689	459555	461429	463250	464994	466630	468136	469496	470706	471756	472666	473441	474106	474679	475202	475673	476139	476616	477118	477663	478269	478938	479689	480516	481424	482411	483472	484603	485799	487038	488320	489634	490956	492283	493597	494884	496130	497334	498476	499556	500577	501526	502414	503248	504028
1	           3	416855	409906	409324	411028	399426	406027	406930	407552	407987	408681	409484	410045	410256	410261	409998	409453	409000	408784	408823	409212	410011	411289	413114	415447	418225	421581	425245	429283	432994	435804	438292	440350	441965	443154	443989	444477	444744	444893	444944	444937	444953	445028	445162	445372	445701	446124	446631	447229	447950	448796	449761	450877	452138	453546	455083	456754	458521	460358	462225	464099	465920	467664	469300	470806	472167	473378	474428	475338	476112	476778	477351	477875	478344	478811	479288	479791	480336	480942	481611	482362	483191	484099	485085	486146	487277	488474	489712	490994	492310	493631	494957	496272	497559	498804	500009	501151	502232	503252	504202	505090	505925
1	           4	430088	419715	412844	412196	413826	401998	408510	409321	409945	410382	411076	411879	412441	412653	412658	412395	411851	411398	411182	411221	411612	412410	413690	415515	417849	420625	423982	427645	431683	435395	438205	440692	442752	444367	445556	446391	446878	447147	447295	447347	447340	447356	447432	447567	447776	448105	448529	449036	449634	450355	451201	452167	453284	454546	455952	457489	459162	460927	462764	464633	466506	468328	470072	471706	473213	474573	475784	476836	477745	478519	479186	479758	480284	480752	481219	481697	482200	482746	483353	484022	484772	485602	486511	487497	488559	489689	490886	492125	493407	494723	496045	497372	498686	499974	501218	502423	503565	504645	505666	506617	507504
1	           5	424001	432685	422380	415451	414740	416154	404240	410675	411485	412109	412547	413242	414046	414608	414821	414827	414565	414021	413569	413352	413391	413782	414579	415861	417685	420020	422794	426153	429816	433853	437565	440377	442864	444923	446538	447728	448563	449051	449321	449467	449520	449514	449531	449606	449742	449951	450280	450704	451212	451810	452531	453376	454342	455458	456721	458129	459665	461339	463104	464940	466810	468682	470504	472250	473884	475391	476752	477961	479016	479925	480697	481366	481939	482464	482934	483400	483878	484382	484927	485535	486204	486954	487784	488693	489678	490741	491872	493067	494307	495589	496907	498227	499553	500867	502156	503400	504605	505748	506827	507849	508801
1	           6	415558	426252	434996	424646	417667	416753	418095	406112	412548	413358	413982	414422	415118	415922	416484	416697	416703	416440	415898	415447	415230	415270	415662	416458	417740	419565	421901	424674	428033	431697	435734	439446	442257	444746	446805	448419	449610	450445	450933	451204	451349	451403	451398	451414	451489	451625	451834	452163	452588	453096	453694	454415	455260	456227	457343	458606	460014	461551	463224	464989	466827	468696	470568	472390	474137	475770	477277	478640	479848	480904	481813	482584	483253	483829	484352	484824	485289	485766	486270	486815	487423	488094	488843	489674	490582	491567	492629	493762	494956	496198	497478	498798	500119	501445	502757	504047	505291	506496	507638	508718	509740
1	           7	411238	417594	428342	437043	426648	419482	418505	419783	407803	414240	415051	415673	416113	416811	417615	418178	418391	418398	418135	417593	417142	416925	416965	417357	418153	419436	421262	423598	426372	429730	433394	437431	441143	443953	446443	448503	450117	451309	452144	452632	452903	453047	453101	453098	453114	453189	453325	453534	453863	454289	454797	455395	456117	456962	457929	459045	460308	461716	463253	464927	466691	468530	470399	472271	474092	475840	477472	478980	480345	481552	482608	483517	484289	484957	485534	486055	486529	486995	487472	487976	488521	489129	489801	490549	491381	492288	493275	494336	495470	496661	497905	499185	500505	501826	503152	504464	505754	506997	508204	509346	510426
1	           8	414564	413213	419615	430319	438977	428403	421175	420137	421414	409436	415874	416686	417310	417747	418446	419251	419814	420027	420035	419772	419230	418780	418563	418604	418997	419792	421075	422902	425237	428012	431370	435036	439072	442784	445594	448084	450144	451757	452950	453786	454274	454544	454688	454742	454740	454758	454833	454968	455177	455507	455932	456440	457039	457762	458606	459573	460689	461951	463361	464897	466571	468336	470175	472044	473917	475738	477486	479118	480625	481990	483199	484255	485164	485935	486604	487182	487703	488176	488642	489119	489623	490169	490777	491448	492197	493029	493936	494923	495984	497119	498309	499553	500835	502155	503476	504802	506114	507405	508647	509853	510996
1	           9	401517	416468	415158	421522	432183	440671	430039	422753	421716	422993	411016	417453	418266	418891	419328	420027	420832	421395	421609	421617	421355	420813	420365	420149	420188	420582	421378	422660	424487	426823	429598	432954	436622	440658	444369	447179	449669	451731	453342	454535	455372	455862	456131	456275	456329	456326	456345	456421	456556	456764	457095	457520	458028	458626	459350	460196	461163	462280	463541	464950	466486	468160	469925	471765	473633	475507	477329	479077	480709	482215	483582	484791	485846	486756	487526	488195	488774	489295	489768	490234	490711	491215	491761	492370	493041	493789	494623	495529	496517	497578	498713	499902	501146	502428	503749	505069	506395	507707	508999	510241	511447
