Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389438	394721	393910	392723	391084	389525	387942	386121	383979	381700	379242	376640	374280	372326	370807	369802	369377	369590	370471	371970	373995	376624	379563	382839	385787	387862	389560	390753	391426	391589	391286	390568	389518	388262	386828	385274	383673	382094	380560	379092	377759	376552	375472	374547	373806	373271	372938	372824	372935	373258	373780	374479	375319	376256	377240	378226	379168	380010	380724	381274	381639	381810	381779	381566	381176	380637	379979	379226	378417	377585	376754	375949	375198	374529	373948	373469	373106	372858	372724	372703	372785	372962	373220	373548	373918	374316	374730	375130	375508	375835	376110	376312	376440	376478	376439	376314	376116	375849	375524	375160
1	           1	402554	403910	391465	396677	395797	394419	392693	391050	389475	387660	385524	383251	380799	378204	375850	373899	372386	371385	370962	371180	372062	373565	375590	378220	381161	384436	387385	389461	391162	392355	393030	393196	392896	392182	391135	389881	388448	386897	385299	383723	382193	380727	379395	378190	377114	376192	375451	374919	374586	374477	374589	374915	375438	376139	376978	377917	378902	379889	380832	381675	382390	382941	383308	383482	383453	383240	382853	382315	381659	380909	380099	379269	378440	377637	376888	376221	375640	375162	374800	374553	374422	374401	374484	374663	374922	375251	375623	376022	376438	376837	377217	377545	377820	378023	378153	378192	378152	378029	377831	377566	377242
1	           2	406751	405685	406713	394186	399306	398178	396687	394853	393213	391638	389828	387693	385421	382971	380377	378026	376077	374564	373565	373143	373364	374245	375750	377775	380404	383347	386621	389570	391646	393349	394541	395219	395384	395084	394371	393325	392073	390642	389092	387494	385917	384388	382924	381592	380388	379313	378392	377652	377120	376787	376679	376791	377118	377641	378344	379184	380123	381108	382095	383039	383883	384600	385151	385517	385692	385664	385451	385065	384527	383871	383122	382311	381481	380655	379851	379102	378437	377856	377378	377017	376771	376640	376619	376702	376882	377139	377469	377842	378240	378658	379058	379439	379765	380042	380245	380375	380414	380376	380253	380054	379791
1	           3	416855	409520	408148	409104	396499	401388	400157	398572	396737	395100	393527	391717	389584	387310	384864	382269	379919	377971	376458	375460	375037	375257	376140	377645	379670	382299	385243	388517	391466	393542	395245	396436	397115	397281	396982	396269	395222	393970	392540	390990	389394	387818	386289	384825	383493	382290	381215	380295	379555	379023	378689	378581	378694	379022	379544	380248	381088	382027	383014	384001	384944	385788	386505	387056	387423	387597	387570	387357	386972	386432	385777	385029	384218	383387	382561	381760	381010	380346	379764	379286	378925	378680	378549	378530	378612	378793	379050	379380	379753	380152	380569	380968	381350	381675	381953	382155	382286	382325	382287	382164	381966
1	           4	430088	419357	411740	410301	411185	398358	403152	401834	400250	398416	396779	395207	393397	391266	388991	386545	383951	381603	379655	378141	377145	376724	376943	377826	379331	381355	383986	386931	390204	393153	395230	396933	398124	398803	398969	398670	397957	396911	395659	394230	392679	391084	389508	387978	386516	385186	383982	382907	381987	381247	380717	380382	380275	380387	380714	381237	381941	382782	383721	384708	385696	386639	387483	388200	388752	389120	389293	389266	389053	388669	388130	387475	386727	385917	385085	384259	383458	382707	382045	381464	380985	380624	380379	380247	380228	380310	380492	380749	381080	381452	381852	382269	382668	383050	383374	383653	383855	383987	384026	383989	383865
1	           5	424001	432356	421368	413695	412193	412856	399951	404662	403346	401763	399928	398293	396723	394912	392782	390509	388063	385468	383122	381175	379661	378664	378243	378463	379347	380854	382877	385507	388452	391725	394675	396751	398454	399646	400325	400492	400193	399480	398433	397182	395754	394203	392608	391034	389503	388040	386711	385507	384433	383513	382774	382245	381909	381803	381916	382242	382766	383469	384310	385249	386236	387224	388168	389013	389729	390281	390649	390823	390796	390583	390198	389661	389005	388256	387448	386615	385789	384988	384239	383576	382996	382517	382155	381910	381778	381760	381841	382024	382282	382612	382984	383385	383801	384201	384584	384908	385188	385389	385523	385560	385524
1	           6	415558	425961	434090	423056	415332	413626	414218	401246	405956	404642	403059	401225	399590	398021	396211	394081	391808	389363	386767	384422	382476	380963	379966	379546	379766	380649	382156	384179	386810	389755	393027	395979	398055	399757	400950	401628	401796	401497	400786	399740	398489	397060	395510	393916	392342	390810	389348	388018	386816	385742	384822	384083	383554	383218	383113	383227	383553	384077	384780	385621	386559	387547	388535	389477	390324	391040	391592	391959	392133	392106	391894	391508	390973	390318	389567	388760	387927	387102	386299	385551	384887	384308	383831	383469	383224	383091	383074	383155	383337	383596	383927	384298	384701	385117	385515	385898	386223	386503	386703	386839	386875
1	           7	411238	417341	427541	435626	424547	416639	414869	415397	402427	407136	405824	404241	402407	400774	399204	397395	395266	392993	390549	387952	385610	383664	382151	381154	380735	380955	381839	383345	385368	387999	390944	394215	397169	399245	400948	402141	402818	402987	402687	401976	400931	399681	398251	396701	395108	393536	392002	390541	389210	388008	386935	386015	385277	384748	384411	384306	384421	384746	385272	385975	386817	387754	388742	389731	390672	391520	392236	392788	393155	393330	393301	393091	392704	392168	391515	390763	389956	389122	388300	387495	386749	386084	385504	385027	384665	384420	384288	384272	384354	384535	384795	385125	385497	385899	386317	386714	387097	387421	387702	387901	388038
1	           8	414564	412978	418892	429049	437088	425832	417862	416032	416560	403592	408300	406988	405406	403574	401940	400370	398563	396435	394162	391720	389121	386779	384834	383323	382325	381907	382126	383011	384517	386541	389171	392116	395387	398341	400417	402121	403314	403991	404161	403861	403150	402105	400856	399426	397875	396281	394711	393177	391717	390387	389184	388112	387193	386453	385927	385590	385484	385600	385923	386450	387152	387994	388932	389920	390911	391851	392699	393414	393966	394333	394510	394480	394269	393884	393348	392695	391943	391136	390301	389481	388674	387930	387265	386686	386208	385848	385601	385470	385454	385536	385716	385978	386306	386680	387081	387500	387897	388281	388605	388886	389085
1	           9	401517	416247	414477	420353	430468	438336	427021	418992	417163	417692	404726	409434	408122	406539	404709	403076	401506	399699	397572	395301	392859	390260	387919	385974	384464	383466	383048	383268	384153	385658	387682	390312	393257	396528	399483	401558	403263	404456	405133	405303	405003	404292	403247	401997	400568	399019	397423	395854	394319	392860	391531	390329	389256	388339	387597	387072	386735	386629	386747	387069	387597	388299	389139	390078	391066	392056	392996	393845	394560	395112	395480	395657	395628	395416	395031	394495	393842	393090	392284	391448	390629	389822	389078	388414	387835	387357	386997	386750	386618	386603	386685	386865	387128	387455	387829	388230	388649	389047	389430	389754	390035
