Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389769	395909	396161	396077	395575	395187	394790	394152	393185	392049	390678	389103	387693	386603	385861	385555	385737	386482	387832	389749	392152	395141	398437	402099	405427	407867	409957	411586	412723	413404	413662	413549	413157	412597	411901	411125	410329	409578	408874	408248	407736	407345	407053	406893	406885	407034	407349	407848	408537	409397	410430	411612	412915	414299	415730	417153	418536	419825	421001	422031	422892	423582	424088	424436	424628	424690	424648	424527	424359	424171	423994	423844	423744	423704	423750	423886	424113	424447	424867	425390	425994	426678	427431	428232	429075	429940	430804	431663	432490	433281	434015	434688	435289	435819	436272	436655	436968	437224	437431	437595
1	           1	402554	404083	392142	398212	398393	398118	397528	397054	396663	396032	395071	393938	392575	391004	389599	388514	387776	387474	387660	388409	389761	391679	394082	397073	400369	404031	407362	409804	411894	413525	414664	415348	415608	415496	415108	414550	413857	413084	412289	411541	410839	410217	409707	409317	409027	408870	408862	409015	409332	409833	410521	411385	412419	413603	414907	416293	417724	419149	420533	421824	423001	424032	424894	425585	426093	426443	426636	426700	426660	426541	426374	426187	426012	425863	425764	425727	425776	425913	426141	426475	426897	427422	428026	428710	429465	430267	431110	431976	432841	433703	434531	435323	436058	436732	437334	437867	438321	438705	439018	439275	439482
1	           2	406751	405885	407293	395271	401246	401181	400792	400094	399622	399232	398603	397644	396513	395153	393582	392178	391095	390359	390059	390244	390994	392348	394267	396670	399662	402958	406619	409950	412394	414483	416114	417254	417940	418201	418089	417702	417145	416452	415681	414886	414140	413437	412816	412308	411919	411628	411473	411464	411619	411937	412438	413126	413992	415024	416209	417513	418900	420332	421758	423140	424433	425610	426643	427505	428196	428705	429055	429249	429313	429273	429156	428988	428803	428628	428481	428381	428345	428394	428531	428760	429095	429515	430043	430647	431330	432085	432889	433732	434599	435464	436326	437155	437947	438682	439356	439958	440491	440945	441330	441643	441900
1	           3	416855	409714	408734	410068	397968	403711	403546	403058	402361	401889	401502	400874	399917	398786	397427	395857	394453	393370	392633	392335	392520	393271	394625	396544	398948	401940	405237	408896	412227	414671	416760	418392	419533	420218	420479	420369	419981	419425	418733	417962	417166	416421	415718	415097	414589	414201	413910	413756	413747	413902	414221	414722	415409	416276	417308	418494	419798	421185	422616	424043	425425	426719	427896	428930	429791	430482	430991	431342	431538	431602	431560	431444	431276	431092	430916	430769	430670	430634	430684	430823	431050	431386	431805	432334	432939	433622	434376	435180	436024	436892	437757	438619	439449	440241	440976	441650	442252	442785	443239	443624	443939
1	           4	430088	419536	412294	411246	412506	400183	405835	405580	405093	404397	403925	403539	402911	401955	400825	399468	397897	396494	395411	394674	394376	394561	395313	396667	398585	400990	403982	407281	410940	414271	416715	418803	420435	421577	422263	422523	422413	422026	421470	420778	420008	419212	418469	417765	417144	416637	416250	415958	415804	415796	415950	416271	416772	417459	418326	419357	420543	421847	423236	424667	426094	427476	428770	429946	430981	431842	432534	433043	433393	433589	433655	433613	433497	433331	433146	432970	432823	432724	432688	432738	432878	433105	433441	433859	434387	434994	435677	436431	437236	438079	438947	439812	440674	441504	442296	443031	443705	444307	444841	445295	445680
1	           5	424001	432522	421875	414576	413465	414505	402101	407674	407418	406931	406237	405765	405379	404753	403797	402667	401311	399740	398338	397255	396519	396220	396404	397160	398513	400431	402837	405828	409127	412786	416116	418561	420651	422282	423424	424110	424370	424260	423875	423319	422625	421856	421059	420319	419614	418992	418485	418099	417808	417654	417647	417800	418121	418622	419310	420179	421209	422395	423699	425088	426519	427947	429329	430625	431800	432835	433696	434388	434897	435247	435444	435511	435469	435351	435187	435001	434826	434678	434581	434544	434594	434734	434961	435297	435716	436243	436850	437533	438288	439094	439937	440805	441670	442532	443362	444154	444889	445563	446165	446700	447154
1	           6	415558	426108	434545	423851	416502	415187	416157	403683	409257	409002	408515	407822	407351	406964	406339	405384	404253	402900	401328	399927	398844	398108	397810	397994	398751	400102	402020	404426	407418	410718	414378	417708	420152	422243	423874	425016	425702	425962	425852	425467	424911	424218	423449	422652	421913	421209	420587	420080	419695	419404	419249	419243	419396	419717	420218	420906	421776	422807	423993	425297	426687	428117	429545	430926	432224	433399	434434	435295	435987	436496	436845	437042	437108	437068	436950	436788	436600	436426	436276	436180	436143	436194	436334	436561	436897	437317	437844	438451	439134	439888	440694	441537	442406	443271	444133	444963	445755	446490	447164	447766	448302
1	           7	411238	417468	427940	436336	425597	418064	416684	417590	405118	410692	410437	409950	409258	408787	408401	407775	406823	405691	404337	402768	401367	400285	399550	399252	399436	400194	401545	403463	405869	408861	412161	415820	419150	421595	423685	425316	426459	427144	427405	427296	426912	426356	425663	424893	424097	423359	422655	422033	421525	421140	420851	420696	420690	420842	421164	421664	422352	423223	424255	425442	426745	428135	429566	430994	432374	433672	434847	435882	436744	437436	437946	438295	438492	438558	438517	438398	438237	438050	437877	437728	437632	437595	437645	437786	438013	438348	438769	439296	439902	440586	441340	442146	442989	443858	444723	445585	446415	447207	447942	448617	449218
1	           8	414564	413097	419254	429682	438034	427117	419522	418080	418986	406517	412091	411836	411351	410659	410188	409802	409176	408225	407093	405739	404171	402770	401688	400954	400656	400840	401598	402949	404867	407273	410266	413567	417226	420555	423002	425093	426723	427867	428551	428812	428703	428319	427764	427072	426302	425504	424766	424064	423443	422934	422549	422260	422105	422100	422251	422575	423074	423762	424633	425664	426852	428156	429546	430977	432406	433786	435084	436259	437294	438156	438848	439358	439707	439905	439971	439930	439811	439650	439463	439290	439141	439045	439010	439059	439200	439427	439761	440182	440710	441316	442000	442753	443559	444402	445272	446137	447000	447830	448622	449357	450032
1	           9	401517	416358	414819	420937	431322	439505	428529	420877	419436	420340	407873	413447	413192	412707	412017	411546	411161	410535	409586	408453	407100	405532	404131	403050	402317	402019	402203	402961	404312	406231	408636	411629	414931	418590	421918	424366	426457	428087	429231	429915	430176	430068	429683	429129	428436	427668	426870	426131	425429	424810	424301	423915	423626	423472	423467	423617	423943	424441	425130	426002	427033	428221	429525	430915	432346	433775	435155	436452	437628	438664	439525	440217	440728	441077	441275	441341	441300	441181	441021	440832	440659	440510	440414	440380	440429	440569	440797	441131	441553	442080	442686	443371	444124	444930	445773	446643	447507	448370	449200	449992	450728
1	          10	392321	403305	418079	416496	422569	432803	440928	429893	422243	420804	421708	409242	414817	414562	414078	413388	412915	412533	411906	410958	409826	408473	406906	405506	404424	403691	403394	403578	404336	405686	407606	410011	413004	416306	419965	423293	425741	427833	429462	430606	431290	431550	431444	431059	430506	429812	429043	428245	427508	426806	426187	425678	425292	425003	424849	424845	424995	425322	425820	426510	427382	428412	429600	430904	432294	433726	435156	436536	437833	439008	440044	440905	441597	442109	442458	442656	442722	442681	442562	442403	442215	442042	441892	441794	441760	441810	441951	442180	442514	442936	443463	444069	444754	445507	446313	447155	448025	448889	449752	450583	451375
1	          11	377345	394155	405071	419799	418170	424102	434275	442342	431307	423658	422220	423124	410658	416233	415978	415493	414807	414333	413952	413325	412378	411246	409894	408327	406929	405847	405114	404817	405001	405759	407109	409029	411434	414428	417729	421388	424716	427164	429257	430886	432030	432715	432974	432868	432483	431932	431238	430469	429670	428933	428231	427613	427103	426718	426429	426275	426271	426421	426750	427247	427937	428810	429840	431028	432332	433722	435153	436584	437964	439262	440437	441473	442334	443025	443537	443886	444084	444151	444110	443991	443832	443644	443472	443323	443225	443191	443240	443381	443610	443944	444367	444894	445500	446186	446939	447746	448588	449458	450322	451184	452015
1	          12	370934	379190	395934	406802	421478	419716	425590	435703	443771	432737	425088	423651	424555	412091	417666	417412	416926	416241	415767	415386	414760	413813	412681	411329	409762	408366	407284	406552	406256	406440	407198	408548	410468	412872	415866	419168	422827	426154	428604	430697	432326	433470	434155	434414	434308	433922	433374	432680	431910	431111	430374	429674	429057	428546	428161	427872	427717	427714	427865	428194	428691	429382	430255	431285	432473	433777	435167	436599	438030	439410	440707	441883	442919	443780	444471	444983	445332	445530	445598	445557	445438	445279	445090	444918	444770	444672	444638	444688	444828	445057	445391	445815	446342	446947	447633	448386	449193	450035	450905	451771	452633
