Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389776	395925	395461	394501	393083	391738	390329	388611	386476	384104	381454	378568	375837	373429	371396	369853	368873	368512	368830	369791	371308	373463	375961	378845	381432	383186	384587	385525	385955	385918	385438	384560	383386	382022	380497	378862	377187	375533	373900	372325	370853	369479	368199	367043	366043	365208	364548	364091	363842	363797	363946	364272	364746	365327	365980	366651	367290	367859	368317	368628	368781	368749	368539	368155	367607	366918	366110	365210	364253	363266	362275	361302	360377	359514	358729	358029	357430	356939	356551	356266	356073	355978	355964	356009	356109	356237	356390	356541	356668	356767	356815	356807	356728	356580	356352	356046	355674	355240	354748	354210
1	           1	402554	404083	392149	397399	396890	395768	394291	392890	391486	389775	387646	385281	382637	379757	377033	374629	372602	371062	370086	369728	370049	371012	372531	374687	377187	380071	382660	384415	385818	386757	387189	387154	386675	385803	384632	383269	381749	380115	378443	376792	375161	373591	372121	370749	369470	368316	367319	366486	365828	365372	365125	365082	365233	365561	366038	366620	367274	367946	368586	369155	369615	369928	370082	370051	369844	369460	368913	368228	367422	366523	365569	364583	363594	362621	361698	360837	360052	359354	358756	358265	357879	357596	357404	357310	357297	357344	357445	357575	357729	357881	358009	358109	358158	358150	358071	357924	357698	357392	357022	356589	356098
1	           2	406751	405885	407293	394261	399450	398729	397526	395972	394573	393171	391462	389338	386975	384330	381452	378730	376328	374303	372765	371790	371432	371755	372719	374239	376395	378894	381780	384369	386123	387529	388466	388899	388866	388387	387515	386346	384983	383465	381832	380161	378511	376879	375311	373842	372471	371192	370041	369044	368212	367554	367098	366851	366809	366960	367288	367766	368348	369003	369676	370318	370887	371346	371661	371814	371784	371578	371194	370648	369962	369158	368258	367305	366319	365332	364358	363436	362576	361791	361093	360496	360004	359621	359337	359145	359052	359038	359085	359188	359318	359473	359624	359753	359854	359902	359896	359818	359670	359444	359139	358769	358337
1	           3	416855	409714	408734	409172	396089	401077	400287	399016	397464	396065	394664	392957	390833	388472	385828	382950	380229	377828	375803	374265	373291	372934	373256	374220	375740	377897	380396	383283	385871	387625	389032	389969	390401	390370	389891	389019	387851	386487	384969	383337	381667	380017	378387	376818	375349	373980	372700	371548	370552	369720	369062	368607	368360	368319	368471	368798	369276	369859	370514	371186	371830	372400	372859	373174	373328	373297	373092	372708	372162	371476	370671	369773	368820	367833	366847	365872	364950	364091	363306	362610	362014	361520	361138	360853	360663	360570	360556	360602	360706	360835	360991	361143	361272	361373	361421	361414	361335	361189	360962	360659	360288
1	           4	430088	419536	412294	410437	410828	397551	402474	401622	400351	398801	397402	396003	394296	392173	389812	387167	384290	381571	379170	377145	375607	374634	374278	374600	375563	377083	379240	381738	384628	387216	388971	390378	391315	391747	391716	391237	390366	389198	387834	386317	384685	383016	381365	379736	378166	376698	375330	374052	372898	371903	371072	370412	369958	369710	369670	369823	370150	370628	371210	371866	372539	373182	373751	374212	374527	374682	374651	374447	374063	373516	372832	372026	371128	370175	369188	368204	367228	366307	365447	364662	363965	363371	362877	362495	362209	362019	361926	361913	361959	362062	362192	362348	362500	362630	362730	362778	362773	362692	362547	362319	362016
1	           5	424001	432522	421875	414034	412132	412320	398983	403845	402993	401724	400173	398774	397377	395670	393548	391189	388545	385667	382948	380549	378525	376986	376014	375659	375982	376945	378465	380622	383119	386009	388597	390353	391759	392697	393129	393099	392619	391748	390580	389216	387700	386070	384400	382751	381122	379552	378083	376715	375438	374285	373289	372460	371798	371345	371099	371058	371211	371538	372017	372599	373255	373929	374572	375140	375600	375915	376072	376041	375837	375453	374906	374221	373416	372517	371566	370578	369595	368618	367698	366837	366052	365355	364763	364269	363887	363601	363411	363317	363305	363351	363455	363585	363741	363892	364023	364123	364172	364168	364086	363942	363713
1	           6	415558	426108	434545	423565	415683	413589	413718	400322	405185	404333	403066	401516	400116	398719	397014	394891	392532	389890	387013	384293	381895	379871	378334	377361	377006	377330	378293	379813	381971	384468	387358	389946	391703	393108	394046	394478	394447	393970	393100	391931	390566	389050	387422	385751	384103	382473	380906	379436	378068	376791	375637	374642	373816	373154	372700	372454	372413	372566	372893	373372	373954	374611	375285	375929	376497	376957	377271	377427	377396	377195	376810	376263	375578	374774	373875	372924	371935	370953	369976	369056	368195	367410	366712	366122	365626	365246	364960	364771	364676	364665	364709	364814	364945	365101	365252	365383	365482	365532	365528	365446	365304
1	           7	411238	417468	427940	436074	425058	417000	414853	414929	401535	406397	405546	404279	402730	401331	399933	398231	396107	393748	391107	388231	385512	383114	381089	379554	378581	378226	378550	379513	381033	383191	385689	388578	391167	392924	394329	395268	395700	395669	395191	394324	393154	391789	390274	388645	386974	385328	383696	382131	380661	379293	378017	376863	375868	375041	374379	373926	373680	373640	373792	374119	374600	375181	375838	376512	377157	377724	378185	378500	378655	378623	378422	378039	377491	376805	376003	375103	374154	373165	372183	371206	370286	369425	368640	367942	367352	366856	366477	366190	366001	365906	365896	365939	366044	366176	366333	366485	366615	366714	366763	366761	366678
1	           8	414564	413097	419254	429430	437527	426343	418234	416036	416112	402720	407582	406733	405466	403918	402519	401120	399420	397296	394938	392298	389421	386704	384306	382281	380747	379773	379418	379743	380706	382226	384384	386883	389771	392363	394119	395523	396463	396895	396864	396384	395519	394349	392984	391470	389841	388168	386524	384893	383327	381858	380489	379213	378061	377066	376240	375577	375125	374878	374839	374992	375318	375798	376379	377036	377710	378357	378923	379384	379700	379855	379824	379622	379239	378692	378004	377204	376302	375354	374365	373384	372407	371487	370627	369841	369145	368553	368057	367678	367392	367203	367110	367101	367143	367248	367380	367536	367689	367818	367918	367966	367964
1	           9	401517	416358	414819	420692	430831	438771	427536	419380	417183	417259	403868	408730	407882	406614	405067	403668	402271	400572	398447	396090	393452	390574	387858	385460	383436	381902	380929	380573	380898	381861	383381	385539	388039	390926	393519	395275	396680	397620	398052	398022	397541	396677	395506	394142	392628	391000	389327	387681	386051	384485	383016	381647	380370	379219	378226	377401	376737	376286	376039	376000	376153	376480	376960	377541	378198	378872	379519	380085	380546	380862	381017	380986	380784	380400	379855	379166	378368	377465	376516	375527	374546	373570	372649	371789	371003	370308	369718	369221	368842	368556	368368	368274	368265	368308	368413	368544	368700	368853	368982	369083	369131
