Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389776	395925	395819	395304	394337	393468	392568	391388	389833	388076	386068	383837	381767	380018	378633	377700	377304	377499	378334	379774	381733	384301	387200	390473	393432	395526	397278	398559	399342	399664	399556	399055	398273	397311	396208	395001	393766	392565	391395	390293	389304	388421	387638	386975	386471	386132	385957	385976	386194	386603	387194	387951	388836	389820	390861	391912	392918	393852	394666	395341	395843	396172	396323	396304	396125	395811	395389	394879	394316	393733	393145	392580	392068	391622	391251	390969	390787	390705	390722	390839	391046	391342	391707	392130	392600	393097	393609	394113	394594	395034	395427	395756	396021	396210	396327	396363	396331	396240	396099	395917
1	           1	402554	404083	392149	397813	397649	396960	395918	394978	394084	392912	391362	389612	387609	385383	383319	381575	380194	379266	378872	379070	379907	381349	383310	385880	388780	392055	395014	397110	398864	400146	400931	401255	401148	400651	399871	398912	397815	396608	395375	394176	393009	391910	390922	390042	389265	388603	388100	387763	387590	387611	387831	388242	388833	389592	390478	391463	392505	393558	394566	395502	396318	396993	397496	397826	397980	397962	397784	397473	397052	396542	395981	395399	394815	394251	393739	393297	392926	392645	392465	392384	392402	392520	392730	393027	393394	393817	394288	394785	395299	395804	396287	396728	397121	397451	397716	397906	398024	398061	398030	397941	397801
1	           2	406751	405885	407293	394769	400356	399962	399178	398043	397104	396212	395041	393494	391746	389745	387520	385458	383715	382336	381411	381016	381216	382053	383497	385458	388027	390929	394204	397163	399258	401013	402295	403082	403407	403300	402805	402026	401066	399970	398765	397534	396335	395168	394071	393083	392202	391426	390766	390263	389926	389755	389775	389996	390407	390999	391758	392646	393632	394674	395726	396735	397671	398488	399163	399667	399997	400152	400134	399956	399648	399228	398719	398159	397576	396993	396428	395918	395477	395106	394824	394644	394565	394582	394700	394911	395207	395574	395998	396470	396967	397482	397986	398470	398912	399306	399636	399899	400092	400210	400246	400215	400128
1	           3	416855	409714	408734	409620	397032	402405	401924	401056	399922	398984	398094	396923	395378	393630	391631	389406	387346	385602	384223	383299	382906	383105	383942	385385	387349	389917	392818	396093	399053	401149	402903	404186	404974	405298	405192	404696	403918	402958	401861	400658	399427	398229	397061	395966	394978	394098	393322	392663	392160	391823	391653	391672	391894	392305	392898	393656	394543	395529	396572	397625	398634	399571	400388	401063	401567	401896	402052	402035	401856	401550	401128	400620	400061	399478	398895	398330	397819	397380	397008	396727	396546	396469	396484	396605	396817	397112	397480	397904	398375	398872	399388	399891	400375	400817	401211	401542	401804	401998	402116	402153	402123
1	           4	430088	419536	412294	410841	411667	398871	404165	403608	402741	401607	400669	399780	398610	397066	395318	393320	391096	389036	387294	385915	384991	384599	384797	385635	387077	389042	391612	394512	397787	400746	402843	404597	405880	406669	406993	406887	406391	405613	404655	403557	402354	401123	399927	398758	397664	396677	395795	395020	394362	393858	393522	393351	393372	393594	394005	394599	395358	396244	397230	398274	399327	400336	401273	402090	402765	403269	403598	403756	403739	403559	403254	402831	402323	401766	401183	400599	400034	399523	399085	398714	398433	398251	398175	398189	398310	398523	398817	399185	399609	400081	400578	401094	401598	402082	402524	402919	403250	403511	403705	403823	403860
1	           5	424001	432522	421875	414303	412796	413412	400546	405770	405213	404347	403214	402278	401390	400220	398676	396928	394931	392707	390647	388906	387526	386604	386212	386409	387249	388690	390655	393227	396127	399402	402361	404458	406212	407495	408284	408609	408503	408008	407228	406271	405174	403971	402740	401543	400376	399282	398296	397414	396637	395982	395477	395142	394970	394991	395213	395624	396218	396978	397866	398851	399895	400948	401956	402893	403710	404386	404890	405219	405378	405362	405182	404877	404453	403946	403390	402807	402224	401658	401146	400708	400339	400057	399875	399800	399814	399935	400148	400442	400810	401233	401707	402204	402720	403224	403707	404148	404543	404876	405137	405331	405448
1	           6	415558	426108	434545	423709	416092	414386	414937	402007	407233	406677	405812	404677	403743	402855	401686	400141	398394	396397	394175	392114	390374	388995	388073	387682	387880	388720	390161	392126	394697	397598	400872	403831	405928	407682	408966	409755	410080	409974	409481	408699	407743	406648	405445	404215	403017	401850	400756	399770	398890	398111	397458	396953	396618	396446	396468	396690	397101	397696	398455	399344	400329	401373	402427	403435	404372	405189	405865	406370	406698	406856	406840	406660	406357	405932	405425	404870	404286	403704	403139	402625	402187	401820	401538	401354	401281	401294	401416	401629	401923	402292	402714	403188	403685	404201	404706	405190	405631	406025	406358	406619	406813
1	           7	411238	417468	427940	436205	425328	417531	415766	416261	403330	408556	408000	407137	406001	405069	404183	403013	401469	399722	397726	395504	393444	391705	390326	389404	389012	389212	390052	391491	393457	396028	398931	402204	405163	407260	409014	410298	411088	411414	411307	410815	410033	409078	407982	406779	405550	404352	403185	402092	401105	400227	399447	398795	398289	397955	397784	397805	398028	398439	399034	399792	400680	401666	402710	403764	404772	405709	406526	407202	407708	408037	408195	408180	407999	407696	407271	406764	406211	405625	405043	404479	403967	403528	403161	402879	402694	402622	402634	402756	402969	403263	403633	404055	404529	405026	405543	406048	406532	406972	407367	407701	407962
1	           8	414564	413097	419254	429556	437780	426730	418878	417056	417552	404622	409849	409292	408431	407294	406362	405478	404309	402765	401017	399023	396802	394742	393004	391625	390702	390311	390511	391352	392793	394758	397328	400231	403504	406463	408561	410314	411599	412389	412716	412609	412116	411334	410380	409284	408081	406852	405655	404488	403395	402407	401530	400749	400098	399592	399258	399087	399110	399333	399744	400340	401098	401986	402973	404017	405071	406079	407017	407834	408510	409015	409343	409502	409486	409306	409002	408577	408071	407519	406932	406351	405786	405274	404835	404469	404187	404002	403931	403943	404065	404278	404572	404942	405363	405838	406334	406852	407356	407841	408282	408677	409012
1	           9	401517	416358	414819	420814	431078	439136	428033	420127	418306	418803	405874	411102	410545	409683	408548	407616	406732	405564	404021	402273	400279	398059	396000	394263	392885	391960	391570	391770	392611	394053	396018	398588	401492	404764	407723	409821	411573	412858	413648	413975	413871	413377	412595	411641	410546	409342	408114	406917	405749	404658	403670	402793	402013	401361	400856	400521	400350	400374	400597	401007	401605	402363	403250	404237	405281	406335	407343	408281	409099	409775	410281	410608	410768	410752	410572	410269	409843	409337	408785	408198	407616	407051	406541	406101	405735	405454	405268	405197	405209	405332	405545	405838	406210	406631	407107	407603	408122	408626	409110	409550	409945
