Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	389776	395925	396547	396899	396847	396935	397043	396947	396557	396029	395298	394375	393621	393189	393095	393404	394174	395470	397331	399730	402573	405981	409677	413729	417427	420215	422651	424623	426113	427154	427787	428054	428053	427898	427628	427272	426918	426615	426376	426224	426197	426297	426498	426829	427319	427959	428762	429738	430894	432212	433684	435295	437008	438796	440607	442416	444171	445825	447361	448746	449967	451009	451881	452591	453158	453594	453935	454206	454434	454647	454876	455134	455447	455826	456287	456833	457476	458214	459052	459972	460969	462045	463183	464362	465573	466802	468029	469239	470419	471551	472636	473649	474591	475461	476258	476987	477649	478245	478799	479318
1	           1	402554	404083	392149	398640	399180	399327	399170	399162	399276	399186	398802	398279	397552	396635	395885	395456	395367	395678	396452	397750	399615	402016	404859	408268	411965	416016	419717	422504	424945	426917	428408	429451	430086	430355	430357	430206	429937	429584	429233	428931	428695	428544	428520	428623	428826	429159	429650	430292	431096	432075	433234	434554	436026	437639	439352	441141	442953	444762	446519	448174	449712	451098	452321	453365	454239	454950	455519	455957	456299	456572	456800	457014	457245	457504	457818	458200	458663	459210	459854	460592	461433	462355	463354	464431	465570	466750	467962	469191	470419	471631	472812	473944	475030	476044	476987	477858	478656	479387	480052	480649	481204
1	           2	406751	405885	407293	395785	402165	402440	402460	402177	402170	402286	402196	401815	401295	400570	399656	398907	398478	398390	398702	399478	400775	402641	405043	407886	411296	414994	419045	422747	425533	427975	429948	431439	432483	433119	433388	433390	433241	432973	432621	432270	431969	431733	431583	431560	431663	431867	432201	432693	433336	434140	435119	436278	437598	439071	440685	442397	444187	446000	447810	449567	451223	452762	454147	455370	456415	457288	458001	458569	459007	459350	459625	459854	460068	460300	460560	460875	461258	461721	462269	462913	463651	464493	465415	466415	467492	468631	469811	471025	472253	473480	474693	475874	477007	478094	479108	480051	480923	481721	482452	483117	483715
1	           3	416855	409714	408734	410516	398914	405049	405208	405116	404834	404827	404945	404857	404475	403957	403231	402318	401570	401141	401054	401365	402143	403440	405306	407708	410551	413962	417660	421710	425413	428199	430642	432614	434105	435149	435786	436056	436057	435908	435642	435289	434938	434640	434403	434253	434230	434334	434539	434872	435364	436007	436812	437792	438950	440270	441743	443359	445072	446861	448673	450483	452240	453897	455436	456822	458045	459091	459963	460675	461244	461682	462025	462300	462530	462745	462977	463236	463552	463935	464398	464947	465591	466329	467171	468092	469092	470170	471310	472489	473704	474933	476160	477373	478553	479687	480775	481789	482732	483604	484401	485132	485797
1	           4	430088	419536	412294	411650	413346	401505	407536	407594	407502	407221	407214	407332	407246	406864	406347	405620	404710	403961	403533	403446	403758	404536	405833	407699	410101	412943	416354	420053	424102	427805	430591	433036	435008	436498	437542	438179	438451	438453	438303	438038	437686	437334	437036	436800	436650	436627	436731	436936	437269	437761	438405	439210	440192	441350	442670	444143	445758	447471	449262	451073	452884	454640	456297	457835	459221	460445	461491	462365	463077	463645	464083	464427	464702	464931	465147	465380	465638	465954	466337	466801	467350	467995	468733	469576	470497	471498	472575	473715	474895	476110	477339	478566	479779	480959	482093	483181	484195	485139	486010	486807	487538
1	           5	424001	432522	421875	414846	414129	415597	403665	409606	409666	409574	409295	409288	409406	409321	408938	408423	407695	406786	406039	405610	405523	405836	406614	407911	409777	412179	415022	418433	422132	426182	429885	432670	435116	437088	438578	439622	440260	440532	440534	440384	440119	439768	439416	439117	438882	438732	438710	438814	439019	439352	439845	440489	441293	442275	443433	444753	446227	447844	449556	451348	453158	454969	456726	458384	459921	461309	462533	463579	464453	465166	465734	466171	466515	466791	467020	467236	467470	467728	468044	468427	468891	469439	470084	470822	471665	472586	473588	474666	475805	476984	478199	479428	480655	481869	483049	484183	485271	486286	487231	488102	488898
1	           6	415558	426108	434545	423995	416911	415985	417375	405370	411311	411371	411277	411001	410995	411113	411030	410646	410132	409403	408493	407748	407320	407233	407546	408325	409622	411489	413891	416734	420145	423844	427896	431598	434382	436828	438801	440291	441335	441973	442245	442247	442097	441834	441482	441130	440831	440596	440446	440424	440529	440734	441068	441560	442206	443010	443992	445150	446469	447943	449560	451272	453065	454877	456688	458443	460102	461639	463027	464251	465297	466172	466885	467454	467891	468234	468510	468739	468955	469190	469448	469765	470148	470613	471161	471806	472544	473387	474308	475309	476386	477527	478706	479921	481151	482378	483592	484771	485906	486993	488008	488953	489826
1	           7	411238	417468	427940	436467	425868	418593	417599	418920	406916	412859	412920	412826	412550	412544	412663	412580	412194	411683	410955	410044	409300	408872	408786	409099	409879	411176	413043	415445	418288	421699	425397	429450	433152	435936	438381	440355	441846	442891	443529	443801	443802	443651	443390	443038	442686	442388	442154	442003	441981	442086	442290	442626	443118	443764	444567	445551	446709	448028	449503	451120	452832	454625	456437	458248	460004	461663	463200	464587	465812	466858	467733	468446	469015	469453	469797	470073	470301	470517	470752	471009	471326	471708	472173	472723	473368	474106	474949	475871	476873	477950	479091	480270	481484	482713	483940	485156	486335	487470	488557	489572	490517
1	           8	414564	413097	419254	429811	438287	427507	420165	419106	420427	408423	414368	414428	414336	414061	414053	414174	414091	413707	413195	412467	411557	410813	410386	410300	410612	411393	412690	414557	416960	419803	423213	426912	430965	434668	437451	439896	441870	443361	444407	445045	445319	445319	445168	444907	444556	444204	443906	443673	443522	443500	443606	443809	444145	444637	445284	446086	447070	448228	449547	451022	452639	454352	456145	457959	459769	461525	463184	464722	466108	467333	468380	469255	469968	470537	470975	471319	471595	471823	472039	472276	472533	472850	473232	473696	474246	474891	475629	476472	477394	478397	479475	480616	481794	483008	484237	485464	486680	487858	488993	490081	491096
1	           9	401517	416358	414819	421060	431571	439873	429028	421624	420566	421887	409884	415829	415891	415798	415525	415516	415638	415554	415172	414660	413932	413024	412279	411852	411768	412079	412861	414160	416026	418429	421273	424682	428381	432432	436136	438919	441364	443337	444828	445874	446513	446788	446787	446637	446376	446025	445674	445376	445143	444992	444970	445076	445279	445616	446108	446755	447557	448541	449699	451018	452493	454110	455823	457617	459432	461242	462999	464658	466195	467581	468806	469854	470729	471442	472012	472450	472794	473070	473298	473514	473751	474008	474325	474707	475172	475722	476366	477104	477947	478869	479871	480949	482091	483269	484483	485712	486939	488157	489335	490469	491557
1	          10	392321	403305	418079	416718	422908	433259	441494	430587	423182	422125	423447	411445	417389	417451	417359	417087	417078	417201	417118	416736	416225	415497	414590	413844	413417	413335	413645	414427	415726	417591	419994	422839	426248	429948	433999	437703	440486	442932	444905	446396	447442	448081	448357	448355	448205	447945	447594	447243	446945	446712	446561	446540	446646	446848	447186	447678	448325	449127	450111	451269	452589	454065	455682	457396	459189	461004	462813	464570	466229	467766	469152	470377	471426	472301	473014	473584	474022	474366	474641	474869	475085	475322	475580	475897	476279	476744	477295	477939	478677	479520	480442	481444	482522	483665	484843	486058	487287	488515	489733	490911	492045
1	          11	377345	394155	405071	420128	418711	424747	435027	443190	432287	424882	423826	425148	413147	419091	419154	419062	418790	418781	418904	418822	418440	417930	417201	416296	415550	415123	415041	415352	416135	417436	419301	421703	424547	427957	431656	435708	439412	442195	444640	446613	448104	449152	449791	450067	450065	449914	449654	449303	448954	448656	448423	448271	448250	448358	448559	448898	449390	450037	450838	451822	452980	454302	455778	457395	459110	460903	462718	464526	466284	467943	469481	470866	472090	473139	474014	474727	475298	475736	476081	476356	476584	476800	477037	477295	477612	477994	478460	479011	479655	480393	481236	482158	483160	484237	485380	486558	487773	489001	490231	491449	492627
1	          12	370934	379190	395934	407134	422127	420568	426534	436744	444907	434004	426600	425546	426867	414868	420811	420876	420785	420513	420505	420628	420545	420164	419655	418926	418020	417275	416848	416765	417077	417860	419162	421027	423430	426274	429684	433383	437434	441139	443923	446367	448340	449830	450879	451519	451795	451794	451643	451383	451031	450683	450385	450153	450001	449979	450087	450289	450628	451120	451768	452568	453552	454710	456032	457508	459127	460842	462636	464452	466259	468017	469675	471213	472599	473823	474872	475748	476461	477032	477470	477815	478090	478318	478534	478771	479030	479347	479729	480195	480746	481390	482128	482971	483893	484896	485974	487117	488295	489510	490736	491966	493184
1	          13	360714	372801	380991	398020	409160	424012	422383	428278	438488	446652	435750	428347	427295	428615	416618	422560	422626	422535	422264	422256	422381	422298	421916	421407	420681	419773	419029	418603	418520	418832	419613	420917	422782	425184	428030	431438	435139	439189	442893	445679	448122	450096	451586	452635	453276	453553	453552	453401	453142	452791	452442	452144	451912	451760	451738	451847	452049	452388	452880	453530	454330	455313	456472	457794	459270	460889	462603	464398	466214	468021	469778	471437	472977	474363	475587	476636	477512	478225	478796	479233	479579	479854	480083	480300	480537	480796	481113	481495	481961	482512	483156	483894	484737	485658	486661	487739	488882	490060	491277	492503	493733
1	          14	355305	362721	374740	383242	400204	411197	425976	424273	430170	440380	448546	437644	430242	429193	430513	418517	424458	424526	424435	424165	424158	424284	424201	423819	423310	422586	421677	420934	420508	420424	420739	421518	422823	424688	427090	429936	433344	437044	441096	444800	447587	450029	452003	453493	454542	455183	455461	455460	455308	455049	454699	454350	454052	453820	453668	453647	453757	453959	454299	454791	455442	456242	457225	458384	459706	461182	462801	464514	466310	468126	469934	471691	473349	474889	476275	477501	478550	479426	480139	480711	481148	481494	481769	481998	482215	482453	482712	483028	483412	483878	484429	485073	485811	486654	487575	488578	489656	490801	491979	493196	494422
1	          15	364968	357531	364873	377247	385671	402481	413392	428087	426385	432284	442493	450661	439762	432359	431311	432635	420640	426582	426651	426561	426291	426284	426410	426328	425946	425438	424714	423805	423062	422638	422553	422870	423648	424954	426819	429224	432068	435477	439176	443228	446932	449719	452161	454135	455626	456675	457316	457594	457594	457442	457184	456835	456486	456188	455956	455805	455783	455893	456095	456436	456928	457579	458379	459362	460522	461844	463320	464940	466653	468449	470266	472074	473831	475489	477029	478414	479640	480691	481566	482280	482852	483289	483635	483911	484140	484357	484595	484855	485172	485556	486022	486573	487217	487955	488798	489720	490723	491800	492945	494123	495340
1	          16	376563	367271	359758	367495	379781	388052	404771	415593	430288	428587	434490	444698	452867	441973	434571	433523	434849	422856	428797	428867	428779	428508	428503	428629	428547	428166	427660	426936	426028	425284	424861	424776	425095	425873	427180	429043	431450	434295	437705	441404	445456	449159	451947	454389	456364	457855	458904	459545	459824	459824	459672	459415	459065	458716	458420	458188	458037	458016	458127	458329	458671	459163	459814	460614	461598	462757	464079	465555	467176	468889	470685	472503	474311	476068	477726	479267	480652	481878	482930	483805	484519	485091	485528	485875	486151	486380	486597	486835	487096	487413	487797	488263	488814	489459	490198	491040	491962	492965	494043	495188	496366
1	          17	389347	379239	369855	362831	370463	382575	390739	407346	418171	432867	431167	437073	447279	455449	444557	437160	436112	437441	425450	431392	431464	431377	431105	431101	431229	431146	430767	430261	429539	428630	427887	427466	427380	427700	428477	429786	431649	434058	436901	440311	444010	448063	451765	454554	456996	458971	460463	461513	462154	462434	462434	462282	462027	461678	461330	461034	460803	460652	460630	460742	460945	461287	461780	462431	463231	464217	465376	466698	468175	469796	471509	473305	475122	476931	478690	480347	481888	483274	484500	485552	486427	487142	487714	488151	488499	488775	489004	489221	489460	489721	490038	490422	490889	491440	492085	492824	493668	494590	495593	496671	497817
