Sex	Age	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	2115	2116
1	           0	401630	387738	391706	389783	387504	384869	382322	379771	376894	373618	370142	366444	362591	358963	355749	352984	350764	349150	348194	347926	348291	349194	350693	352478	354568	356316	357214	357712	357708	357172	356144	354666	352795	350632	348285	345799	343209	340599	338025	335500	333051	330724	328524	326435	324491	322721	321144	319762	318596	317657	316923	316391	316038	315826	315719	315660	315610	315514	315324	315015	314544	313888	313051	312030	310826	309462	307957	306337	304640	302894	301126	299364	297639	295972	294378	292881	291485	290197	289025	287963	287016	286171	285422	284752	284145	283589	283067	282555	282039	281500	280925	280288	279590	278820	277975	277044	276050	274980	273848	272666	271439
1	           1	402554	401298	387433	391406	389491	387221	384593	382054	379511	376642	373372	369902	366212	362365	358744	355534	352775	350559	348949	347997	347732	348099	349005	350505	352292	354383	356132	357031	357531	357529	356995	355971	354496	352628	350467	348123	345640	343053	340446	337875	335354	332908	330583	328386	326299	324358	322589	321014	319634	318471	317533	316802	316271	315920	315710	315604	315546	315497	315402	315215	314907	314437	313782	312947	311928	310725	309363	307859	306241	304546	302803	301036	299275	297552	295886	294293	292798	291403	290116	288945	287885	286939	286096	285348	284679	284073	283518	282996	282485	281971	281433	280859	280222	279525	278756	277912	276982	275989	274919	273788	272608
1	           2	406751	402446	401195	387336	391310	389399	387131	384505	381968	379428	376561	373294	369826	366138	362292	358674	355465	352708	350493	348884	347933	347669	348036	348944	350444	352232	354323	356073	356974	357474	357473	356939	355916	354442	352575	350414	348071	345589	343003	340397	337827	335307	332861	330537	328341	326255	324315	322547	320972	319593	318431	317493	316762	316232	315881	315672	315566	315509	315460	315365	315180	314872	314402	313749	312914	311896	310693	309332	307828	306211	304516	302773	301008	299247	297525	295859	294267	292772	291377	290091	288920	287860	286915	286072	285324	284656	284050	283495	282974	282463	281949	281411	280838	280201	279504	278735	277892	276962	275969	274899	273769
1	           3	416855	406702	402400	401150	387294	391269	389359	387092	384467	381932	379394	376528	373262	369794	366107	362262	358645	355436	352680	350465	348857	347906	347643	348010	348918	350418	352206	354297	356048	356949	357449	357448	356916	355893	354419	352552	350392	348049	345568	342982	340376	337807	335287	332841	330518	328322	326236	324296	322529	320954	319575	318413	317476	316745	316215	315864	315655	315550	315493	315444	315349	315164	314856	314387	313734	312899	311881	310678	309317	307814	306197	304502	302759	300994	299235	297513	295847	294256	292761	291366	290081	288910	287850	286905	286062	285314	284646	284041	283487	282966	282455	281941	281403	280830	280193	279496	278728	277885	276955	275962	274892
1	           4	430088	416813	406664	402363	401114	387261	391237	389328	387062	384438	381903	379366	376501	373235	369768	366082	362237	358621	355412	352657	350442	348836	347885	347622	347989	348898	350398	352186	354277	356028	356929	357429	357429	356897	355874	354400	352534	350374	348031	345550	342965	340359	337790	335270	332825	330502	328306	326220	324281	322514	320939	319560	318398	317462	316731	316201	315850	315641	315537	315480	315433	315338	315153	314845	314376	313723	312888	311871	310668	309307	307804	306187	304492	302749	300985	299226	297504	295838	294247	292753	291358	290074	288903	287843	286898	286055	285307	284639	284034	283480	282959	282449	281935	281397	280824	280187	279490	278722	277879	276949	275956
1	           5	424001	430048	416777	406630	402331	401083	387231	391208	389300	387035	384411	381877	379341	376476	373211	369745	366059	362215	358599	355392	352637	350422	348817	347866	347603	347970	348880	350380	352168	354259	356010	356911	357411	357411	356880	355857	354383	352517	350357	348015	345534	342949	340344	337775	335255	332810	330487	328292	326206	324268	322501	320927	319549	318387	317451	316720	316190	315839	315630	315527	315470	315423	315328	315143	314835	314366	313713	312878	311862	310659	309298	307795	306178	304483	302740	300977	299219	297497	295831	294240	292746	291351	290067	288897	287837	286892	286049	285301	284633	284028	283474	282953	282443	281929	281391	280819	280182	279485	278717	277874	276944
1	           6	415558	423965	430013	416745	406599	402302	401054	387204	391181	389274	387010	384386	381853	379318	376453	373189	369723	366038	362195	358580	355373	352619	350404	348799	347848	347586	347953	348863	350363	352151	354242	355993	356894	357394	357395	356864	355841	354367	352501	350342	348000	345519	342934	340330	337762	335242	332797	330474	328281	326195	324257	322490	320916	319538	318377	317441	316710	316180	315829	315620	315517	315460	315414	315319	315134	314826	314357	313704	312869	311853	310650	309290	307787	306171	304476	302733	300970	299212	297490	295825	294234	292740	291345	290061	288891	287831	286886	286043	285295	284627	284023	283469	282948	282438	281924	281386	280814	280177	279480	278712	277869
1	           7	411238	415524	423932	429982	416715	406571	402275	401027	387179	391156	389250	386986	384363	381831	379296	376432	373168	369704	366019	362176	358562	355355	352602	350387	348782	347831	347569	347937	348847	350347	352135	354226	355977	356878	357378	357379	356849	355826	354352	352486	350327	347987	345506	342921	340317	337749	335230	332785	330463	328270	326184	324247	322480	320906	319528	318367	317431	316700	316171	315820	315611	315508	315451	315405	315310	315125	314817	314348	313696	312861	311845	310643	309283	307780	306164	304469	302726	300964	299206	297484	295819	294228	292734	291339	290055	288885	287826	286881	286038	285290	284622	284018	283464	282943	282433	281919	281381	280809	280172	279475	278707
1	           8	414564	411206	415494	423903	429953	416688	406545	402250	401002	387155	391133	389227	386964	384341	381810	379275	376413	373149	369686	366001	362159	358545	355338	352585	350371	348766	347815	347553	347921	348832	350332	352120	354211	355962	356863	357364	357365	356835	355813	354339	352473	350314	347974	345494	342909	340305	337737	335218	332773	330452	328260	326174	324237	322470	320896	319519	318358	317422	316691	316162	315811	315602	315499	315442	315397	315302	315117	314809	314340	313688	312854	311838	310636	309276	307774	306158	304463	302720	300958	299200	297478	295813	294222	292728	291334	290050	288880	287821	286876	286033	285285	284617	284013	283459	282938	282428	281914	281377	280805	280168	279471
1	           9	401517	414535	411178	415467	423876	429926	416663	406521	402226	400979	387133	391111	389206	386943	384322	381791	379257	376395	373131	369669	365984	362143	358529	355323	352570	350357	348752	347801	347539	347907	348818	350318	352107	354198	355949	356850	357351	357352	356822	355800	354326	352461	350302	347962	345482	342897	340294	337726	335207	332762	330442	328250	326165	324228	322461	320887	319510	318349	317413	316683	316154	315803	315594	315491	315434	315389	315294	315110	314802	314333	313681	312848	311832	310630	309270	307768	306152	304457	302714	300952	299194	297473	295808	294217	292723	291329	290045	288875	287816	286871	286028	285280	284612	284009	283455	282934	282424	281910	281373	280801	280164
