Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28602	28748	28859	28942	28990	29003	28970	28898	28790	28649	28479	28293	28086	27871	27653	27436	27232	27051	26896	26775	26696	26655	26653	26677	26726
1	1	29337	29099	28752	28898	29013	29096	29146	29159	29127	29056	28948	28807	28636	28447	28241	28026	27807	27590	27386	27205	27049	26927	26848	26807	26805	26829
1	2	30424	29483	29207	28860	29009	29125	29210	29261	29275	29243	29172	29064	28922	28750	28561	28355	28140	27922	27705	27500	27318	27162	27040	26960	26919	26917
1	3	31184	30531	29556	29281	28935	29085	29202	29289	29341	29354	29323	29251	29143	29000	28828	28640	28434	28219	28000	27783	27578	27396	27240	27117	27037	26995
1	4	29656	31269	30585	29614	29339	28995	29146	29265	29350	29402	29415	29384	29313	29206	29062	28891	28703	28496	28281	28061	27845	27640	27458	27300	27177	27098
1	5	30352	29735	31321	30639	29670	29396	29052	29204	29323	29408	29460	29473	29442	29370	29263	29120	28949	28761	28554	28338	28118	27901	27696	27514	27356	27234
1	6	30378	30425	29784	31371	30691	29724	29448	29105	29256	29375	29460	29512	29525	29494	29422	29316	29174	29003	28815	28606	28392	28170	27953	27748	27565	27408
1	7	29262	30442	30471	29831	31417	30741	29772	29497	29153	29305	29424	29508	29561	29573	29543	29470	29365	29222	29051	28863	28654	28439	28217	28000	27795	27612
1	8	28610	29314	30478	30508	29867	31455	30779	29811	29536	29192	29343	29462	29546	29599	29611	29581	29508	29403	29261	29090	28901	28691	28476	28254	28037	27832
1	9	28635	28657	29344	30510	30541	29901	31489	30815	29845	29570	29227	29378	29497	29580	29634	29646	29616	29542	29438	29296	29125	28937	28727	28512	28290	28072
1	10	28184	28687	28694	29382	30549	30582	29942	31531	30857	29887	29612	29269	29420	29538	29623	29676	29689	29658	29585	29481	29339	29167	28978	28768	28553	28331
1	11	27029	28239	28725	28733	29423	30591	30626	29986	31576	30901	29931	29655	29312	29464	29581	29666	29719	29732	29701	29628	29524	29383	29210	29022	28812	28597
1	12	26889	27070	28264	28751	28760	29451	30620	30657	30016	31607	30933	29961	29684	29342	29494	29611	29696	29749	29762	29731	29658	29554	29413	29240	29053	28842
1	13	27929	26934	27099	28293	28781	28791	29482	30652	30688	30047	31640	30966	29992	29716	29375	29526	29643	29728	29782	29794	29764	29690	29586	29445	29273	29085
1	14	29027	27987	26975	27141	28335	28825	28835	29527	30696	30732	30092	31684	31011	30038	29762	29421	29571	29689	29774	29828	29839	29810	29736	29632	29491	29319
1	15	30060	29083	28025	27014	27180	28375	28866	28876	29567	30737	30772	30132	31725	31051	30080	29802	29462	29611	29729	29814	29870	29880	29851	29777	29673	29531
1	16	30657	30124	29127	28071	27060	27227	28423	28914	28924	29615	30785	30821	30181	31772	31101	30129	29850	29510	29659	29778	29862	29918	29929	29900	29826	29722
1	17	31830	30769	30211	29215	28160	27148	27316	28512	29004	29014	29705	30875	30913	30273	31864	31194	30221	29940	29601	29749	29868	29952	30008	30019	29992	29917
1	18	32612	32192	31083	30520	29524	28466	27450	27615	28811	29309	29322	30013	31187	31229	30590	32180	31515	30539	30254	29914	30060	30180	30265	30321	30332	30305
1	19	33734	33377	32872	31757	31188	30186	29119	28095	28253	29453	29963	29979	30674	31857	31908	31267	32857	32200	31218	30923	30581	30726	30846	30932	30988	30998
1	20	35028	34624	34156	33647	32530	31954	30946	29870	28834	28988	30196	30715	30734	31434	32630	32684	32040	33636	32982	31990	31688	31343	31489	31609	31695	31752
1	21	35258	35773	35247	34780	34273	33153	32577	31566	30483	29442	29594	30806	31330	31350	32054	33255	33313	32667	34266	33614	32616	32311	31964	32109	32230	32317
1	22	37784	35923	36297	35776	35314	34809	33691	33118	32104	31019	29974	30126	31339	31866	31886	32592	33795	33855	33208	34809	34158	33157	32851	32503	32647	32770
1	23	38453	38321	36303	36685	36170	35713	35215	34102	33530	32518	31434	30390	30544	31756	32282	32301	33007	34209	34267	33621	35223	34569	33568	33265	32916	33061
1	24	36695	38728	38436	36431	36825	36315	35866	35377	34269	33701	32693	31615	30576	30732	31941	32462	32479	33183	34380	34435	33790	35389	34731	33735	33435	33089
1	25	36179	36849	38734	38446	36457	36857	36354	35915	35428	34324	33760	32756	31683	30650	30808	32010	32528	32544	33245	34437	34491	33847	35441	34781	33790	33495
1	26	36253	36333	36875	38757	38475	36497	36905	36407	35971	35486	34385	33823	32823	31752	30724	30883	32082	32598	32612	33310	34499	34552	33909	35499	34840	33850
1	27	34898	36406	36368	36912	38798	38521	36551	36966	36467	36034	35550	34451	33892	32895	31827	30802	30960	32158	32670	32684	33380	34566	34619	33977	35563	34905
1	28	34875	35035	36438	36402	36952	38839	38566	36604	37019	36521	36089	35606	34509	33952	32957	31891	30869	31026	32221	32732	32747	33441	34625	34677	34036	35619
1	29	34277	34973	35041	36447	36416	36968	38856	38586	36628	37042	36546	36115	35633	34538	33981	32989	31925	30904	31062	32256	32766	32779	33472	34654	34706	34064
1	30	33152	34377	34988	35058	36466	36439	36994	38884	38614	36659	37072	36577	36147	35666	34573	34017	33027	31964	30945	31103	32296	32804	32817	33510	34689	34739
1	31	33589	33248	34397	35010	35084	36494	36471	37027	38914	38644	36693	37105	36611	36182	35702	34610	34054	33066	32005	30987	31144	32337	32844	32857	33549	34725
1	32	33800	33650	33245	34394	35010	35087	36497	36478	37033	38916	38648	36699	37111	36617	36188	35710	34619	34065	33078	32018	31003	31159	32350	32856	32869	33561
1	33	33945	33871	33664	33262	34412	35030	35109	36520	36502	37056	38938	38670	36725	37134	36643	36212	35735	34647	34094	33105	32048	31033	31189	32379	32884	32898
1	34	33300	34016	33890	33686	33287	34439	35058	35141	36550	36534	37086	38966	38699	36757	37164	36673	36244	35767	34681	34127	33139	32082	31067	31224	32413	32918
1	35	32397	33347	34018	33896	33694	33297	34449	35072	35155	36562	36548	37098	38977	38712	36771	37176	36685	36257	35782	34697	34142	33156	32098	31085	31241	32428
1	36	29842	32443	33354	34026	33907	33706	33313	34465	35090	35173	36577	36566	37115	38991	38728	36789	37192	36702	36275	35801	34714	34162	33176	32117	31105	31260
1	37	29753	29884	32446	33359	34034	33916	33718	33327	34477	35103	35186	36589	36579	37127	39001	38741	36803	37204	36716	36288	35814	34729	34177	33190	32132	31120
1	38	31344	29774	29874	32433	33349	34027	33910	33714	33322	34471	35098	35180	36582	36574	37121	38993	38734	36800	37197	36710	36282	35808	34725	34173	33187	32129
1	39	31368	31331	29738	29838	32395	33315	33990	33877	33682	33289	34437	35063	35147	36546	36538	37084	38955	38698	36766	37161	36674	36247	35773	34692	34140	33156
1	40	32149	31352	31287	29699	29801	32354	33276	33951	33840	33644	33252	34397	35024	35109	36503	36497	37043	38911	38655	36726	37120	36634	36208	35734	34655	34103
