Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28639	29621	29949	30464	31102	31756	32360	32891	33388	33913	34283	34459	34517	34440	34326	34215	34121	34122	34191	34230	34226	34245	34321	34450	34625
1	1	29337	29127	28847	29831	30162	30681	31321	31979	32587	33119	33619	34144	34515	34692	34752	34675	34561	34451	34356	34357	34427	34466	34464	34482	34560	34689
1	2	30424	29514	29297	29019	30005	30340	30860	31503	32162	32771	33306	33806	34332	34704	34882	34942	34864	34751	34641	34546	34547	34617	34657	34654	34673	34751
1	3	31184	30560	29642	29427	29150	30138	30476	30998	31640	32301	32911	33446	33947	34473	34845	35024	35084	35006	34893	34783	34687	34688	34758	34798	34795	34815
1	4	29656	31294	30666	29751	29535	29260	30251	30590	31112	31755	32416	33027	33561	34064	34590	34963	35142	35202	35124	35012	34901	34805	34807	34877	34917	34914
1	5	30352	29758	31391	30766	29850	29637	29364	30356	30696	31218	31861	32523	33135	33668	34172	34699	35072	35251	35310	35233	35121	35010	34914	34916	34986	35026
1	6	30378	30444	29847	31481	30856	29944	29730	29457	30450	30791	31313	31956	32620	33232	33765	34269	34797	35170	35349	35408	35331	35220	35109	35013	35015	35085
1	7	29262	30459	30524	29928	31563	30941	30028	29815	29542	30535	30876	31400	32042	32706	33320	33852	34357	34886	35260	35438	35496	35420	35309	35198	35101	35104
1	8	28610	29328	30524	30591	29995	31632	31011	30098	29886	29613	30605	30947	31471	32113	32777	33393	33923	34430	34959	35333	35511	35569	35493	35382	35272	35175
1	9	28635	28671	29387	30585	30653	30058	31695	31075	30162	29949	29675	30669	31011	31535	32178	32842	33458	33989	34496	35025	35399	35577	35637	35561	35449	35339
1	10	28184	28700	28735	29452	30653	30722	30128	31764	31145	30230	30017	29743	30737	31079	31604	32249	32914	33529	34061	34568	35098	35472	35651	35711	35634	35523
1	11	27029	28252	28765	28802	29519	30723	30794	30199	31836	31218	30302	30087	29813	30807	31149	31676	32322	32988	33603	34135	34643	35173	35547	35728	35787	35710
1	12	26889	27082	28304	28818	28856	29574	30779	30850	30255	31893	31276	30359	30144	29869	30864	31206	31734	32381	33046	33660	34193	34701	35231	35605	35786	35846
1	13	27929	26947	27135	28359	28873	28913	29631	30837	30908	30314	31952	31335	30418	30203	29928	30923	31266	31792	32440	33105	33720	34253	34762	35292	35666	35847
1	14	29027	27999	27015	27203	28428	28944	28985	29703	30910	30981	30386	32025	31409	30490	30275	30001	30996	31339	31866	32514	33181	33796	34329	34838	35368	35742
1	15	30060	29096	28065	27082	27269	28497	29014	29055	29772	30981	31052	30456	32096	31480	30561	30345	30071	31067	31410	31938	32586	33253	33869	34401	34911	35441
1	16	30657	30139	29172	28141	27159	27347	28576	29093	29134	29852	31061	31133	30537	32175	31561	30642	30426	30152	31147	31492	32019	32667	33335	33952	34482	34993
1	17	31830	30786	30263	29298	28267	27285	27474	28704	29221	29264	29982	31192	31266	30669	32308	31695	30776	30559	30285	31279	31626	32154	32802	33471	34089	34620
1	18	32612	32221	31160	30635	29669	28635	27649	27836	29069	29592	29639	30358	31572	31651	31053	32691	32087	31164	30943	30669	31662	32014	32544	33195	33868	34489
1	19	33734	33426	33003	31938	31405	30436	29394	28398	28581	29820	30354	30406	31127	32354	32442	31842	33483	32888	31958	31729	31454	32449	32809	33344	34000	34681
1	20	35028	34690	34341	33920	32848	32314	31337	30288	29280	29461	30710	31253	31308	32034	33275	33371	32766	34415	33823	32885	32652	32373	33374	33740	34280	34943
1	21	35258	35851	35476	35130	34709	33640	33104	32127	31071	30057	30236	31492	32040	32097	32827	34077	34175	33568	35221	34632	33689	33455	33173	34178	34548	35091
1	22	37784	36017	36571	36202	35857	35443	34376	33844	32865	31805	30789	30968	32228	32778	32836	33570	34822	34923	34314	35971	35383	34438	34203	33920	34928	35299
1	23	38453	38430	36622	37188	36820	36486	36079	35017	34488	33509	32451	31436	31618	32879	33428	33485	34219	35471	35570	34961	36621	36029	35086	34854	34570	35580
1	24	36695	38845	38787	36991	37565	37206	36881	36481	35426	34900	33925	32873	31864	32048	33306	33850	33908	34639	35886	35982	35374	37032	36437	35498	35269	34988
1	25	36179	36966	39089	39037	37252	37836	37484	37166	36769	35718	35196	34226	33179	32177	32361	33614	34156	34213	34943	36184	36278	35672	37326	36731	35796	35570
1	26	36253	36444	37215	39341	39290	37518	38110	37763	37446	37053	36004	35486	34519	33476	32478	32663	33914	34453	34510	35239	36476	36569	35964	37616	37021	36088
