Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28639	29617	29944	30457	31093	31744	32350	32878	33373	33894	34264	34437	34493	34410	34295	34182	34086	34084	34151	34184	34177	34192	34265	34389	34559
1	1	29337	29127	28846	29826	30156	30673	31311	31966	32574	33104	33601	34122	34494	34667	34725	34641	34527	34414	34317	34315	34382	34416	34408	34423	34497	34622
1	2	30424	29514	29297	29018	30000	30334	30852	31493	32149	32759	33291	33788	34310	34682	34856	34913	34830	34715	34602	34505	34503	34570	34604	34597	34611	34685
1	3	31184	30560	29642	29427	29149	30133	30470	30989	31629	32287	32898	33430	33928	34450	34822	34997	35054	34971	34856	34742	34646	34643	34710	34744	34737	34751
1	4	29656	31294	30666	29751	29535	29259	30246	30584	31104	31743	32402	33014	33545	34045	34567	34939	35115	35172	35089	34973	34860	34763	34761	34828	34862	34855
1	5	30352	29758	31391	30766	29850	29637	29362	30350	30689	31209	31847	32507	33120	33652	34152	34675	35047	35223	35279	35197	35081	34969	34872	34870	34937	34971
1	6	30378	30444	29847	31481	30856	29943	29729	29455	30444	30784	31304	31942	32603	33217	33749	34249	34773	35145	35321	35377	35295	35179	35068	34971	34969	35036
1	7	29262	30459	30524	29928	31563	30940	30027	29814	29540	30529	30869	31391	32028	32689	33305	33837	34337	34862	35235	35410	35466	35384	35268	35156	35059	35057
1	8	28610	29328	30524	30590	29995	31632	31010	30097	29885	29611	30599	30940	31462	32099	32760	33378	33908	34409	34935	35308	35483	35539	35457	35340	35229	35132
1	9	28635	28671	29387	30585	30652	30058	31695	31074	30161	29948	29673	30663	31004	31526	32164	32825	33444	33974	34475	35001	35374	35549	35605	35524	35406	35295
1	10	28184	28700	28735	29452	30653	30721	30128	31764	31144	30229	30016	29741	30731	31072	31595	32235	32897	33515	34046	34547	35073	35446	35622	35678	35597	35478
1	11	27029	28252	28765	28802	29519	30723	30793	30199	31836	31217	30301	30086	29811	30801	31142	31667	32308	32971	33589	34120	34622	35148	35521	35698	35753	35672
1	12	26889	27082	28303	28817	28856	29574	30779	30849	30255	31893	31275	30358	30143	29867	30858	31199	31725	32367	33029	33646	34179	34680	35206	35579	35755	35812
1	13	27929	26947	27135	28358	28872	28913	29631	30837	30907	30313	31951	31333	30416	30202	29926	30917	31259	31784	32427	33087	33705	34238	34739	35266	35639	35815
1	14	29027	27999	27014	27202	28426	28942	28985	29703	30910	30980	30385	32024	31407	30488	30274	29998	30989	31332	31857	32500	33162	33780	34313	34814	35341	35715
1	15	30060	29096	28065	27081	27268	28495	29012	29055	29772	30981	31051	30455	32095	31477	30558	30343	30067	31059	31402	31928	32571	33233	33852	34385	34886	35413
1	16	30657	30139	29172	28141	27157	27346	28574	29091	29134	29852	31061	31132	30535	32174	31557	30638	30423	30147	31138	31483	32008	32651	33314	33934	34465	34967
1	17	31830	30786	30263	29298	28266	27283	27473	28702	29219	29263	29981	31191	31264	30666	32306	31690	30771	30555	30279	31269	31616	32142	32785	33448	34069	34601
1	18	32612	32221	31159	30634	29668	28634	27646	27836	29067	29590	29637	30356	31570	31648	31049	32689	32080	31157	30937	30660	31650	32002	32529	33176	33841	34466
1	19	33734	33426	33002	31936	31403	30434	29392	28395	28580	29817	30351	30403	31124	32351	32437	31836	33479	32878	31948	31721	31442	32434	32794	33326	33977	34649
1	20	35028	34690	34340	33918	32845	32311	31334	30285	29276	29459	30705	31248	31304	32030	33270	33363	32758	34408	33810	32872	32640	32358	33356	33722	34257	34915
1	21	35258	35851	35475	35128	34706	33635	33099	32123	31067	30052	30232	31486	32033	32091	32821	34069	34164	33558	35211	34615	33673	33439	33154	34156	34525	35063
1	22	37784	36017	36570	36200	35854	35439	34370	33837	32859	31801	30783	30963	32220	32769	32828	33561	34811	34909	34301	35956	35362	34418	34183	33897	34900	35270
1	23	38453	38430	36621	37185	36818	36482	36073	35009	34479	33501	32445	31428	31610	32869	33416	33474	34207	35457	35553	34944	36602	36004	35062	34827	34543	35546
1	24	36695	38845	38786	36989	37561	37203	36876	36474	35415	34889	33914	32865	31853	32038	33294	33836	33893	34624	35868	35961	35353	37008	36408	35469	35238	34954
1	25	36179	36966	39088	39035	37249	37830	37479	37159	36760	35705	35183	34212	33169	32163	32348	33601	34139	34194	34924	36162	36252	35646	37296	36695	35761	35533
1	26	36253	36444	37214	39338	39287	37513	38102	37756	37437	37042	35989	35470	34502	33463	32461	32648	33898	34433	34487	35214	36450	36539	35933	37580	36979	36047
1	27	34898	36505	36683	37459	39581	39535	37772	38365	38020	37703	37310	36260	35743	34778	33741	32743	32929	34178	34711	34764	35490	36723	36811	36206	37850	37249
1	28	34875	35125	36720	36905	37682	39808	39767	38012	38604	38260	37945	37553	36505	35989	35028	33993	32997	33183	34430	34963	35015	35739	36971	37059	36452	38095
1	29	34277	35055	35299	36898	37085	37867	39994	39957	38205	38797	38455	38141	37750	36704	36189	35229	34197	33204	33390	34635	35166	35218	35942	37172	37259	36652
1	30	33152	34449	35220	35468	37068	37260	38045	40172	40135	38387	38979	38637	38325	37935	36890	36377	35418	34388	33396	33583	34827	35357	35409	36131	37360	37447
1	31	33589	33314	34603	35379	35628	37230	37426	38213	40337	40302	38556	39147	38806	38495	38104	37062	36549	35593	34564	33573	33759	35003	35532	35583	36305	37533
1	32	33800	33708	33430	34723	35499	35752	37355	37553	38338	40460	40425	38680	39273	38931	38621	38231	37189	36679	35725	34695	33706	33892	35135	35663	35716	36435
1	33	33945	33924	33828	33555	34846	35626	35882	37485	37684	38469	40588	40555	38813	39403	39062	38752	38364	37322	36812	35860	34831	33844	34028	35270	35798	35852
1	34	33300	34061	34039	33947	33674	34967	35750	36008	37610	37810	38595	40711	40679	38939	39528	39187	38877	38490	37448	36937	35988	34959	33971	34156	35396	35926
1	35	32397	33389	34149	34131	34040	33771	35063	35848	36107	37706	37907	38692	40806	40775	39036	39624	39284	38974	38587	37546	37035	36087	35059	34072	34256	35493
1	36	29842	32481	33475	34237	34221	34133	33866	35158	35943	36202	37800	38002	38787	40897	40869	39130	39717	39379	39068	38682	37642	37130	36183	35156	34170	34351
