Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28565	27662	26953	26641	26473	26303	26130	25946	25777	25637	25519	25390	25198	24948	24670	24405	24155	23931	23736	23566	23433	23336	23271	23223	23190
1	1	29337	29072	28661	27758	27048	26738	26571	26403	26229	26046	25876	25736	25618	25490	25297	25047	24769	24503	24254	24028	23833	23664	23530	23434	23369	23321
1	2	30424	29451	29117	28708	27805	27098	26788	26622	26453	26279	26097	25927	25785	25667	25541	25346	25096	24819	24553	24303	24076	23881	23711	23578	23482	23417
1	3	31184	30503	29467	29135	28725	27826	27120	26810	26644	26474	26300	26118	25948	25807	25689	25563	25368	25118	24840	24574	24324	24096	23901	23730	23597	23501
1	4	29656	31243	30507	29475	29142	28733	27835	27132	26822	26654	26485	26311	26130	25959	25818	25700	25573	25378	25128	24851	24584	24334	24107	23911	23740	23607
1	5	30352	29712	31251	30517	29486	29153	28746	27847	27146	26835	26666	26497	26324	26142	25971	25828	25711	25585	25391	25141	24863	24596	24345	24118	23922	23751
1	6	30378	30404	29722	31263	30529	29500	29167	28759	27861	27159	26847	26677	26510	26336	26154	25983	25840	25723	25599	25404	25154	24876	24608	24357	24129	23933
1	7	29262	30425	30414	29732	31275	30542	29514	29181	28774	27875	27172	26860	26689	26522	26348	26168	25995	25853	25737	25613	25417	25168	24888	24621	24369	24141
1	8	28610	29298	30429	30421	29738	31283	30552	29524	29190	28782	27883	27180	26868	26697	26531	26357	26177	26002	25861	25745	25621	25425	25175	24896	24629	24377
1	9	28635	28643	29301	30433	30427	29745	31290	30560	29530	29197	28789	27890	27187	26875	26704	26537	26364	26184	26009	25867	25751	25626	25430	25180	24901	24634
1	10	28184	28673	28653	29311	30445	30441	29759	31304	30574	29546	29212	28804	27905	27201	26888	26717	26550	26377	26197	26021	25880	25764	25637	25442	25193	24914
1	11	27029	28225	28687	28668	29327	30462	30461	29777	31322	30593	29564	29228	28821	27922	27219	26906	26734	26567	26393	26213	26037	25896	25779	25653	25458	25209
1	12	26889	27057	28225	28688	28670	29330	30466	30466	29782	31326	30597	29568	29231	28824	27926	27222	26910	26738	26571	26398	26217	26041	25899	25782	25656	25461
1	13	27929	26921	27061	28229	28694	28676	29337	30475	30475	29791	31335	30606	29577	29240	28832	27935	27231	26918	26746	26579	26406	26226	26050	25908	25791	25665
1	14	29027	27973	26937	27078	28246	28713	28695	29358	30496	30496	29811	31357	30628	29598	29262	28854	27956	27251	26938	26766	26599	26427	26247	26070	25929	25811
1	15	30060	29069	27984	26950	27090	28260	28727	28710	29373	30511	30512	29827	31373	30644	29615	29278	28870	27972	27267	26955	26782	26615	26444	26263	26087	25946
1	16	30657	30109	29086	28002	26969	27111	28281	28748	28731	29395	30532	30534	29850	31395	30667	29638	29301	28893	27996	27291	26978	26804	26637	26466	26285	26109
1	17	31830	30751	30162	29140	28055	27023	27165	28336	28804	28789	29453	30590	30593	29909	31453	30728	29698	29361	28953	28055	27349	27036	26861	26694	26523	26341
1	18	32612	32162	31007	30415	29391	28304	27267	27406	28580	29053	29041	29705	30848	30855	30170	31714	30993	29962	29621	29210	28310	27600	27284	27108	26940	26769
1	19	33734	33328	32745	31587	30985	29958	28862	27816	27948	29128	29611	29603	30270	31424	31439	30753	32297	31584	30544	30194	29780	28875	28156	27833	27654	27485
1	20	35028	34557	33976	33392	32225	31621	30588	29483	28426	28554	29743	30234	30228	30901	32066	32088	31397	32947	32236	31186	30830	30412	29499	28772	28443	28260
1	21	35258	35692	35024	34445	33860	32693	32089	31054	29942	28880	29006	30200	30695	30691	31368	32540	32566	31872	33425	32715	31660	31301	30880	29963	29231	28899
1	22	37784	35828	36030	35368	34791	34210	33046	32445	31409	30294	29228	29354	30551	31049	31047	31725	32900	32928	32234	33789	33081	32022	31662	31239	30322	29585
1	23	38453	38207	35986	36200	35543	34975	34399	33241	32644	31609	30494	29431	29560	30757	31256	31252	31930	33105	33131	32437	33996	33285	32226	31869	31446	30529
1	24	36695	38607	38089	35884	36107	35460	34901	34334	33181	32590	31559	30451	29393	29526	30719	31215	31208	31885	33056	33079	32387	33945	33230	32177	31823	31403
1	25	36179	36731	38383	37873	35680	35915	35276	34725	34162	33015	32428	31403	30300	29248	29381	30570	31064	31056	31731	32898	32919	32229	33784	33068	32021	31669
1	26	36253	36221	36538	38194	37687	35509	35752	35120	34572	34011	32867	32284	31262	30164	29117	29250	30437	30930	30919	31595	32759	32779	32089	33644	32927	31883
1	27	34898	36304	36060	36385	38039	37541	35373	35622	34992	34446	33888	32747	32168	31149	30053	29010	29144	30329	30820	30809	31484	32645	32665	31976	33530	32815
1	28	34875	34943	36157	35920	36248	37907	37414	35254	35507	34876	34333	33777	32639	32062	31045	29951	28910	29046	30229	30720	30708	31382	32542	32562	31874	33428
1	29	34277	34889	34789	36007	35773	36107	37770	37279	35124	35377	34749	34208	33653	32518	31942	30928	29837	28798	28934	30116	30607	30595	31269	32429	32448	31761
1	30	33152	34302	34761	34667	35885	35657	35997	37660	37170	35019	35274	34647	34108	33554	32421	31849	30836	29747	28710	28845	30027	30518	30506	31181	32340	32358
1	31	33589	33182	34195	34660	34567	35789	35565	35910	37569	37083	34935	35190	34566	34026	33475	32343	31773	30761	29676	28640	28775	29958	30447	30435	31111	32269
1	32	33800	33591	33066	34082	34548	34460	35684	35464	35809	37467	36981	34837	35092	34470	33932	33382	32252	31684	30674	29590	28556	28693	29875	30365	30352	31028
1	33	33945	33819	33506	32987	34002	34471	34388	35612	35394	35741	37396	36911	34771	35025	34406	33868	33320	32191	31624	30617	29534	28501	28638	29819	30310	30298
1	34	33300	33969	33751	33442	32925	33942	34415	34335	35557	35341	35688	37342	36860	34723	34975	34358	33819	33273	32146	31579	30574	29492	28460	28597	29778	30270
1	35	32397	33306	33895	33682	33372	32859	33878	34353	34273	35496	35281	35627	37282	36802	34667	34917	34302	33764	33220	32095	31528	30524	29442	28413	28549	29731
1	36	29842	32405	33243	33834	33623	33316	32807	33826	34302	34223	35446	35232	35580	37233	36756	34622	34872	34260	33722	33179	32055	31488	30486	29406	28376	28512
1	37	29753	29850	32346	33186	33779	33573	33267	32760	33780	34256	34179	35401	35189	35537	37190	36717	34584	34834	34223	33685	33144	32021	31455	30456	29376	28346
1	38	31344	29742	29783	32278	33120	33717	33514	33210	32703	33723	34201	34124	35346	35137	35485	37138	36668	34537	34786	34177	33639	33099	31978	31413	30414	29336
1	39	31368	31303	29656	29699	32192	33037	33635	33434	33131	32625	33646	34125	34048	35269	35064	35412	37064	36598	34468	34718	34110	33573	33034	31916	31351	30353
1	40	32149	31325	31215	29572	29615	32107	32953	33554	33355	33053	32547	33568	34048	33971	35193	34989	35339	36991	36527	34401	34649	34044	33508	32970	31855	31290
1	41	33967	32117	31253	31143	29503	29547	32038	32887	33488	33290	32991	32485	33505	33988	33912	35133	34931	35283	36934	36472	34352	34599	33995	33461	32923	31809
1	42	35725	33916	32035	31171	31062	29427	29472	31961	32812	33414	33217	32920	32415	33435	33919	33845	35065	34867	35220	36869	36412	34295	34541	33939	33406	32868
1	43	36863	35662	33827	31950	31087	30979	29349	29392	31880	32735	33336	33141	32846	32343	33362	33847	33775	34994	34799	35154	36804	36349	34235	34479	33881	33349
1	44	36585	36802	35579	33749	31876	31013	30907	29282	29324	31810	32667	33269	33076	32783	32281	33301	33787	33717	34934	34744	35101	36752	36299	34187	34431	33835
1	45	37998	36508	36703	35487	33660	31791	30929	30826	29204	29246	31730	32590	33193	33002	32711	32210	33231	33717	33650	34868	34681	35037	36689	36239	34131	34374
1	46	38731	37907	36402	36600	35387	33566	31701	30841	30739	29121	29164	31645	32507	33112	32922	32633	32135	33156	33642	33578	34796	34612	34970	36622	36175	34069
1	47	39506	38633	37797	36299	36496	35288	33475	31614	30755	30654	29041	29085	31563	32427	33033	32846	32558	32062	33083	33570	33509	34727	34547	34905	36557	36114
1	48	38983	39393	38512	37682	36189	36387	35187	33380	31522	30665	30567	28958	29003	31478	32344	32951	32765	32480	31988	33008	33497	33437	34655	34478	34836	36490
1	49	40584	38875	39276	38401	37575	36089	36289	35095	33292	31440	30586	30488	28884	28929	31403	32271	32879	32696	32413	31922	32943	33433	33375	34592	34419	34778
1	50	39732	40478	38769	39170	38302	37480	36003	36205	35016	33218	31369	30518	30421	28823	28868	31339	32210	32820	32640	32359	31870	32890	33383	33328	34545	34375
1	51	39875	39627	40367	38670	39070	38211	37395	35923	36127	34944	33151	31306	30457	30361	28769	28814	31283	32158	32770	32593	32314	31827	32847	33342	33289	34508
