Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28565	27658	26949	26636	26465	26294	26121	25935	25766	25624	25504	25375	25181	24928	24648	24382	24131	23905	23706	23535	23398	23299	23230	23183	23145
1	1	29337	29072	28660	27753	27043	26732	26562	26393	26219	26033	25864	25721	25601	25473	25278	25025	24744	24478	24226	24000	23800	23629	23491	23393	23324	23277
1	2	30424	29451	29117	28707	27799	27093	26782	26613	26444	26269	26083	25914	25769	25650	25522	25328	25074	24793	24527	24274	24047	23846	23675	23538	23439	23371
1	3	31184	30503	29467	29135	28724	27820	27115	26804	26634	26465	26290	26104	25935	25790	25671	25543	25349	25095	24813	24547	24294	24066	23865	23694	23557	23458
1	4	29656	31243	30507	29475	29142	28732	27829	27126	26815	26644	26476	26301	26115	25946	25801	25681	25554	25359	25105	24824	24557	24303	24076	23875	23704	23566
1	5	30352	29712	31251	30517	29486	29153	28744	27841	27139	26827	26655	26489	26314	26127	25958	25811	25692	25566	25371	25116	24835	24568	24313	24086	23885	23714
1	6	30378	30404	29722	31263	30529	29499	29167	28757	27855	27152	26839	26667	26502	26326	26139	25970	25822	25703	25579	25383	25127	24846	24579	24323	24096	23895
1	7	29262	30425	30414	29732	31275	30541	29513	29181	28772	27869	27165	26852	26680	26515	26338	26152	25981	25833	25715	25592	25396	25140	24857	24591	24334	24107
1	8	28610	29298	30429	30420	29738	31283	30551	29523	29190	28780	27877	27173	26860	26688	26523	26346	26160	25987	25840	25722	25599	25402	25146	24864	24599	24342
1	9	28635	28643	29301	30433	30426	29745	31290	30559	29529	29197	28787	27884	27179	26866	26694	26529	26352	26166	25994	25846	25728	25604	25407	25151	24869	24605
1	10	28184	28673	28653	29311	30445	30440	29759	31304	30573	29545	29212	28802	27898	27192	26878	26706	26541	26365	26179	26006	25858	25741	25615	25419	25164	24882
1	11	27029	28225	28687	28668	29327	30462	30460	29777	31322	30592	29563	29228	28819	27915	27209	26895	26722	26557	26380	26194	26021	25874	25756	25631	25435	25179
1	12	26889	27057	28224	28687	28670	29330	30466	30465	29782	31326	30596	29567	29231	28822	27919	27212	26898	26725	26560	26383	26198	26024	25876	25759	25633	25438
1	13	27929	26921	27061	28228	28693	28675	29337	30475	30474	29790	31334	30604	29576	29240	28830	27928	27221	26906	26733	26568	26391	26206	26032	25884	25767	25641
1	14	29027	27973	26936	27077	28244	28711	28694	29358	30496	30495	29810	31356	30626	29597	29261	28851	27948	27240	26924	26752	26588	26412	26227	26052	25905	25787
1	15	30060	29069	27984	26949	27089	28258	28726	28709	29373	30511	30511	29826	31372	30641	29613	29276	28866	27963	27256	26940	26768	26603	26428	26242	26067	25921
1	16	30657	30109	29086	28002	26967	27110	28279	28747	28730	29395	30532	30533	29848	31393	30663	29635	29298	28889	27986	27278	26962	26789	26624	26449	26263	26088
1	17	31830	30751	30162	29140	28054	27021	27164	28334	28802	28787	29452	30589	30591	29907	31450	30723	29694	29357	28948	28043	27335	27019	26845	26680	26505	26318
1	18	32612	32162	31007	30414	29390	28303	27265	27405	28578	29050	29038	29703	30846	30852	30166	31710	30986	29957	29615	29203	28296	27585	27266	27090	26924	26748
1	19	33734	33328	32744	31586	30983	29956	28860	27813	27946	29125	29607	29599	30266	31419	31434	30747	32291	31575	30537	30185	29771	28858	28138	27813	27634	27465
1	20	35028	34557	33975	33390	32223	31618	30585	29480	28422	28551	29739	30229	30222	30895	32059	32081	31388	32938	32224	31176	30818	30399	29479	28750	28417	28236
1	21	35258	35692	35023	34443	33857	32690	32085	31050	29938	28875	29002	30194	30688	30683	31359	32530	32556	31860	33413	32700	31646	31286	30863	29939	29205	28868
1	22	37784	35828	36029	35366	34788	34206	33042	32439	31403	30289	29222	29348	30544	31040	31036	31714	32888	32916	32219	33774	33062	32004	31642	31218	30292	29555
1	23	38453	38207	35985	36198	35539	34971	34395	33237	32636	31601	30487	29423	29552	30748	31244	31238	31916	33091	33117	32419	33977	33262	32204	31843	31420	30494
1	24	36695	38607	38088	35882	36104	35455	34896	34329	33176	32580	31549	30442	29383	29514	30708	31199	31191	31868	33041	33062	32365	33921	33204	32150	31793	31371
1	25	36179	36731	38382	37870	35677	35911	35270	34719	34156	33008	32417	31391	30288	29235	29368	30557	31045	31036	31711	32879	32898	32203	33755	33037	31988	31633
1	26	36253	36221	36537	38191	37683	35504	35747	35112	34564	34002	32858	32271	31248	30149	29100	29235	30422	30906	30898	31570	32735	32752	32059	33609	32890	31843
1	27	34898	36304	36058	36382	38035	37534	35367	35615	34982	34436	33877	32735	32152	31132	30035	28990	29125	30310	30792	30784	31456	32618	32633	31941	33488	32770
1	28	34875	34943	36156	35916	36244	37900	37405	35246	35497	34864	34320	33761	32624	32042	31025	29930	28887	29022	30206	30686	30679	31349	32510	32523	31831	33378
1	29	34277	34889	34787	36004	35767	36101	37760	37268	35113	35366	34734	34191	33635	32499	31919	30904	29810	28770	28906	30086	30567	30559	31228	32388	32400	31708
1	30	33152	34302	34759	34663	35880	35649	35988	37648	37156	35005	35259	34628	34087	33531	32398	31819	30806	29714	28676	28811	29990	30471	30462	31130	32289	32300
1	31	33589	33182	34194	34655	34561	35782	35555	35897	37555	37065	34918	35170	34542	34000	33446	32314	31736	30725	29635	28598	28733	29910	30390	30382	31048	32206
