Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28602	28476	28317	28499	28755	28975	29162	29304	29404	29469	29509	29496	29438	29358	29245	29115	28988	28875	28788	28702	28622	28571	28561	28579	28620
1	1	29337	29099	28754	28629	28471	28657	28915	29137	29324	29467	29569	29635	29674	29662	29604	29524	29411	29281	29155	29042	28955	28869	28789	28737	28727	28747
1	2	30424	29483	29208	28863	28740	28584	28771	29032	29256	29443	29586	29688	29754	29793	29781	29723	29643	29530	29400	29275	29161	29074	28988	28907	28856	28846
1	3	31184	30531	29556	29282	28938	28816	28662	28851	29112	29336	29523	29668	29769	29836	29875	29862	29804	29724	29612	29483	29358	29242	29155	29069	28988	28937
1	4	29656	31269	30586	29614	29340	28998	28875	28724	28915	29175	29399	29587	29731	29833	29901	29939	29927	29867	29789	29676	29547	29421	29305	29218	29132	29052
1	5	30352	29735	31321	30640	29670	29397	29056	28934	28783	28974	29234	29457	29646	29790	29892	29960	29998	29987	29926	29849	29736	29607	29481	29366	29278	29192
1	6	30378	30425	29784	31371	30692	29725	29450	29110	28988	28836	29027	29287	29510	29700	29844	29947	30015	30053	30042	29981	29904	29791	29663	29537	29421	29333
1	7	29262	30442	30471	29831	31417	30743	29774	29500	29159	29037	28885	29076	29337	29559	29750	29894	29998	30065	30103	30092	30033	29955	29843	29714	29588	29472
1	8	28610	29314	30478	30509	29868	31456	30782	29814	29540	29199	29076	28924	29115	29376	29598	29790	29934	30038	30106	30144	30133	30074	29996	29884	29755	29629
1	9	28635	28657	29345	30511	30543	29903	31491	30819	29849	29575	29234	29111	28960	29150	29412	29635	29827	29971	30076	30144	30182	30171	30112	30034	29921	29791
1	10	28184	28687	28694	29383	30551	30585	29945	31534	30862	29891	29617	29276	29153	29002	29192	29456	29679	29870	30014	30119	30187	30225	30214	30155	30077	29964
1	11	27029	28239	28726	28734	29425	30594	30630	29990	31580	30907	29936	29661	29320	29198	29046	29238	29502	29725	29915	30059	30165	30232	30270	30259	30200	30124
1	12	26889	27070	28265	28753	28762	29454	30624	30662	30021	31612	30940	29967	29691	29351	29229	29077	29269	29533	29756	29946	30091	30197	30265	30302	30291	30232
1	13	27929	26934	27099	28294	28783	28793	29485	30657	30694	30054	31647	30975	30000	29724	29385	29262	29110	29304	29566	29790	29980	30125	30231	30299	30336	30325
1	14	29027	27987	26976	27142	28337	28828	28838	29531	30703	30740	30100	31693	31022	30047	29771	29433	29309	29157	29351	29614	29838	30028	30173	30279	30347	30384
1	15	30060	29083	28025	27016	27182	28378	28870	28880	29573	30746	30782	30142	31736	31065	30092	29814	29477	29352	29200	29394	29657	29882	30072	30217	30324	30392
1	16	30657	30124	29128	28072	27064	27231	28428	28920	28930	29623	30796	30833	30194	31787	31118	30144	29865	29528	29403	29252	29446	29709	29934	30125	30270	30377
1	17	31830	30769	30212	29217	28163	27154	27322	28519	29013	29023	29717	30890	30929	30290	31883	31215	30241	29961	29624	29498	29348	29543	29806	30031	30222	30368
1	18	32612	32192	31085	30523	29529	28471	27459	27624	28822	29322	29336	30030	31208	31252	30613	32205	31544	30565	30281	29944	29816	29666	29861	30124	30351	30543
