Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28602	28471	28312	28492	28746	28967	29149	29290	29390	29455	29492	29478	29419	29335	29220	29087	28959	28843	28750	28663	28580	28528	28513	28527	28565
1	1	29337	29099	28753	28623	28465	28649	28905	29128	29310	29451	29552	29618	29655	29642	29582	29498	29383	29251	29122	29006	28913	28826	28741	28690	28675	28689
1	2	30424	29483	29208	28862	28734	28577	28762	29021	29246	29428	29569	29671	29737	29774	29761	29700	29616	29501	29370	29240	29124	29031	28944	28858	28806	28791
1	3	31184	30531	29556	29282	28937	28809	28654	28842	29101	29326	29509	29649	29752	29819	29856	29842	29781	29697	29582	29452	29322	29204	29111	29024	28938	28886
1	4	29656	31269	30586	29614	29340	28997	28868	28716	28905	29162	29388	29572	29711	29816	29881	29920	29906	29845	29761	29646	29515	29385	29267	29174	29087	29002
1	5	30352	29735	31321	30640	29670	29397	29054	28927	28775	28964	29221	29447	29631	29770	29875	29940	29979	29965	29904	29821	29705	29574	29445	29326	29233	29146
1	6	30378	30425	29784	31371	30692	29724	29450	29108	28981	28828	29017	29274	29500	29685	29824	29930	29995	30034	30020	29959	29876	29760	29629	29500	29380	29287
1	7	29262	30442	30471	29831	31417	30742	29773	29500	29157	29030	28876	29066	29324	29549	29735	29875	29980	30046	30084	30070	30010	29926	29810	29680	29550	29430
1	8	28610	29314	30478	30508	29868	31456	30781	29813	29540	29197	29069	28915	29105	29363	29588	29775	29915	30020	30086	30124	30110	30050	29966	29850	29720	29590
1	9	28635	28657	29345	30511	30542	29903	31491	30818	29848	29575	29233	29104	28951	29140	29399	29624	29811	29951	30057	30123	30161	30147	30087	30002	29886	29755
1	10	28184	28687	28694	29383	30551	30584	29945	31534	30861	29890	29617	29275	29146	28994	29181	29441	29667	29853	29993	30099	30165	30203	30189	30129	30044	29927
1	11	27029	28239	28726	28734	29425	30594	30629	29990	31580	30906	29935	29661	29319	29191	29038	29226	29486	29712	29897	30037	30144	30209	30248	30233	30174	30089
1	12	26889	27070	28264	28752	28762	29454	30624	30661	30021	31612	30939	29966	29691	29350	29222	29069	29257	29517	29743	29928	30068	30175	30241	30279	30264	30205
1	13	27929	26934	27099	28293	28782	28793	29485	30657	30693	30053	31646	30973	29999	29724	29384	29255	29102	29292	29551	29777	29962	30102	30209	30275	30314	30298
1	14	29027	27987	26975	27141	28335	28826	28838	29531	30703	30739	30099	31692	31020	30046	29771	29431	29301	29148	29338	29598	29824	30009	30149	30256	30322	30361
1	15	30060	29083	28025	27015	27181	28376	28868	28880	29573	30746	30781	30141	31735	31062	30090	29813	29474	29343	29191	29382	29642	29868	30053	30192	30300	30366
