Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28639	28601	28552	28845	29216	29560	29868	30139	30365	30554	30718	30823	30872	30890	30868	30817	30761	30711	30676	30640	30604	30593	30619	30675	30758
1	1	29337	29127	28847	28810	28763	29058	29431	29778	30086	30359	30585	30775	30941	31046	31096	31114	31092	31042	30986	30935	30900	30866	30829	30818	30844	30900
1	2	30424	29514	29297	29019	28982	28938	29234	29610	29958	30267	30540	30768	30958	31125	31230	31279	31299	31275	31225	31169	31118	31083	31048	31012	31001	31028
1	3	31184	30560	29642	29427	29150	29114	29072	29370	29746	30094	30404	30677	30907	31097	31264	31368	31417	31437	31413	31364	31308	31257	31221	31186	31150	31139
1	4	29656	31294	30666	29751	29535	29260	29226	29185	29483	29860	30208	30518	30791	31023	31213	31380	31484	31534	31553	31529	31481	31424	31373	31338	31302	31266
1	5	30352	29758	31391	30766	29850	29637	29363	29331	29290	29587	29965	30314	30624	30897	31130	31320	31487	31591	31641	31660	31636	31588	31531	31479	31444	31408
1	6	30378	30444	29847	31481	30856	29943	29730	29456	29424	29383	29681	30059	30408	30719	30992	31226	31415	31583	31687	31738	31757	31733	31684	31628	31576	31540
1	7	29262	30459	30524	29928	31563	30940	30027	29815	29541	29509	29468	29766	30144	30493	30804	31078	31312	31501	31670	31774	31825	31844	31820	31771	31715	31662
1	8	28610	29328	30524	30591	29995	31632	31010	30097	29886	29612	29578	29537	29835	30215	30564	30874	31149	31382	31572	31741	31845	31896	31915	31892	31842	31786
1	9	28635	28671	29387	30585	30653	30058	31695	31074	30161	29949	29674	29640	29599	29898	30279	30628	30937	31213	31445	31636	31806	31910	31961	31980	31957	31908
1	10	28184	28700	28735	29452	30653	30722	30128	31764	31144	30229	30017	29742	29708	29667	29966	30347	30696	31006	31282	31514	31705	31875	31980	32031	32051	32028
1	11	27029	28252	28765	28802	29519	30723	30794	30199	31836	31217	30301	30087	29812	29778	29737	30037	30418	30766	31077	31354	31586	31777	31947	32052	32103	32124
1	12	26889	27082	28303	28818	28856	29574	30779	30850	30255	31893	31275	30358	30144	29868	29835	29794	30094	30474	30823	31134	31411	31643	31834	32004	32109	32161
1	13	27929	26947	27135	28358	28873	28913	29631	30837	30908	30313	31951	31333	30417	30203	29927	29894	29853	30153	30534	30882	31193	31471	31702	31893	32063	32169
1	14	29027	27999	27014	27203	28427	28944	28985	29703	30910	30981	30385	32024	31407	30489	30275	29999	29966	29925	30225	30606	30955	31266	31545	31776	31967	32138
1	15	30060	29096	28065	27081	27269	28496	29014	29055	29772	30981	31052	30455	32095	31477	30559	30345	30069	30036	29996	30295	30677	31026	31338	31617	31848	32038
1	16	30657	30139	29172	28141	27158	27347	28575	29093	29134	29852	31061	31133	30535	32174	31557	30640	30426	30150	30116	30076	30375	30757	31107	31419	31698	31929
