Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28565	28345	28080	28147	28285	28382	28439	28454	28428	28367	28283	28155	27989	27806	27602	27389	27191	27013	26865	26729	26606	26514	26462	26439	26439
1	1	29337	29072	28661	28441	28177	28246	28387	28486	28543	28559	28534	28473	28390	28261	28094	27912	27707	27494	27296	27117	26969	26834	26710	26617	26566	26542
1	2	30424	29451	29117	28708	28487	28226	28298	28440	28539	28597	28614	28589	28528	28444	28314	28147	27966	27762	27548	27350	27171	27023	26887	26763	26669	26618
1	3	31184	30503	29467	29135	28725	28508	28248	28322	28463	28562	28621	28639	28614	28551	28467	28338	28170	27990	27785	27571	27373	27195	27047	26910	26786	26692
1	4	29656	31243	30507	29475	29142	28733	28517	28260	28333	28476	28575	28634	28652	28626	28564	28480	28350	28182	28003	27797	27583	27385	27206	27059	26922	26798
1	5	30352	29712	31251	30517	29486	29153	28746	28530	28274	28347	28490	28589	28648	28666	28640	28578	28494	28363	28196	28017	27811	27596	27397	27218	27072	26935
1	6	30378	30404	29722	31263	30529	29500	29167	28759	28544	28288	28361	28504	28605	28663	28680	28653	28592	28508	28378	28210	28031	27826	27609	27410	27231	27085
1	7	29262	30425	30414	29732	31275	30542	29514	29181	28774	28559	28303	28376	28520	28619	28677	28694	28668	28607	28522	28393	28225	28045	27840	27623	27423	27244
1	8	28610	29298	30429	30421	29738	31283	30552	29524	29190	28782	28568	28312	28385	28528	28626	28686	28702	28676	28615	28531	28401	28235	28055	27849	27632	27431
1	9	28635	28643	29301	30433	30427	29745	31290	30560	29530	29197	28789	28576	28319	28392	28534	28632	28692	28708	28683	28622	28538	28409	28243	28063	27856	27639
1	10	28184	28673	28653	29311	30445	30441	29759	31304	30574	29546	29212	28804	28590	28333	28406	28548	28647	28707	28723	28698	28637	28553	28424	28258	28078	27871
1	11	27029	28225	28687	28668	29327	30462	30461	29777	31322	30593	29564	29228	28821	28607	28350	28423	28565	28664	28724	28741	28716	28655	28571	28442	28276	28096
1	12	26889	27057	28224	28688	28670	29330	30466	30466	29782	31326	30597	29568	29231	28824	28612	28353	28427	28568	28668	28728	28746	28720	28659	28575	28445	28281
1	13	27929	26921	27061	28228	28694	28676	29337	30475	30475	29790	31334	30606	29577	29240	28832	28621	28362	28436	28577	28677	28738	28755	28729	28668	28583	28454
1	14	29027	27973	26936	27078	28245	28713	28695	29358	30496	30496	29810	31356	30628	29598	29261	28853	28641	28383	28457	28598	28698	28759	28776	28749	28689	28604
1	15	30060	29069	27984	26949	27090	28259	28727	28710	29373	30511	30512	29826	31372	30643	29615	29277	28869	28657	28399	28474	28615	28715	28776	28792	28765	28705
1	16	30657	30109	29086	28002	26968	27111	28280	28748	28731	29395	30532	30534	29848	31393	30665	29638	29300	28892	28680	28422	28497	28637	28737	28799	28815	28789
1	17	31830	30751	30162	29140	28054	27022	27165	28335	28803	28789	29453	30589	30593	29907	31451	30725	29697	29360	28952	28739	28480	28555	28696	28796	28858	28874
1	18	32612	32162	31007	30414	29390	28303	27266	27406	28579	29051	29040	29704	30846	30855	30167	31712	30989	29961	29619	29208	28994	28733	28808	28951	29051	29113
