Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114
1	0	28913	28602	28474	28315	28496	28751	28972	29156	29297	29399	29463	29501	29488	29431	29347	29233	29103	28975	28862	28770	28684	28604	28552	28538	28554	28597	28655	28718	28780	28832	28876	28902	28917	28920	28916	28908	28900	28898	28894	28893	28896	28899	28902	28902	28894	28883	28862	28841	28814	28783	28756	28727	28703	28682	28666	28657	28651	28652	28657	28666	28679	28693	28707	28722	28733	28746	28753	28760	28763	28765	28765	28764	28759	28753	28747	28740	28732	28721	28709	28701	28692	28682	28673	28664	28655	28650	28643	28641	28638	28638	28639	28641	28645	28651	28654	28657	28660	28666	28669	28671	28674
1	1	29337	29099	28754	28626	28469	28653	28910	29134	29318	29459	29562	29628	29665	29653	29596	29512	29397	29268	29140	29027	28935	28850	28769	28716	28702	28718	28762	28821	28884	28947	28998	29042	29070	29084	29088	29084	29076	29069	29067	29062	29061	29065	29069	29071	29072	29064	29052	29031	29011	28985	28953	28926	28897	28874	28853	28837	28829	28822	28823	28828	28837	28850	28864	28879	28894	28906	28919	28926	28933	28936	28938	28938	28937	28932	28926	28920	28914	28906	28895	28884	28876	28867	28857	28848	28839	28830	28825	28820	28817	28814	28814	28815	28817	28820	28826	28829	28833	28836	28842	28845	28847
1	2	30424	29483	29208	28863	28737	28581	28766	29027	29253	29437	29578	29681	29747	29784	29772	29714	29630	29515	29387	29259	29146	29054	28969	28887	28834	28820	28836	28881	28940	29003	29066	29117	29162	29190	29204	29208	29204	29195	29187	29187	29183	29182	29186	29190	29192	29193	29185	29173	29152	29132	29106	29074	29047	29018	28995	28973	28957	28949	28942	28943	28947	28957	28969	28984	28999	29014	29027	29041	29047	29054	29057	29059	29060	29059	29054	29048	29042	29036	29028	29017	29006	28998	28989	28979	28970	28962	28953	28949	28943	28940	28937	28936	28937	28939	28942	28948	28951	28956	28959	28964	28967
1	3	31184	30531	29556	29282	28938	28812	28659	28846	29107	29333	29518	29659	29762	29829	29866	29853	29795	29711	29596	29469	29341	29227	29134	29049	28967	28915	28901	28917	28962	29021	29084	29148	29199	29243	29272	29286	29291	29286	29277	29269	29269	29265	29265	29269	29273	29275	29276	29267	29255	29234	29214	29187	29156	29130	29101	29078	29056	29039	29031	29023	29024	29028	29038	29051	29065	29080	29095	29109	29123	29130	29137	29140	29142	29144	29142	29137	29131	29125	29119	29111	29100	29090	29082	29073	29063	29054	29046	29037	29033	29027	29024	29021	29020	29021	29023	29026	29032	29035	29040	29043	29048
1	4	29656	31269	30586	29614	29340	28998	28871	28721	28909	29168	29395	29582	29722	29826	29893	29931	29917	29858	29775	29659	29532	29404	29290	29197	29113	29030	28979	28964	28979	29025	29084	29147	29212	29262	29306	29336	29350	29355	29350	29341	29333	29332	29329	29329	29333	29337	29339	29341	29332	29320	29299	29279	29252	29221	29195	29165	29142	29121	29104	29096	29088	29089	29092	29102	29115	29130	29145	29160	29173	29188	29195	29202	29205	29208	29210	29208	29203	29196	29189	29184	29176	29165	29155	29147	29138	29129	29120	29112	29103	29099	29093	29089	29086	29085	29086	29088	29091	29097	29101	29106	29109
1	5	30352	29735	31321	30640	29670	29397	29056	28930	28780	28968	29227	29453	29641	29781	29885	29952	29990	29976	29917	29835	29718	29592	29464	29349	29256	29172	29089	29038	29023	29038	29084	29143	29206	29271	29321	29365	29395	29410	29415	29410	29401	29393	29392	29390	29391	29395	29399	29400	29402	29393	29381	29360	29340	29314	29282	29256	29226	29202	29181	29164	29156	29148	29149	29152	29162	29175	29190	29205	29220	29233	29248	29255	29263	29265	29268	29269	29267	29263	29256	29249	29244	29236	29225	29215	29207	29198	29189	29180	29172	29163	29159	29153	29149	29147	29147	29148	29149	29152	29158	29162	29167
1	6	30378	30425	29784	31371	30692	29724	29450	29110	28984	28833	29021	29280	29506	29695	29835	29940	30007	30045	30031	29972	29890	29773	29647	29519	29403	29309	29226	29142	29091	29076	29091	29139	29199	29261	29326	29375	29419	29449	29464	29470	29466	29457	29449	29448	29446	29447	29451	29455	29456	29458	29449	29437	29416	29396	29370	29338	29312	29282	29258	29236	29218	29210	29202	29203	29206	29217	29231	29245	29259	29274	29288	29303	29310	29318	29320	29322	29323	29322	29318	29311	29304	29299	29291	29280	29270	29262	29253	29244	29235	29228	29219	29215	29209	29205	29203	29203	29204	29205	29208	29214	29218
1	7	29262	30442	30471	29831	31417	30743	29773	29500	29159	29033	28882	29070	29330	29555	29745	29886	29991	30056	30095	30081	30023	29940	29824	29697	29569	29453	29358	29275	29192	29140	29127	29142	29189	29250	29312	29377	29426	29470	29500	29515	29520	29517	29507	29500	29499	29497	29498	29501	29505	29506	29508	29499	29487	29466	29446	29421	29389	29363	29332	29308	29286	29268	29260	29252	29253	29256	29267	29281	29295	29309	29324	29338	29353	29360	29369	29371	29373	29374	29373	29369	29362	29355	29350	29342	29331	29321	29313	29304	29295	29286	29279	29270	29266	29260	29256	29254	29254	29255	29257	29260	29266
1	8	28610	29314	30478	30509	29868	31456	30782	29813	29540	29199	29072	28921	29109	29369	29594	29785	29926	30031	30096	30135	30121	30063	29980	29864	29737	29610	29492	29398	29315	29232	29180	29167	29182	29229	29290	29352	29417	29466	29510	29540	29555	29560	29557	29547	29541	29540	29538	29539	29542	29546	29547	29549	29540	29528	29507	29487	29462	29430	29404	29372	29349	29327	29309	29301	29293	29293	29296	29308	29321	29335	29349	29364	29379	29394	29401	29410	29412	29414	29415	29414	29410	29403	29396	29391	29383	29372	29362	29354	29345	29336	29327	29320	29311	29307	29301	29297	29294	29294	29295	29297	29301
1	9	28635	28657	29345	30511	30543	29903	31491	30819	29848	29575	29234	29107	28957	29144	29405	29630	29821	29962	30068	30133	30172	30159	30101	30016	29901	29773	29646	29529	29434	29352	29269	29215	29202	29218	29265	29327	29388	29454	29503	29547	29577	29592	29596	29593	29584	29578	29577	29575	29576	29579	29583	29585	29587	29578	29566	29545	29525	29500	29468	29442	29410	29387	29364	29346	29338	29330	29330	29333	29345	29357	29371	29385	29400	29415	29430	29437	29446	29448	29450	29451	29450	29446	29439	29432	29427	29419	29408	29398	29390	29381	29372	29363	29356	29347	29343	29337	29333	29330	29330	29331	29333
1	10	28184	28687	28694	29383	30551	30585	29945	31534	30862	29890	29617	29276	29149	28999	29185	29447	29673	29863	30004	30111	30176	30215	30202	30144	30059	29943	29816	29689	29572	29477	29395	29312	29258	29244	29260	29307	29369	29431	29497	29546	29590	29620	29635	29639	29636	29627	29621	29620	29618	29619	29623	29627	29629	29631	29622	29610	29589	29569	29544	29512	29485	29454	29431	29408	29390	29382	29374	29373	29376	29388	29400	29414	29428	29443	29458	29473	29480	29489	29491	29493	29494	29493	29489	29482	29475	29470	29462	29451	29441	29433	29424	29415	29406	29399	29390	29386	29380	29376	29373	29373	29374
1	11	27029	28239	28726	28734	29425	30594	30630	29990	31580	30907	29935	29661	29320	29194	29043	29230	29492	29718	29907	30048	30156	30220	30260	30247	30190	30106	29988	29861	29735	29617	29523	29441	29357	29304	29290	29306	29353	29414	29477	29543	29592	29636	29666	29681	29685	29682	29673	29667	29666	29664	29665	29669	29673	29675	29677	29668	29656	29635	29615	29590	29558	29531	29501	29478	29454	29436	29428	29421	29420	29422	29434	29446	29460	29474	29490	29505	29520	29527	29535	29537	29539	29540	29539	29535	29528	29521	29516	29508	29497	29487	29480	29471	29462	29453	29446	29437	29432	29426	29422	29419	29419
