Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28388	28116	27823	27850	27936	27970	27955	27885	27759	27578	27361	27085	26764	26423	26066	25710	25374	25072	24815	24586	24389	24235	24130	24066	24022
1	1	29337	28891	28368	28097	27804	27832	27918	27952	27938	27868	27742	27562	27345	27070	26749	26409	26052	25696	25361	25059	24802	24574	24377	24223	24118	24055
1	2	30424	29330	28885	28362	28091	27799	27827	27913	27947	27933	27863	27737	27557	27340	27066	26745	26405	26048	25692	25357	25055	24798	24570	24373	24220	24115
1	3	31184	30420	29326	28881	28358	28088	27796	27824	27910	27944	27930	27860	27734	27554	27337	27063	26742	26402	26046	25690	25355	25053	24796	24568	24371	24218
1	4	29656	31180	30417	29323	28878	28355	28085	27793	27822	27908	27942	27928	27858	27732	27552	27335	27061	26740	26400	26044	25688	25353	25051	24794	24566	24369
1	5	30352	29653	31177	30414	29320	28875	28353	28083	27791	27820	27906	27940	27926	27856	27730	27550	27333	27059	26738	26398	26042	25686	25351	25049	24793	24565
1	6	30378	30349	29650	31174	30411	29318	28873	28351	28081	27789	27818	27904	27938	27924	27854	27728	27548	27331	27057	26736	26396	26040	25685	25350	25048	24792
1	7	29262	30375	30346	29647	31171	30409	29316	28871	28349	28079	27787	27816	27902	27936	27922	27852	27726	27546	27329	27055	26734	26395	26039	25684	25349	25047
1	8	28610	29259	30372	30344	29645	31169	30407	29314	28869	28347	28077	27785	27814	27900	27934	27920	27850	27724	27544	27328	27054	26733	26394	26038	25683	25348
1	9	28635	28608	29257	30370	30342	29643	31167	30405	29312	28867	28345	28075	27783	27812	27898	27932	27919	27849	27723	27543	27327	27053	26732	26393	26037	25682
1	10	28184	28633	28606	29255	30368	30340	29641	31165	30403	29310	28865	28343	28073	27781	27810	27897	27931	27918	27848	27722	27542	27326	27052	26731	26392	26036
1	11	27029	28182	28631	28604	29253	30366	30338	29639	31163	30401	29308	28863	28341	28071	27779	27808	27895	27930	27917	27847	27721	27541	27325	27051	26730	26391
1	12	26889	27026	28179	28629	28602	29251	30364	30336	29637	31161	30399	29306	28861	28339	28069	27777	27806	27893	27928	27915	27845	27719	27539	27324	27050	26729
1	13	27929	26886	27023	28176	28626	28599	29248	30361	30333	29634	31158	30397	29304	28859	28337	28067	27775	27804	27891	27926	27913	27843	27717	27537	27322	27048
1	14	29027	27925	26882	27020	28173	28623	28596	29245	30358	30330	29631	31155	30394	29301	28856	28334	28065	27773	27802	27889	27924	27911	27841	27715	27535	27320
1	15	30060	29022	27920	26878	27016	28169	28619	28592	29241	30354	30326	29627	31151	30390	29298	28853	28331	28062	27770	27799	27886	27921	27908	27838	27712	27532
1	16	30657	30053	29016	27914	26873	27011	28164	28614	28587	29236	30349	30321	29622	31146	30386	29294	28849	28327	28058	27766	27795	27882	27917	27905	27835	27709
1	17	31830	30647	30044	29008	27906	26866	27004	28157	28607	28581	29230	30343	30315	29616	31140	30380	29288	28844	28322	28053	27761	27790	27877	27912	27900	27830
1	18	32612	31816	30635	30033	28997	27896	26857	26995	28148	28598	28572	29222	30334	30307	29608	31132	30372	29281	28837	28315	28046	27755	27784	27871	27906	27894
1	19	33734	32593	31800	30620	30019	28984	27884	26846	26984	28137	28587	28561	29211	30323	30296	29598	31122	30362	29272	28828	28306	28038	27747	27776	27863	27898
1	20	35028	33711	32573	31781	30603	30003	28969	27870	26833	26971	28124	28574	28549	29199	30310	30284	29586	31110	30350	29261	28817	28296	28028	27737	27766	27853
1	21	35258	35002	33688	32552	31761	30585	29986	28953	27855	26819	26957	28110	28560	28536	29186	30296	30271	29573	31097	30337	29249	28806	28285	28017	27726	27756
1	22	37784	35230	34977	33665	32531	31741	30566	29968	28936	27840	26805	26943	28096	28546	28522	29172	30282	30257	29560	31083	30324	29237	28794	28273	28006	27715
1	23	38453	37753	35204	34952	33642	32510	31721	30547	29950	28919	27825	26791	26929	28082	28532	28508	29158	30268	30243	29547	31069	30311	29224	28782	28261	27994
1	24	36695	38421	37725	35179	34928	33620	32489	31701	30529	29933	28903	27810	26777	26915	28068	28518	28494	29144	30254	30229	29534	31055	30298	29211	28770	28249
1	25	36179	36664	38392	37697	35154	34904	33598	32468	31681	30510	29915	28886	27794	26762	26901	28053	28503	28480	29130	30239	30215	29520	31041	30284	29198	28757
1	26	36253	36146	36634	38362	37668	35128	34879	33575	32446	31660	30491	29897	28869	27778	26747	26886	28038	28488	28465	29115	30224	30200	29505	31026	30269	29184
1	27	34898	36218	36114	36603	38330	37638	35101	34853	33550	32423	31638	30470	29877	28850	27760	26730	26870	28021	28471	28449	29098	30207	30183	29489	31009	30253
1	28	34875	34860	36183	36080	36569	38296	37605	35071	34824	33523	32397	31614	30447	29855	28829	27740	26711	26851	28002	28452	28430	29079	30188	30164	29471	30990
1	29	34277	34833	34822	36145	36043	36532	38258	37569	35038	34792	33492	32368	31586	30421	29830	28805	27717	26689	26830	27980	28430	28408	29057	30166	30142	29450
1	30	33152	34232	34791	34781	36103	36002	36491	38216	37528	35001	34756	33457	32335	31554	30391	29801	28777	27691	26664	26805	27955	28405	28383	29032	30140	30116
1	31	33589	33104	34187	34745	34736	36057	35957	36446	38169	37482	34959	34715	33418	32298	31518	30357	29768	28745	27661	26635	26777	27926	28376	28354	29003	30110
1	32	33800	33537	33056	34138	34695	34687	36006	35907	36396	38117	37431	34912	34669	33374	32256	31478	30318	29731	28709	27627	26603	26745	27893	28343	28321	28970
1	33	33945	33743	33485	33005	34085	34642	34634	35951	35853	36341	38060	37376	34861	34619	33326	32210	31433	30275	29690	28670	27589	26567	26709	27856	28306	28285
1	34	33300	33884	33686	33429	32950	34028	34584	34576	35891	35794	36281	37998	37315	34805	34564	33273	32159	31384	30228	29644	28626	27548	26528	26670	27816	28265
1	35	32397	33236	33823	33626	33369	32891	33967	34522	34515	35828	35731	36217	37932	37250	34745	34505	33217	32105	31332	30178	29595	28580	27504	26486	26628	27773
1	36	29842	32332	33174	33760	33563	33307	32830	33904	34458	34451	35762	35666	36151	37863	37183	34683	34444	33159	32049	31278	30127	29545	28532	27459	26443	26585
1	37	29753	29780	32269	33110	33695	33498	33243	32767	33839	34392	34386	35695	35599	36084	37793	37115	34620	34382	33100	31992	31223	30075	29494	28484	27413	26399
1	38	31344	29689	29720	32204	33044	33628	33432	33177	32703	33773	34325	34320	35627	35531	36016	37722	37046	34556	34319	33040	31935	31168	30022	29443	28435	27367
