Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	398997	397266	411375	417672	424059	429984	435927	441937	447586	452776	457576	461315	463318	464033	464136	464151	464336	464958	466235	467979	470253	473079	476536	480657	485272	489832
1	1	410138	401419	399616	413532	419836	426081	431961	437860	443874	449525	454720	459525	463268	465276	465997	466106	466128	466319	466947	468227	469976	472253	475086	478547	482671	487289
1	2	424084	413139	404303	402297	416210	422358	428547	434377	440278	446294	451945	457143	461948	465694	467703	468426	468535	468560	468751	469382	470664	472414	474691	477525	480987	485114
1	3	418717	426810	415770	406737	404734	418495	424591	430733	436563	442464	448482	454134	459332	464138	467883	469894	470619	470728	470755	470947	471577	472860	474611	476889	479723	483187
1	4	410610	421206	429241	417998	408976	406819	420534	426584	432727	438559	444459	450478	456131	461331	466137	469883	471894	472620	472730	472757	472951	473581	474864	476617	478895	481730
1	5	406814	412793	423359	431194	419967	410798	408601	422274	428324	434467	440299	446201	452220	457872	463073	467879	471626	473637	474364	474475	474502	474698	475328	476611	478364	480642
1	6	410302	408621	414594	424977	432828	421469	412264	410031	423704	429756	435899	441731	447634	453653	459306	464507	469314	473061	475072	475800	475911	475940	476135	476766	478049	479803
1	7	397054	411918	410240	416048	426447	434175	422785	413550	411317	424989	431041	437185	443017	448921	454940	460593	465796	470603	474350	476362	477090	477200	477230	477426	478057	479340
1	8	388063	398609	413460	411633	417452	427738	435436	424016	414784	412550	426222	432275	438419	444251	450156	456175	461827	467031	471838	475585	477598	478326	478437	478467	478664	479296
1	9	373006	389559	400085	414794	412976	418689	428945	436613	425194	415964	413731	427402	433455	439600	445433	451337	457357	463009	468212	473020	476767	478781	479510	479623	479653	479849
1	10	366463	374517	391042	401434	416153	414235	419918	430145	437812	426394	417164	414933	428604	434657	440802	446636	452540	458560	464213	469416	474225	477973	479987	480716	480828	480860
1	11	356301	368046	376060	392458	402854	417477	415532	421185	431413	439081	427664	418435	416204	429876	435928	442074	447907	453812	459833	465486	470690	475498	479246	481262	481992	482103
1	12	350571	357882	369576	377474	393873	404181	418776	416802	422455	432684	440353	428937	419710	417478	431152	437203	443349	449184	455087	461108	466761	471968	476775	480522	482540	483270
1	13	359210	352163	359402	370994	378888	395207	405487	420055	418080	423737	433965	441634	430221	420997	418765	432438	438490	444635	450472	456375	462396	468049	473257	478064	481813	483831
1	14	370466	360900	353771	360908	372497	380313	396602	406852	421423	419447	425104	435333	443003	431590	422367	420140	433813	439865	446010	451848	457751	463773	469425	474635	479440	483191
1	15	382196	372677	362956	355726	362848	374355	382133	398382	408633	423204	421231	426888	437117	444789	433379	424157	421931	435605	441658	447801	453641	459544	465567	471219	476430	481236
1	16	387348	384932	375188	365359	358106	365137	376594	384322	400571	410822	425392	423422	429080	439308	446983	435576	426358	424133	437806	443861	450003	455844	461747	467772	473423	478635
1	17	399339	390621	387902	378043	368181	360832	367801	379195	386924	403175	413427	427995	426029	431687	441918	449594	438190	428975	426753	440426	446481	452624	458465	464367	470396	476048
1	18	403292	404026	394897	391999	382092	372085	364646	371529	382924	390654	406904	417158	431726	429764	435423	445655	453333	441933	432721	430502	444175	450233	456378	462219	468120	474151
1	19	405326	410753	410907	401440	398476	388303	378157	370584	377468	388864	396597	412847	423100	437670	435713	441373	451605	459285	447890	438682	436467	450140	456200	462345	468186	474088
1	20	423227	415204	419843	419511	409952	406597	396222	385882	378318	385205	396603	404336	420586	430839	445410	443458	449121	459354	467033	455645	446443	444231	457903	463965	470112	475953
