Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	398997	396596	390384	385963	382353	378988	375705	372469	369481	366798	364277	361934	359717	357486	355322	353382	351838	350761	350084	349802	349980	350616	351650	353014	354577	356162
1	1	410138	401112	398317	391928	387518	383773	380369	377046	373814	370834	368158	365640	363300	361090	358862	356702	354764	353222	352146	351472	351191	351369	352006	353039	354403	355965
1	2	424084	412798	403313	400315	393928	389365	385566	382113	378794	375561	372582	369909	367391	365053	362844	360618	358459	356521	354981	353904	353230	352950	353127	353765	354798	356162
1	3	418717	426487	414787	405104	402109	395573	390958	387112	383662	380345	377113	374133	371462	368944	366607	364398	362173	360015	358076	356538	355461	354787	354507	354684	355322	356355
1	4	410610	420910	428321	416419	406747	403598	397016	392359	388513	385065	381750	378518	375539	372869	370351	368015	365806	363581	361425	359486	357947	356869	356197	355917	356094	356732
1	5	406814	412520	422519	429732	417844	408023	404834	398213	393557	389712	386264	382950	379719	376740	374071	371553	369217	367009	364785	362628	360690	359151	358073	357402	357121	357298
1	6	410302	408380	413841	423659	430884	418866	409009	405785	399166	394510	390666	387218	383905	380676	377696	375028	372510	370175	367967	365742	363585	361649	360111	359031	358361	358081
1	7	397054	411707	409571	414867	424701	431800	419752	409867	406644	400025	395371	391528	388078	384766	381537	378560	375892	373372	371038	368832	366607	364449	362512	360976	359896	359225
1	8	388063	398410	412850	410564	415870	425594	432659	420583	410698	407477	400859	396205	392364	388914	385603	382372	379395	376728	374209	371874	369668	367444	365287	363350	361815	360735
1	9	373006	389366	399501	413798	411523	416722	426417	433453	421377	411493	408272	401654	397001	393160	389711	386401	383171	380196	377529	375010	372675	370468	368245	366088	364151	362617
1	10	366463	374335	390482	400484	414788	412415	417585	427250	434288	422213	412330	409109	402493	397839	393999	390550	387239	384010	381036	378369	375850	373517	371308	369087	366929	364992
1	11	356301	367870	375528	391547	401555	415761	413362	418502	428166	435205	423131	413248	410028	403413	398760	394920	391471	388161	384932	381958	379291	376774	374441	372232	370012	367853
1	12	350571	357711	369053	376596	392617	402537	416713	414288	419429	429092	436131	424060	414176	410956	404342	399689	395849	392402	389091	385863	382889	380222	377707	375373	373164	370944
1	13	359210	351995	358896	370134	377676	393615	403508	417655	415230	420373	430036	437073	425007	415124	411904	405292	400641	396800	393355	390042	386814	383842	381174	378659	376325	374116
1	14	370466	360729	353257	360060	371294	378757	394667	404531	418678	416254	421396	431061	438097	426033	416151	412931	406320	401670	397829	394385	391074	387847	384875	382209	379694	377359
1	15	382196	372463	362358	354782	361570	372722	380145	396018	405882	420027	417607	422748	432413	439449	427388	417507	414288	407678	403031	399190	395747	392435	389210	386237	383572	381058
1	16	387348	384657	374423	364208	356611	363309	374410	381782	397655	407519	421662	419244	424385	434051	441087	429028	419149	415932	409325	404678	400838	397395	394085	390860	387888	385223
1	17	399339	390267	386918	376572	366318	358628	365263	376303	383675	399547	409412	423553	421137	426279	435944	442980	430924	421047	417831	411229	406583	402745	399301	395992	392768	389796
1	18	403292	403493	393470	389939	379546	369145	361368	367915	378955	386328	402197	412062	426204	423789	428930	438597	445631	433580	423705	420490	413893	409247	405411	401968	398658	395436
1	19	405326	409888	408634	398277	394681	384019	373479	365569	372116	383157	390530	406398	416261	430402	427991	433130	442798	449831	437783	427913	424701	418106	413462	409629	406187	402875
1	20	423227	413898	416358	414618	404165	400185	389317	378587	370683	377232	388274	395646	411512	421374	435513	433106	438245	447912	454944	442901	433034	429823	423232	418589	414757	411318
1	21	425645	432504	420535	422439	420560	409661	405429	394320	383599	375703	382253	393296	400666	416529	426392	440526	438122	443262	452927	459960	447921	438058	434847	428259	423619	419788
1	22	439175	435864	439602	427024	428756	426374	415181	410667	399569	388857	380969	387518	398561	405930	421791	431652	445784	443383	448522	458184	465216	453181	443324	440114	433530	428891
1	23	456389	449920	443149	446229	433462	434655	431947	420445	415938	404848	394145	386264	392814	403856	411225	427083	436940	451071	448672	453810	463470	470501	458471	448617	445407	438828
1	24	449824	466302	456390	448966	451850	438549	439417	436401	424907	420407	409326	398631	390755	397307	408345	415715	431568	441425	455553	453156	458293	467950	474980	462954	453103	449895
1	25	441752	457600	470875	460332	452743	455108	441508	442088	439079	427594	423100	412028	401339	393469	400023	411058	418428	434277	444131	458255	455860	460997	470648	477677	465656	455810
1	26	444147	447893	460765	473436	462742	454670	456753	442889	443475	440471	428995	424507	413444	402761	394897	401451	412484	419852	435698	445547	459670	457275	462411	472060	479087	467069
1	27	430783	449726	450710	463008	475529	464377	456048	457877	444024	444617	441619	430151	425669	414615	403938	396079	402632	413664	421030	436872	446717	460836	458441	463577	473221	480247
1	28	439328	435753	452134	452589	464749	476835	465443	456888	458722	444879	445477	442485	431026	426549	415504	404834	396981	403532	414561	421925	437763	447603	461717	459322	464456	474096
1	29	440748	443861	437919	453808	454139	465899	477753	466153	457607	459447	445615	446216	443229	431781	427309	416272	405609	397761	404311	415337	422699	438529	448366	462474	460080	465212
1	30	428719	443841	444904	438538	454314	454296	465854	477513	465927	457391	459235	445416	446021	443038	431600	427134	416105	405451	397609	404156	415176	422537	438358	448191	462293	459898
1	31	431951	430468	443834	444516	438070	453530	453347	464740	476395	464824	456299	458144	444339	444947	441970	430540	426080	415060	404414	396577	403121	414137	421494	437307	447135	461230
1	32	430780	433399	430357	443350	443963	437229	452526	452203	463595	475244	463686	455174	457021	443229	443839	440867	429446	424991	413980	403344	395514	402052	413064	420416	436219	446041
1	33	435537	431764	433030	429635	442567	442896	436034	451189	450871	462262	473906	462359	453859	455707	441928	442539	439574	428164	423713	412712	402083	394262	400796	411799	419146	434940
1	34	436154	436300	431342	432263	428835	441486	441691	434717	449864	449552	460938	472575	461041	452552	454402	440637	441250	438288	426891	422444	411453	400833	393019	399551	410543	417886
1	35	419401	436709	435821	430561	431450	427780	440314	440415	433453	448588	448282	459662	471291	459771	451292	453143	439392	440007	437049	425664	421222	410243	399631	391824	398353	409335
1	36	391384	419745	436127	434970	429691	430368	426610	439041	439144	432192	447317	447015	458388	470006	458500	450033	451885	438148	438766	435810	424437	420001	409034	398433	390633	397158
1	37	386312	391667	419163	435275	434095	428625	429217	425382	437804	437909	430969	446081	445782	457146	468753	457262	448808	450658	436936	437555	434602	423243	418813	407857	397268	389478
1	38	392139	386567	391149	418382	434450	433094	427551	428069	424242	436654	436761	429830	444928	444632	455987	467581	456104	447664	449513	435808	436428	433478	422133	417710	406766	396189
1	39	399506	392357	386075	390445	417617	433501	432072	426464	426985	423167	435566	435675	428757	443839	443544	454888	466468	455006	446579	448427	434741	435363	432414	421084	416668	405739
1	40	405724	399184	391384	384924	389265	416250	432045	430550	424956	425480	421671	434055	434165	427260	442323	442031	453361	464925	453481	445068	446915	433248	433870	430925	419612	415200
1	41	424493	404925	397781	389830	383361	387568	414448	430165	428671	423090	423618	419818	432186	432298	425404	440448	440157	451474	463021	451594	443196	445041	431396	432016	429076	417780
1	42	442516	423718	403603	396329	388369	381801	385944	412724	428420	426934	421363	421893	418104	430454	430570	423689	438711	438422	449723	461252	449845	441460	443303	429681	430302	427367
1	43	454033	441726	422426	402224	394942	386896	380288	384374	411113	426785	425305	419749	420283	416502	428833	428953	422084	437083	436797	448081	459594	448206	439834	441674	428075	428695
1	44	444445	453214	440431	421061	400877	393522	385443	378805	382889	409585	425233	423760	418218	418755	414985	427297	427419	420563	435540	435254	446520	458016	446647	438291	440129	426554
1	45	455317	444001	452269	439426	420074	399857	392476	384370	377752	381836	408488	424111	422646	417119	417659	413901	426193	426319	419475	434429	434145	445391	456868	445520	437178	439015
1	46	455778	455112	443373	451552	438718	419349	399134	391735	383655	377057	381141	407745	423345	421887	416375	416920	413173	425444	425573	418743	433671	433390	444617	456073	444748	436420
1	47	464071	455447	454376	442606	450751	437892	418539	398338	390966	382911	376336	380419	406975	422551	421102	415605	416154	412419	424669	424801	417988	432886	432608	443814	455249	443945
1	48	461610	463585	454599	453484	441733	449819	436965	417630	397490	390146	382117	375566	379649	406154	421705	420265	414786	415338	411616	423842	423980	417183	432050	431773	442956	454368
1	49	465864	461009	462619	453620	452500	440749	448793	435951	416678	396601	389288	381288	374761	378843	405296	420821	419388	413929	414484	410775	422976	423116	416336	431174	430897	442055
1	50	461541	464964	459823	461405	452429	451287	439555	447565	434774	415569	395557	388275	380307	373805	377885	404285	419779	418355	412915	413472	409776	421952	422093	415330	430135	429860
1	51	453132	460306	463472	458335	459918	450954	449811	438105	446115	433376	414241	394297	387048	379110	372637	376714	403056	418517	417101	411681	412240	408557	420706	420848	414102	428869
1	52	444765	451737	458671	461815	456705	458275	449338	448197	436549	444556	431874	412812	392940	385725	377821	371375	375450	401724	417151	415743	410343	410903	407232	419349	419492	412767
1	53	430028	443285	450028	456935	460081	454987	456554	447651	446539	434953	442952	430331	411344	391551	384371	376500	370084	374155	400355	415740	414342	408963	409522	405866	417950	418089
1	54	412989	428434	441455	448172	455068	458205	453137	454699	445858	444775	433254	441245	428686	409780	390070	382927	375092	368706	372771	398890	414227	412837	407481	408040	404397	416442
1	55	403877	411285	426504	439477	446182	453059	456192	451159	452741	443962	442908	431453	439436	426942	408121	388501	381395	373598	367246	371303	397329	412616	411234	405900	406457	402828
1	56	394739	402068	409313	424472	437406	444098	450961	454092	449115	450718	442005	440979	429594	437562	425140	406413	386886	379819	372064	365744	369792	395716	410944	409571	404260	404816
1	57	380158	392780	399964	407195	422300	435186	441864	448710	451859	446941	448565	439920	438924	427612	435562	423215	404586	385162	378135	370423	364136	368174	393986	409150	407782	402495
1	58	366613	377969	390421	397593	404811	419856	432691	439354	446200	449368	444511	446153	437578	436611	425379	433306	421038	402516	383199	376215	368547	362298	366319	392009	407102	405741
1	59	352170	364183	375391	387793	394951	402154	417130	429913	436576	443420	446605	441809	443470	434969	434030	422880	430781	418596	400188	380985	374046	366426	360215	364219	389772	404784
1	60	351859	349638	361494	372654	385005	392144	399327	414229	426972	433631	440470	443670	438937	440615	432190	431281	420218	428087	415989	397702	378622	371728	364159	357986	361971	387375
1	61	347724	349121	346848	358647	369754	382046	389162	396325	411162	423859	430509	437339	440550	435881	437575	429231	428349	417377	425211	413203	395046	376097	369252	361735	355603	359563
1	62	336380	344779	346113	343898	355634	366683	378911	385998	393154	407920	420565	427203	434021	437239	432637	434344	426082	425227	414350	422144	410231	392210	373398	366606	359143	353055
1	63	338723	333376	341665	343031	340874	352543	363531	375686	382764	389907	404593	417177	423799	430599	433823	429287	431005	422827	421999	411221	418967	407155	389278	370612	363876	356469
1	64	344106	335439	330145	338398	339794	337699	349294	360214	372307	379373	386495	401094	413610	420212	426987	430214	425746	427472	419382	418577	407904	415596	403889	386164	367655	360975
1	65	353019	340380	331835	326654	334866	336295	334257	345773	356636	368659	375705	382804	397304	409742	416318	423066	426291	421890	423621	415623	414838	404276	411906	400310	382747	364404
1	66	370692	348842	336421	328046	322982	331151	332607	330630	342076	352873	364821	371838	378907	393300	405648	412192	418906	422125	417794	419525	411622	410857	400408	407972	396493	379102
1	67	401134	365847	344430	332258	324059	319120	327238	328724	326823	338191	348913	360774	367759	374790	389064	401312	407816	414488	417696	413434	415163	407360	406615	396283	403771	392416
1	68	308634	395193	360651	339650	327737	319724	314912	322975	324501	322679	333955	344594	356345	363275	370261	384400	396536	402993	409616	412808	408617	410338	402640	401910	391704	399106
1	69	297414	303532	388885	355029	334462	322818	314997	310317	318329	319894	318155	329326	339843	351457	358340	365273	379259	391267	397668	404230	407400	403283	404993	397403	396689	386619
1	70	296179	291927	298158	382163	349026	328915	317551	309931	305400	313352	314951	313293	324321	334704	346192	353016	359888	373704	385571	391905	398395	401537	397496	399188	391710	391011
