Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	398997	396929	391614	388265	385730	383454	381260	379110	377202	375574	374076	372709	371413	370027	368622	367375	366428	365889	365675	365802	366346	367315	368666	370345	372224	374137
1	1	410138	401265	398965	393473	390136	387463	385147	382914	380768	378868	377247	375753	374393	373101	371719	370320	369077	368131	367598	367388	367516	368062	369032	370386	372067	373948
1	2	424084	412970	403810	401305	395815	392325	389598	387233	385003	382857	380959	379339	377846	376488	375198	373816	372419	371177	370231	369700	369492	369621	370168	371139	372492	374174
1	3	418717	426648	415281	405922	403420	397782	394242	391467	389105	386876	384731	382834	381216	379723	378365	377077	375695	374299	373060	372115	371583	371376	371505	372053	373024	374375
1	4	410610	421059	428781	417211	407862	405208	399523	395939	393167	390805	388578	386433	384536	382919	381427	380070	378783	377401	376005	374768	373823	373292	373084	373212	373762	374734
1	5	406814	412656	422939	430462	418907	409413	406717	400992	397408	394639	392277	390050	387907	386010	384392	382901	381545	380258	378877	377480	376245	375298	374770	374562	374689	375239
1	6	410302	408501	414216	424319	431858	420170	410638	407910	402187	398603	395835	393474	391247	389106	387210	385592	384101	382746	381457	380079	378682	377447	376499	375973	375765	375893
1	7	397054	411814	409908	415456	425574	432992	421272	411711	408983	403261	399678	396911	394550	392325	390183	388288	386670	385180	383826	382536	381158	379762	378528	377581	377056	376847
1	8	388063	398510	413158	411103	416660	426666	434052	422304	412744	410017	404295	400714	397947	395585	393363	391220	389326	387709	386218	384866	383576	382198	380803	379569	378622	378097
1	9	373006	389462	399794	414300	412254	417704	427680	435039	423292	413733	411007	405284	401706	398939	396577	394356	392213	390320	388704	387212	385862	384572	383194	381799	380565	379619
1	10	366463	374425	390761	400960	415475	413330	418748	428700	436058	424313	414754	412029	406306	402727	399962	397602	395381	393238	391345	389730	388238	386888	385598	384221	382827	381592
1	11	356301	367958	375792	392000	402207	416624	414452	419841	429796	437152	425408	415850	413126	407404	403826	401060	398702	396481	394338	392447	390831	389340	387990	386700	385324	383929
1	12	350571	357798	369313	377034	393242	403362	417750	415551	420940	430896	438251	426508	416952	414229	408506	404929	402164	399807	397585	395443	393552	391935	390447	389097	387806	386431
1	13	359210	352079	359151	370561	378280	394407	404500	418860	416660	422050	432008	439364	427622	418067	415347	409625	406047	403282	400928	398705	396565	394673	393056	391570	390220	388929
1	14	370466	360816	353515	360487	371892	379535	395631	405693	420055	417856	423245	433204	440560	428821	419265	416547	410827	407251	404486	402134	399910	397772	395881	394264	392779	391429
1	15	382196	372571	362658	355257	362213	373535	381139	397196	407257	421621	419425	424813	434772	442128	430392	420838	418122	412403	408829	406064	403714	401490	399351	397461	395845	394360
1	16	387348	384795	374805	364786	357361	364226	375501	383054	399111	409171	423535	421343	426729	436688	444045	432314	422761	420047	414330	410758	407993	405644	403420	401283	399394	397780
1	17	399339	390444	387409	377308	367253	359733	366534	377747	385302	401358	411419	425781	423593	428981	438938	446295	434569	425020	422309	416592	413022	410259	407912	405689	403551	401664
1	18	403292	403762	394183	390968	380818	370618	363010	369725	380937	388493	404548	414609	428971	426784	432176	442132	449492	437769	428222	425514	419800	416232	413470	411125	408905	406768
1	19	405326	410321	409770	399855	396576	386157	375817	368079	374797	386008	393566	409619	419680	434043	431858	437250	447207	454569	442850	433306	430601	424889	421326	418565	416223	414003
1	20	423227	414551	418101	417063	407055	403389	392767	382233	374502	381223	392434	399994	416046	426107	440470	438289	443680	453638	461002	449288	439748	437046	431335	427777	425017	422679
1	21	425645	433352	422880	425878	424700	414246	410326	399466	388942	381218	387941	399151	406713	422763	432823	447185	445008	450400	460358	467722	456015	446479	443782	438070	434517	431759
1	22	439175	436863	442458	431375	434202	432521	421773	417572	406721	396208	388489	395215	406424	413987	430035	440096	454455	452283	457675	467633	474997	463296	453764	451071	445362	441812
1	23	456389	451041	446392	451329	440053	442342	440334	429279	425085	414244	403741	396026	402756	413965	421531	437575	447635	461993	459824	465218	475175	482539	470843	461318	458625	452919
1	24	449824	467447	459800	454500	459241	447432	449396	447077	436032	431845	421014	410521	402812	409545	420752	428319	444361	454419	468775	466611	472006	481961	489328	477634	468116	465426
1	25	441752	458720	474262	465988	460520	464741	452633	454309	451996	440962	436780	425959	415475	407770	414507	425713	433279	449320	459377	473731	471569	476966	486920	494287	482600	473083
1	26	444147	448974	464051	478988	470562	464607	468549	456176	457858	455551	444529	440352	429540	419064	411365	418104	429309	436876	452914	462970	477321	475164	480559	490514	497878	486200
1	27	430783	450740	453819	468323	483110	474226	468012	471701	459340	461028	458726	447715	443543	432741	422272	414580	421320	432524	440091	456126	466182	480529	478375	483771	493725	501087
1	28	439328	436695	455036	457585	471951	486302	477178	470736	474431	462081	463775	461477	450477	446313	435518	425059	417371	424114	435316	442883	458913	468970	483314	481162	486559	496512
1	29	440748	444732	440610	458458	460882	474849	488965	479632	473200	476901	464563	466262	463970	452978	448823	438035	427586	419904	426648	437848	445417	461441	471498	485838	483690	489086
1	30	428719	444630	447359	442810	460544	462619	476384	490307	480986	474565	478268	465944	467647	465363	454381	450233	439454	429015	421338	428085	439282	446852	462871	472925	487262	485117
