Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	398997	396929	401060	404512	407763	410190	412054	413445	414670	415288	415059	414239	412954	411754	410870	410121	409588	409350	409434	409915	410801	412148	413943	416154	418698	421427
1	1	410138	401265	398973	402917	406376	409489	411873	413696	415092	416323	416947	416727	415911	414632	413438	412562	411820	411290	411058	411147	411632	412522	413875	415673	417887	420435
1	2	424084	412970	403812	401315	405260	408564	411622	413955	415782	417178	418411	419034	418818	418003	416726	415535	414660	413920	413391	413162	413252	413738	414629	415982	417783	419997
1	3	418717	426648	415282	405925	403431	407227	410481	413493	415825	417653	419049	420285	420907	420694	419879	418603	417413	416539	415801	415274	415046	415137	415623	416516	417869	419671
1	4	410610	421059	428782	417213	407866	405220	408967	412177	415192	417525	419355	420751	421988	422611	422399	421585	420308	419118	418246	417508	416982	416755	416846	417333	418226	419581
1	5	406814	412656	422939	430464	418910	409418	406730	410436	413647	416663	418996	420826	422224	423459	424084	423872	423059	421785	420594	419723	418986	418460	418234	418325	418813	419705
1	6	410302	408501	414217	424320	431861	420175	410644	407924	411631	414843	417859	420194	422023	423423	424658	425284	425071	424259	422987	421795	420925	420188	419664	419439	419529	420019
1	7	397054	411814	409908	415458	425576	432995	421278	411717	408998	412705	415918	418935	421271	423100	424500	425736	426363	426150	425338	424067	422877	422007	421270	420747	420523	420613
1	8	388063	398510	413158	411103	416663	426669	434055	422311	412751	410033	413740	416953	419970	422307	424137	425537	426775	427402	427189	426378	425106	423918	423048	422312	421790	421567
1	9	373006	389462	399795	414301	412255	417708	427684	435042	423300	413741	411024	414731	417945	420962	423300	425130	426531	427768	428397	428185	427374	426103	424914	424045	423310	422786
1	10	366463	374425	390762	400962	415477	413332	418753	428704	436061	424322	414763	412047	415753	418968	421985	424325	426154	427557	428794	429422	429210	428400	427131	425941	425073	424338
1	11	356301	367958	375792	392001	402209	416626	414454	419847	429801	437156	425418	415860	413145	416851	420066	423086	425426	427255	428658	429896	430525	430313	429502	428234	427044	426178
1	12	350571	357798	369315	377034	393244	403365	417753	415554	420946	430902	438256	426519	416963	414249	417955	421171	424191	426532	428361	429764	431004	431632	431422	430610	429343	428153
1	13	359210	352079	359152	370564	378280	394410	404504	418864	416664	422059	432017	439370	427636	418080	415369	419074	422291	425311	427652	429481	430885	432126	432754	432545	431733	430466
1	14	370466	360816	353517	360489	371896	379536	395635	405699	420061	417861	423256	433215	440568	428837	419281	416573	420279	423496	426517	428860	430690	432095	433335	433965	433754	432944
1	15	382196	372571	362660	355260	362216	373541	381142	397203	407266	421630	419432	424826	434786	442140	430412	420858	418151	421858	425077	428096	430441	432272	433678	434918	435551	435340
1	16	387348	384795	374807	364790	357366	364231	375508	383059	399120	409182	423546	421352	426746	436708	444063	432339	422786	420082	423788	427010	430029	432375	434206	435615	436855	437489
1	17	399339	390444	387412	377312	367262	359740	366541	377757	385311	401371	411434	425797	423606	429003	438965	446321	434601	425052	422350	426056	429281	432301	434648	436479	437890	439132
1	18	403292	403762	394186	390974	380826	370631	363020	369734	380950	388505	404566	414629	428992	426804	432205	442167	449527	437809	428261	425566	429273	432499	435520	437867	439699	441112
1	19	405326	410321	409775	399862	396587	386170	375836	368093	374810	386026	393583	409643	419709	434071	431887	437289	447252	454615	442901	433359	430666	434375	437602	440626	442975	444809
1	20	423227	414551	418106	417074	407067	403402	392785	382256	374522	381242	392458	400018	416077	426145	440507	438328	443731	453694	461061	449351	439814	437125	440836	444066	447090	449441
1	21	425645	433352	422886	425886	424717	414264	410345	399489	388968	381244	387966	399182	406745	422802	432871	447233	445061	450465	460428	467798	456094	446563	443877	447588	450822	453847
1	22	439175	436863	442462	431386	434214	432543	421796	417596	406752	396239	388523	395248	406464	414029	430085	440156	454516	452350	457756	467719	475090	463395	453868	451186	454897	458134
1	23	456389	451041	446397	451339	440069	442358	440363	429308	425114	414283	403778	396071	402797	414015	421582	437635	447710	462069	459907	465315	475278	482650	470962	461442	458762	462475
1	24	449824	467447	459805	454511	459256	447454	449420	447115	436069	431882	421062	410565	402867	409593	420812	428382	444432	454509	468868	466711	472120	482083	489460	477774	468262	465583
1	25	441752	458720	474267	465998	460537	464761	452662	454339	452042	441006	436825	426016	415527	407838	414565	425784	433356	449405	459481	473841	471688	477099	487063	494444	482762	473257
