Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	398997	396929	400995	404437	407676	410089	411943	413311	414520	415121	414875	414033	412720	411496	410586	409809	409248	408979	409036	409472	410325	411638	413397	415554	418053	420738
1	1	410138	401265	398959	402837	406285	409387	411754	413564	414935	416148	416753	416512	415672	414365	413143	412236	411461	410904	410635	410694	411131	411984	413295	415056	417211	419709
1	2	424084	412970	403808	401297	405177	408467	411513	413828	415641	417013	418226	418835	418596	417754	416450	415229	414322	413547	412992	412721	412782	413219	414073	415381	417142	419297
1	3	418717	426648	415280	405918	403411	407140	410380	413379	415694	417507	418880	420094	420704	420467	419625	418320	417100	416194	415419	414864	414594	414656	415092	415947	417255	419015
1	4	410610	421059	428780	417209	407857	405198	408879	412074	415074	417389	419204	420576	421791	422401	422163	421324	420020	418801	417894	417121	416565	416294	416357	416793	417648	418956
1	5	406814	412656	422938	430460	418904	409406	406705	410346	413542	416542	418858	420672	422044	423260	423871	423632	422794	421490	420271	419365	418593	418036	417766	417829	418265	419119
1	6	410302	408501	414216	424317	431854	420166	410631	407897	411539	414736	417737	420053	421867	423240	424456	425066	424828	423990	422687	421467	420560	419791	419233	418963	419026	419463
1	7	397054	411814	409907	415455	425572	432986	421267	411703	408969	412611	415808	418810	421128	422941	424314	425531	426141	425904	425065	423762	422543	421636	420867	420309	420039	420102
1	8	388063	398510	413157	411100	416658	426664	434045	422298	412735	410002	413644	416841	419842	422162	423975	425348	426566	427176	426939	426100	424797	423578	422670	421902	421344	421075
1	9	373006	389462	399794	414299	412250	417702	427678	435031	423285	413723	410991	414633	417831	420832	423152	424965	426337	427555	428167	427930	427091	425788	424569	423661	422893	422334
1	10	366463	374425	390761	400960	415474	413326	418746	428697	436049	424304	414743	412012	415653	418851	421853	424173	425985	427359	428575	429187	428950	428111	426811	425591	424682	423914
1	11	356301	367958	375791	391999	402206	416622	414447	419838	429792	437143	425398	415838	413107	416749	419946	422949	425270	427081	428456	429672	430284	430047	429209	427908	426689	425780
1	12	350571	357798	369312	377031	393241	403361	417747	415545	420936	430891	438241	426497	416939	414208	417850	421047	424050	426372	428183	429557	430774	431385	431148	430310	429009	427791
1	13	359210	352079	359150	370559	378276	394405	404499	418856	416653	422044	432001	439350	427610	418052	415323	418964	422162	425165	427486	429299	430673	431890	432500	432264	431427	430124
1	14	370466	360816	353514	360484	371888	379529	395628	405691	420050	417847	423237	433195	440544	428807	419248	416521	420162	423359	426364	428685	430497	431872	433088	433699	433461	432625
1	15	382196	372571	362657	355255	362209	373530	381131	397192	407254	421614	419413	424802	434760	442110	430374	420817	418091	421732	424930	427935	430256	432067	433444	434659	435271	435033
1	16	387348	384795	374804	364783	357357	364221	375494	383044	399104	409166	423525	421328	426715	436673	444023	432290	422734	420010	423650	426848	429853	432175	433986	435364	436578	437190
1	17	399339	390444	387407	377306	367248	359727	366527	377738	385290	401348	411410	425768	423573	428962	438917	446267	434538	424985	422263	425902	429101	432105	434427	436236	437616	438830
1	18	403292	403762	394180	390964	380814	370610	363000	369715	380925	388477	404534	414596	428952	426759	432150	442103	449455	437728	428175	425458	429095	432295	435299	437621	439429	440807
1	19	405326	410321	409768	399849	396570	386150	375806	368066	374783	385991	393544	409599	419661	434014	431825	437216	447168	454520	442796	433245	430532	434168	437369	440371	442694	444501
1	20	423227	414551	418097	417058	407044	403378	392755	382217	374483	381202	392410	399964	416016	426077	440430	438243	443633	453584	460938	449219	439671	436960	440594	443795	446795	449119
1	21	425645	433352	422876	425869	424690	414231	410311	399447	388920	381191	387912	399119	406675	422723	432781	447134	444948	450339	460287	467641	455926	446383	443673	447308	450509	453506
1	22	439175	436863	442453	431368	434187	432506	421752	417549	406695	396177	388455	395177	406384	413940	429984	440040	454390	452207	457600	467545	474898	463187	453647	450938	454572	457775
1	23	456389	451041	446387	451319	440041	442321	440313	429252	425055	414210	403702	395986	402707	413913	421470	437511	447566	461912	459729	465123	475066	482418	470711	461176	458467	462099
1	24	449824	467447	459794	454490	459225	447414	449368	447050	435999	431808	420973	410473	402763	409484	420687	428244	444284	454335	468677	466498	471890	481831	489181	477478	467947	465239
1	25	441752	458720	474257	465977	460503	464718	452610	454273	451961	440922	436734	425908	415417	407712	414434	425634	433191	449226	459276	473613	471436	476827	486766	494112	482414	472886
1	26	444147	448974	464044	478977	470546	464584	468520	456147	457814	455507	444479	440298	429478	418996	411294	418018	429215	436772	452802	462848	477181	475007	480395	490332	497676	485983
1	27	430783	450740	453814	468312	483092	474203	467983	471664	459303	460975	458672	447653	443478	432665	422191	414495	421219	432413	439968	455993	466034	480364	478192	483578	493510	500853
1	28	439328	436695	455032	457575	471933	486276	477148	470700	474385	462034	463711	461412	450402	446232	435428	424962	417270	423994	435185	442737	458758	468795	483119	480947	486334	496261
1	29	440748	444732	440604	458447	460864	474822	488930	479591	473154	476843	464502	466183	463890	452889	448725	437928	427470	419783	426505	437694	445243	461259	471290	485609	483438	488822
1	30	428719	444630	447352	442798	460526	462594	476349	490262	480933	474506	478198	465868	467553	465266	454274	450114	439326	428878	421196	427915	439101	446645	462653	472681	486993	484821
1	31	431951	431176	446038	448382	443746	461153	463058	476646	490554	481236	474819	478512	466194	467883	465600	454618	450462	439684	429244	421566	428283	439464	447006	463004	473026	487333
1	32	430780	434044	432356	446844	449116	444193	461436	463195	476779	490682	481376	474968	478663	466356	468046	465769	454797	450647	439876	429445	421775	428489	439662	447201	463188	473204
1	33	435537	432348	434846	432804	447228	449215	444162	461263	463026	476604	490500	481206	474809	478503	466208	467900	465628	454664	450521	439761	429335	421673	428385	439550	447083	463062
1	34	436154	436834	432990	435142	433066	447203	449070	443904	460995	462761	476334	490220	480937	474550	478244	465963	467653	465388	454433	450293	439547	429128	421473	428182	439338	446863
