Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	398997	397266	402254	406824	411228	414836	417913	420520	422968	424786	425702	425970	425688	425422	425397	425417	425564	425924	426528	427452	428732	430436	432550	435060	437920	440981
1	1	410138	401419	399608	404409	408988	413252	416813	419849	422458	424912	426736	427655	427929	427650	427388	427368	427392	427544	427907	428513	429439	430722	432429	434546	437057	439918
1	2	424084	413139	404301	402287	407087	411509	415720	419229	422268	424879	427333	429160	430078	430355	430077	429816	429798	429822	429975	430340	430946	431873	433157	434864	436983	439495
1	3	418717	426810	415769	406734	404723	409371	413742	417906	421415	424453	427067	429522	431351	432269	432547	432268	432009	431990	432015	432170	432534	433142	434069	435352	437060	439179
1	4	410610	421206	429240	417996	408972	406807	411410	415734	419900	423410	426447	429061	431517	433349	434267	434547	434268	434011	433991	434015	434172	434535	435144	436073	437355	439063
1	5	406814	412793	423359	431192	419964	410793	408587	413149	417473	421639	425151	428188	430803	433258	435092	436008	436290	436011	435755	435735	435759	435916	436281	436888	437817	439099
1	6	410302	408621	414593	424976	432825	421464	412258	410016	414579	418904	423071	426583	429620	432236	434691	436527	437441	437724	437447	437191	437173	437197	437352	437719	438327	439255
1	7	397054	411918	410240	416046	426445	434171	422779	413543	411301	415864	420190	424357	427870	430906	433522	435979	437814	438729	439011	438735	438478	438461	438486	438640	439007	439617
1	8	388063	398609	413460	411633	417449	427735	435431	424009	414776	412534	417096	421423	425589	429105	432140	434755	437214	439048	439964	440246	439971	439714	439697	439722	439877	440244
1	9	373006	389559	400084	414793	412976	418685	428941	436608	425187	415955	413714	418275	422603	426768	430285	433320	435936	438395	440228	441145	441428	441153	440896	440879	440905	441061
1	10	366463	374517	391041	401432	416151	414234	419913	430140	437807	426387	417155	414915	419476	423804	427970	431487	434522	437138	439599	441430	442347	442630	442356	442101	442084	442110
1	11	356301	368046	376060	392457	402852	417475	415531	421180	431407	439075	427656	418425	416185	420747	425074	429240	432758	435793	438409	440871	442702	443619	443902	443628	443374	443357
1	12	350571	357882	369574	377474	393871	404178	418773	416800	422450	432677	440346	428928	419699	417458	422022	426348	430513	434032	437068	439684	442146	443977	444894	445178	444903	444650
1	13	359210	352163	359401	370991	378888	395204	405483	420051	418077	423729	433955	441625	430209	420983	418742	423307	427635	431800	435318	438354	440970	443434	445264	446181	446464	446190
1	14	370466	360900	353769	360906	372493	380312	396598	406846	421417	419442	425095	435321	442992	431576	422351	420113	424677	429004	433171	436689	439725	442341	444807	446637	447556	447840
1	15	382196	372677	362955	355723	362845	374349	382130	398376	408624	423195	421224	426877	437102	444774	433360	424137	421900	426465	430794	434961	438479	441516	444132	446598	448428	449347
1	16	387348	384932	375186	365356	358101	365132	376586	384317	400562	410811	425381	423412	429065	439290	446962	435552	426333	424097	428661	432992	437159	440677	443715	446331	448797	450628
1	17	399339	390621	387899	378039	368173	360825	367794	379185	386917	403162	413411	427979	426015	431668	441894	449566	438159	428944	426711	431275	435607	439774	443292	446330	448947	451414
1	18	403292	404026	394895	391993	382085	372073	364636	371520	382911	390643	406886	417137	431704	429743	435396	445624	453297	441894	432682	430451	435015	439347	443516	447035	450073	452690
1	19	405326	410753	410902	401434	398465	388292	378139	370569	377455	388846	396580	412823	423073	437640	435682	441335	451563	459236	447840	438631	436403	440968	445299	449469	452989	456027
1	20	423227	415204	419839	419501	409940	406583	396205	385861	378297	385186	396578	404312	420555	430805	445371	443417	449071	459300	466972	455582	446378	444152	448719	453048	457220	460739
1	21	425645	434196	425224	429304	428827	418820	415211	404592	394259	386701	393592	404987	412719	428962	439211	453775	451825	457479	467708	475382	463996	454798	452574	457143	461472	465646
1	22	439175	437864	445304	435719	439627	438647	428346	424456	413845	403524	395973	402865	414261	421994	438233	448484	463046	461101	466755	476983	484657	473278	464084	461863	466432	470761
1	23	456389	452159	449631	456410	446634	450001	448697	438088	434206	423605	413293	405748	412642	424037	431770	448008	458259	472819	470879	476533	486761	494434	483063	473872	471654	476225
