Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	398997	396596	399807	402122	404204	405439	406078	406235	406221	405629	404234	402305	399996	397837	396073	394529	393288	392423	391967	391959	392422	393385	394824	396679	398873	401236
1	1	410138	401112	398324	401351	403675	405615	406808	407408	407570	407561	406975	405587	403663	401360	399205	397446	395908	394670	393810	393356	393351	393817	394783	396224	398081	400274
1	2	424084	412798	403315	400324	403350	405518	407408	408550	409151	409315	409307	408721	407336	405412	403111	400958	399201	397664	396426	395568	395116	395111	395578	396545	397986	399846
1	3	418717	426487	414788	405107	402119	404995	407112	408953	410097	410699	410864	410858	410273	408889	406966	404665	402513	400758	399221	397983	397125	396674	396670	397138	398104	399546
1	4	410610	420910	428322	416421	406751	403609	406437	408512	410353	411501	412102	412268	412263	411679	410294	408373	406073	403920	402167	400630	399392	398537	398085	398082	398549	399516
1	5	406814	412520	422520	429734	417847	408029	404847	407635	409710	411552	412701	413301	413468	413463	412881	411495	409575	407275	405124	403371	401836	400596	399742	399290	399288	399755
1	6	410302	408380	413841	423661	430888	418871	409016	405798	408588	410663	412505	413656	414256	414425	414420	413839	412453	410534	408232	406083	404329	402794	401555	400702	400251	400249
1	7	397054	411707	409572	414867	424703	431806	419758	409875	406657	409448	411523	413366	414518	415118	415287	415282	414702	413316	411399	409096	406949	405194	403659	402421	401569	401119
1	8	388063	398410	412851	410567	415871	425596	432666	420590	410707	407491	410283	412357	414200	415352	415953	416124	416117	415538	414152	412236	409933	407789	406033	404498	403260	402408
1	9	373006	389366	399501	413799	411527	416723	426420	433461	421385	411503	408286	411080	413154	414998	416151	416750	416922	416916	416339	414951	413037	410734	408591	406835	405300	404062
1	10	366463	374335	390482	400484	414789	412419	417586	427254	434297	422222	412341	409124	411920	413993	415836	416990	417591	417764	417756	417181	415793	413879	411575	409433	407678	406143
1	11	356301	367870	375529	391548	401556	415763	413367	418504	428171	435215	423141	413260	410044	412840	414913	416758	417912	418512	418686	418680	418104	416715	414804	412500	410358	408603
1	12	350571	357711	369054	376599	392618	402539	416716	414293	419432	429098	436142	424071	414189	410974	413771	415843	417689	418843	419443	419619	419613	419037	417648	415737	413433	411293
1	13	359210	351995	358897	370135	377680	393617	403510	417659	415236	420377	430043	437087	425019	415140	411924	414723	416795	418641	419796	420395	420572	420567	419990	418602	416691	414387
1	14	370466	360729	353258	360063	371297	378763	394671	404535	418683	416262	421402	431070	438113	426047	416170	412953	415753	417826	419673	420830	421429	421606	421601	421026	419640	417728
1	15	382196	372463	362360	354784	361574	372726	380152	396023	405888	420034	417618	422757	432426	439468	427406	417531	414315	417116	419189	421036	422192	422794	422971	422965	422390	421005
1	16	387348	384657	374424	364212	356615	363314	374416	381790	397662	407527	421672	419258	424397	434068	441110	429052	419179	415966	418768	420841	422689	423845	424447	424626	424620	424047
1	17	399339	390267	386920	376574	366324	358634	365270	376311	383685	399557	409424	423567	421156	426295	435967	443009	430956	421086	417875	420678	422752	424601	425757	426359	426540	426535
1	18	403292	403493	393472	389943	379550	369153	361377	367925	378966	386341	402211	412079	426222	423815	428953	438627	445670	433623	423754	420545	423349	425423	427273	428433	429034	429217
1	19	405326	409888	408637	398282	394688	384026	373491	365582	372131	383173	390549	406418	416286	430428	428025	433163	442838	449881	437839	427976	424768	427573	429649	431500	432663	433263
1	20	423227	413898	416363	414625	404175	400196	389331	378603	370703	377253	388295	395672	411540	421409	435550	433151	438289	447965	455009	442972	433114	429908	432714	434791	436643	437809
1	21	425645	432504	420539	422449	420573	409675	405444	394341	383623	375730	382280	393324	400700	416567	426437	440577	438182	443320	452995	460042	448010	438157	434952	437760	439839	441690
1	22	439175	435864	439606	427033	428771	426391	415202	410689	399595	388886	381003	387553	398598	405975	421840	431708	445848	443455	448597	458270	465319	453291	443444	440241	443050	445131
1	23	456389	449920	443154	446239	433477	434675	431971	420472	415966	404883	394181	386308	392859	403905	411282	427146	437013	451151	448761	453904	463576	470626	458604	448760	445561	448371
1	24	449824	466302	456395	448976	451867	438570	439444	436432	424942	420443	409370	398676	390809	397361	408406	415785	431646	441514	455650	453263	458405	468078	475127	463113	453270	450076
1	25	441752	457600	470880	460343	452759	455130	441538	442121	439117	427638	423145	412081	401395	393535	400088	411132	418512	434370	444238	458371	455989	461130	470802	477851	465843	456005
1	26	444147	447893	460771	473446	462758	454694	456782	442927	443516	440517	429047	424563	413505	402828	394974	401529	412573	419952	435808	445676	459805	457427	462567	472240	479289	467287
1	27	430783	449726	450715	463020	475543	464399	456078	457914	444071	444666	441673	430212	425738	414688	404019	396170	402726	413770	421148	437002	446868	460995	458619	463760	473432	480480
1	28	439328	435753	452139	452600	464768	476855	465472	456926	458768	444938	445537	442551	431097	426632	415591	404930	397088	403644	414685	422062	437916	447778	461904	459531	464674	474344
1	29	440748	443861	437925	453820	454156	465926	477782	466190	457656	459502	445684	446289	443309	431865	427406	416375	405724	397887	404445	415483	422860	438711	448572	462692	460323	465466
1	30	428719	443841	444911	438551	454333	454320	465892	477552	465975	457453	459305	445499	446108	443135	431702	427250	416227	405587	397755	404312	415349	422726	438573	448433	462549	460184
1	31	431951	430468	443843	444530	438091	453558	453381	464788	476447	464885	456375	458230	444438	445052	442087	430663	426219	415205	404576	396750	403306	414342	421718	437561	447419	461530
1	32	430780	433399	430364	443368	443985	437258	452565	452248	463655	475311	463762	455265	457124	443346	443966	441008	429595	425156	414154	403535	395718	402271	413304	420678	436517	446373
1	33	435537	431764	433038	429651	442593	442927	436073	451242	450930	462336	473990	462454	453969	455833	442068	442694	439742	428342	423910	412918	402310	394502	401054	412085	419457	435288
1	34	436154	436300	431350	432279	428861	441521	441733	434769	449932	449628	461030	472679	461159	452687	454555	440805	441436	438490	427102	422679	411699	401101	393301	399853	410880	418252
1	35	419401	436709	435831	430578	431476	427819	440363	440471	433519	448675	448376	459775	471420	459915	451455	453326	439595	440230	437290	425916	421499	410533	399948	392157	398708	409730
1	36	391384	419745	436138	434989	429720	430406	426661	439105	439217	432277	447426	447131	458527	470167	458676	450230	452103	438391	439030	436097	424737	420329	409377	398805	391024	397574
1	37	386312	391667	419172	435297	434125	428668	429271	425449	437886	438003	431074	446215	445926	457316	468951	457475	449045	450921	437226	437871	434945	423601	419201	408264	397705	389936
1	38	392139	386567	391159	418401	434486	433138	427610	428141	424329	436758	436879	429963	445092	444811	456194	467822	456362	447949	449827	436154	436806	433884	422557	418168	407247	396701
1	39	399506	392357	386086	390467	417648	433552	432132	426542	427079	423277	435697	435824	428923	444039	443763	455140	466761	455319	446922	448803	435151	435809	432896	421584	417208	406304
1	40	405724	399184	391397	384947	389301	416297	432113	430631	425056	425600	421809	434217	434351	427463	442566	442298	453666	465279	453858	445477	447363	433733	434397	431494	420201	415835
1	41	424493	404925	397794	389856	383398	387620	414516	430252	428777	423215	423768	419989	432385	432525	425652	440743	440480	451841	463445	452046	443683	445574	431968	432637	429744	418472
1	42	442516	423718	403617	396358	388411	381854	386015	412815	428534	427068	421519	422079	418314	430699	430845	423988	439067	438809	450163	461757	450380	442037	443934	430352	431027	428144
1	43	454033	441726	422443	402254	394989	386957	380361	384466	411228	426930	425475	419944	420509	416758	429132	429283	422442	437508	437258	448606	460189	448836	440512	442415	428859	429541
1	44	444445	453214	440449	421097	400926	393589	385526	378901	383008	409730	425413	423967	418455	419028	415293	427655	427816	420992	436042	435800	447139	458713	447383	439081	440990	427461
1	45	455317	444001	452290	439464	420131	399929	392567	384479	377877	381987	408670	424334	422900	417406	417988	414269	426618	426788	419984	435018	434785	446114	457681	446376	438094	440009
1	46	455778	455112	443392	451595	438779	419430	399231	391851	383792	377215	381327	407970	423616	422196	416721	417311	413609	425947	426125	419342	434359	434137	445456	457013	445736	437475
1	47	464071	455447	454397	442648	450819	437981	418647	398464	391112	383083	376531	380649	407250	422878	421473	416018	416618	412933	425259	425446	418684	433685	433474	444784	456329	445079
1	48	461610	463585	454622	453531	441802	449915	437084	417772	397651	390329	382329	375806	379927	406487	422096	420706	415273	415884	412218	424532	424728	417988	432972	432771	444071	455604
1	49	465864	461009	462646	453671	452576	440848	448922	436106	416859	396802	389514	381545	375053	379178	405694	421287	419910	414503	415124	411476	423778	423984	417266	432232	432043	443330
1	50	461541	464964	459852	461461	452511	451397	439689	447733	434972	415796	395806	388553	380618	374156	378287	404756	420330	418971	413588	414222	410592	422882	423097	416402	431349	431173
1	51	453132	460306	463503	458395	460008	451073	449961	438282	446329	433625	414520	394602	387387	379486	373058	377195	403615	419166	417825	412469	413114	409505	421782	422006	415336	430262
1	52	444765	451737	458704	461881	456802	458405	449499	448393	436777	444826	432184	413154	393312	386135	378274	371880	376021	402389	417918	416593	411264	411923	408334	420594	420828	414187
1	53	430028	443285	450063	457006	460188	455128	456732	447864	446790	435241	443290	430714	411764	392005	384867	377045	370688	374834	401145	416648	415341	410043	410712	407147	419390	419636
1	54	412989	428434	441494	448248	455182	458360	453330	454936	446133	445094	433616	441665	429158	410293	390619	383526	375747	369426	373578	399827	415299	414014	408748	409430	405889	418110
1	55	403877	411285	426544	439560	446306	453224	456405	451413	453047	444312	443309	431907	439956	427521	408748	389164	382117	374386	368103	372261	398443	413880	412617	407385	408080	404566
1	56	394739	402068	409356	424562	437541	444278	451188	454373	449445	451109	442444	441479	430155	438203	425846	407172	387687	380686	373005	366766	370927	397036	412437	411195	406000	406709
1	57	380158	392780	400010	407288	422444	435381	442112	449013	452223	447360	449057	440469	439543	428303	436347	424072	405502	386125	379174	371544	365354	369517	395545	410908	409688	404531
1	58	366613	377969	390473	397693	404961	420065	432959	439682	446596	449833	445038	446767	438260	437374	426221	434263	422075	403617	384354	377459	369881	363742	367908	393849	409168	407974
1	59	352170	364183	375445	387902	395112	402372	417416	430269	437000	443925	447192	442466	444229	435808	434966	423905	431939	419846	401508	382366	375529	368010	361924	366090	391935	407209
1	60	351859	349638	361549	372768	385180	392377	399625	414609	427433	434173	441105	444400	439752	441548	433217	432420	421459	429485	417489	399279	380267	373489	366035	360003	364172	389911
1	61	347724	349121	346907	358765	369937	382299	389481	396715	411651	424442	431191	438131	441454	436885	438716	430479	429727	418868	426888	414997	396921	378047	371333	363946	357971	362142
1	62	336380	344779	346176	344023	355823	366946	379254	386420	393658	408540	421295	428052	434996	438349	433862	435727	427591	426888	416136	424144	412364	394432	375704	369057	361741	355826
1	63	338723	333376	341734	343165	341074	352816	363889	376137	383303	390545	405368	418083	424846	431793	435172	430771	432671	424638	423984	413350	421342	409680	391899	373326	366753	359511
1	64	344106	335439	330217	338544	340010	337986	349665	360682	372885	380053	387293	402054	414723	421489	428439	431848	427533	429469	421544	420941	410429	418402	406864	389245	370835	364336
1	65	353019	340380	331915	326807	335101	336604	334646	346260	357235	369388	376554	383791	398482	411101	417867	424816	428254	424032	426004	418191	417640	407256	415210	403799	386352	368116
1	66	370692	348842	336509	328215	323227	331486	333026	331141	342699	353631	365725	372887	380121	394733	407296	414062	421010	424472	420347	422356	414661	414164	403914	411846	400572	383305
