Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114
1	0	398997	396929	401028	404476	407720	410140	411997	413382	414597	415210	414969	414140	412840	411630	410731	409971	409425	409173	409247	409708	410578	411912	413687	415871	418396	421108	423920	426722	429426	431956	434212	436133	437736	439035	440058	440860	441497	441997	442399	442742	443068	443381	443689	444013	444339	444677	445052	445503	446052	446709	447499	448426	449498	450709	452046	453499	455029	456624	458251	459879	461483	463033	464509	465901	467184	468359	469427	470381	471239	472007	472704	473342	473942	474515	475085	475663	476264	476898	477575	478312	479098	479946	480856	481826	482849	483931	485054	486206	487392	488595	489799	491002	492186	493348	494473	495557	496601	497598	498546	499449	500311
1	1	410138	401265	398965	402877	406334	409438	411813	413628	415017	416238	416856	416622	415796	414501	413298	412404	411647	411105	410856	410935	411398	412271	413608	415383	417568	420094	422808	425622	428427	431132	433662	435920	437842	439447	440748	441771	442577	443217	443718	444122	444467	444796	445111	445421	445747	446075	446414	446791	447244	447797	448456	449247	450175	451250	452462	453799	455256	456786	458383	460010	461639	463244	464796	466274	467668	468952	470127	471197	472154	473013	473783	474481	475120	475721	476296	476867	477447	478050	478685	479364	480102	480890	481739	482651	483622	484646	485729	486854	488007	489194	490398	491603	492806	493991	495154	496281	497366	498411	499409	500358	501262
1	2	424084	412970	403810	401305	405218	408518	411567	413892	415710	417101	418322	418940	418709	417883	416591	415389	414496	413739	413200	412951	413032	413494	414369	415705	417482	419667	422195	424909	427722	430527	433234	435763	438022	439946	441550	442853	443875	444682	445322	445825	446229	446575	446904	447220	447530	447857	448187	448525	448903	449355	449910	450570	451361	452289	453364	454577	455915	457372	458902	460500	462127	463757	465362	466914	468393	469787	471073	472249	473318	474276	475135	475905	476605	477243	477846	478421	478992	479573	480176	480810	481490	482228	483016	483866	484778	485749	486774	487858	488983	490137	491324	492528	493734	494938	496123	497284	498413	499498	500543	501542	502491
1	3	418717	426648	415281	405922	403420	407183	410432	413435	415760	417578	418971	420194	420812	420583	419757	418465	417264	416372	415614	415077	414828	414911	415372	416249	417585	419363	421547	424076	426792	429603	432408	435117	437645	439903	441828	443433	444736	445758	446566	447206	447709	448115	448462	448792	449108	449417	449744	450075	450413	450792	451244	451798	452458	453251	454179	455254	456466	457806	459262	460791	462390	464017	465647	467253	468804	470284	471678	472965	474142	475211	476169	477029	477799	478499	479136	479739	480315	480887	481468	482071	482706	483386	484124	484912	485762	486674	487645	488671	489755	490880	492034	493223	494427	495633	496837	498023	499184	500313	501398	502442	503441
1	4	410610	421059	428781	417211	407862	405208	408923	412127	415131	417457	419276	420671	421894	422513	422285	421459	420168	418967	418076	417318	416782	416533	416617	417078	417955	419291	421071	423254	425782	428500	431311	434115	436824	439353	441612	443536	445141	446443	447465	448275	448915	449416	449823	450170	450501	450818	451126	451454	451786	452124	452503	452955	453510	454170	454964	455892	456967	458180	459522	460977	462505	464104	465732	467361	468969	470520	472000	473394	474681	475858	476927	477886	478745	479517	480217	480854	481457	482033	482605	483186	483789	484424	485104	485842	486631	487482	488394	489365	490391	491475	492600	493754	494943	496147	497352	498556	499745	500906	502035	503121	504166
1	5	406814	412656	422939	430462	418907	409413	406717	410391	413596	416600	418927	420746	422141	423365	423984	423757	422931	421641	420440	419551	418792	418257	418009	418092	418554	419431	420765	422547	424731	427259	429976	432788	435592	438300	440830	443088	445013	446620	447922	448943	449754	450395	450895	451303	451649	451981	452299	452607	452935	453267	453606	453985	454439	454994	455653	456447	457375	458448	459662	461005	462460	463989	465588	467215	468844	470452	472004	473484	474879	476165	477342	478411	479371	480229	481002	481702	482340	482943	483518	484090	484671	485275	485910	486591	487329	488118	488969	489882	490853	491879	492963	494088	495242	496431	497637	498841	500043	501232	502393	503525	504609
1	6	410302	408501	414216	424319	431858	420170	410638	407910	411585	414791	417795	420123	421943	423338	424563	425181	424955	424130	422840	421639	420751	419992	419457	419210	419292	419755	420633	421967	423748	425932	428461	431179	433990	436796	439503	442034	444292	446217	447824	449126	450147	450959	451600	452099	452509	452854	453186	453507	453815	454143	454475	454813	455192	455647	456202	456860	457654	458583	459657	460871	462212	463668	465197	466797	468424	470052	471661	473213	474692	476088	477375	478552	479621	480581	481439	482213	482912	483550	484156	484731	485303	485884	486488	487123	487804	488542	489331	490182	491095	492067	493093	494177	495301	496455	497644	498851	500055	501258	502446	503606	504739
1	7	397054	411814	409908	415456	425574	432992	421272	411711	408983	412658	415865	418870	421199	423018	424414	425640	426258	426032	425207	423918	422717	421829	421071	420536	420289	420371	420834	421713	423048	424828	427013	429542	432260	435071	437877	440584	443115	445374	447300	448908	450209	451229	452042	452684	453182	453593	453938	454269	454590	454898	455226	455560	455897	456276	456731	457287	457945	458739	459667	460742	461958	463298	464754	466283	467883	469512	471139	472747	474300	475780	477176	478463	479639	480708	481669	482528	483302	484000	484638	485244	485819	486391	486972	487576	488211	488892	489630	490420	491271	492184	493156	494182	495267	496391	497544	498734	499941	501145	502348	503537	504697
1	8	388063	398510	413158	411103	416660	426666	434052	422304	412744	410017	413692	416899	419904	422234	424053	425450	426677	427295	427069	426244	424954	423755	422866	422109	421574	421329	421412	421874	422754	424089	425868	428052	430582	433299	436112	438918	441624	444156	446415	448341	449950	451251	452271	453083	453727	454225	454636	454982	455313	455634	455942	456270	456604	456941	457320	457775	458331	458989	459783	460712	461786	463003	464344	465801	467329	468928	470558	472185	473794	475348	476828	478223	479512	480688	481756	482716	483574	484349	485048	485685	486292	486867	487439	488020	488624	489259	489940	490678	491468	492319	493232	494205	495231	496316	497440	498592	499781	500988	502193	503397	504586
1	9	373006	389462	399794	414300	412254	417704	427680	435039	423292	413733	411007	414682	417890	420895	423225	425045	426441	427667	428288	428062	427238	425948	424750	423860	423104	422568	422324	422408	422869	423750	425085	426864	429048	431577	434294	437107	439915	442621	445153	447412	449338	450947	452247	453268	454080	454725	455224	455634	455980	456310	456631	456940	457268	457603	457940	458319	458774	459330	459988	460782	461713	462786	464003	465344	466802	468330	469928	471560	473186	474794	476348	477830	479224	480513	481689	482757	483719	484577	485351	486051	486688	487295	487870	488442	489023	489628	490263	490943	491681	492471	493322	494235	495208	496234	497319	498443	499596	500786	501993	503198	504402
