Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	398997	393908	394562	394931	394976	394253	392925	391125	389110	386471	383035	379128	374912	370918	367395	364215	361452	359190	357448	356260	355624	355555	355993	356851	358031	359335
1	1	410138	398662	393602	394264	394638	394689	393972	392650	390858	388850	386217	382788	378887	374680	370691	367174	363999	361241	358984	357245	356060	355427	355363	355802	356662	357844
1	2	424084	410035	398570	393512	394176	394552	394606	393891	392571	390781	388775	386143	382716	378817	374613	370625	367110	363936	361179	358923	357185	356001	355369	355306	355747	356607
1	3	418717	424018	409977	398514	393458	394124	394501	394556	393842	392524	390735	388730	386099	382674	378776	374573	370586	367071	363899	361143	358888	357150	355967	355336	355273	355715
1	4	410610	418666	423972	409934	398473	393418	394085	394463	394520	393807	392490	390702	388698	386068	382644	378746	374544	370558	367043	363872	361117	358862	357124	355942	355311	355248
1	5	406814	410567	418626	423933	409897	398439	393386	394054	394432	394490	393778	392461	390674	388671	386041	382618	378721	374519	370534	367020	363849	361094	358840	357102	355921	355291
1	6	410302	406775	410531	418590	423899	409866	398409	393357	394026	394405	394463	393752	392435	390649	388647	386017	382595	378698	374497	370512	366999	363828	361075	358821	357083	355902
1	7	397054	410266	406743	410499	418559	423869	409838	398382	393331	394001	394380	394439	393728	392412	390626	388625	385995	382574	378677	374477	370492	366981	363810	361057	358804	357066
1	8	388063	397022	410236	406715	410471	418532	423842	409812	398358	393307	393978	394357	394417	393706	392391	390605	388605	385975	382555	378659	374459	370475	366964	363793	361041	358788
1	9	373006	388035	396995	410209	406689	410446	418507	423817	409788	398335	393285	393957	394336	394396	393686	392371	390587	388587	385957	382538	378642	374442	370459	366948	363777	361026
1	10	366463	372979	388009	396970	410184	406664	410422	418483	423793	409765	398313	393264	393936	394316	394376	393667	392353	390569	388570	385940	382521	378626	374426	370443	366933	363762
1	11	356301	366435	372953	387983	396944	410158	406639	410397	418459	423769	409742	398291	393243	393915	394295	394356	393647	392334	390551	388552	385922	382504	378609	374409	370427	366917
1	12	350571	356268	366405	372925	387955	396916	410130	406612	410370	418432	423743	409717	398267	393220	393892	394272	394334	393625	392313	390530	388531	385902	382484	378591	374391	370409
1	13	359210	350533	356232	366369	372890	387920	396881	410095	406578	410336	418400	423712	409687	398240	393194	393866	394246	394309	393600	392289	390506	388508	385879	382461	378569	374369
1	14	370466	359161	350490	356190	366328	372849	387879	396840	410054	406538	410297	418361	423674	409650	398205	393160	393834	394215	394278	393570	392259	390477	388479	385851	382433	378542
1	15	382196	370402	359104	350437	356137	366276	372798	387827	396789	410003	406489	410249	418313	423626	409605	398163	393119	393794	394176	394239	393532	392221	390440	388443	385815	382398
1	16	387348	382110	370326	359033	350371	356072	366212	372735	387763	396726	409939	406427	410188	418252	423567	409549	398111	393068	393744	394127	394190	393484	392174	390394	388398	385771
1	17	399339	387236	382009	370233	358945	350290	355992	366132	372656	387684	396648	409861	406351	410113	418177	423494	409480	398046	393004	393681	394065	394129	393424	392114	390335	388340
1	18	403292	399194	387109	381889	370120	358839	350192	355895	366036	372561	387588	396553	409765	406259	410023	418087	423405	409396	397965	392925	393603	393989	394054	393350	392042	390264
1	19	405326	403115	399035	386962	381750	369990	358719	350078	355782	365924	372450	387476	396441	409653	406151	409918	417982	423300	409297	397869	392833	393513	393901	393967	393264	391957
1	20	423227	405123	402932	398861	386800	381597	369846	358585	349951	355658	365800	372327	387353	396318	409529	406031	409799	417863	423181	409186	397762	392729	393411	393800	393867	393165
1	21	425645	422998	404923	402742	398680	386632	381437	369696	358444	349819	355527	365669	372197	387222	396188	409397	405903	409672	417736	423055	409067	397648	392618	393302	393692	393761
1	22	439175	425406	422783	404725	402553	398501	386463	381275	369545	358303	349686	355395	365537	372066	387089	396055	409263	405772	409542	417606	422925	408945	397531	392503	393189	393580
1	23	456389	438926	425187	422574	404532	402369	398325	386297	381117	369396	358164	349554	355264	365406	371935	386956	395922	409129	405641	409412	417476	422796	408822	397413	392388	393075
1	24	449824	456130	438700	424976	422373	404345	402189	398153	386136	380963	369250	358027	349423	355135	365276	371807	386826	395790	408996	405511	409283	417347	422668	408698	397295	392273
1	25	441752	449567	455893	438479	424770	422175	404162	402012	397982	385976	380810	369105	357890	349292	355007	365145	371677	386695	395657	408861	405380	409152	417217	422538	408574	397175
1	26	444147	441492	449327	455657	438259	424564	421976	403978	401834	397811	385815	380655	368959	357751	349160	354876	365012	371545	386560	395521	408724	405245	409017	417082	422403	408446
1	27	430783	443874	441244	449084	455416	438034	424355	421774	403788	401651	397635	385649	380495	368807	357607	349022	354740	364874	371407	386420	395379	408579	405104	408877	416940	422262
